cik,company,type,date,path,ticker
37996,FORD MOTOR CO,8-K,20080103,edgar/data/37996/0001140361-08-000289.txt,F
38009,FORD MOTOR CREDIT CO LLC,8-K,20080103,edgar/data/38009/0001140361-08-000291.txt,F
40730,GENERAL MOTORS CORP,8-K,20080103,edgar/data/40730/0000040730-08-000001.txt,GM
38009,FORD MOTOR CREDIT CO LLC,8-K,20080104,edgar/data/38009/0001157523-08-000089.txt,F
40730,GENERAL MOTORS CORP,8-K,20080104,edgar/data/40730/0000040730-08-000002.txt,GM
37996,FORD MOTOR CO,8-K/A,20080116,edgar/data/37996/0001140361-08-001452.txt,F
37996,FORD MOTOR CO,8-K,20080116,edgar/data/37996/0001140361-08-001439.txt,F
38009,FORD MOTOR CREDIT CO LLC,8-K,20080116,edgar/data/38009/0001140361-08-001468.txt,F
40730,GENERAL MOTORS CORP,8-K,20080117,edgar/data/40730/0000950152-08-000343.txt,GM
834071,TOYOTA MOTOR CREDIT CORP,8-K,20080117,edgar/data/834071/0000834071-08-000017.txt,TM
1111244,VOLKSWAGEN DEALER FINANCE LLC,8-K,20080122,edgar/data/1111244/0000950124-08-000221.txt,VWAGY
1221498,VOLKSWAGEN PUBLIC AUTO LOAN SECURITIZATION LLC,8-K,20080122,edgar/data/1221498/0000950124-08-000218.txt,VWAGY
1335045,Volkswagen Credit Auto Master Owner Trust,8-K,20080122,edgar/data/1335045/0000950124-08-000221.txt,VWAGY
1343707,Volkswagen Auto Loan Enhanced Trust 2005-1,8-K,20080122,edgar/data/1343707/0000950124-08-000218.txt,VWAGY
1423975,Ford Credit Auto Owner Trust 2008-A,8-K,20080123,edgar/data/1423975/0000950124-08-000241.txt,F
40730,GENERAL MOTORS CORP,8-K,20080123,edgar/data/40730/0000040730-08-000003.txt,GM
37996,FORD MOTOR CO,8-K,20080124,edgar/data/37996/0001140361-08-001816.txt,F
38009,FORD MOTOR CREDIT CO LLC,8-K,20080124,edgar/data/38009/0001140361-08-001818.txt,F
1136586,BMW FS SECURITIES LLC,8-K,20080128,edgar/data/1136586/0000909518-08-000079.txt,BMWYY
1320613,BMW Vehicle Owner Trust 2005-A,8-K,20080128,edgar/data/1320613/0000909518-08-000079.txt,BMWYY
1423975,Ford Credit Auto Owner Trust 2008-A,8-K,20080128,edgar/data/1423975/0001140361-08-002036.txt,F
37996,FORD MOTOR CO,8-K,20080201,edgar/data/37996/0001140361-08-002505.txt,F
38009,FORD MOTOR CREDIT CO LLC,8-K,20080201,edgar/data/38009/0001140361-08-002513.txt,F
40730,GENERAL MOTORS CORP,8-K,20080201,edgar/data/40730/0000040730-08-000004.txt,GM
40730,GENERAL MOTORS CORP,8-K,20080212,edgar/data/40730/0000040730-08-000006.txt,GM
40730,GENERAL MOTORS CORP,8-K,20080212,edgar/data/40730/0000950124-08-000573.txt,GM
821616,BENTLEY PHARMACEUTICALS INC,8-K,20080213,edgar/data/821616/0000950135-08-000869.txt,VWAGY
1111244,VOLKSWAGEN DEALER FINANCE LLC,8-K,20080220,edgar/data/1111244/0000950124-08-000712.txt,VWAGY
1221498,VOLKSWAGEN PUBLIC AUTO LOAN SECURITIZATION LLC,8-K,20080220,edgar/data/1221498/0000950124-08-000716.txt,VWAGY
