,description,headline,url,provider,date
0,<b>Mercedes</b> boss Toto Wolff was impressed with the restraint shown by Ocon during the confrontation and tipped him for major success in the future. Wolff said he spoke with the triple world champion and team <b>shareholder</b> immediately after <b>Mercedes</b> won the ...,"Team energy will power <b>Mercedes</b> to more titles, says Lewis Hamilton",http://androidevo.com/2018/11/17/team-energy-will-power-mercedes-to-more-titles-says-lewis.html,androidevo.com,2018-11-17T21:40:00.0000000Z
1,<b>Mercedes</b>-Benz India will keep striving to push the boundaries in the luxury car segment by driving innovation not only in our versatile line-up but also our customer service offerings and the overall vehicle <b>ownership</b>.” on the launch of the new CLS.,A Spare INR 84.70 Lakh Could Get You a New <b>Mercedes</b> CLS 300d,https://www.motoroids.com/news/a-spare-inr-84-70-lakh-could-get-you-a-new-mercedes-cls-300d/,Motoroids,2018-11-16T12:12:00.0000000Z
2,"Besides being the model singularly to the fore in attracting a new, more youthful generation of motorists into <b>Mercedes</b>-Benz <b>ownership</b>, A-Class is arguably the single most pivotal model in the company’s portfolio, providing the platform on which all of ...",<b>Mercedes</b>-Benz product offensive to continue pace in 2019,https://www.longfordleader.ie/news/motoring/348123/mercedes-benz-product-offensive-to-continue-pace-in-2019.html,Longford Leader,2018-11-16T23:07:00.0000000Z
3,"As some sections of the media seem determined to act more and more as PR for the sport under its &quot;new&quot; <b>ownership</b>, it didn&#39;t come as too much of a surprise at the weekend to hear Sky Sports F1 paying tribute to the news that the sport is heading to Vietnam ...",<b>Mercedes</b> defend Lewis Hamilton over comments about India,http://newstrendstoday.com/2018/11/16/mercedes-defend-lewis-hamilton-over-comments-about-india.html,Amazing Cars,2018-11-16T16:58:00.0000000Z
4,Other similar cars available on http://www.inglebysgroup.com I have decided to sell my part restored coupe.it has been in my <b>ownership</b> since 1987 ... Can be shipped to must Euro ..... ***** <b>Mercedes</b> 450SLC 5.0 V8 AUTO COUPE HOMOLOGATION MODEL 1 of ...,<b>Mercedes</b> 450 SL 1977 S Reg Stunning Car on Hub Caps For Sale,https://www.carandclassic.co.uk/car/C1056085,Car And Classic,2018-11-16T15:07:00.0000000Z
5,"The brown hood, contrasting nicely with the body colour is original and the hard top is immaculate. The engine bay is nicely detailed. The <b>Mercedes</b> is in fine order throughout backed up its low mileage and <b>ownership</b> and full service history.","1986 <b>MERCEDES</b>-BENZ SL-CLASS 300 - £35,995",https://www.classiccarsforsale.co.uk/mercedes-benz/sl-class/285964,ClassicCarsForSale,2018-11-16T13:23:00.0000000Z
6,<b>Mercedes</b>-Benz India will keep striving to push ... up but also in our customer service offerings and the overall vehicle <b>ownership</b>. The 2018 <b>Mercedes</b> CLS retains the steeply raked roofline and ...,"2018 <b>Mercedes</b> CLS launched in India, Priced at INR 84.70 lakh",https://indianautosblog.com/2018/11/2018-mercedes-cls-india-315327,Indian Autos blog,2018-11-16T11:26:00.0000000Z
7,"<b>Mercedes</b>-Benz India will keep striving to push the boundaries in the luxury car segment by driving innovation not only in our versatile line-up, but also in our customer service offerings and the overall vehicle <b>ownership</b>. He further added, With the launch ...",New <b>Mercedes</b>-Benz CLS 300 d Launched at Rs 84.7 Lakhs,https://blog.gaadikey.com/new-mercedes-benz-cls-300-d-launched-at-rs-84-7-lakhs/,blog.gaadikey.com,2018-11-16T08:46:00.0000000Z
8,"but also in our customer service offerings and the overall vehicle <b>ownership</b>. He further added, “With the launch of the new CLS 300 d, <b>Mercedes</b>-Benz continues its offensive with its 12th product ...",<b>Mercedes</b> Benz India launched CLS 300 d at Rs 84.70 lakhs (ex-showroom),https://auto.economictimes.indiatimes.com/news/passenger-vehicle/cars/mercedes-benz-india-launched-cls-300-d-at-rs-84-70-lakhs-ex-showroom/66650609,ET Auto.com,2018-11-16T07:56:00.0000000Z
9,"1973 <b>Mercedes</b>-Benz 350 SLC (C107) 1973 <b>Mercedes</b>-Benz 350 SLC with 176,000 Km on the odometer. The car has an automatic transmission and equipped with alloy wheels, leather seats, sun roof, air condition and more. The car present very well and gold is a ...",1977 <b>Mercedes</b> 350 SL For Sale,https://www.carandclassic.co.uk/car/C1055779,Car And Classic,2018-11-15T14:04:00.0000000Z
