,description,headline,url,provider,date
0,"Sean Kelley and John DeShazier preview this Sunday&#39;s home match-up vs the Philadelphia Eagles in the <b>Mercedes</b>-Benz Superdome Head Coach ... Head Coach speaks with the media after practice on <b>August</b> 28, 2018 at the Ochsner Sports Performance Center as ...",Sean Payton Saints vs Eagles Week 11 Media Availability,https://www.neworleanssaints.com/video/sean-payton-saints-vs-eagles-week-11-media-availability,New Orleans Saints,2018-11-16T21:48:00.0000000Z
1,"The footage revealed Gabrielli dousing the <b>Mercedes</b> with liquid, the car bursting into flames ... Gabrielli pleaded guilty to arson in <b>August</b> 2016. Tuccio and Gurino were indicted Friday. “Organized crime families have long relied on extortion and ...","Gambinos set businessman&#39;s <b>Mercedes</b> ablaze while trying to collect a debt, feds charge",https://www.nydailynews.com/news/crime/ny-metro-gambino-torch-111618-story.html,New York Daily News,2018-11-16T10:00:00.0000000Z
2,"Fresh from Brazil, where he won Sunday’s race and <b>Mercedes</b> completed a record-equalling fifth consecutive ... the Austrian three-times world champion who is recovering from a lung transplant in <b>August</b>. “I do believe this team can do it again ...",High fives at <b>Mercedes</b> as Hamilton sets sights on six,https://www.stabroeknews.com/2018/sports/11/14/high-fives-at-mercedes-as-hamilton-sets-sights-on-six/,stabroeknews.com,2018-11-14T06:06:00.0000000Z
3,"Hamilton, teammate Valtteri Bottas and <b>Mercedes</b> F1 bosses doffed red caps, similar to the one Lauda usually wears, to thank the absent Austrian, who had a lung transplant in <b>August</b>. Team principal Toto Wolff told Reuters he would love to see Lauda ...",<b>Mercedes</b> salute absent Lauda with red cap tribute,https://www.grandprix247.com/2018/11/13/mercedes-salute-absent-lauda-with-red-cap-tribute/,grandprix247,2018-11-13T20:14:00.0000000Z
4,"Hamilton, team mate Valtteri Bottas and <b>Mercedes</b> F1 bosses doffed red caps, similar to the one Lauda usually wears, to thank the absent Austrian, who had a lung transplant in <b>August</b>. Team principal Toto Wolff told Reuters he would love to see Lauda ...",Motor racing-<b>Mercedes</b> salute absent Lauda with red cap tribute,https://www.eurosport.com/motorsports/motor-racing-mercedes-salute-absent-lauda-with-red-cap-tribute_sto7011049/story.shtml,Eurosport,2018-11-13T18:53:00.0000000Z
5,"Fresh from Brazil, where he won Sunday’s race and <b>Mercedes</b> completed a record-equalling fifth consecutive ... the Austrian three-times world champion who is recovering from a lung transplant in <b>August</b>. “I do believe this team can do it again ...",Hamilton: I do believe this team can do it again,https://www.grandprix247.com/2018/11/13/hamilton-i-do-believe-this-team-can-do-it-again/,grandprix247,2018-11-13T17:06:00.0000000Z
6,"<b>Mercedes</b> resident Ana Isabel Cano says she works two jobs, as an educator and as a tutor, and is also attending graduate school. In <b>August</b>, she took her car for a repair at Leos General Auto Repair in Donna. She says she paid $600 up front and another $700 ...",Single Mother’s Car Kept in Donna Repair Shop for 3 Months,http://www.krgv.com/story/39467266/single-mothers-car-kept-in-donna-repair-shop-for-3-months,KRGV,2018-11-12T23:47:00.0000000Z
7,"But <b>Mercedes</b>-AMG won’t stop here ... This title belongs to the GT R as of <b>August</b> 2017, with output rated at a whopping 577 horsepower and 516 pound-feet of torque. The twin-turbo, 4.0-liter V-8 is clearly capable of delivering more oomph, but don ...",A more powerful AMG GT R? Yes please!,https://www.topspeed.com/cars/mercedes/2018-mercedes-amg-gt-black-series-ar165688.html,Top Speed,2018-11-12T22:20:00.0000000Z
8,"The final event will be the traditional Pebble Beach Concours d’Élégance, which this year takes place on 20 <b>August</b>. The curved basic body of the Vision <b>Mercedes</b>-Maybach 6 Cabriolet boasts a sporty, stretched design which is characterised by powerful ...",<b>Mercedes</b>-Maybach 6 Cabriolet,https://firewireblog.com/2018/11/09/mercedes-maybach-6-cabriolet/,firewireblog.com,2018-11-09T23:42:00.0000000Z
9,"<b>Mercedes</b>-Benz is preparing a striking concept that blends elements from the past and future. It&#39;s called the Aesthetics Progressive Luxury, and its covers will come off on <b>August</b> 24 as part of Monterey Car Week. The annual Californian car extravaganza runs ...",<b>Mercedes</b>&#39; halo concept for EQ sub-brand debuts <b>August</b> 24,https://www.motorauthority.com/news/1118164_mercedes-halo-concept-for-eq-sub-brand-debuts-august-24,Motor Authority,2018-09-28T13:24:00.0000000Z
10,"<b>Mercedes</b>-Benz sold 155,918 (-8.5%) vehicles worldwide in <b>August</b>, the 30th consecutive month with global sales of more than 150,000 units due to the ongoing strong demand for cars with the three-pointed star. As expected, however, there was an impact on ...",<b>Mercedes</b>-Benz already passes sales of 1.5 million units in the first eight months,https://www.automotiveworld.com/news-releases/mercedes-benz-already-passes-sales-of-1-5-million-units-in-the-first-eight-months/,Automotive World,2018-09-12T11:45:00.0000000Z
11,"<b>Mercedes</b>-Benz said it delivered 1,512,268 vehicles to customers worldwide in the first eight months of this year, thus setting a new record of 1.1 per cent. Nigeria, where <b>Mercedes</b>-Benz has been one of the top premium brands, expectedly contributed ...","<b>Mercedes</b>-Benz in record <b>August</b> performance, selling 155,918 vehicles",https://www.slkworld.com/off-topic/529183-mercedes-benz-record-august-performance-selling-155-918-vehicles.html,SLKWorld,2018-09-12T00:00:00.0000000Z
12,"<b>Mercedes</b>-Benz sold 155,918 (-8.5%) vehicles worldwide in <b>August</b>, the 30th consecutive month with global sales of more than 150,000 units due to the ongoing strong demand for cars with the three-pointed star. However, there was an impact on unit sales in ...",<b>Mercedes</b>-Benz sales crosses 1.5 million units globally in the first 8 months of 2019,http://www.autocarpro.in/news-international/mercedesbenz-sales-crosses-15-million-units-globally-in-the%C2%A0first-8-months-of-2019-40669,Autocar Pro,2018-09-10T12:26:00.0000000Z
13,"To be clear, our sales estimate for all Tesla vehicles is 21,000 due to an estimate of 17,000 deliveries of the Model 3 and 4,000 deliveries of the Model S and Model X (approximately 2,000 each). As you can see, that means that Tesla, a company that has ...","Tesla Sales Higher Than Acura, Audi, BMW Car, Infiniti, Jaguar, Lexus Car, &amp; <b>Mercedes</b> Car Sales In USA (<b>August</b> Sales)",https://cleantechnica.com/2018/09/06/tesla-sales-acura-audi-bmw-car-infiniti-jaguar-lexus-car-mercedes-car-sales-in-usa-august-sales/,CleanTechnica,2018-09-06T10:57:00.0000000Z
14,"TORONTO, Sept. 5, 2018 /CNW/ - <b>Mercedes</b>-Benz Canada and its national dealer network reported sales of 3,373 vehicles in <b>August</b>, bringing to 34,358 the total number of passenger cars, luxury light trucks, vans and smart fortwo vehicles sold year-to-date.",<b>Mercedes</b>-Benz Canada reports steady year-over-year sales as the company gears up for fall,https://markets.businessinsider.com/news/stocks/mercedes-benz-canada-reports-steady-year-over-year-sales-as-the-company-gears-up-for-fall-1027511219,Markets Insider,2018-09-05T17:38:00.0000000Z
15,BMW’s sales for the month of <b>August</b> have slightly increased by 1 percent. The slight increase in BMW’s numbers means that the Bavarian company is now just 58 vehicles behind its arch-rival from Stuttgart on a year-to-date basis. The fact that <b>Mercedes</b> ...,"After <b>August</b> sales, BMW is slightly behind <b>Mercedes</b>-Benz",https://www.bmwblog.com/2018/09/05/after-august-sales-bmw-is-slightly-behind-mercedes-benz/,BMW BLOG,2018-09-05T17:35:00.0000000Z
16,"Meanwhile, BMW edged longtime rival <b>Mercedes</b>-Benz, selling 23,789 vehicles for the month, up an anemic 1 percent from a year ago. Crossovers fueled BMW&#39;s performance in <b>August</b>. <b>Mercedes</b>, meanwhile, suffered a 20 percent slide in <b>August</b> sales to 20,339 ...",U.S. luxury sales fell 3.6% in <b>August</b>; Lexus tops monthly volume,http://www.autonews.com/article/20180904/RETAIL01/180909908/luxury-sales-fall-august,Automotive News,2018-09-04T22:11:00.0000000Z
17,"ATLANTA--<b>Mercedes</b>-Benz USA (MBUSA) today reported <b>August</b> sales of 20,339 <b>Mercedes</b>-Benz models, a decrease of 19.8% from <b>August</b> 2017. <b>Mercedes</b>-Benz Vans reported best-ever <b>August</b> sales of 3,745 units (up 4.6%) and smart reported 108 units, bringing MBUSA to ...","<b>Mercedes</b>-Benz USA Reports <b>August</b> 2018 Sales of 20,339 Units",https://www.theautochannel.com/news/2018/09/04/626944-mercedes-benz-usa-reports-august-sales-20-339-units.html,The Auto Channel,2018-09-04T22:06:00.0000000Z
18,"ATLANTA--(BUSINESS WIRE)--<b>Mercedes</b>-Benz USA (MBUSA) today reported <b>August</b> sales of 20,339 <b>Mercedes</b>-Benz models, a decrease of 19.8% from <b>August</b> 2017. <b>Mercedes</b>-Benz Vans reported best-ever <b>August</b> sales of 3,745 units (up 4.6%) and smart reported 108 units ...","<b>Mercedes</b>-Benz USA Reports <b>August</b> Sales of 20,339 Units",https://www.businesswire.com/news/home/20180904005710/en/Mercedes-Benz-USA-Reports-August-Sales-20339-Units,Business Wire,2018-09-04T17:55:00.0000000Z
19,"<b>Mercedes</b>-Benz USA (MBUSA) today reported <b>August</b> sales of 20,339 <b>Mercedes</b>-Benz models, a decrease of 19.8% from <b>August</b> 2017. <b>Mercedes</b>-Benz Vans reported best-ever <b>August</b> sales of 3,745 units (up 4.6%) and smart reported 108 units, bringing MBUSA to a grand ...","<b>Mercedes</b>-Benz USA Reports <b>August</b> Sales of 20,339 Units",http://markets.financialcontent.com/stocks/news/read?GUID=36884882,Financial Content,2018-09-04T17:32:00.0000000Z
20,"Sep 4, 2018 – ATLANTA -- <b>Mercedes</b>-Benz USA (MBUSA) today reported <b>August</b> sales of 20,339 <b>Mercedes</b>-Benz models, a decrease of 19.8% from <b>August</b> 2017. <b>Mercedes</b>-Benz Vans reported best-ever <b>August</b> sales of 3,745 units (up 4.6%) and smart reported 108 units ...","<b>Mercedes</b>-Benz USA Reports <b>August</b> Sales Of 20,339 Units",https://www.conceptcarz.com/a28146/mercedes-benz-us-2018-august-sales.aspx,Conceptcarz,2018-09-04T00:00:00.0000000Z
21,".@MercedesBenz is flipping the switch: On September 4th, we will present our first all-#electric #MercedesBenz model of our new product and technology brand EQ. Here’s the very first design detail. Stay tuned! 👉 https://t.co/3Pej7au1Xu #Daimler # ...",<b>Mercedes</b> teases undisguised EQC electric SUV,https://www.cnet.com/roadshow/news/mercedes-eqc-electric-suv-video-teaser/,CNET,2018-08-27T23:10:00.0000000Z
22,"Stephen King adaptations are either incredible or terrible. Thankfully, Mr. <b>Mercedes</b> is a well crafted, enjoyable thriller from start to finish, even if it is a little slow-paced. With a dual focus on two excellent characters, culprit Brady (Harry ...",Mr. <b>Mercedes</b>: Season 2 – Opinion,https://tvandcity.com/2018/08/21/mr-mercedes-season-2-opinion/,tvandcity.com,2018-08-21T13:00:00.0000000Z
