,description,headline,url,provider,date
0,"Looking at the <b>cars</b> in the photo, one gets a serving of the curves and contours that <b>Mercedes</b> designers have been hammering into their various <b>car</b> models over the years. The Benz Owners’ Club is among many that enable <b>car</b> enthusiasts to come together ...","Not a petrolhead? Sorry, this club isn’t for you",https://www.nation.co.ke/news/Not-a-petrolhead--Sorry--this-club-isn-t-for-you/1056-4856948-sn6p18/index.html,Daily Nation,2018-11-18T06:26:00.0000000Z
1,"Toyota has taken the wraps off of the new sedan version of its bestseller, the Corolla in China. Likely to be called the 2019 Corolla Altis when it eventually makes its way to India, it promises to ruffle quite a few feathers in the segment. The sedan is ...","<b>Car</b> News Of The Week: 2019 Corolla, Alturas G4, 2018 Ertiga, New BMW &amp; <b>Mercedes</b> Launches And More",https://www.zigwheels.com/news-features/news/car-news-of-the-week-2019-corolla-alturas-g4-2018-ertiga-new-bmw-mercedes-launches-and-more/32339/,ZigWheels,2018-11-18T06:17:00.0000000Z
2,"But in a race that featured just three on-track overtakes, Engel never really got close enough to challenge Farfus - whose <b>car</b> proved capable enough in a straight line to pull away from the <b>Mercedes</b> of Engel and Edoardo Mortara, who finished third.","Macau GT World Cup: Farfus wins from pole, resists <b>Mercedes</b> pressure",https://www.autosport.com/gt/news/140151/farfus-converts-pole-into-gt-world-cup-victory,Autosport,2018-11-18T05:55:00.0000000Z
3,"The footage also showed the duo driving a <b>Mercedes</b> Benz,” Gawade said. The police focused their investigation on the <b>car</b> and the two suspects. “We tracked them down to a hotel in Mumbai ...","Pune: <b>Mercedes</b>-driving burglars, who funded weddings at hometown, arrested",https://timesofindia.indiatimes.com/city/pune/merc-driving-burglars-who-funded-weddings-at-hometown-arrested/articleshow/66673630.cms,Times of India,2018-11-18T05:06:00.0000000Z
4,"The 300-series <b>Mercedes</b> was revolutionary in its day. Known for its distinctive gull-wing doors and direct fuel injection, the postwar model was the fastest production <b>car</b> in the 1950s and the first iteration of the SL-Class grand tourer. See, the 300 ...",Classic 1955 <b>Mercedes</b>-Benz 300 SL Gullwing Is Going Up for Auction,http://www.luxuo.com/motoring/automobile/classic-1955-mercedes-benz-300-sl-gullwing-is-going-up-for-auction.html,LUXUO,2018-11-18T04:28:00.0000000Z
5,"It is a similar style of indicator which is seen in expensive SUVs from Audi, BMW and <b>Mercedes</b>. Aditya says – “On 19th October ... Showcased as H5X (codename) at 2018 <b>Auto</b> Expo, Harrier comes with stylish bonnet creases, alloy wheels, wide wheel ...","Tata Harrier LED DRL will also be turn indicator – Similar to Audi, <b>Mercedes</b> SUVs",https://www.rushlane.com/tata-harrier-led-drl-will-also-be-turn-12287065.html,Rushlane.com,2018-11-18T02:46:00.0000000Z
6,LONDON — British teenager Brendon Leigh won the Formula One esports championship for the second year in a row on Saturday as <b>Mercedes</b> added a virtual double to the five successive constructors&#39; and drivers&#39; titles won on the real racetrack. &quot;The first ...,Esports-Leigh Retains F1 Title as <b>Mercedes</b> Celebrate a Virtual Double,https://www.nytimes.com/reuters/2018/11/17/sports/autoracing/17reuters-esport-f1.html,The New York Times,2018-11-18T01:19:00.0000000Z
7,"Ocon, backed by champions <b>Mercedes</b> who see him as a talent for the future, was widely criticised for a risky move in trying to pass the leading <b>auto</b> when already lapped. Verstappen was later ordered to perform two days of public service at the direction of ...",Formula E is &#39;slower than Formula Ford&#39; - Lewis Hamilton,http://quoteslay.com/2018/11/formula-e-is-slower-than-formula-ford-lewis-hamilton/,quoteslay.com,2018-11-17T21:10:00.0000000Z
8,The <b>Mercedes</b>-AMG CLS 63 was one of the coolest <b>cars</b> in the world even before they put the AMG before the numbers. But they went and messed it up with a hybrid six-cylinder replacement. Not every luxury <b>car</b> buyer cares about drag racing supercars - we get that.,Brabus <b>Mercedes</b>-AMG CLS 63 Races Bugatti Chiron and New E63,https://www.autoevolution.com/news/brabus-mercedes-amg-cls-63-races-bugatti-chiron-and-new-e63-130235.html,autoevolution,2018-11-17T21:04:00.0000000Z
9,And the best part of it are the voice commands… They work just as good as <b>Mercedes</b>’s Linguatronic. Meaning - total disobedience! You’d say “Radio” and it shows the map. And I love that! I can argue with my own <b>car</b>. I’ve always loved the W211 ...,My new <b>Mercedes</b> E420 CDI,https://www.carthrottle.com/post/98l5oxl/,Car Throttle,2018-11-17T18:52:00.0000000Z
10,"<b>Mercedes</b> were later snuffed out and banned from that years ... And they still can’t use it to build a championship winning <b>car</b>, haha. With next year’s budget cap coming into place, they’re set to lose their special bonus due to Liberty Media and ...",F1 Insider -- Are The FIA Really Biased To <b>Mercedes</b>?,https://www.carthrottle.com/post/y8pxz53/,Car Throttle,2018-11-17T17:57:00.0000000Z
11,"&quot;The gasses we emit with our <b>cars</b> are not particularly helpful, so on one side that&#39;s a concern but on the other side, I&#39;m a petrol head. There are many other exceptional people who have contributed to the success but clearly, it wouldn&#39;t have gone without ...",Why <b>Mercedes</b> is now F1&#39;s fifth-greatest team - F1,http://techkenyot.com/2018/11/16/why-mercedes-is-now-f1s-fifth-greatest-team-f1/,techkenyot.com,2018-11-17T15:16:00.0000000Z
12,"Now you get a four . . . if you buy a German $50k luxury <b>car</b> like the BMW 5 Series or <b>Mercedes</b> E-Class. If you buy a Korean luxury <b>car</b>, on the other hand, you’ll get a big six — standard. For just over $40k to start. And you can notch that up to a 365 ...",2018 Genesis G80 Review,https://www.motorists.org/blog/2018-genesis-g80-review/,National Motorists Association,2018-11-17T15:15:00.0000000Z
