,description,headline,url,provider,date
0,"Looking at the cars in the photo, one gets a serving of the curves and contours that <b>Mercedes</b> designers have been hammering into their various <b>car</b> models over the years. The Benz Owners’ Club is among many that enable <b>car</b> enthusiasts to come together ...","Not a petrolhead? Sorry, this club isn’t for you",https://www.nation.co.ke/news/Not-a-petrolhead--Sorry--this-club-isn-t-for-you/1056-4856948-sn6p18/index.html,Daily Nation,2018-11-18T06:26:00.0000000Z
1,"Toyota has taken the wraps off of the new sedan version of its bestseller, the Corolla in China. Likely to be called the 2019 Corolla Altis when it eventually makes its way to India, it promises to ruffle quite a few feathers in the segment. The sedan is ...","<b>Car</b> News Of The Week: 2019 Corolla, Alturas G4, 2018 Ertiga, New BMW &amp; <b>Mercedes</b> Launches And More",https://www.zigwheels.com/news-features/news/car-news-of-the-week-2019-corolla-alturas-g4-2018-ertiga-new-bmw-mercedes-launches-and-more/32339/,ZigWheels,2018-11-18T06:17:00.0000000Z
2,"But in a race that featured just three on-track overtakes, Engel never really got close enough to challenge Farfus - whose <b>car</b> proved capable enough in a straight line to pull away from the <b>Mercedes</b> of Engel and Edoardo Mortara, who finished third.","Macau GT World Cup: Farfus wins from pole, resists <b>Mercedes</b> pressure",https://www.autosport.com/gt/news/140151/farfus-converts-pole-into-gt-world-cup-victory,Autosport,2018-11-18T05:55:00.0000000Z
3,"The safety <b>car</b> was called almost immediately when last ... Mortara jinked to the right in his <b>Mercedes</b>-AMG GT3 in reaction to Bamber making a similar movement, with the resulting contact with ...",Macau GT World Cup: Farfus beats <b>Mercedes</b> trio in qualification race,https://sports.yahoo.com/macau-gt-world-cup-farfus-062902605.html,Yahoo Sports,2018-11-18T05:49:00.0000000Z
4,He is currently driving for the <b>Mercedes</b>-AMG Petronas Motorsport which is shortly known ... Bottas has a love for cars and is a real &#39;Petrolhead&#39;. This guy has some great <b>car</b> collection in his garage. Let&#39;s see his Personal <b>Car</b> collection.,The Personal <b>Car</b> Collection of Valtteri Bottas,https://www.sportskeeda.com/f1/the-personal-car-collection-of-valtteri-bottas-ss,Sportskeeda,2018-11-18T04:20:00.0000000Z
5,"The <b>auto</b> club tested the systems on four vehicles that had adaptive cruise control, lane-keeping assist and automatic emergency braking. Vehicles tested included the 2018 <b>Mercedes</b>-Benz S Class, the 2018 Nissan Rogue, a 2017 Tesla Model S and a 2019 Volvo XC40.","Electronic driving systems don&#39;t always work, tests show",https://www.grandhaventribune.com/Automotive/2018/11/17/Electronic-driving-systems-don-t-always-work-tests-show,Grand Haven Tribune,2018-11-17T23:39:00.0000000Z
6,"First-class materials adorn the cabin, and a dual-screen infotainment system boosts Audi’s cred in terms of best in-<b>car</b> tech. The 2019 A6 costs about $5,000 more than a BMW 5 Series or a <b>Mercedes</b>-Benz E-Class. Anything you like about this Audi can ...",2019 Audi A6,https://cars.usnews.com/cars-trucks/audi/a6,cars.usnews.com,2018-11-17T21:46:00.0000000Z
7,The <b>Mercedes</b>-Benz GLS and Toyota Land Cruiser both make for interesting ... and added driver assistance features like blind spot monitoring. Our <b>car</b> reviews include everything you need to know before heading to the dealership. We combine the opinions ...,2019 Lexus LX,https://cars.usnews.com/cars-trucks/lexus/lx,cars.usnews.com,2018-11-17T21:44:00.0000000Z
8,<b>Mercedes</b> boss Toto Wolff was impressed with the restraint shown ... donned by the protesters must be kept in the vehicles of all French drivers in case of <b>auto</b> troubles. The demonstrators are trying to block motorways and fuel depots as part of a ...,"Team energy will power <b>Mercedes</b> to more titles, says Lewis Hamilton",http://androidevo.com/2018/11/17/team-energy-will-power-mercedes-to-more-titles-says-lewis.html,androidevo.com,2018-11-17T21:40:00.0000000Z
9,The <b>Mercedes</b>-AMG CLS 63 was one of the coolest cars in the world even before they put the AMG before the numbers. But they went and messed it up with a hybrid six-cylinder replacement. Not every luxury <b>car</b> buyer cares about drag racing supercars - we get that.,Brabus <b>Mercedes</b>-AMG CLS 63 Races Bugatti Chiron and New E63,https://www.autoevolution.com/news/brabus-mercedes-amg-cls-63-races-bugatti-chiron-and-new-e63-130235.html,autoevolution,2018-11-17T21:04:00.0000000Z
10,A German company called Cete <b>Automotive</b> GmbH decided to fix the <b>Mercedes</b> truck by fitting it with an active sound system like the stuff that makes the SQ7 sound normal. This uses a particular speaker-like metal case that&#39;s placed next to the exhaust and ...,<b>Mercedes</b> X-Class Sounds Like a Ram Truck Thanks to Active Sound,https://www.autoevolution.com/news/mercedes-x-class-sounds-like-a-ram-truck-thanks-to-active-sound-130234.html,autoevolution,2018-11-17T19:39:00.0000000Z
11,And the best part of it are the voice commands… They work just as good as <b>Mercedes</b>’s Linguatronic. Meaning - total disobedience! You’d say “Radio” and it shows the map. And I love that! I can argue with my own <b>car</b>. I’ve always loved the W211 ...,My new <b>Mercedes</b> E420 CDI,https://www.carthrottle.com/post/98l5oxl/,Car Throttle,2018-11-17T18:52:00.0000000Z
12,But two things remained the same for the whole time: this was the DTM and he raced for <b>Mercedes</b>. More Formula E News BBC To Broadcast Formula E Races Live Watch Formula E Last <b>Car</b> Swap: Gen 2 Is All New From A Formula 1 Exit To A Formula E Seat He’d ...,Meet The New Rookie Who Is Behind <b>Mercedes</b>’ Next Big Project,https://www.msn.com/en-us/sports/motorsports/meet-the-new-rookie-who-is-behind-mercedes-e2-80-99-next-big-project/ar-BBPOkXH,Inside EVs,2018-11-17T18:11:00.0000000Z
13,"<b>Mercedes</b> were later snuffed out and banned from that years ... And they still can’t use it to build a championship winning <b>car</b>, haha. With next year’s budget cap coming into place, they’re set to lose their special bonus due to Liberty Media and ...",F1 Insider -- Are The FIA Really Biased To <b>Mercedes</b>?,https://www.carthrottle.com/post/y8pxz53/,Car Throttle,2018-11-17T17:57:00.0000000Z
14,The pearl blonde bodywork of my test <b>car</b> exudes style from any angle ... to those in a McLaren but the infotainment screen and controls are recognisable as <b>Mercedes</b>-Benz parts. This detracts from the individuality you expect at this price point and ...,Aston Martin DB11 Volante review,http://www.automotiveblog.co.uk/2018/11/aston-martin-db11-volante-review/,Automotive Blog,2018-11-17T15:33:00.0000000Z
