,description,headline,url,provider,date
0,"The <b>concept</b> also sits on wheels that look like oversized buttons ... We’ve seen similar offerings from traditional automakers like Volkswagen, Renault, and even <b>Mercedes</b>-Benz. The presentations were all different, but the overarching theme of urban ...",2017 Biomega SIN <b>Concept</b>,https://www.topspeed.com/cars/others/2017-biomega-sin-concept-ar183390.html,Top Speed,2018-11-18T05:13:00.0000000Z
1,"But despite the political background behind its decision to not race the <b>concept</b>, and speculation over what impact this has had on the performance of the <b>Mercedes</b> cars, it is clear the team is still pushing the design hard. It has continued to test and ...",The latest tweaks to the controversial <b>Mercedes</b> wheel design,https://www.motorsport.com/f1/news/latest-tweaks-mercedes-controversial-design/3215525/,Motorsport,2018-11-17T11:28:00.0000000Z
2,"But despite the political background behind its decision to not race the <b>concept</b>, and speculation over what impact this has had on the performance of the <b>Mercedes</b> cars, the team has continued to ...",The latest tweaks to <b>Mercedes</b>&#39; F1 wheel spacer design,https://uk.sports.yahoo.com/news/latest-tweaks-mercedes-apos-f1-094134364.html,Yahoo Sports,2018-11-17T09:58:00.0000000Z
3,"Automaker <b>Mercedes</b>-Benz has taken it one step further when planning its newest production facility, Factory 56, and is now showing off its latest <b>concept</b> via a virtual tour. The new facility is slated to be home for a plethora of vehicles, which include ...",<b>Mercedes</b> Previews its Upcoming Fully-Connected and Futuristic Production Factory,https://www.msn.com/en-us/autos/car-tech/mercedes-previews-its-upcoming-fully-connected-and-futuristic-production-factory/ar-BBPMmZf,The Drive,2018-11-16T13:47:00.0000000Z
4,<b>Mercedes</b> hasn&#39;t fully redesigned the CLS since the 2012 model ... 17/23 SLIDES © Arnd Wiegmann/Newscom/Reuters Honda FCV <b>Concept</b> 18/23 SLIDES © Getty Images Peugeot Onyx 19/23 SLIDES © Sergei Karpukhin/Newscom/Reuters Honda 3R-C 20/23 SLIDES © Lucy ...,Check out the newest launch from <b>Mercedes</b>,https://www.msn.com/en-in/autos/news/check-out-the-newest-launch-from-mercedes/ar-BBPKBTT,Motor Trend India,2018-11-15T19:05:00.0000000Z
5,Film and key visuals show <b>concept</b> and operating principles of &quot;Factory 56&quot;: <b>Mercedes</b>-Benz Cars significantly increases flexibility and efficiency with &quot;Factory 56&quot; Eight months after the cornerstone ceremony for one of the most modern automobile production ...,<b>Mercedes</b>&#39; New Factory Looks Straight From A Sci-Fi Movie,https://www.motor1.com/news/276510/mercedes-factory-56-video-tour/,Motor1,2018-11-16T07:30:00.0000000Z
6,"Till Oberwörder, Head of Daimler Buses, handed over the first <b>Mercedes</b>-Benz eCitaro to Henrik Falk the Chairman ... we have developed a well-thought-out and sophisticated urban bus <b>concept</b> which will make a decisive contribution towards promoting ...","<b>Mercedes</b>-Benz supplies first fully electrical bus, the eCitaro",https://www.electricvehiclesresearch.com/articles/15848/mercedes-benz-supplies-first-fully-electrical-bus-the-ecitaro,Electric Vehicles,2018-11-16T00:35:00.0000000Z
7,"<b>Mercedes</b> nonetheless had the best package in 2017 and consequently kept its long-wheelbase <b>concept</b> with the W09, albeit with slightly more rake, opting to follow a similar design philosophy aimed at developing the strengths of the 2017 car while improving ...",<b>Mercedes</b>’ route to the 2018 F1 title,https://www.motorsportweek.com/news/id/20703,grandprixtimes.com,2018-11-15T11:44:00.0000000Z
8,It is a more overall <b>concept</b>.&quot; Wolff said the last few races have been decided by fundamental car factors and set-up. Ferrari started the Brazilian GP on soft tyres and should have had the favourable strategy given <b>Mercedes</b> and Red Bull started on softer ...,FIA says <b>Mercedes</b> wheel rim row now &quot;settled&quot;,https://www.motorsport.com/f1/news/fia-mercedes-wheel-rim-settled/3214196/,Motorsport,2018-11-15T11:18:00.0000000Z
9,"<b>Mercedes</b>&#39; spacer, which had small holes and ... It is a more overall <b>concept</b>.&quot; Wolff said the last few races have been decided by fundamental car factors and set-up. Ferrari started the Brazilian ...",<b>Mercedes</b> F1 wheel design row &#39;settled&#39; but design still not used,https://uk.sports.yahoo.com/news/mercedes-f1-wheel-design-row-104421748.html,Yahoo Sports,2018-11-15T11:08:00.0000000Z
