,description,headline,url,provider,date
0,"<b>Mercedes</b> says that it will build its next-generation S-Class ... the-fly to apply the correct amount of force based on part currently being assembled. If an <b>employee</b> makes an error in assembly, the automated systems will alert the worker and provide ...",<b>Mercedes</b>-Benz Previews Its Highly Automated and Fully Connected Vehicle Factory,http://www.thedrive.com/news/24947/mercedes-previews-its-upcoming-fully-connected-and-futuristic-production-factory,The Drive,2018-11-17T09:55:00.0000000Z
1,"Come 2020, <b>Mercedes</b>-Benz will take the veil off the seventh generation ... Bringing the point home, the assembly hall is completely paperless as the <b>employees</b> work with monitors and Personal Digital Assistants. &quot;Despite state-of-the-art technology and ...",Factory 56 Video Tour Reveals Assembly Line Of <b>Mercedes</b>-Benz W223,https://www.autoevolution.com/news/factory-56-video-tour-reveals-assembly-line-of-mercedes-benz-w223-130210.html,autoevolution,2018-11-17T07:48:00.0000000Z
2,"In effect it’s just-in-time production but for shift plans, with <b>Mercedes</b> hoping that <b>employees</b> will be able to control their working hours via an app. On the green side, Factory 56 will use a CO2-neutral energy supply when it opens, and have solar ...",<b>Mercedes</b> reveals the 5G robot-filled factory for its most high-tech cars,https://www.slashgear.com/mercedes-benz-factory-56-5g-iot-production-line-s-class-eqc-16553943/,SlashGear,2018-11-16T15:48:00.0000000Z
3,"<b>Mercedes</b> says that it will build its next-generation S-Class ... the-fly to apply the correct amount of force based on part currently being assembled. If an <b>employee</b> makes an error in assembly, the automated systems will alert the worker and provide ...",<b>Mercedes</b> Previews its Upcoming Fully-Connected and Futuristic Production Factory,https://www.msn.com/en-us/autos/car-tech/mercedes-previews-its-upcoming-fully-connected-and-futuristic-production-factory/ar-BBPMmZf,The Drive,2018-11-16T13:47:00.0000000Z
4,"This success is mainly down to the commitment of our <b>employees</b>”, commented Michael Lehmann, Deputy Chairman of the Works Council at the <b>Mercedes</b>-Benz Rastatt plant. Fit for the digital revolution: Industry 4.0 at the Rastatt plant The plant in Rastatt is ...",Continuation of ramp-up cascade of next-generation compact cars: <b>Mercedes</b>-Benz Rastatt plant starts production of the new B-Class,https://www.automotiveworld.com/news-releases/continuation-of-ramp-up-cascade-of-next-generation-compact-cars-mercedes-benz-rastatt-plant-starts-production-of-the-new-b-class/,Automotive World,2018-11-16T12:14:00.0000000Z
5,It is conceivable that one-day <b>employees</b> will be able to choose their working hours via an app. &quot;Green production&quot; – CO 2-neutral electricity supply All German <b>Mercedes</b>-Benz Cars plants will have a CO 2-neutral energy supply by 2022. New plants worldwide ...,<b>Mercedes</b>&#39; New Factory Looks Straight From A Sci-Fi Movie,https://www.motor1.com/news/276510/mercedes-factory-56-video-tour/,Motor1,2018-11-16T07:30:00.0000000Z
6,"After the college football championship at <b>Mercedes</b> Benz Stadium ... Some passengers told the AJC they looked in vain for MARTA <b>employees</b>, whom they hoped would provide information and control the crowd. The passengers said they feared being trampled ...",MARTA scrambling to hire police ahead of Super Bowl,https://www.ajc.com/news/local-govt--politics/marta-scrambling-hire-police-ahead-super-bowl/VJLvw8YeGzLlt7x2NnwViN/,The Atlanta Journal-Constitution,2018-11-15T23:55:00.0000000Z
7,"Dr. Hans Georg Engel, Head of <b>Mercedes</b>-Benz Research &amp; Development China:“Daimler ... The office building with a canteen and social areas will be capable of accommodating up to 600 <b>employees</b>, while the two-story test building will include a warehouse ...",Daimler Accelerates Localization of <b>Mercedes</b>-Benz Products with Investment in New Tech Center China,https://www.webwire.com/ViewPressRel.asp?aId=231344,Webwire.com,2018-11-14T19:01:00.0000000Z
8,<b>Mercedes</b> celebrated their fifth consecutive double-title success at their two UK bases in Brackley – where the cars are designed and manufactured – and Brixworth – where the engines are designed and manufactured. Drivers Lewis Hamilton and Valtteri ...,Gallery: <b>Mercedes employees</b> celebrate title success,http://www.motorsportweek.com/news/id/20685,grandprixtimes.com,2018-11-13T22:04:00.0000000Z
9,"to support nearby <b>Mercedes</b>-Benz A-Class sedan assembly operations. HBPO&#39;s 50,200-square-foot facility currently has 70 <b>employees</b> and is operating on two 12-hour shifts Monday through Saturday. Located in a just-in-sequence supplier park near the Daimler ...",HBPO Opens Plant To Support Daimler Assembly Operations In Mexico,https://www.marketwatch.com/press-release/hbpo-opens-plant-to-support-daimler-assembly-operations-in-mexico-2018-11-13,MarketWatch,2018-11-13T14:00:00.0000000Z
10,"Epson has supported <b>Mercedes</b>-AMG Petronas Motorsport Team since the 2015 ... Led by the Japan-based Seiko Epson Corporation, the Epson Group comprises more than 81,000 <b>employees</b> in 85 companies around the world, and is proud of its contributions to the ...",Epson Congratulates the <b>Mercedes</b>-AMG Petronas Motorsport Team,http://www.pressreleasepoint.com/epson-congratulates-mercedes-amg-petronas-motorsport-team,KLAS Press Release,2018-11-13T00:29:00.0000000Z
