,description,headline,url,provider,date
0,"The 300-series <b>Mercedes</b> was revolutionary in its day ... The car still has its W-7990 number plate issued on <b>February</b> 28, 1979, making it likely to be one of the last Gullwings in the country with a black plate. The model was fully restored in the early ...",Classic 1955 <b>Mercedes</b>-Benz 300 SL Gullwing Is Going Up for Auction,http://www.luxuo.com/motoring/automobile/classic-1955-mercedes-benz-300-sl-gullwing-is-going-up-for-auction.html,LUXUO,2018-11-18T04:28:00.0000000Z
1,"Come 2020, <b>Mercedes</b>-Benz will take the veil off the seventh generation ... The production plant has an area of about 30 soccer fields, and construction began on <b>February</b> 20th, 2018. The EQC is the culprit in question, sporting a similar profile to the ...",Factory 56 Video Tour Reveals Assembly Line Of <b>Mercedes</b>-Benz W223,https://www.autoevolution.com/news/factory-56-video-tour-reveals-assembly-line-of-mercedes-benz-w223-130210.html,autoevolution,2018-11-17T07:48:00.0000000Z
2,"Jim Nantz and Tony Romo will call the action from the broadcast booth at <b>Mercedes</b>-Benz Stadium in Atlanta. Here is a look at future Super Bowl broadcasts: Super Bowl LIV: Fox on <b>February</b> 2, 2020, from Miami. Super Bowl LV: NBC on <b>February</b> 7, 2021 ...",What Channel Is The Super Bowl On?,https://www.msn.com/en-us/sports/nfl/what-channel-is-the-super-bowl-on/ar-BBPNuQb,ThePostGame.com,2018-11-17T06:07:00.0000000Z
3,Triple Eight will return to the Bathurst 12 Hour in 2019 to with a GT3 <b>Mercedes</b> for its current ... entry under the Team Vodafone banner in next <b>February</b>&#39;s Intercontinental GT Challenge opener ...,Triple Eight to Bathurst 12 Hour with <b>Mercedes</b> for Supercars trio,https://uk.sports.yahoo.com/news/triple-eight-bathurst-12-hour-153743671.html,Yahoo Sports,2018-11-16T16:20:00.0000000Z
4,"The new B-Class can be ordered from 3 December 2018, with delivery due to begin in <b>February</b> 2019. The <b>Mercedes</b>-Benz Rastatt plant in Germany is the biggest employer in the region, with a workforce of around 6,500 employees. Within the global <b>Mercedes</b> ...",Continuation of ramp-up cascade of next-generation compact cars: <b>Mercedes</b>-Benz Rastatt plant starts production of the new B-Class,https://www.automotiveworld.com/news-releases/continuation-of-ramp-up-cascade-of-next-generation-compact-cars-mercedes-benz-rastatt-plant-starts-production-of-the-new-b-class/,Automotive World,2018-11-16T12:14:00.0000000Z
5,"The &#39;Girl Like You&#39; group&#39;s frontman has addressed reports that he and his bandmates are set to perform at the world famous sporting event on <b>February</b> 3, 2019, at the <b>Mercedes</b>-Benz Stadium in Atlanta, Georgia, hinting the rumours could be true by not ...",Adam Levine addresses Super Bowl rumours,http://www.douglas-budget.com/lifestyles/entertainment/article_dc99fa0e-fbed-503c-8210-91a0b58f1579.html,Douglas Budget,2018-11-16T08:37:00.0000000Z
6,"Stuttgart/Sindelfingen – For the first time <b>Mercedes</b>-Benz Cars gives a deeper insight in the ... While the cornerstone ceremony for the new assembly hall took place on <b>February</b> 20, 2018, the start of production is scheduled at the beginning of the ...",<b>Mercedes</b>&#39; New Factory Looks Straight From A Sci-Fi Movie,https://www.motor1.com/news/276510/mercedes-factory-56-video-tour/,Motor1,2018-11-16T07:30:00.0000000Z
7,"Jamie Whincup and Shane van Gisbergen will unite for <b>February</b>’s Liqui-Moly Bathurst 12 Hour, having been confirmed in a Scott Taylor Motorsport <b>Mercedes</b>-AMG GT3, which will be run in conjunction ...","Lowndes, van Gisbergen, Whincup in <b>Mercedes</b> for Bathurst",https://sportscar365.com/sro/igtc/lowndes-whincup-van-gisbergen-team-up-for-bathurst-12h/,Sportscar365,2018-11-16T02:07:00.0000000Z
8,"Featured concertante in the <b>February</b> 1 and 2 program are Principal Flute <b>Mercedes</b> Smith, Associate Concertmaster Kathryn Eberle, and Harpsichord Jeannette Sorrell on Brandenburg Concerto No. 5, and Principal Viola Brant Bayless, Associate Principal Viola ...",Thierry Fischer And Utah Symphony Continue 2018-19 Season With Cycle Of All Six Of J.S. Bach&#39;s Brandenburg Concertos,https://www.broadwayworld.com/salt-lake-city/article/Thierry-Fischer-And-Utah-Symphony-Continue-2018-19-Season-With-Cycle-Of-All-Six-Of-JS-Bachs-Brandenburg-Concertos-20181113,BroadwayWorld,2018-11-13T23:48:00.0000000Z
9,"According to BetOnline.ag, a Rams-Chargers meeting at the <b>Mercedes</b>-Benz Stadium in Atlanta next <b>February</b> has odds of +1,800. In other words, a $100 bet on a Rams-Chargers Super Bowl 53 meeting ...","NFL news: Odds released on an all-LA Super Bowl between Rams, Chargers",https://clutchpoints.com/nfl-news-odds-released-on-an-all-la-super-bowl-between-rams-chargers/,Jerry,2018-11-13T22:57:00.0000000Z
10,"In <b>February</b> 2020, Reverb will heat up the Atlanta market with its first property adjacent to the <b>Mercedes</b>-Benz Stadium. The new collection of music-centric hotels will be designed as ...",Reverb by Hard Rock to Open in Atlanta <b>February</b> 2020,https://atlantadailyworld.com/2018/11/13/reverb-by-hard-rock-to-open-in-atlanta-february-2020/,Atlanta Daily World,2018-11-13T13:42:00.0000000Z
11,"Atlanta, Ga (CBS46) A new hotel is slated to join the downtown Atlanta scenery near <b>Mercedes</b>-Benz Stadium in <b>February</b> 2020. Hard Rock International, who has a restaurant on Peachtree Street, announced the addition of Reverb by Hard Rock on Tuesday.",Hard Rock to bring music-themed hotel to downtown Atlanta,https://www.cbs46.com/news/hard-rock-to-bring-music-themed-hotel-to-downtown-atlanta/article_da7c0d34-e6a0-11e8-bf92-efcaa9105612.html,CBS Atlanta,2018-11-12T18:20:00.0000000Z
12,"Hard Rock International on Monday announced the 200-room hotel that’s rising next to <b>Mercedes</b>-Benz Stadium will be flagged ... Now, it’s set to open in <b>February</b> 2020. Hard Rock had hoped to open the project in time for the Super Bowl in <b>February</b>.","Atlanta’s first Hard Rock Hotel gets new brand, design (Rendering)",https://www.bizjournals.com/atlanta/news/2018/11/12/atlanta-s-first-hard-rock-hotel-gets-new-brand.html,The Business Journals,2018-11-12T17:59:00.0000000Z
13,"Florida-based Hard Rock International has announced the construction of Reverb by Hard Rock, a new hotel and hotel concept to be constructed next to <b>Mercedes</b>-Benz Stadium ... When the hotel opens in <b>February</b> 2020, it will house 200 rooms with contemporary ...",Hard Rock announces new hotel to be built next to <b>Mercedes</b>-Benz Stadium,https://www.11alive.com/article/news/local/downtown-atlanta-castleberry-hill/hard-rock-announces-new-hotel-to-be-built-next-to-mercedes-benz-stadium/85-b175a0d7-52e4-4f76-9d6f-c5776812e5b0,11Alive,2018-11-12T17:35:00.0000000Z
14,"More than two-thirds of the 200 respondents to Reporter Newspapers’ most recent 1Q survey welcomed the Super Bowl LIII to <b>Mercedes</b>-Benz Stadium in <b>February</b>, saying that it mattered to them that the game would be played in Atlanta. The survey was ...",Community Survey: Is the Super Bowl good for Atlanta?,https://www.reporternewspapers.net/2018/11/11/community-survey-is-the-super-bowl-good-for-atlanta/,Reporter Newspapers,2018-11-11T13:04:00.0000000Z
15,Coachman launched his disability discrimination suit in <b>February</b> 2017. A 14-year employee of the dealership ... Thomas LLP and Jamal Whitehead of Schroeter Goldmark &amp; Bender. <b>Mercedes</b> Benz of Seattle and Monjazeb are represented by Sheryl Willert and ...,<b>Mercedes</b> Dealer Seeks New Trial After $5M Disability Verdict,https://www.law360.com/articles/1100778/mercedes-dealer-seeks-new-trial-after-5m-disability-verdict,Law360,2018-11-09T20:55:00.0000000Z
16,"The shows are scheduled January 31 through <b>February</b> 2 at Atlanta’s State Farm Arena, ahead of Super Bowl LIII at ATL’s <b>Mercedes</b>-Benz Stadium <b>February</b> 3. The party gets started Thursday, Jan. 31 with Ludacris &amp; Friends. Presented by Quality Control ...","Cheap Bud Light Super Bowl Music Fest Tickets at the State Farm Arena in Atlanta, GA with Promo Code",https://capitalcitytickets.net/2018/11/09/cheap-bud-light-super-bowl-music-fest-tickets-at-the-state-farm-arena-in-atlanta-ga-with-promo-code/,capitalcitytickets.net,2018-11-09T18:36:00.0000000Z
17,"BOCA RATON, FL – The 13 th annual Boca Raton Concours d’Elegance presented by <b>Mercedes</b>-Benz and AutoNation on <b>February</b> 22-24, 2019 at the Boca Raton Resort &amp; Club is honored to have the 2018 Pebble Beach “Best in Class” winner, the 1921 Kissel 6-45 ...",1921 Kissel 6-45 ‘Gold Bug’ speedster coming to 2019 Boca Raton Concours d’Elegance,http://www.oldcarsweekly.com/news/1921-kissel-6-45-gold-bug-speedster-to-be-at-2019-boca-raton-concours-delegance,Old Cars Weekly,2018-11-09T18:16:00.0000000Z
18,"Due to Hoffman’s significant success as the <b>Mercedes</b> importer, the Stuttgart-based company decided to follow suit on his bold ideas and debuted prototypes of the two SLs at the 1954 New York International Motor Sports Show in <b>February</b> of that year.",1958 <b>Mercedes</b>-Benz 190 SL,https://www.topspeed.com/cars/mercedes/1958-mercedes-benz-190-sl-ar183115.html,Top Speed,2018-11-09T14:10:00.0000000Z
19,"<b>MERCEDES</b> – It’s November and the renovations for the Medranos’ home that started in <b>February</b> isn’t anywhere close to complete. Esteban and Nora Medrano paid Loya’s Remodeling &amp; Mobile Home Services $35,000 of the $55,000 it would take to remodel.",Home Remodeling Project for Valley Couple Still Not Complete 9 Months Later,http://www.krgv.com/story/39449913/home-remodeling-project-for-valley-couple-still-not-complete-9-months-later,KRGV,2018-11-08T22:11:00.0000000Z
20,"Here’s a look at the Super Bowl, the championship game of the National Football League. <b>February</b> 3, 2019 – Super Bowl LIII is scheduled to take place at <b>Mercedes</b>-Benz Stadium in Atlanta. <b>February</b> 4, 2018 – The Philadelphia Eagles defeat the New ...",Super Bowl Fast Facts,https://kxlf.com/cnn-national/2018/11/05/super-bowl-fast-facts/,KXLF,2018-11-07T18:26:00.0000000Z
21,"<b>Mercedes</b>-Benz Stadium will host the second leg of the Eastern ... such as when the Super Bowl comes to town in <b>February</b>. Since a soccer pitch is wider than a football field, a United game won&#39;t likely ever hit 75,000, but with standing-room-only sales ...",Another attendance record on the brink as MLS playoffs shift to <b>Mercedes</b>-Benz Stadium,https://www.bizjournals.com/atlanta/news/2018/11/07/another-attendance-record-on-the-brink-as-mls.html,The Business Journals,2018-11-07T15:58:00.0000000Z
22,"led the way in <b>Mercedes</b> sales, accounting for 11,394 of the 27,537 vehicles sold in October. Toyota Motor Corp.’s luxury Lexus brand fell 0.8 percent in October, its eighth consecutive month of declines and the smallest since <b>February</b>. Please visit ...",<b>Mercedes</b> Widens Lead Over BMW Heading For 2018 U.S. Luxury Crown,https://www.alabamawx.com/?p=177578,Weather Blog,2018-11-06T23:22:00.0000000Z
23,"A <b>Mercedes</b>, A Blonde Prostitute ... apart from one notably tragic event. She was born on <b>February</b> 1, 1933 in Düsseldorf—the illegitimate child of an 18-year old maid. She and two half-sisters had spent a childhood in Nazi Germany shuffling between ...","BEAUTIFUL, BLONDE, AND WEALTHY, THIS GERMAN CALL GIRL MET AN UNTIMELY END",https://pleasekillme.com/rosemarie-nitribitt/,PleaseKillMe,2018-11-06T17:09:00.0000000Z
24,"Super Bowl LIII will take place <b>February</b> 3, 2019 at the <b>Mercedes</b>-Benz Stadium in Atlanta. Tickets for the EA SPORTS BOWL are set to go on sale Friday. Head over to Super Bowl Music Fest to learn more.","Look! Migos, Lil Yachty, Ludacris &amp; More To Perform At Pre-Super Bowl Concert",https://stupiddope.com/2018/11/06/look-migos-lil-yachty-ludacris-more-to-perform-at-pre-super-bowl-concert/,stupid DOPE,2018-11-06T14:56:00.0000000Z
25,"The topic is of special interest to the NFL and the Falcons, since <b>Mercedes</b>-Benz Stadium will host Super Bowl LIII in <b>February</b>. In the court documents IBM does not list an amount it is seeking as compensation, but instead said it will seek “damages in an ...",IBM sues Corning over ‘botched’ <b>Mercedes</b>-Benz Stadium DAS deployment,https://www.mobilesportsreport.com/2018/11/ibm-sues-corning-over-botched-mercedes-benz-das-deployment/,Msr Mobile Sports Report,2018-11-02T22:25:00.0000000Z
26,"Daimler is the parent company of the <b>Mercedes</b> and Maybach brands ... Daimler and Geely following Geely&#39;s acquisition of a 9.7-percent stake in Daimler in <b>February</b>, a move that made Geely the single biggest shareholder in the German automaker.","Daimler joins forces with Geely to offer Chinese ride-hail service using <b>Mercedes</b>, Maybach cars",https://www.motorauthority.com/news/1119245_daimler-joins-forces-with-geely-to-offer-chinese-ride-hail-service-using-mercedes-maybach-cars,Motor Authority,2018-10-24T12:04:00.0000000Z
27,"Last month, <b>Mercedes</b>-Benz India introduced the first BS-VI emission compliant vehicle in India almost two years ahead of the deadline. The model, a <b>Mercedes</b>-Benz S 350d, was unveiled to the media ahead of its launch. Now, <b>Mercedes</b>-Benz India has announced ...",<b>Mercedes-Benz S-Class Facelift India Launch On February</b> 26,https://www.motoroids.com/news/mercedes-benz-s-class-facelift-india-launch-on-february-26/,Motoroids,2018-10-10T05:49:00.0000000Z
28,"and S-Class as <b>Mercedes</b> offers a broad line of plug ins. Hybrids were down from year-ago and year-to-date as the segment leaders are flat or down. The Ford Fusion is down year-to-date, while the Prius Liftback is down as compared to last <b>February</b> and ...",<b>February</b> 2018 Dashboard,https://www.hybridcars.com/february-2018-dashboard/,Hybrid Cars,2018-03-13T18:30:00.0000000Z
