,description,headline,url,provider,date
0,"The mild <b>hybrid</b> system will now be present on both fuel options ... The M2 Competition is the most affordable M car in India and you can see the full report here. New <b>Mercedes</b>-Benz CLS launched, C-Class petrol to follow soon The sharper-looking, all ...","Car News Of The Week: 2019 Corolla, Alturas G4, 2018 Ertiga, New BMW &amp; <b>Mercedes</b> Launches And More",https://www.zigwheels.com/news-features/news/car-news-of-the-week-2019-corolla-alturas-g4-2018-ertiga-new-bmw-mercedes-launches-and-more/32339/,ZigWheels,2018-11-18T06:17:00.0000000Z
1,"<b>Mercedes</b> boss Toto Wolff was impressed with the restraint shown ... Hamilton&#39;s victory was his 49th in the turbo-<b>hybrid</b> era of Formula 1 - 50 per cent of all the races. Trump backs Pence, dismisses ‘phony’ report he questioned loyalty He&#39;s been with ...","Team energy will power <b>Mercedes</b> to more titles, says Lewis Hamilton",http://androidevo.com/2018/11/17/team-energy-will-power-mercedes-to-more-titles-says-lewis.html,androidevo.com,2018-11-17T21:40:00.0000000Z
2,The <b>Mercedes</b>-AMG CLS 63 was one of the coolest cars in the world even before they put the AMG before the numbers. But they went and messed it up with a <b>hybrid</b> six-cylinder replacement. Not every luxury car buyer cares about drag racing supercars - we get that.,Brabus <b>Mercedes</b>-AMG CLS 63 Races Bugatti Chiron and New E63,https://www.autoevolution.com/news/brabus-mercedes-amg-cls-63-races-bugatti-chiron-and-new-e63-130235.html,autoevolution,2018-11-17T21:04:00.0000000Z
3,The leader may be obvious but the rest of the top 5 produces some real surprises! Lewis Hamilton and <b>Mercedes</b> have been unstoppable in the new <b>hybrid</b> era Lewis Hamilton and <b>Mercedes</b> is a combination that now strikes fear into their opponents and after ...,F1 Teams with the Most Constructors&#39; World Championship Titles,https://www.sportskeeda.com/f1/f1-teams-with-the-most-constructors-world-championship-titles,Sportskeeda,2018-11-17T19:32:00.0000000Z
4,"2018 <b>Mercedes</b> Launches Fuel Cell <b>Hybrid</b> For Customer Tests Forbes.com - 10:55 AM GMT November 13, 2018 Fuel prices &#39;must fall&#39; as oil dips below $70",Fuel price protesters target pinch points in French road system,https://www.newsoneplace.com/7939661809/fuel-french-protesters-target-points-system,newsoneplace.com,2018-11-17T19:05:00.0000000Z
5,"The ‘Illegal’ Battery - Many non-Ferrari fans, myself included, have questioned Ferrari’s <b>hybrid</b> battery system. Ferrari started off rather well this year. Winning the first two races of the year and out-performing <b>Mercedes</b> at several events this year.",F1 Insider -- Are The FIA Really Biased To <b>Mercedes</b>?,https://www.carthrottle.com/post/y8pxz53/,Car Throttle,2018-11-17T17:57:00.0000000Z
6,"Virtual Cockpit, a dual-screen multimedia interface, 48-volt mild <b>hybrid</b>. These are just some of the updated systems in the 2019 Audi A6 and A7. Both cars, in their previous iterations, were already a bit of a tech-fest. But now, these systems take ...",2019 Audi A6 and A7: More Than Than Ever – Should BMW and <b>Mercedes</b> Be Worried? [Video],https://www.tflcar.com/2018/11/2019-audi-a6-a7-review/,The Fast Lane Car,2018-11-17T14:01:00.0000000Z
7,"But just like <b>Mercedes</b> seems to be steering away from V8s ... This look is immediately recognizable from the CLS 53, which famously uses a <b>hybrid</b> 3-liter instead of the V8 we all expected. Of course, the A45 won&#39;t have just one look, as both normal ...",2020 <b>Mercedes</b>-AMG A45 4Matic Has Similar Design to CLS 53,https://www.autoevolution.com/news/2020-mercedes-amg-a45-4matic-has-similar-design-to-cls-53-130231.html,autoevolution,2018-11-17T12:57:00.0000000Z
8,"Let&#39;s keep it together&#39;&quot;. Hamilton&#39;s victory was his 49th in the turbo-<b>hybrid</b> era of Formula 1 - 50 per cent of all the races. No doubt, the record has helped in <b>Mercedes</b> winning five back-to-back Constructors&#39; Championships. &quot;I really want you to remember ...",Formula E is &#39;slower than Formula Ford&#39; - Lewis Hamilton,http://fairydetox.org/2018/11/16/formula-e-is-slower-than-formula-ford-lewis-hamilton.html,fairydetox.org,2018-11-17T10:24:00.0000000Z
9,"The automaker says that its new plant will be up and running in 2020. 2020 <b>Mercedes</b>-Benz GLE Plug-In <b>Hybrid</b> Could Boast 62-Mile Range: Report Currently, the Chevrolet Volt plug-in <b>hybrid</b> leads the pack with a 53-mile electric range. Porsche Previews ...",<b>Mercedes</b>-Benz Previews Its Highly Automated and Fully Connected Vehicle Factory,http://www.thedrive.com/news/24947/mercedes-previews-its-upcoming-fully-connected-and-futuristic-production-factory,The Drive,2018-11-17T09:55:00.0000000Z
