,description,headline,url,provider,date
0,"The Indian Grand Prix was added to the F1 calendar in 2011, with racing at the Buddh <b>International</b> Circuit in Noida on the outskirts of Delhi. <b>Mercedes</b> has enjoyed strong reliability this season with Hamilton yet to face a grid drop through an engine ...",<b>Mercedes</b> boss Toto Wolff defends Lewis Hamilton&#39;s comments on Indian GP,http://iphonefresh.com/2018/11/16/mercedes-boss-toto-wolff-defends-lewis-hamiltons-comments.html,iphonefresh.com,2018-11-16T17:35:00.0000000Z
1,"The Grand Prix was held at the Buddh <b>International</b> Circuit and while Hamilton admired the track and the facilities thereon, he stated that the track was in the middle of nowhere and while millions were spent on the track it is now never used. &quot;However ...","<b>Mercedes</b> driver Hamilton calls India poor - Clarifies his stand on Twitter, Instagram",http://androidevo.com/2018/11/16/mercedes-driver-hamilton-calls-india-poor-clarifies-his.html,androidevo.com,2018-11-16T06:32:00.0000000Z
2,"The <b>International</b> Auto Show will also feature test drive opportunities from Alfa Romeo, Ford trucks, Jaguar, Land Rover, Mazda, <b>Mercedes</b>-Benz, Smart and Toyota. Interested in the newest automotive innovations? The show will include the largest selection of ...",Welcome to the <b>International</b> Auto Show,https://www.msn.com/en-us/autos/news/welcome-to-the-international-auto-show/ar-BBPL6Sz,San Francisco Chronicle,2018-11-16T00:57:00.0000000Z
3,"In 2009, <b>Mercedes</b>-Benz became the first German premium car manufacturer ... following its announcement in July of becoming the first <b>international</b> automaker to receive a road test license for level 4 highly automated driving research vehicles in Beijing.",Daimler Accelerates Localization of <b>Mercedes</b>-Benz Products with Investment in New Tech Center China,https://www.webwire.com/ViewPressRel.asp?aId=231344,Webwire.com,2018-11-14T19:01:00.0000000Z
4,"... Saatchi &amp; Saatchi launches new campaign at the São Paulo <b>International</b> Motor Show During the São Paulo <b>International</b> Motor Show, <b>Mercedes</b>-Benz went beyond the automotive portfolio and announced the creation of a brand of smart watches. Devised by F ...",<b>Mercedes</b>-Benz Unveils New Smart Watch with High-Octane Film,https://lbbonline.com/news/mercedes-benz-unveils-new-smart-watch-with-high-octane-film/,lbbonline.com,2018-11-14T14:55:00.0000000Z
5,"Hamilton joined <b>Mercedes</b> in 2013 for the last season under V8 engine ... he has continued building his freelance portfolio, working with <b>international</b> titles. As well as writing for RACER, he contributes to BBC 5Live and Sky Sports in the UK as well ...",<b>Mercedes</b> wouldn’t have team title success without Hamilton - Wolff,https://racer.com/2018/11/13/mercedes-wouldnt-have-team-title-success-without-hamilton-wolff/,Racer,2018-11-13T18:15:00.0000000Z
6,"Now in its eighth season, <b>Mercedes</b>-Benz Fashion Week Tbilisi ... Georgian designers are inspired to create for a more <b>international</b> audience, but can their brands actually, finally go global?","With the Industry&#39;s Attention on Tbilisi, Can Georgia&#39;s Fashion Scene Finally Go Global?",https://fashionista.com/2018/11/tbilisi-georgia-fashion-week-designers-global-business,Fashionista.com,2018-11-13T16:05:00.0000000Z
7,"I bring creativity and culture from around the globe to you. A big challenge for emerging fashion designers is to show their collection abroad, and the <b>Mercedes</b>-Benz <b>International</b> Design Exchange Program allows for many to do that. Turkish fashion designer ...",Meet Fashion Designer Şansım Adalı Of Sudi Etuz At Her <b>Mercedes</b>-Benz Fashion Week Tbilisi Debut,https://www.forbes.com/sites/abinlot/2018/11/13/meet-fashion-designer-sansim-adali-of-sudi-etuz-at-her-mercedes-benz-fashion-week-tbilisi-debut/,Forbes,2018-11-13T10:00:00.0000000Z
8,"Lewis Hamilton urges his <b>Mercedes</b> team to not stop believing after fifth consecutive constructors title. Reuters, the news and media division of Thomson Reuters, is the world’s largest <b>international</b> multimedia news provider reaching more than one billion ...",High fives at <b>Mercedes</b> as Hamilton sets sights on six titles,https://www.reuters.com/video/2018/11/13/high-fives-at-mercedes-as-hamilton-sets?videoId=482649294&videoChannel=79,Reuters,2018-11-13T05:15:00.0000000Z
9,5 Ways to Prevent Burnout (Even When You’re Really Busy at Work) Twenty-three percent of full-time employees surveyed in a recent Gallup study reported feeling burned out at work “very often or always.” An additiona... Is Your Student Loan Debt Typical?,<b>Mercedes Benz Us International Benefits</b>,https://www.payscale.com/research/US/Employer=Mercedes_Benz_Us_International/Benefits,PayScale,2018-11-10T00:00:00.0000000Z
10,"<b>Mercedes</b>-Benz U.S. <b>International</b>, Inc. manufactures and sells passenger vehicles to customers in North America and internationally. It offers sport utility vehicles, luxury sport utility vehicles, sedans, and coupes. The company was founded in 1993 and is ...","Company Overview of <b>Mercedes</b>-Benz U.S. <b>International</b>, Inc.",https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=6462672,Bloomberg L.P.,2018-11-09T22:25:00.0000000Z
