,description,headline,url,provider,date
0,Chatting platform WhatsApp has made it easier for members to get instant solutions for their <b>problems</b>. Charity work is one of the members&#39; key mandates. Finesse rings loud from a photo taken on October 27 that captured a fleet of <b>Mercedes</b> Benz cars parked ...,"Not a petrolhead? Sorry, this club isn’t for you",https://www.nation.co.ke/news/Not-a-petrolhead--Sorry--this-club-isn-t-for-you/1056-4856948-sn6p18/index.html,Daily Nation,2018-11-18T06:26:00.0000000Z
1,"NEW ORLEANS – The boil water advisory can be a pain for those working at restaurants and bars trying to serve the customers safe water for drinking and washing your hands, but what happens if you expect to sell more than a quarter of a million drinks in ...","<b>Mercedes</b>-Benz Superdome, Smoothie King Center address water <b>issues</b>",https://www.wwltv.com/article/news/local/mercedes-benz-superdome-smoothie-king-center-address-water-issues/289-615598552,WWL-TV,2018-11-18T04:22:00.0000000Z
2,The <b>Mercedes</b>-AMG CLS 63 was one of the coolest cars in the world ... 10 Cheap Car Hacks That May Help You Deal With Day-To-Day <b>Issues</b> Strange Car Names from Around the World The Trashing of Tesla Autopilot by Euro NCAP The Dos and Don’ts of Washing ...,Brabus <b>Mercedes</b>-AMG CLS 63 Races Bugatti Chiron and New E63,https://www.autoevolution.com/news/brabus-mercedes-amg-cls-63-races-bugatti-chiron-and-new-e63-130235.html,autoevolution,2018-11-17T21:04:00.0000000Z
3,When <b>Mercedes</b> announced it would quit the DTM and focus its motorsport ... time it had been able to run its customer Venturi cars – as software and battery <b>issues</b> caused <b>problems</b>. Paffett also caused an early red flag when he crashed into the temporary ...,Meet The New Rookie Who Is Behind <b>Mercedes</b>’ Next Big Project,https://www.msn.com/en-us/sports/motorsports/meet-the-new-rookie-who-is-behind-mercedes-e2-80-99-next-big-project/ar-BBPOkXH,Inside EVs,2018-11-17T18:11:00.0000000Z
4,No such <b>problems</b> for the V8 G80. You are driving something a cut ... in back — 35 inches — which is also less than in the physically smaller overall <b>Mercedes</b> (193.8 inches long overall vs. 196.5 for the G) which has 36.3 inches of backseat legroom.,2018 Genesis G80 Review,https://www.motorists.org/blog/2018-genesis-g80-review/,National Motorists Association,2018-11-17T15:15:00.0000000Z
5,Then it will be up to Ferrari or another rival team to decide whether to let the <b>issue</b> go or lodge a protest and try to prove that <b>Mercedes</b> is benefiting the kind of aerodynamic advantage that a similar system used by Red Bull in 2012 had and was banned.,The latest tweaks to the controversial <b>Mercedes</b> wheel design,https://www.motorsport.com/f1/news/latest-tweaks-mercedes-controversial-design/3215525/,Motorsport,2018-11-17T11:28:00.0000000Z
6,"Famous supporters including the <b>Mercedes</b>-Benz Brand Ambassadors Palina Rojinski, Franziska Knuppe and Die Lochis backed the campaign and called for the users to donate, drawing attention to the social <b>issues</b> which receive too little attention in society ...",Stellar donations for a good cause: Successful end to the <b>Mercedes</b>-Benz fundraising campaign &quot;Recharge&quot;,https://www.marketscreener.com/DAIMLER-436541/news/Stellar-donations-for-a-good-cause-Successful-end-to-the-Mercedes-Benz-fundraising-campaign-Rechar-27626736/,marketscreener.com,2018-11-17T10:50:00.0000000Z
7,Then it will be up to Ferrari or another rival team to decide whether to let the <b>issue</b> go or lodge a protest to try to prove that <b>Mercedes</b> is benefiting from the kind of aerodynamic advantage that ...,The latest tweaks to <b>Mercedes</b>&#39; F1 wheel spacer design,https://uk.sports.yahoo.com/news/latest-tweaks-mercedes-apos-f1-094134364.html,Yahoo Sports,2018-11-17T09:58:00.0000000Z
8,"Come 2020, <b>Mercedes</b>-Benz will take the veil off the seventh generation ... 10 Cheap Car Hacks That May Help You Deal With Day-To-Day <b>Issues</b> A Story of Retro Cars that Didn&#39;t Survive Past a Generation The Three Horsemen of the Apocalypse How the BMW ...",Factory 56 Video Tour Reveals Assembly Line Of <b>Mercedes</b>-Benz W223,https://www.autoevolution.com/news/factory-56-video-tour-reveals-assembly-line-of-mercedes-benz-w223-130210.html,autoevolution,2018-11-17T07:48:00.0000000Z
9,Chechnya&#39;s leader Ramzan Kadyrov has presented a five-year-old boy with a <b>Mercedes</b> for doing more than 4000 push-ups ... although it was not recorded by the Russian Book of Records because of &quot;minor <b>issues</b>&quot;. View this post on Instagram Аллах Дал ...,"Chechen leader gives boy <b>Mercedes</b> for completing 4,105 push-ups",https://www.msn.com/en-za/news/world/chechen-leader-gives-boy-mercedes-for-completing-4105-push-ups/ar-BBPNdPw?li=BBqfP3n,Euronews,2018-11-17T03:32:00.0000000Z
10,"Author <b>Mercedes</b> Lackey is probably most famous for her Heralds ... It’s real. They have all the same <b>problems</b> that real friends do, the same fights and the same private worries. Yet, their bond still stands. They’re bound by magic, but their choices ...",How <b>Mercedes</b> Lackey&#39;s Vows and Honor series highlights female friendships,https://www.syfy.com/syfywire/how-mercedes-lackeys-vows-and-honor-series-highlights-female-friendships,Syfy,2018-11-16T21:09:00.0000000Z
