,description,headline,url,provider,date
0,"Starting around 2012, I had the good fortune of working with the leadership team at <b>Mercedes</b>-Benz USA (MBUSA) as they sought to elevate their customer experience from the middle of the pack among all automobile manufacturers on the <b>J.D</b>. Power Customer ...",Catching People Doing What’s Right Along the Customer Experience Journey,http://customerthink.com/catching-people-doing-whats-right-along-the-customer-experience-journey/,CustomerThink,2018-11-14T12:04:00.0000000Z
1,"Captive Finance Arms of Lincoln and <b>Mercedes</b>-Benz Rank Highest in Luxury Segment; World Omni Financial Corp. Ranks Highest in Mass Market Segment Copyright 1996– The Auto Channel. Contact Information, Credits, and Terms of Use The following titles and ...",<b>J.D</b>. POWER: Mobile Apps Become New Battleground for Auto Lender Customer Satisfaction,https://www.theautochannel.com/news/2018/11/13/637697-j-d-power-mobile-apps-become-new-battleground-for-auto.html,The Auto Channel,2018-11-13T18:07:00.0000000Z
2,"Lincoln Automotive Financial Services and <b>Mercedes</b>-Benz Financial Services tied as the highest ranked luxury-brand auto lenders in <b>J.D</b>. Power&#39;s 2018 U.S. Consumer Financing Satisfaction Study, while World Omni Financial Corp. ranked highest among mass ...","World Omni and Lincoln, <b>Mercedes</b>-Benz captives lead in consumer financing satisfaction",http://www.autonews.com/article/20181112/FINANCE_AND_INSURANCE/181119939/world-omni-and-lincoln-mercedes-benz-captives-lead-in-consumer,Automotive News,2018-11-12T17:33:00.0000000Z
3,According to <b>J.D</b>. Power 2018 U.S. Consumer Financing Satisfaction Study ... Following are key findings of the 2018 study: Study Rankings Lincoln Automotive Financial Services and <b>Mercedes</b>-Benz Financial Services rank highest in a tie among luxury brands ...,"Mobile Apps Become New Battleground for Auto Lender Customer Satisfaction, <b>J.D</b>. Power Finds",https://www.bizjournals.com/sacramento/prnewswire/press_releases/California/2018/11/12/LA68763,The Business Journals,2018-11-12T13:39:00.0000000Z
4,"According to research firm <b>J.D</b>. Power and Associates, $50,000 is the slightly blurry ... Nissan in the same hunt with its Titan line. Even <b>Mercedes</b>-Benz is studying its options. The German luxury brand last year launched its first pickup, the X-Class.","Luxury car owners trade up for American pickups as Ford, GM and Ram trucks dominate market",https://www.yahoo.com/news/luxury-car-owners-trade-american-210000204.html,YAHOO!,2018-11-05T14:30:00.0000000Z
5,"Research firm <b>J.D</b>. Power surveys luxury car buyers, finds out they can indeed get satisfaction. <b>Mercedes</b>-Benz leads all comers. If you’re shelling out big bucks for a premium car, you’re quite right to expect premium customer care. The good news is ...",Luxury car owners are more satisfied,https://www.caradvice.com.au/695745/luxury-car-jd-power/,CarAdvice,2018-10-17T00:01:00.0000000Z
6,"Lear&#39;s <b>Mercedes</b>-Benz C-Class and Porsche 911 seats tied for first ... &quot;Lear consistently receives high customer satisfaction ratings by <b>J.D</b>. Power and this year is no exception,&quot; said Frank Orsini, Executive Vice President and President, Seating.",Lear Sweeps the Top <b>J.D</b>. Power Seating Awards Luxury Market,https://finance.yahoo.com/news/lear-sweeps-top-j-d-123000861.html,Yahoo Finance,2018-09-26T13:02:00.0000000Z
7,"NAPERVILLE, Ill., Sept. 14, 2018 /PRNewswire/ -- AutoNation, Inc. (AN), America&#39;s largest automotive retailer, today announced <b>Mercedes</b>-Benz of Naperville has been certified in the <b>J.D</b>. Power Dealer of Excellence Program (SM) for 2018. The program ...",<b>Mercedes</b>-Benz of Naperville Certified as a <b>J.D</b>. Power 2018 Dealer of Excellence,https://finance.yahoo.com/news/mercedes-benz-naperville-certified-j-203000144.html,Yahoo Finance,2018-09-14T20:50:00.0000000Z
8,"NAPERVILLE, Ill., Sept. 14, 2018 /PRNewswire/ -- AutoNation, Inc. AN, -0.99% America&#39;s largest automotive retailer, today announced <b>Mercedes</b>-Benz of Naperville has been certified in the <b>J.D</b>. Power Dealer of Excellence Program [(SM)] for 2018. The program ...",<b>Mercedes</b>-Benz of Naperville Certified as a <b>J.D</b>. Power 2018 Dealer of Excellence,https://www.marketwatch.com/press-release/mercedes-benz-of-naperville-certified-as-a-jd-power-2018-dealer-of-excellence-2018-09-14,MarketWatch,2018-09-14T16:30:00.0000000Z
9,"NAPERVILLE, Ill., Sept. 14, 2018 /PRNewswire/ -- AutoNation, Inc. (NYSE: AN), America&#39;s largest automotive retailer, today announced <b>Mercedes</b>-Benz of Naperville has been certified in the <b>J.D</b>. Power Dealer of Excellence Program (SM) for 2018. The program ...",<b>Mercedes</b>-Benz of Naperville Certified as a <b>J.D</b>. Power 2018 Dealer of Excellence,https://www.morningstar.com/news/pr-news-wire/PRNews_20180914FL06797/mercedesbenz-of-naperville-certified-as-a-jd-power-2018-dealer-of-excellence.html,Morningstar,2018-09-14T16:30:00.0000000Z
