,description,headline,url,provider,date
0,"The National Transportation Safety Board is investigating some of the crashes, including a <b>March</b> fatality that involved a Model ... Vehicles tested included the 2018 <b>Mercedes</b>-Benz S Class, the 2018 Nissan Rogue, a 2017 Tesla Model S and a 2019 Volvo ...","Electronic driving systems don&#39;t always work, tests show",http://www.patriotledger.com/zz/news/20181115/electronic-driving-systems-dont-always-work-tests-show/1,The Patriot Ledger,2018-11-15T23:52:00.0000000Z
1,"<b>March</b> 23, 2019. The high-style music of &quot;The Duke&quot; is the heart and soul of this 1981 Tony-winning Broadway hit, directed with dazzle by André De Shields (The Wiz). <b>Mercedes</b> Ellington, granddaughter of Duke Ellington, re-creates the original show&#39;s ...",NJPAC Presents Duke Ellington&#39;s SOPHISTICATED LADIES,https://www.broadwayworld.com/new-jersey/article/NJPAC-Presents-Duke-Ellingtons-SOPHISTICATED-LADIES-20181113,BroadwayWorld,2018-11-15T19:58:00.0000000Z
2,"And now a <b>Mercedes</b> Benz-owned startup called Beat says it’s muscling in, too, with its own launch planned by <b>March</b>. “We want to be ruthless,” Nikos Drandakis, the company’s 55-year-old co-founder and CEO, said in a phone interview. “We’ve got ...",Uber has a new rival in the world&#39;s most congested city,http://www.autonews.com/article/20181115/MOBILITY/181119838/uber-mexico-city-didi-competition,Automotive News,2018-11-15T16:57:00.0000000Z
3,"On <b>March</b> 20, 2017, Reynolds sent a fraudulent cashier’s check ... 2016 Rolls Royce Coupe, 2015 <b>Mercedes</b>-Benz, 2016 <b>Mercedes</b>-Benz, and Dxrams’ family member’s 2015 <b>Mercedes</b>-Benz. Reynolds sent a bogus $101,000 cashier’s check to a finance company ...",Elizabeth Woman Admits to Role in $2 Million Debt Payoff Scheme,https://www.tapinto.net/towns/elizabeth/articles/elizabeth-woman-admits-to-role-in-2-million-debt-payoff-scheme,TAPinto,2018-11-15T16:21:00.0000000Z
4,"And now a <b>Mercedes</b> Benz-owned startup called Beat says it&#39;s muscling in, too, with its own launch planned by <b>March</b>. &quot;We want to be ruthless,&quot; Nikos Drandakis, Beat&#39;s 55-year-old co-founder and chief executive, said in a phone interview. &quot;We&#39;ve got what it ...",Rivals to challenge Uber in the world&#39;s most congested city: &#39;We want to be ruthless&#39;,https://www.chicagotribune.com/business/ct-uber-didi-chuxing-mexico-city-20181115-story.html,Chicago Tribune,2018-11-15T15:15:00.0000000Z
5,"And pre-sale tickets for what will be a massive concert at <b>Mercedes</b>-Benz Stadium in Atlanta are on sale ... The concert is scheduled for Saturday, <b>March</b> 30, 2019 at 4 p.m. According to Ticketmaster, Strait will be joined by Chris Stapleton, Chris Janson ...",George Strait is coming to Georgia in <b>March</b>. Here&#39;s what the best seats will cost you,https://www.msn.com/en-us/music/news/george-strait-is-coming-to-georgia-in-march-heres-what-the-best-seats-will-cost-you/ar-BBPwcTH,WJCL,2018-11-15T15:17:00.0000000Z
6,"With Super Bowl LIII heading to Atlanta, it makes perfect sense that <b>Mercedes</b> would hop back into the game in 2019. In <b>March</b> of 2018, <b>Mercedes</b>-Benz USA moved its headquarters from New Jersey to Sandy Springs, Ga., (just 14 miles from Atlanta). Plus ...",<b>Mercedes</b>-Benz Will Return to the Super Bowl in 2019,https://www.adweek.com/brand-marketing/mercedes-benz-will-return-to-the-super-bowl-in-2019/,Adweek,2018-11-15T12:42:00.0000000Z
7,"During the course of a gruelling calendar, which spans 21 countries in as many Grand Prix events from <b>March</b> to November, teams battle it out to be crowned World Champions. At <b>Mercedes</b>-AMG Petronas Motorsport, a team of nearly 1,500 passionate, determined ...",TIBCO Congratulates <b>Mercedes</b>-AMG Petronas Motorsport on Securing the 2018 FIA Formula One World Constructors Championship,http://www.pressreleasepoint.com/tibco-congratulates-mercedes-amg-petronas-motorsport-securing-2018-fia-formula-one-world,KLAS Press Release,2018-11-15T05:16:00.0000000Z
8,"However, George has announced he will take the stage on <b>March</b> 30 at <b>Mercedes</b>-Benz Stadium in Atlanta. The King of Country will be joined by Chris Stapleton, Chris Janson and Ashley McBryde. Tickets go on sale Friday, Nov. 16, at 10 a.m. The upcoming ...","Julie Reeves: Concerts, songs and a new album announcement",http://www.herald-dispatch.com/features_entertainment/julie-reeves-concerts-songs-and-a-new-album-announcement/article_2c2ca4f5-cb5b-5b70-8167-4ca41ba288ba.html,The Herald-Dispatch,2018-11-15T04:01:00.0000000Z
9,"George Strait is doing one show only in Atlanta! Chris Stapleton, Chris Janson, and Ashley McBride will join him for the <b>March</b> 30th show in the <b>Mercedes</b> Benz Stadium in Atlanta. Tickets go on sale to the general public Friday (November 16th) morning at 10am.",George Strait pre-sale happening RIGHT NOW!,https://wdrm.iheart.com/content/2018-11-12-george-strait-pre-sale-happening-right-now/,iheart.com,2018-11-14T21:19:00.0000000Z
