,description,headline,url,provider,date
0,"These are the most exclusive and hottest tickets in town at the moment. But in short order, that <b>may</b> change. That&#39;s because <b>Mercedes</b> is entering the game with the <b>Mercedes</b>-Maybach GLS. As of now details are mum but I think it&#39;s safe to say that it will ...",SPIED: The All-new <b>Mercedes</b>-Maybach GLS Is Caught On Camera — Will THIS Be The New Luxury Flagship?,http://www.autospies.com/news/SPIED-The-All-new-Mercedes-Maybach-GLS-Is-Caught-On-Camera-Will-THIS-Be-The-New-Luxury-Flagship-97751/,Auto Spies,2018-11-18T00:55:00.0000000Z
1,Wolff replied: &quot;In a few years&#39; time he <b>may</b> look back at these images and wonder whether ... and current McLaren driver Stoffel Vandoorne will drive for the new works <b>Mercedes</b> team in the forthcoming season. Both drivers were summoned to the stewards ...,Why <b>Mercedes</b> is now F1&#39;s fifth-greatest team - F1,http://infoplasticsurgeryworld.com/2018/11/why-mercedes-is-now-f1s-fifth-greatest-team-f1/,Dogs,2018-11-17T21:36:00.0000000Z
2,"<b>Mercedes</b> secured a fifth consecutive drivers&#39; and constructors&#39; championship double this season, with the latter title being secured in Brazil on Sunday. Wolff replied: &quot;In a few years&#39; time he <b>may</b> look back at these images and wonder whether this was the ...",<b>Mercedes</b> tribute to &#39;exceptional&#39; Lewis Hamilton after F1 constructors&#39; title win,http://badmintonhq.net/2018/11/mercedes-tribute-to-exceptional-lewis-hamilton-after-f1/,badmintonhq.net,2018-11-17T21:16:00.0000000Z
3,The <b>Mercedes</b>-AMG CLS 63 was one of the coolest cars in the world ... Part 1 Could Volkswagen Group&#39;s Electric Plans Include Ducati? 10 Cheap Car Hacks That <b>May</b> Help You Deal With Day-To-Day Issues Strange Car Names from Around the World The Trashing ...,Brabus <b>Mercedes</b>-AMG CLS 63 Races Bugatti Chiron and New E63,https://www.autoevolution.com/news/brabus-mercedes-amg-cls-63-races-bugatti-chiron-and-new-e63-130235.html,autoevolution,2018-11-17T21:04:00.0000000Z
4,"Which teams have the most overall titles, though? The leader <b>may</b> be obvious but the rest of the top 5 produces some real surprises! Lewis Hamilton and <b>Mercedes</b> have been unstoppable in the new hybrid era Lewis Hamilton and <b>Mercedes</b> is a combination that ...",F1 Teams with the Most Constructors&#39; World Championship Titles,https://www.sportskeeda.com/f1/f1-teams-with-the-most-constructors-world-championship-titles,Sportskeeda,2018-11-17T19:32:00.0000000Z
5,"<b>Mercedes</b> “MJ” Javid has a lot coming up on the horizon ... He doesn&#39;t say no.” MJ and Tommy&#39;s baby is expected on <b>May</b> 12, 2019 (Mother’s Day!), but until then, the two are just enjoying some alone time and getting through the pregnancy together ...",<b>Mercedes</b> &quot;MJ&quot; Javid Wants to Protect Her Marriage by Keeping Tommy Out Of the Delivery Room,http://www.bravotv.com/shahs-of-sunset/personal-space/mj-javid-pregnancy-tommy-feight-delivery-room,Bravo,2018-11-17T18:01:00.0000000Z
6,"Take a look below: So are the FIA really biased to <b>Mercedes</b>? In my honest opinion, No. You <b>may</b> argue that I’m saying that because I support <b>Mercedes</b> (which I don’t) and that I support Hamilton (not really). I don’t see why the FIA need to be biased ...",F1 Insider -- Are The FIA Really Biased To <b>Mercedes</b>?,https://www.carthrottle.com/post/y8pxz53/,Car Throttle,2018-11-17T17:57:00.0000000Z
7,But just like <b>Mercedes</b> seems to be steering away from V8s ... Part 1 Has Tesla Outgrown Its Maker? 10 Cheap Car Hacks That <b>May</b> Help You Deal With Day-To-Day Issues Strange Car Names from Around the World Is Tesla Model 3 the Safety Queen?,2020 <b>Mercedes</b>-AMG A45 4Matic Has Similar Design to CLS 53,https://www.autoevolution.com/news/2020-mercedes-amg-a45-4matic-has-similar-design-to-cls-53-130231.html,autoevolution,2018-11-17T12:57:00.0000000Z
8,"<b>Mercedes may</b> not have raced with its controversial wheel spacer design for the past few Formula 1 grands prix, but it has not stopped developing the idea as the latest updates used in Brazil show. The spacer works in conjunction with the rear wheel to ...",The latest tweaks to the controversial <b>Mercedes</b> wheel design,https://www.motorsport.com/f1/news/latest-tweaks-mercedes-controversial-design/3215525/,Motorsport,2018-11-17T11:28:00.0000000Z
9,"With the world championships now settled, and ongoing debate about the design&#39;s legality despite the FIA being happy with the idea, it <b>may</b> be that <b>Mercedes</b> goes ahead and races with the spacers in ...",The latest tweaks to <b>Mercedes</b>&#39; F1 wheel spacer design,https://uk.sports.yahoo.com/news/latest-tweaks-mercedes-apos-f1-094134364.html,Yahoo Sports,2018-11-17T09:58:00.0000000Z
