,description,headline,url,provider,date
0,"Looking at the <b>cars</b> in the photo, one gets a serving of the curves and contours that <b>Mercedes</b> designers have been hammering into their various car models over the years. The Benz Owners’ Club is among many that enable car enthusiasts to come together ...","Not a petrolhead? Sorry, this club isn’t for you",https://www.nation.co.ke/news/Not-a-petrolhead--Sorry--this-club-isn-t-for-you/1056-4856948-sn6p18/index.html,Daily Nation,2018-11-18T06:26:00.0000000Z
1,"<b>Mercedes</b>-Benz has confirmed that the petrol C-Class will be ... the massive eight-seater from Hyundai are out ahead of the official reveal at the Los Angeles <b>Motor</b> Show on November 28. A production follow-up to the Hyundai Grandmaster concept, and built ...","Car News Of The Week: 2019 Corolla, Alturas G4, 2018 Ertiga, New BMW &amp; <b>Mercedes</b> Launches And More",https://www.zigwheels.com/news-features/news/car-news-of-the-week-2019-corolla-alturas-g4-2018-ertiga-new-bmw-mercedes-launches-and-more/32339/,ZigWheels,2018-11-18T06:17:00.0000000Z
2,"valued at $50,000 A Range Rover <b>motor</b> vehicle, registration number not provided, valued at ZAR 1.1million A <b>Mercedes</b>-Benz S Class <b>motor</b> vehicle, registration number not provided, valued at ZAR 1 million A BMW <b>motor</b> vehicle, registration number ADP 5055 ...","ZIMRA Audits Ginimbi’s Lifestyle And Unravels Massive Tax Evasion, Flashy <b>cars</b>",https://www.zimeye.net/2018/11/18/zimra-audits-ginimbis-lifestyle-and-unravels-massive-tax-evasion-flashy-cars/,ZimEye,2018-11-18T05:29:00.0000000Z
3,"the 300 SL race <b>cars</b> were further enhanced with the characteristic that everyone remembers them for today: their gull-wing doors. It was not long after the formulated 300 SL enjoyed success on the race track. Now, the champion <b>Mercedes</b>-Benz 300 SL Gullwing ...",Classic 1955 <b>Mercedes</b>-Benz 300 SL Gullwing Is Going Up for Auction,http://www.luxuo.com/motoring/automobile/classic-1955-mercedes-benz-300-sl-gullwing-is-going-up-for-auction.html,LUXUO,2018-11-18T04:28:00.0000000Z
4,He is currently driving for the <b>Mercedes</b>-AMG Petronas Motorsport which is shortly known ... has what it takes to be a Formula One Drivers&#39; Champion. Bottas has a love for <b>cars</b> and is a real &#39;Petrolhead&#39;. This guy has some great car collection in his ...,The Personal Car Collection of Valtteri Bottas,https://www.sportskeeda.com/f1/the-personal-car-collection-of-valtteri-bottas-ss,Sportskeeda,2018-11-18T04:20:00.0000000Z
5,"Not surprisingly, both <b>cars</b> have sporty-looking ... First up, the British firm borrowed the twin-turbo, 4.0-liter V-8 from <b>Mercedes</b>-AMG. Powering the base version of the DB11 Volante, it delivers 503 horsepower and 513 pound-feet of torque.",2019 BMW 8 Series Convertible vs 2019 Aston Martin DB11 Volante,https://www.topspeed.com/cars/2019-bmw-8-series-convertible-vs-2019-aston-martin-db11-volante-ar183306.html,Top Speed,2018-11-17T23:07:00.0000000Z
6,"Which Is Better: Audi A6 or <b>Mercedes</b>-Benz E-Class? The <b>Mercedes</b>-Benz E-Class ranks near the A6 in this class, and you can’t go wrong with either of these <b>cars</b>. There’s something for everyone in the E-Class – it’s available as a sedan, coupe ...",2019 Audi A6,https://cars.usnews.com/cars-trucks/audi/a6,cars.usnews.com,2018-11-17T21:46:00.0000000Z
7,The <b>Mercedes</b>-AMG CLS 63 was one of the coolest <b>cars</b> in the world even before they put the AMG before the numbers. But they went and messed it up with a hybrid six-cylinder replacement. Not every luxury car buyer cares about drag racing supercars - we get that.,Brabus <b>Mercedes</b>-AMG CLS 63 Races Bugatti Chiron and New E63,https://www.autoevolution.com/news/brabus-mercedes-amg-cls-63-races-bugatti-chiron-and-new-e63-130235.html,autoevolution,2018-11-17T21:04:00.0000000Z
8,When <b>Mercedes</b> announced it would quit the DTM and focus its motorsport ... at Valencia last month – the first time it had been able to run its customer Venturi <b>cars</b> – as software and battery issues caused problems. Paffett also caused an early red ...,Meet The New Rookie Who Is Behind <b>Mercedes</b>’ Next Big Project,https://www.msn.com/en-us/sports/motorsports/meet-the-new-rookie-who-is-behind-mercedes-e2-80-99-next-big-project/ar-BBPOkXH,Inside EVs,2018-11-17T18:11:00.0000000Z
9,"One of the Force India <b>cars</b> blocked Gasly (who was on a fast lap ... Take a look below: So are the FIA really biased to <b>Mercedes</b>? In my honest opinion, No. You may argue that I’m saying that because I support <b>Mercedes</b> (which I don’t) and that I ...",F1 Insider -- Are The FIA Really Biased To <b>Mercedes</b>?,https://www.carthrottle.com/post/y8pxz53/,Car Throttle,2018-11-17T17:57:00.0000000Z
