,description,headline,url,provider,date
0,"The new ZOE, together with other upcoming models like the Porsche Taycan, Tesla Model 3, <b>Mercedes</b> EQC, Audi e-tron, BMW i3 and more were tested at a symposium on <b>November</b> 15 in Arnhem, Netherlands. “I am at the testing symposium in Arnhem today.",Renault Tests ZOE Prototype With CCS Combo Charging Inlet,https://www.msn.com/en-us/autos/news/renault-tests-zoe-prototype-with-ccs-combo-charging-inlet/ar-BBPO3LK,Inside EVs,2018-11-17T14:54:00.0000000Z
1,"&quot;<b>Mercedes</b> has always been Russ&#39;s first true love. <b>Mercedes</b> can not help himself, and does not seem to be happy with anyone. &amp; # 39; Hollyoaks continues on Friday, <b>November</b> 16th at 6.30 pm on channel 4. A broadcast of the first part aired on E4 at 7 PM.",Hollyoaks actor Stuart Manning admits that he is his character &amp; # 39; Russ Owen &amp; # 39; has killed,https://whatsnew2day.com/hollyoaks-actor-stuart-manning-admits-that-he-is-his-character-39-russ-owen-39-has-killed/,whatsnew2day.com,2018-11-17T01:46:00.0000000Z
2,"Miami, FL – <b>November</b> 14, 2018 – <b>Mercedes</b>-Benz of Cutler Bay hosted its 10 year anniversary party at an event which included clients, friends, and community partners. More than 300 people enjoyed fabulous food, wine, and music among vintage <b>Mercedes</b> ...",<b>Mercedes</b>-Benz of Cutler Bay 10th Anniversary Celebration,http://worldredeye.com/2018/11/mercedes-benz-cutler-bay-10th-anniversary-celebration/,World Red Eye,2018-11-16T23:17:00.0000000Z
3,"52 PM GMT <b>November</b> 08, 2018 Hollyoaks spoilers: <b>Mercedes</b> gets her revenge by getting Goldie arrested for murder Metro - 19:30 PM GMT <b>November</b> 16, 2018 Boy, 5, gets new <b>Mercedes</b> for doing 4,105 press-ups non-stop Metro - 08:18 AM GMT <b>November</b> 16 ...","Chechen leader gives boy <b>Mercedes</b> for completing 4,105 push-ups",https://www.newsoneplace.com/7840381809/chechen-mercedes-leader-completing,newsoneplace.com,2018-11-16T22:44:00.0000000Z
4,"In <b>November</b> 2011 it was decided to revive the tradition ... Sedans and limousines Aurus should cost 10-15% more expensive than similar cars <b>Mercedes</b>-Benz, and definitely cheaper than Rolls-Royce. New Ministers of the Russian Government will be transplanted ...",Made in Russia – Putin’s New Cortege Limousine,https://www.slavorum.org/made-in-russia-putins-new-cortege-limousine/,Slavorum,2018-11-16T08:09:00.0000000Z
5,"With the launch of the new X-Class from <b>Mercedes</b>-Benz in <b>November</b> 2017, the first hunting vehicles were completed. There’s a lift for added ground clearance, improved undercarriage protection, special off-road tires and a front-end winch. Below ...",The <b>Mercedes</b>-Benz Gruma Hunter X-Class Truck,https://www.thefirearmblog.com/blog/2018/11/15/the-mercedes-benz-gruma-hunter-x-class-truck/,The Firearm Blog,2018-11-16T00:01:00.0000000Z
6,"56 PM GMT <b>November</b> 15, 2018 Hollyoaks spoilers: Explosive showdown for <b>Mercedes</b> McQueen and a deadly hostage situation in hour long wedding special Metro - 10:03 AM GMT <b>November</b> 15, 2018 Hollyoaks spoilers: Cancer storyline ahead for Prince McQueen ...",Hollyoaks spoilers: Shock death as Russ Owen is murdered on his wedding day to <b>Mercedes</b> McQueen,https://www.newsoneplace.com/7678631809/hollyoaks-shock-russ-owen-mercedes-mcqueen-spoilers-murdered-wedding,newsoneplace.com,2018-11-15T19:55:00.0000000Z
7,"Amoateng,” 40, of Maplewood, conspired to fraudulently pay off Dxrams’ auto leases on a 2012 Bentley, 2016 Rolls Royce Coupe, 2015 <b>Mercedes</b>-Benz ... Authorities also said, on <b>November</b> 9, 2018, a federal grand jury in Newark returned a second ...",Elizabeth Woman Admits to Role in $2 Million Debt Payoff Scheme,https://www.tapinto.net/towns/elizabeth/articles/elizabeth-woman-admits-to-role-in-2-million-debt-payoff-scheme,TAPinto,2018-11-15T16:21:00.0000000Z
8,"congratulates <b>Mercedes</b>-AMG Petronas Motorsport on becoming the 2018 FIA Formula One™ World Constructors&#39; Champions*, which was secured at the Brazilian Grand Prix on 11 <b>November</b> 2018 in S o Paulo. <b>Mercedes</b>-AMG Petronas Motorsport is only the second ...",Axalta congratulates <b>Mercedes</b>-AMG Petronas Motorsport on another historic Formula One™ season,https://www.marketwatch.com/press-release/axalta-congratulates-mercedes-amg-petronas-motorsport-on-another-historic-formula-onetm-season-2018-11-15,MarketWatch,2018-11-15T14:25:00.0000000Z
9,"TORONTO, Nov. 15, 2018 /CNW/ - The <b>Mercedes</b>-Benz A-Class made a dramatic Canadian debut at Toronto&#39;s REBEL nightclub on <b>November</b> 14. The unique launch event took guests on an exhilarating journey ...",The new <b>Mercedes</b>-Benz A-Class makes its Canadian debut,https://markets.businessinsider.com/news/stocks/the-new-mercedes-benz-a-class-makes-its-canadian-debut-1027731201,Markets Insider,2018-11-15T14:03:00.0000000Z
