,description,headline,url,provider,date
0,"<b>Price</b>? Click here for all details ... Read more about the M2 here. New <b>Mercedes</b>-Benz CLS: The CLS is back in India and should top the list of those looking for a luxury car that looks the part. For now, it’s available with a diesel engine only and ...","Weekly Wrap-up: New Maruti Ertiga Expected <b>Prices</b>, Mahindra Alturas G4 Details, Marazzo <b>Price</b> Hike &amp; More",https://www.cardekho.com/india-car-news/weekly-wrapup-new-maruti-ertiga-expected-prices-mahindra-alturas-g4-details-marazzo-price-hike-more-22767.htm,CarDekho,2018-11-18T05:25:00.0000000Z
1,"We&#39;re talking about some serious metal with even more serious <b>price</b> tags. Take, for example ... But in short order, that may change. That&#39;s because <b>Mercedes</b> is entering the game with the <b>Mercedes</b>-Maybach GLS. As of now details are mum but I think it&#39;s ...",SPIED: The All-new <b>Mercedes</b>-Maybach GLS Is Caught On Camera — Will THIS Be The New Luxury Flagship?,http://www.autospies.com/news/SPIED-The-All-new-Mercedes-Maybach-GLS-Is-Caught-On-Camera-Will-THIS-Be-The-New-Luxury-Flagship-97751/,Auto Spies,2018-11-18T00:55:00.0000000Z
2,"The BMW undercuts the Audi in <b>price</b> by about $5,500, which could be the cherry on top when deciding between the two. Which Is Better: Audi A6 or <b>Mercedes</b>-Benz E-Class? The <b>Mercedes</b>-Benz E-Class ranks near the A6 in this class, and you can’t go wrong with ...",2019 Audi A6,https://cars.usnews.com/cars-trucks/audi/a6,cars.usnews.com,2018-11-17T21:46:00.0000000Z
3,"The Land Cruiser is worth your consideration, but its steep base <b>price</b> – even among luxury vehicles – doesn&#39;t make it the most practical option in the class. The <b>Mercedes</b>-Benz GLS is a more well-rounded option with its lower starting <b>price</b>, more ...",2019 Toyota Land Cruiser,https://cars.usnews.com/cars-trucks/toyota/land-cruiser,cars.usnews.com,2018-11-17T21:44:00.0000000Z
4,"Is the <b>Mercedes</b> X-Class a real <b>Mercedes</b> ... depending on whether you just want to mask the diesel or show off. The <b>price</b> isn&#39;t stated since every such conversion is custom, but it&#39;s probably upwards of a couple of thousand euros.",<b>Mercedes</b> X-Class Sounds Like a Ram Truck Thanks to Active Sound,https://www.autoevolution.com/news/mercedes-x-class-sounds-like-a-ram-truck-thanks-to-active-sound-130234.html,autoevolution,2018-11-17T19:39:00.0000000Z
5,"2018 <b>Mercedes</b> Launches Fuel Cell Hybrid For Customer Tests Forbes.com - 10:55 AM GMT November 13, 2018 Fuel <b>prices</b> &#39;must fall&#39; as oil dips below $70",Fuel <b>price</b> protesters target pinch points in French road system,https://www.newsoneplace.com/7939661809/fuel-french-protesters-target-points-system,newsoneplace.com,2018-11-17T19:05:00.0000000Z
6,The drive selector buttons are set out similarly to those in a McLaren but the infotainment screen and controls are recognisable as <b>Mercedes</b>-Benz parts. This detracts from the individuality you expect at this <b>price</b> point and competitors like Bentley do a ...,Aston Martin DB11 Volante review,http://www.automotiveblog.co.uk/2018/11/aston-martin-db11-volante-review/,Automotive Blog,2018-11-17T15:33:00.0000000Z
7,"Base <b>price</b> is $41,750 — which hugely undercuts the base <b>prices</b> ... four that comes standard in the <b>Mercedes</b> E300 sedan. The G80’s V6 is paired with an eight-speed automatic driving the rear wheels or all four (AWD) if you so opt. It’s nice to get ...",2018 Genesis G80 Review,https://www.motorists.org/blog/2018-genesis-g80-review/,National Motorists Association,2018-11-17T15:15:00.0000000Z
8,"Interestingly, the 2019 Audi A7 starts at $68,995. That’s actually over $1,000 less expensive than the 2018 model. There are the same three trim levels as the A6, with <b>prices</b> topping out over $77,295 for the Prestige model.",2019 Audi A6 and A7: More Than Than Ever – Should BMW and <b>Mercedes</b> Be Worried? [Video],https://www.tflcar.com/2018/11/2019-audi-a6-a7-review/,The Fast Lane Car,2018-11-17T14:01:00.0000000Z
9,"Something else we don&#39;t like is the steady increase in <b>prices</b> for all <b>Mercedes</b>-AMG models. You can get the 300 horsepower A35 from €47,500 in Germany, and that just doesn&#39;t seem right. This implies that the A45 will easily reach 80k with the right options.",2020 <b>Mercedes</b>-AMG A45 4Matic Has Similar Design to CLS 53,https://www.autoevolution.com/news/2020-mercedes-amg-a45-4matic-has-similar-design-to-cls-53-130231.html,autoevolution,2018-11-17T12:57:00.0000000Z
10,"Last week, the five-time Formula One Drivers&#39; Champion took home yet another victory at the 2018 Brazilian Grand Prix with a fine performance, which ensured that the <b>Mercedes</b> team secured ... Hockney painting smashes record <b>price</b> for living artist Among ...",Lewis Hamilton issues clarification on ‘poor India’ comment,http://techkenyot.com/2018/11/16/lewis-hamilton-issues-clarification-on-poor-india-comment/,techkenyot.com,2018-11-17T11:51:00.0000000Z
11,"2018 Hollyoaks fans shocked as Russ Owen MURDERED at his own wedding to <b>Mercedes</b> McQueen The Sun - 19:29 PM GMT November 15, 2018 Girl shocked when her PrettyLittleThing jumpsuit arrives completely see-through Metro - 12:07 PM GMT November 14 ...",Shocked mum &#39;spots grasshopper&#39;s &quot;beady little eyes&quot; staring at her from Tesco salad&#39;,https://www.newsoneplace.com/7895651809/beady-little-eyes-shocked-tesco-grasshopper-staring,newsoneplace.com,2018-11-17T09:53:00.0000000Z
12,"... euros in Germany for Maybach compared with the 85,769 euro base <b>price</b> for the standard S class. Earlier this year <b>Mercedes</b> showed a concept for a Maybach SUV, suggesting it is willing to ...",How high-end SUVs are shaking up ultraluxury sales,http://europe.autonews.com/article/20181117/ANE/181109856/how-high-end-suvs-are-shaking-up-ultraluxury-sales,Automotive News Europe,2018-11-17T08:19:00.0000000Z
13,"Citigroup’s <b>price</b> target would indicate a potential downside of 4.93 ... and buses in Germany and internationally. It operates through <b>Mercedes</b>-Benz Cars, Daimler Trucks, <b>Mercedes</b>-Benz Vans, Daimler Buses, and Daimler Financial Services segments.",Daimler (DAI) Given a €48.00 <b>Price</b> Target at Citigroup,https://www.themarketsdaily.com/2018/11/17/daimler-dai-given-a-48-00-price-target-at-citigroup.html,themarketsdaily.com,2018-11-17T07:39:00.0000000Z
14,"NEW DELHI: German luxury carmaker <b>Mercedes</b>-Benz Friday launched new CLS model with a starting <b>price</b> of Rs 84.70 lakh (ex-showroom, all India). The third generation CLS is powered by a new two-litre BS VI compliant diesel engine with power of 180 kw, the ...",Daimler : <b>Mercedes</b>-Benz launches new CLS model at a starting <b>price</b> of Rs 84.7 Lakh,https://www.marketscreener.com/DAIMLER-436541/news/Daimler-Mercedes-Benz-launches-new-CLS-model-at-a-starting-price-of-Rs-84-7-Lakh-27621860/,marketscreener.com,2018-11-17T03:50:00.0000000Z
15,"BNP Paribas’ <b>price</b> objective would suggest a potential upside of ... and buses in Germany and internationally. It operates through <b>Mercedes</b>-Benz Cars, Daimler Trucks, <b>Mercedes</b>-Benz Vans, Daimler Buses, and Daimler Financial Services segments.",Daimler (DAI) PT Set at €64.00 by BNP Paribas,https://theenterpriseleader.com/2018/11/16/daimler-dai-pt-set-at-64-00-by-bnp-paribas.html,theenterpriseleader.com,2018-11-17T00:54:00.0000000Z
16,"Looks similar to the original <b>Mercedes</b> head units and is a very good product ... TV and large 16GB internal storage, the <b>price</b> drops to just 700 Euros. Installation time was about an hour.",<b>Mercedes</b> W203 head unit upgrade,https://www.carthrottle.com/post/porbz6z/,Car Throttle,2018-11-17T00:36:00.0000000Z
17,"This slots in under the well-known <b>Mercedes</b> M-Class, the attractive <b>Mercedes</b> GL-Class, the wagon-like <b>Mercedes</b> R-Class, and the boxy <b>Mercedes</b>-Benz G-Class. Get the best <b>price</b> and be more prepared with your free, no-obligation <b>price</b> quote",<b>Mercedes</b>-Benz Models,https://www.kbb.com/mercedes-benz/,Kelley Blue Book,2018-11-17T00:15:00.0000000Z
18,"Major new models unveiled in recent weeks from Daimler’s <b>Mercedes</b>-Benz and Volkswagen’s Audi brand have been expensive SUVs; Audi’s e-tron starts at a German <b>price</b> of 80,000 euros. The starting <b>price</b> for Tesla’s Model X is around $80,700 while the ...",VW to invest $50B in electric and autonomous tech,https://www.detroitnews.com/story/business/autos/mobility/2018/11/16/vw-invest-electric-autonomous-tech/38545307/,The Detroit News,2018-11-16T20:15:00.0000000Z
19,"Major new models unveiled in recent weeks from Daimler&#39;s <b>Mercedes</b>-Benz and Volksagen&#39;s Audi brand have been expensive SUVs; Audi&#39;s e-tron starts at a German <b>price</b> of 80,000 euros. The starting ...",VW wants to storm car market with cheaper electric model,https://abcnews.go.com/Business/wireStory/vw-storm-car-market-cheaper-electric-model-59250279,ABC News,2018-11-16T18:33:00.0000000Z
20,"<b>Mercedes</b> C-Class, Audi A4, Lexus IS, Jaguar XE and Alfa Romeo Giulia, just to name a few. The G70&#39;s base <b>price</b> of $34,900 is, in fact, the exact same base <b>price</b> as the 3 Series, which should be as ...",The 2019 Genesis G70 Is as Great as It Needs To Be,https://jalopnik.com/the-2019-genesis-g70-is-as-great-as-it-needs-to-be-1830343875,Jalopnik,2018-11-16T17:57:00.0000000Z
21,"As a direct competitor to BMW&#39;s 3 Series, <b>Mercedes</b>&#39; C-Class, Audi&#39;s A4, and Lexus&#39; IS sedans, the new G70 is a strong alternative to the establishment. And with a base <b>price</b> of $35,895 (including $995 destination charge), it undercuts most of the small ...",Flash Drive: 2019 Genesis G70 2.0T Sport Review,https://www.nydailynews.com/autos/latest-reviews/flash-drive-2019-genesis-g70-2-0t-sport-review-article-1.4044541,New York Daily News,2018-11-16T17:33:00.0000000Z
22,"Major new models unveiled in recent weeks from Daimler’s <b>Mercedes</b>-Benz and Volksagen’s Audi brand have been expensive SUVs; Audi’s e-tron starts at a German <b>price</b> of 80,000 euros. The starting <b>price</b> for Tesla’s Model X is around $80,700 while the ...",Volkswagen wants to storm car market with cheaper electric model,http://www.staradvertiser.com/2018/11/16/breaking-news/volkswagen-wants-to-storm-car-market-with-cheaper-electric-model/,Honolulu Star-Advertiser,2018-11-16T17:09:00.0000000Z
23,"<b>Mercedes</b>-Benz has launched the third generation CLS four-door ... you get the BMW 6 Series Gran Coupe which offers a similar kind of styling and power. In this <b>price</b> bracket you also get specific variants of the big SUVs like the Audi Q7, BMW X5 and ...",2018 <b>Mercedes</b>-Benz CLS explained in detail,https://www.msn.com/en-in/news/other/2018-mercedes-benz-cls-explained-in-detail/ar-BBPLMMG,Carwale,2018-11-16T08:53:00.0000000Z
24,"<b>Mercedes</b>’ luxurious four-door coupe, the CLS, has made a comeback in the Indian car market at a <b>price</b> tag of Rs 84.70 lakhs, ex-showroom India. The stylish sedan is offered only in the 300d trim and is positioned between the E-Class and the S-Class and ...",Third generation <b>Mercedes</b>-Benz CLS launched in India at Rs 84.70 lakhs,https://www.msn.com/en-in/news/other/third-generation-mercedes-benz-cls-launched-in-india-at-rs-8470-lakhs/ar-BBPLDR5,Carwale,2018-11-16T07:56:00.0000000Z
25,"The five-passenger <b>Mercedes</b>-Benz GLE-Class Coupe is offered in just two trim ... and it is literally over the top by any measure you care to name. To justify its steep <b>price</b> tag, the GLE 63 S adds a turbocharged 5.5-liter V8 that puts out a stunning ...",<b>Mercedes</b>-Benz GLE-Class Coupe Review,https://www.edmunds.com/mercedes-benz/gle-class-coupe/,Edmunds.com,2018-11-16T11:50:00.0000000Z
