,description,headline,url,provider,date
0,"The 300-series <b>Mercedes</b> was revolutionary in its day. Known for its distinctive gull-wing doors and direct fuel injection, the postwar model was the fastest <b>production</b> car in the 1950s and the first iteration of the SL-Class grand tourer. See, the 300 ...",Classic 1955 <b>Mercedes</b>-Benz 300 SL Gullwing Is Going Up for Auction,http://www.luxuo.com/motoring/automobile/classic-1955-mercedes-benz-300-sl-gullwing-is-going-up-for-auction.html,LUXUO,2018-11-18T04:28:00.0000000Z
1,"German automaker <b>Mercedes</b>-Benz took things one step further when planning its newest <b>production</b> facility dubbed &quot;Factory 56,&quot; which is now showing off via a virtual tour. The new facility will be located in Sindelfingen, Germany, and it&#39;s slated to be home ...",<b>Mercedes</b>-Benz Previews Its Highly Automated and Fully Connected Vehicle Factory,http://www.thedrive.com/news/24947/mercedes-previews-its-upcoming-fully-connected-and-futuristic-production-factory,The Drive,2018-11-17T09:55:00.0000000Z
2,"In <b>production</b> since June 2013, the W222 is getting on a bit despite the mid-cycle refresh that brought the M256 inline-six engine to the range. Come 2020, <b>Mercedes</b>-Benz will take the veil off the seventh generation of the S-Class, which will be produced at ...",Factory 56 Video Tour Reveals Assembly Line Of <b>Mercedes</b>-Benz W223,https://www.autoevolution.com/news/factory-56-video-tour-reveals-assembly-line-of-mercedes-benz-w223-130210.html,autoevolution,2018-11-17T07:48:00.0000000Z
3,"We are therefore investing more than 10 billion euros in the expansion of our EQ model portfolio, and more than one billion euros in global battery <b>production</b>.” <b>Mercedes</b> says that EQ stands for “Electric Intelligence.” A 5-passenger midsize crossover ...",2020 <b>Mercedes</b>-Benz EQC Preview,https://www.nadaguides.com/cars/new-car-previews/2020-Mercedes-Benz-EQC-Preview,NADAguides,2018-11-17T03:16:00.0000000Z
4,"The 300 SL is undoubtedly the king of postwar <b>Mercedes production</b> cars. A thinly-veiled race car in street clothing, the 300 SL was the brainchild of American <b>Mercedes</b> importer Max Hoffman, who begged Stuttgart to make a street version of their all ...",1955 <b>Mercedes</b>-Benz 300 SL Gullwing,https://uncrate.com/1955-mercedes-benz-300-sl-gullwing/,Uncrate,2018-11-16T16:21:00.0000000Z
5,"<b>Mercedes</b>-Benz has revealed the high-tech <b>production</b> line on which key models like the first EQ electric car, the new S-Class, and its autonomous cars will be built, and it could be more advanced than the vehicles themselves. Dubbed Factory 56, the new ...",<b>Mercedes</b> reveals the 5G robot-filled factory for its most high-tech cars,https://www.slashgear.com/mercedes-benz-factory-56-5g-iot-production-line-s-class-eqc-16553943/,SlashGear,2018-11-16T15:48:00.0000000Z
6,"In a connected world, corporations are taking full advantage of modern technologies to build more efficient workflows. Automaker <b>Mercedes</b>-Benz has taken it one step further when planning its newest <b>production</b> facility, Factory 56, and is now showing off ...",<b>Mercedes</b> Previews its Upcoming Fully-Connected and Futuristic <b>Production</b> Factory,http://www.msn.com/en-us/autos/car-tech/mercedes-previews-its-upcoming-fully-connected-and-futuristic-production-factory/ar-BBPMmZf,The Drive,2018-11-16T13:47:00.0000000Z
7,At the <b>Mercedes</b>-Benz Rastatt plant the series <b>production</b> of the second latest-generation compact model has begun in the form of the B-Class. <b>Mercedes</b>-Benz is continuing the tourer’s success story. The B-Class is once again setting standards with regard ...,Continuation of ramp-up cascade of next-generation compact cars: <b>Mercedes</b>-Benz Rastatt plant starts <b>production</b> of the new B-Class,https://www.automotiveworld.com/news-releases/continuation-of-ramp-up-cascade-of-next-generation-compact-cars-mercedes-benz-rastatt-plant-starts-production-of-the-new-b-class/,Automotive World,2018-11-16T12:14:00.0000000Z
8,"In this way we are setting a new benchmark in the global automotive industry&quot;, says Markus Schäfer, Member of the Divisional Board <b>Mercedes</b>-Benz Cars, <b>Production</b> and Supply Chain. Stuttgart/Sindelfingen – For the first time <b>Mercedes</b>-Benz Cars gives a ...",<b>Mercedes</b>&#39; New Factory Looks Straight From A Sci-Fi Movie,https://www.motor1.com/news/276510/mercedes-factory-56-video-tour/,Motor1,2018-11-16T07:30:00.0000000Z
9,"In September the eCitaro celebrated its prominent world premiere at the IAA and now its already bringing a breath of fresh air to Hamburg: today, <b>Mercedes</b>‑B enz delivered the first series <b>production</b> model of an urban bus with a fully-electric drive ...","<b>Mercedes</b>-Benz supplies first fully electrical bus, the eCitaro",https://www.electricvehiclesresearch.com/articles/15848/mercedes-benz-supplies-first-fully-electrical-bus-the-ecitaro,Electric Vehicles,2018-11-16T00:35:00.0000000Z
10,"With its divisions <b>Mercedes</b>-Benz Cars ... vehicles and services in nearly all the countries of the world and has <b>production</b> facilities in Europe, North and South America, Asia, and Africa.",Daimler Financial Services AG announces Top Management Rotation,https://globenewswire.com/news-release/2018/11/15/1652506/0/en/Daimler-Financial-Services-AG-announces-Top-Management-Rotation.html,GlobeNewswire,2018-11-15T16:03:00.0000000Z
