,description,headline,url,provider,date
0,"We’ll never know, but there’s no doubt the free <b>publicity</b> it gains from it shouldn’t be too ... At this point it’s also f... <b>Mercedes</b>-Benz GLE, the first plug-in hybrid with a 100+ k... <b>Mercedes</b>-Benz is promising that the plug-in hybrid version ...",Leaked images surface of the upcoming Ford Bronco… or Baby Bronco,https://www.auto123.com/en/news/2020-ford-bronco-images-detroit-auto-show/65301/,Auto123,2018-11-14T15:36:00.0000000Z
1,"What it won&#39;t be is a reworked version of an existing <b>Mercedes</b> model. Aston executives say they initially ... There are many more secrets to come, of course—and we can safely predict that Aston&#39;s <b>publicity</b> machine will deliver them in drips rather ...",The 2020 Aston Martin DBX SUV Is Almost Here and It Looks Awesome,https://www.caranddriver.com/news/2020-aston-martin-dbx-photos-info,Car and Driver,2018-11-14T01:01:00.0000000Z
2,"On the other hand, yesterday, those very same antics - not to mention the on-track that preceded them - ensured that Formula One was headline news around the world, and as Bernie Ecclestone always said: &#39;all <b>publicity</b> is good <b>publicity</b>&#39;. In his post-Brazil ...",Brawn: A lesson they won&#39;t forget in a hurry,https://www.pitpass.com/63523/Brawn-A-lesson-they-wont-forget-in-a-hurry,Pitpass,2018-11-13T10:18:00.0000000Z
3,"The automaker even sought to keep hand-picked Ford GT buyers from flipping newly purchased cars through a two-year no-sale agreement, but with two cars now having sold at auction for well over a million dollars each, the <b>publicity</b> for Ford’s ultra ...",See Pro Drifter Vaughn Gittin Jr. Spin Donuts In His Ford GT,https://www.msn.com/en-us/autos/news/see-pro-drifter-vaughn-gittin-jr-spin-donuts-in-his-ford-gt/ar-BBPD3q2,motor1,2018-11-12T18:03:00.0000000Z
4,"Hamilton and his <b>Mercedes</b> team have been the pre-eminent force in F1 since ... The 33-year-old, who took his fifth title in Mexico last weekend, is a one-man <b>publicity</b> machine for F1, especially in the US, a market Liberty are eager to expand.","Lewis Hamilton is F1’s supreme, and perhaps only, show in town | Giles Richards",http://samfordcrimson.com/2018/11/09/lewis-hamilton-is-f1s-supreme-and-perhaps-only-show-in-town-giles-richards/,The Samford Crimson,2018-11-09T20:25:00.0000000Z
5,"<b>Mercedes</b> also came to the beach to promote their latest &#39;glamper-van&#39; this summer. It is all good <b>publicity</b> for North Wales with Jim Jones, the managing director of North Wales Tourism, recently saying he was &quot;delighted but not surprised&quot; the region&#39;s ...",Britain&#39;s &#39;zombie cars&#39; that drivers are still buying up,https://www.dailypost.co.uk/business/business-news/britains-zombie-cars-drivers-still-15355314,Daily Post Wales,2018-10-31T17:32:00.0000000Z
6,"Okay, this is what I am talking about: On Saturday, October 27, Sidika took to Instagram to claim that Otile Brown was borrowing her money to the tune of a half a million shillings so that he could top up and buy a <b>Mercedes</b> Benz car model of registration ...","OKOTH: Vera Sidika &amp; Otile Brown, you can do better in seeking <b>publicity</b>",https://edaily.co.ke/entertainment/okoth-vera-sidika-otile-brown-you-can-do-better-in-seeking-publicity-133962/enews/celebs/,eDaily Kenya,2018-10-29T11:36:00.0000000Z
7,"That <b>Mercedes</b>’ decision to enforce team orders was not pre-ordained ... undercut on Bottas would have been the simplest method and least damaging in terms of <b>publicity</b>. But they did not do so, stuck to their plan and were forced to take the hard decision ...",<b>Mercedes</b> team orders leave a sour taste in Sochi as Ferrari struggle again,https://www.theguardian.com/sport/blog/2018/oct/01/mercedes-team-orders-leave-a-sour-taste-in-sochi-as-ferrari-struggle-again-lewis-hamilton-f1,The Guardian,2018-10-02T09:36:00.0000000Z
8,"Daimler owned <b>Mercedes</b>, BMW and Volkswagen&#39;s Audi and Porsche divisions are all gunning for the USD 52 billion Californian upstart, with early <b>publicity</b> efforts emulating its tech-industry halo. The market for upscale electric cars is Tesla&#39;s to lose ...",<b>Mercedes</b> Benz set to unveil electric SUV against Tesla,https://steelguru.com/auto/mercedes-benz-set-to-unveil-electric-suv-against-tesla/519724,Steel News,2018-09-05T06:37:00.0000000Z
9,"Daimler-owned <b>Mercedes</b>, BMW and Volkswagen&#39;s Audi and Porsche divisions are all gunning for the $52 billion Californian upstart, with early <b>publicity</b> efforts emulating its tech-industry halo. The market for upscale electric cars is Tesla&#39;s to lose ...","<b>Mercedes</b> unveils electric SUV, opens German assault on Tesla",https://www.aol.com/article/finance/2018/09/04/mercedes-unveils-electric-suv-opens-german-assault-on-tesla/23516814/,AOL,2018-09-04T19:19:00.0000000Z
10,"Daimler-owned <b>Mercedes</b>, BMW and Volkswagen’s Audi and Porsche divisions are all gunning for the US$52 billion Californian upstart, with early <b>publicity</b> efforts emulating its tech-industry halo. The market for upscale electric cars is Tesla’s to lose ...",Electric <b>Mercedes</b> opens German assault on Tesla,https://www.freemalaysiatoday.com/category/business/2018/09/04/electric-mercedes-opens-german-assault-on-tesla/,Free Malaysia Today,2018-09-04T15:13:00.0000000Z
11,"<b>Mercedes</b>-Benz, BMW, Audi and Porsche are all gunning for the $52 billion (R780 billion) Californian upstart, with early <b>publicity</b> efforts emulating its tech-industry halo. The market for upscale electric cars is Tesla&#39;s to lose, with sales of its entry ...",<b>Mercedes</b>&#39; electric SUV set to rattle Tesla&#39;s cage,https://www.iol.co.za/motoring/industry-news/mercedes-electric-suv-set-to-rattle-teslas-cage-16877814,Independent Online,2018-09-04T10:24:00.0000000Z
12,"Daimler-owned <b>Mercedes</b>, BMW and Volkswagen&#39;s Audi and Porsche divisions are all gunning for the $US52 billion ($72 billion) Californian upstart, with early <b>publicity</b> efforts emulating its tech-industry halo. The market for upscale electric cars is Tesla&#39;s ...",<b>Mercedes</b> reveals EQC electric SUV to open Germany&#39;s assault on Tesla,https://www.afr.com/business/transport/automobile/mercedes-reveals-eqc-electric-suv-to-open-germanys-assault-on-tesla-20180904-h14wi0,The Australian Financial Review,2018-09-04T01:10:00.0000000Z
13,"Daimler-owned <b>Mercedes</b>, BMW and Volkswagen&#39;s Audi and Porsche divisions are all gunning for the $52 billion Californian upstart, with early <b>publicity</b> efforts emulating its tech-industry halo. <b>Mercedes</b>-Benz is set to unveil its much-anticipated electric SUV ...",Electric <b>Mercedes</b> opens German assault on Tesla,https://www.moneycontrol.com/news/automobile/electric-mercedes-opens-german-assault-on-tesla-2912571.html,moneycontrol.com,2018-09-03T15:53:00.0000000Z
14,"Daimler-owned (DAIGn.DE) <b>Mercedes</b>, BMW (BMWG.DE) and Volkswagen&#39;s (VOWG_p.DE) Audi and Porsche divisions are all gunning for the $52 billion Californian upstart, with early <b>publicity</b> efforts emulating its tech-industry halo. The market for upscale electric ...",Electric <b>Mercedes</b> opens German assault on Tesla,https://finance.yahoo.com/news/electric-mercedes-opens-german-assault-120522839.html,Yahoo Finance,2018-09-03T15:04:00.0000000Z
15,"Daimler-owned <b>Mercedes</b>, BMW and Volkswagen&#39;s Audi and Porsche divisions are all gunning for the $52 billion Californian upstart, with early <b>publicity</b> efforts emulating its tech-industry halo.REUTERS | September 03, 2018, 17:52 IST By Esha Vaish and ...",Electric <b>Mercedes</b> opens German assault on Tesla,https://auto.economictimes.indiatimes.com/news/auto-technology/electric-mercedes-opens-german-assault-on-tesla/65659071,ET Auto.com,2018-09-03T12:33:00.0000000Z
16,"Daimler-owned <b>Mercedes</b>, BMW and Volkswagen&#39;s Audi and Porsche divisions are all gunning for the $52 billion Californian upstart, with early <b>publicity</b> efforts emulating its tech-industry halo. The market for upscale electric cars is Tesla&#39;s to lose ...",Electric <b>Mercedes</b> Opens German Assault on Tesla,https://www.usnews.com/news/top-news/articles/2018-09-03/electric-mercedes-opens-german-assault-on-tesla,U.S. News &amp; World Report,2018-09-03T12:31:00.0000000Z
17,"Daimler-owned &lt;DAIGn.DE&gt; <b>Mercedes</b>, BMW &lt;BMWG.DE&gt; and Volkswagen&#39;s &lt;VOWG_p.DE&gt; Audi and Porsche divisions are all gunning for the $52 billion Californian upstart, with early <b>publicity</b> efforts emulating its tech-industry halo. The market for upscale electric ...",Electric <b>Mercedes</b> opens German assault on Tesla,https://uk.news.yahoo.com/electric-mercedes-opens-german-assault-tesla-120522296--finance.html,Yahoo!,2018-09-03T12:12:00.0000000Z
18,"<b>Mercedes</b>-Benz is set to lift the hood on its first electric vehicle tomorrow, debuting its EQC electric SUV to challenge Tesla&#39;s hold on the luxury battery-powered market. Early <b>publicity</b> efforts from <b>Mercedes</b> have largely echoed a Tesla-style approach in ...",<b>Mercedes</b>-Benz to unveil its first Tesla-challenger electric SUV,http://www.cityam.com/262347/mercedes-benz-unveil-its-first-tesla-challenger-electric,City A.M.,2018-09-03T02:52:00.0000000Z
19,"The investment is already paying off in <b>publicity</b>. Since opening in 2015 ... being seven years younger than the average Porsche customer, the automaker said. <b>Mercedes</b> pop-ups Building the customer pipeline also drives <b>Mercedes</b>-Benz&#39;s experiential retail ...","Porsche, <b>Mercedes</b> sell experience now, car later",http://www.autonews.com/article/20180902/RETAIL03/180909967/porsche-mercedes-experience-center,Automotive News,2018-09-02T04:05:00.0000000Z
20,"This video clip released by <b>Mercedes</b>-Benz USA depicts Bertha&#39;s journey ... along the way — some fearing the &quot;smoking monster,&quot; and some wanting a ride. And the <b>publicity</b>, of course, was exactly what Bertha had wanted. Bertha Benz died in 1944, at ...","<b>Mercedes</b> film honors the first road trip, by the mother of the automobile",https://www.autoblog.com/2018/08/24/mercedes-film-bertha-benz-first-road-trip/,Autoblog,2018-08-24T14:17:00.0000000Z
21,<b>Mercedes</b>-Benz is known for luxury ... Sports car racing became a significant way to garner <b>publicity</b>. The Benz Velo participated in the first automobile race: Paris to Rouen 1894. Sales at Benz skyrocketed when the name of the automobile was associated ...,100 Years Of <b>Mercedes</b>-Benz,https://www.cheatsheet.com/automobiles/100-years-of-mercedes-benz.html/,The Cheat Sheet,2018-08-14T18:17:00.0000000Z
22,"The 2019 <b>Mercedes</b>-Benz G-Class changes more than any Geländewagen ... Speaking of flat-earthers, we’ve also seen bits of fake news in the burst of <b>publicity</b> surrounding the new G-Class that are actual fake news. Allow us to set the record straight ...",3 reasons to not buy the new <b>Mercedes</b>-Benz G-Class,https://autoweek.com/article/luxury/top-three-reasons-not-buy-new-mercedes-benz-g-class,Autoweek,2018-05-21T15:35:00.0000000Z
23,"Baku, Apr 29 (AFP) <b>Mercedes</b> team chief Toto Wolff laughed off Bernie Ecclestone&#39;s suggestion that Lewis Hamilton is &quot;a bit tired&quot; of Formula One as nothing more than a <b>publicity</b> &quot;hand grenade&quot;. While Hamilton declined to react to the former commercial ...",Wolff defends Hamilton over Ecclestone <b>publicity</b> &#39;grenade&#39;,https://www.sportskeeda.com/motorsports/wolff-defends-hamilton-over-ecclestone-publicity-grenade,Sportskeeda,2018-04-29T15:30:00.0000000Z
