,description,headline,url,provider,date
0,"Tennis legend Roger Federer found the perfect partner for a training day out in Zurich, Switzerland: the <b>Mercedes</b>-Benz X-Class. Federer did the advertisement video in late <b>September</b> on Zurich streets, and he took photos with fans. The Swiss is currently ...",<b>Mercedes</b>-Benz X-Class: Roger Federer’s Training Day,https://www.tennisworldusa.org/tennis/videos/Roger_Federer/63002/mercedesbenz-xclass-roger-federers-training-day/,Tennis World,2018-11-17T12:05:00.0000000Z
1,"2018 Meet the mum with Christmas presents already sorted - after completing her shopping in <b>September</b> Birmingham mail - 12:52 PM GMT November 08, 2018 Hollyoaks spoilers: <b>Mercedes</b> gets her revenge by getting Goldie arrested for murder Metro - 19:30 ...","Chechen leader gives boy <b>Mercedes</b> for completing 4,105 push-ups",https://www.newsoneplace.com/7840381809/chechen-mercedes-leader-completing,newsoneplace.com,2018-11-16T22:44:00.0000000Z
2,"Head Coach Sean Payton speaks with the media at the Ochsner Sports Performance Center as the Saints prepare to travel to Atlanta and face the Falcons on Sunday, <b>September</b> 23 at <b>Mercedes</b>-Benz Stadium at Noon on Fox. Sean Kelley and John DeShazier preview ...",Sean Payton Saints vs Eagles Week 11 Media Availability,https://www.neworleanssaints.com/video/sean-payton-saints-vs-eagles-week-11-media-availability,New Orleans Saints,2018-11-16T21:48:00.0000000Z
3,"<b>Mercedes</b>-Benz is continuing the tourer’s success story ... by the plants in Kecskemét (Hungary), Uusikaupunki (Finland) and the A-Class Sedan in <b>September</b> in Aguascalientes (Mexico). “The B-Class ramp-up marks a further milestone in the ramp-up ...",Continuation of ramp-up cascade of next-generation compact cars: <b>Mercedes</b>-Benz Rastatt plant starts production of the new B-Class,https://www.automotiveworld.com/news-releases/continuation-of-ramp-up-cascade-of-next-generation-compact-cars-mercedes-benz-rastatt-plant-starts-production-of-the-new-b-class/,Automotive World,2018-11-16T12:14:00.0000000Z
4,"<b>Mercedes</b>-Benz India has launched the third-generation CLS ... autoX Editorial Fuelled by passionate motoring junkies since <b>September</b> 2006, is the fastest growing automotive lifestyle publication &amp; portal in India. Through our comprehensive tests and ...",New <b>Mercedes</b>-Benz CLS launched at Rs 84.70 lakh,https://www.autox.com/news/car-news/new-mercedes-benz-cls-launched-at-rs-8470-lakh-104947/,autoX,2018-11-16T07:56:00.0000000Z
5,"In <b>September</b> the eCitaro celebrated its prominent world premiere at the IAA and now its already bringing a breath of fresh air to Hamburg: today, <b>Mercedes</b>‑B enz delivered the first series production model of an urban bus with a fully-electric drive ...","<b>Mercedes</b>-Benz supplies first fully electrical bus, the eCitaro",https://www.electricvehiclesresearch.com/articles/15848/mercedes-benz-supplies-first-fully-electrical-bus-the-ecitaro,Electric Vehicles,2018-11-16T00:35:00.0000000Z
6,"Bernstein set a €73.00 ($84.88) price target on shares of Daimler and gave the company a neutral rating in a report on Monday, <b>September</b> 17th ... It operates through <b>Mercedes</b>-Benz Cars, Daimler Trucks, <b>Mercedes</b>-Benz Vans, Daimler Buses, and Daimler ...",Daimler (DAI) Given a €80.00 Price Target at Deutsche Bank,https://www.dispatchtribunal.com/2018/11/15/daimler-dai-given-a-80-00-price-target-at-deutsche-bank.html,dispatchtribunal.com,2018-11-16T00:04:00.0000000Z
7,"Though not as significant of a drop as in <b>September</b>, which had dropped 22.5% ... which was followed by Ford and <b>Mercedes</b>-Benz. Volkswagen also had the bestselling compact SUV for fleets in October, with the Tiguan, Dataforce said in a recent report.",UK Fleet Registrations Drop Despite Strong SUV Sales,https://www.automotive-fleet.com/319442/uk-fleet-registrations-drop-despite-strong-suv-sales,Automotive Fleet,2018-11-15T22:35:00.0000000Z
8,"Parent company Daimler announced Thursday the first of 20 <b>Mercedes</b> eCitaro buses was handed over to Hochbahn, a public transport company in the city. The eCitaro made its debut in <b>September</b> and features a total battery capacity of 243 kilowatt-hours ...",Daimler delivers first electric <b>Mercedes</b>-Benz bus in Germany,https://www.motorauthority.com/news/1119955_daimler-delivers-first-electric-mercedes-benz-bus-in-germany,Motor Authority,2018-11-15T20:06:00.0000000Z
9,"Geely, meanwhile, can relax for a while, despite the sudden end of its golden run, it holds a substantial 9.69% share of parent of <b>Mercedes</b>-Benz, Daimler AG Volvo sales, meanwhile, were up one-third in China year-over-year in the January-to-<b>September</b> period.",Trump&#39;s trade war with China just ended one car manufacturer&#39;s incredible 46-month streak,https://www.businessinsider.com/us-china-trade-war-effects-on-auto-industry-2018-11,Business Insider,2018-11-15T16:55:00.0000000Z
10,"Sales in <b>September</b> reflected manufacturers’ inability to make enough ... BMW looked good with a 13.8% rise to 81,376 including Mini, and <b>Mercedes</b> managed a 7.7% gain to 72,457, according to ACEA. After the latest figures, LMC Automotive slashed its ...","VW, Renault, Alfa Romeo Sales Suffer From Europe&#39;s New Fuel Economy Rules",https://www.forbes.com/sites/neilwinton/2018/11/15/vw-renault-alfa-romeo-sales-suffer-from-europes-new-fuel-economy-rules/,Forbes,2018-11-15T16:18:00.0000000Z
11,"However, George has announced he will take the stage on March 30 at <b>Mercedes</b>-Benz Stadium in Atlanta ... to accomplish the four-week feat was Dustin Lynch&#39;s &quot;Small Town Boy&quot; in <b>September</b>/October 2017. &quot;She Got the Best of Me&quot; is Luke&#39;s fourth consecutive ...","Julie Reeves: Concerts, songs and a new album announcement",http://www.herald-dispatch.com/features_entertainment/julie-reeves-concerts-songs-and-a-new-album-announcement/article_2c2ca4f5-cb5b-5b70-8167-4ca41ba288ba.html,The Herald-Dispatch,2018-11-15T04:01:00.0000000Z
12,<b>Mercedes</b> driver Valtteri Bottas had hoped victory in Abu Dhabi ... from the end while leading in Azerbaijan last April and obeying team orders in Russia in <b>September</b> to let Hamilton past after starting on pole. He is not expecting any special favours ...,Bottas: Abu Dhabi win will make winter break a bit nicer,https://www.grandprix247.com/2018/11/14/bottas-abu-dhabi-win-will-make-winter-break-a-bit-nicer/,grandprix247,2018-11-14T20:35:00.0000000Z
13,"In the July to <b>September</b> 2018 period, Tesla had managed to sell 3,383 units more than <b>Mercedes</b>-Benz in the United States courtesy of Model 3 Tesla has been making huge statement in the United States market as well as across the globe following the ...",Tesla Outsells <b>Mercedes</b>-Benz For The First Time In Its History,https://gaadiwaadi.com/tesla-outsells-mercedes-benz-us-third-quarter-2018/,gaadiwaadi.com,2018-11-14T05:28:00.0000000Z
14,"took over the role at the end of <b>September</b> but can only stay on until 2020 under German corporate governance rules. Uebber has a lot of restructuring experience, having been a core part of Daimler&#39;s management team that nursed <b>Mercedes</b>-Benz back to health ...","Daimler CFO set to become Thyssenkrupp chairman, report says",http://www.autonews.com/article/20181112/OEM02/181119937/daimler-cfo-set-to-become-thyssenkrupp-chairman-report-says,Automotive News,2018-11-12T18:09:00.0000000Z
15,"The fifth-gen <b>Mercedes</b>-Benz C-Class is already in the works and our ... autoX Editorial Fuelled by passionate motoring junkies since <b>September</b> 2006, is the fastest growing automotive lifestyle publication &amp; portal in India. Through our comprehensive ...",Fifth-gen <b>Mercedes</b>-Benz C-Class spied,https://www.autox.com/news/car-news/fifth-gen-mercedes-benz-c-class-spied-104898/,autoX,2018-11-12T08:57:00.0000000Z
16,"<b>MERCEDES</b> — The <b>Mercedes</b> City Commission passed up about ... Zavala had been serving as interim city manager since <b>September</b> 2017, when the commission fired then-City Manager Daniel Tijerina after only two months at the helm. Since then, the city had ...",<b>Mercedes</b> moves interim city manager into permanent position,https://www.valleymorningstar.com/news/local_news/mercedes-moves-interim-city-manager-into-permanent-position/article_cd360e42-e635-11e8-b8cb-87d10d877362.html,Valley Morning Star,2018-11-12T03:45:00.0000000Z
