,description,headline,url,provider,date
0,"Got a Dynavin in my C-class and am very happy with it, so my E-class is gonna get one too. Dynavin head units look very similar to the NTG1, have the same <b>Mercedes</b> orange lighting in the dark, come with digital radio, tv, USB ports and a SD-card slot.",My new <b>Mercedes</b> E420 CDI,https://www.carthrottle.com/post/98l5oxl/,Car Throttle,2018-11-17T18:52:00.0000000Z
1,<b>Daimler</b> (ETR:DAI) has been given a €48.00 ($55.81) price target by research analysts at Citigroup in a report issued on Thursday. The brokerage presently has a “sell” rating on the <b>stock</b>. Citigroup’s price target would indicate a potential downside ...,<b>Daimler</b> (DAI) Given a €48.00 Price Target at Citigroup,https://www.themarketsdaily.com/2018/11/17/daimler-dai-given-a-48-00-price-target-at-citigroup.html,themarketsdaily.com,2018-11-17T07:39:00.0000000Z
2,<b>Daimler</b> (ETR:DAI) received a €64.00 ($74.42) price target from research analysts at BNP Paribas in a research note issued to investors on Friday. The brokerage presently has a “buy” rating on the <b>stock</b>. BNP Paribas’ price objective would suggest a ...,<b>Daimler</b> (DAI) PT Set at €64.00 by BNP Paribas,https://theenterpriseleader.com/2018/11/16/daimler-dai-pt-set-at-64-00-by-bnp-paribas.html,theenterpriseleader.com,2018-11-17T00:54:00.0000000Z
3,"<b>Daimler</b> (ETR:DAI) has been given a €54.00 ($62.79) target price by <b>stock</b> analysts at UBS Group in a research report issued to clients and investors on Monday, October 22nd, www.boersen-zeitung.de reports. The firm currently has a “neutral” rating on ...",<b>Daimler</b> (ETR:DAI) Given a €54.00 Price Target at UBS Group,https://theenterpriseleader.com/2018/11/16/ubs-group-reiterates-54-00-price-target-for-daimler-dai.html,theenterpriseleader.com,2018-11-17T00:18:00.0000000Z
4,"The firm currently has a buy rating on the <b>stock</b>. DAI has been the topic of several other reports. Morgan Stanley set a €70.00 ($81.40) price objective on shares of <b>Daimler</b> and gave the <b>stock</b> a neutral rating in a report on Tuesday, September 11th.",<b>Daimler</b> (DAI) Given a €80.00 Price Target at Deutsche Bank,https://www.dispatchtribunal.com/2018/11/15/daimler-dai-given-a-80-00-price-target-at-deutsche-bank.html,dispatchtribunal.com,2018-11-16T00:04:00.0000000Z
5,"<b>Daimler</b> Truck Financial, moovel, car2go and mytaxi. The company is listed on the <b>stock</b> exchanges of Frankfurt and Stuttgart (<b>stock</b> exchange symbol DAI). In 2017, the Group sold around 3.3 million ...",<b>Daimler</b> Financial Services AG announces Top Management Rotation,https://globenewswire.com/news-release/2018/11/15/1652506/0/en/Daimler-Financial-Services-AG-announces-Top-Management-Rotation.html,GlobeNewswire,2018-11-15T16:03:00.0000000Z
6,The <b>Mercedes</b>-AMG E63 S is an absolute beast ... with contrasting orange accents on the wheels and brake calipers. The <b>stock</b> alloys have also been replaced with a set of large 21-inch wheels ...,Brabus Turns <b>Mercedes</b>-AMG E63 Into A 789-HP Beast,https://carbuzz.com/news/brabus-turns-mercedes-amg-e63-into-a-789-hp-beast,CarBuzz,2018-11-15T12:22:00.0000000Z
7,<b>Daimler</b> (OTCMKTS:DDAIF)‘s <b>stock</b> had its “neutral” rating reiterated by equities research analysts at Sanford C. Bernstein in a research report issued to clients and investors on Wednesday. Several other research analysts also recently weighed in on ...,<b>Daimler</b>’s (DDAIF) “Neutral” Rating Reaffirmed at Sanford C. Bernstein,https://www.themarketsdaily.com/2018/11/15/daimlers-ddaif-neutral-rating-reaffirmed-at-sanford-c-bernstein.html,themarketsdaily.com,2018-11-15T04:44:00.0000000Z
8,"<b>Daimler</b> AG (DAI.XE) said Wednesday that it plans to invest ... Register now to create your own custom streaming <b>stock</b> watchlist. NYSE, AMEX, and ASX quotes are delayed by at least 20 minutes. All other quotes are delayed by at least 15 minutes unless ...",<b>Daimler</b> to Invest Into New Chinese R&amp;D Center,https://www.advfn.com/news_Daimler-to-Invest-Into-New-Chinese-R-D-Center_78684266.html,ADVFN,2018-11-14T08:14:00.0000000Z
9,"In comparison to <b>Mercedes</b>-Benz that retailed a total of 66,542 units in the same period, Tesla had managed to outsell it by 3,383 units. Tesla was rated as a laughing <b>stock</b> by many when the startup struggled to make a mark among the big players in the game ...",Tesla Outsells <b>Mercedes</b>-Benz For The First Time In Its History,https://gaadiwaadi.com/tesla-outsells-mercedes-benz-us-third-quarter-2018/,gaadiwaadi.com,2018-11-14T05:28:00.0000000Z
10,"As for the latest adventure, the Chiron was challenged on a 1,000-meter (3,281 feet) run, from a 50 km/h (31 mph) rolling start, by a <b>Mercedes</b>-AMG GT R. Also Watch: Just How Quick Is The Bugatti Chiron Compared To The McLaren 720S? Surely, the <b>stock</b> German ...",Chiron Vs. 760HP <b>Mercedes</b>-AMG GT R Race Shows How Fast The Bugatti Is,https://www.carscoops.com/2018/11/chiron-vs-760hp-mercedes-amg-gt-r-race-shows-fast-bugatti/,Carscoops,2018-11-13T22:00:00.0000000Z
11,"Carmaker shares were flat following the news on the next steps in the U.S. probe, with BMW trading at 72.46 euros at 12:00 a.m. in Frankfurt, while Volkswagen <b>stock</b> rose 0.01 percent. The sector has battled multiple challenges this year, with trade ...","VW, <b>Daimler</b> and BMW Brace for U.S. Tariffs as Truce Nears End",https://www.bloomberg.com/news/articles/2018-11-13/vw-daimler-and-bmw-brace-for-u-s-tariffs-as-truce-nears-ends,Bloomberg L.P.,2018-11-13T11:11:00.0000000Z
12,"In my November 4 podcast, I shared a few recent dreams, which I interpreted to mean the <b>stock</b> market is first going to move ... but there was a very powerful silver <b>Mercedes</b> Benz trying to pass me. He took the lead at one point, but I was racing to ...",<b>Stock</b> market crash update,https://z3news.com/w/stock-market-crash-update/,Z3 News,2018-11-13T04:17:00.0000000Z
13,"<b>Daimler</b>, too, which also sells cars produced ... value in Q2 into a 4.9 percent gain in Q3. This was despite its <b>stock</b> having started the latest quarter at a year low of 141 euros and hitting ...","BMW, <b>Daimler</b> profit warnings hit shareholder value",http://europe.autonews.com/article/20181112/ANE/181109836/bmw-daimler-profit-warnings-hit-shareholder-value,Automotive News Europe,2018-11-12T10:43:00.0000000Z
14,"The <b>Mercedes</b>-Benz 190 SL was the more laid-back version of the ... That number is far too ambitious as no <b>stock</b> 190 SL could exceed 110 mph. There’s also a third, much smaller, gauge just below the odometer which informs you about how much gas you ...",1958 <b>Mercedes</b>-Benz 190 SL,https://www.topspeed.com/cars/mercedes/1958-mercedes-benz-190-sl-ar183115.html,Top Speed,2018-11-09T14:10:00.0000000Z
