,description,headline,url,provider,date
0,"Roland van der Put, Head of Network <b>Technology</b> at Fastned ... other upcoming models like the Porsche Taycan, Tesla Model 3, <b>Mercedes</b> EQC, Audi e-tron, BMW i3 and more were tested at a symposium ...",Renault Tests ZOE Prototype With CCS Combo Charging Inlet,https://insideevs.com/renault-zoe-prototype-ccs-charging-inlet/,Inside EVs,2018-11-17T14:59:00.0000000Z
1,"Come 2020, <b>Mercedes</b>-Benz will take the veil off the seventh generation ... boils down to the effortless change from assembly operation to cycle operation. 5G <b>technology</b> is used by the machines and systems in Factory 56 to communicate with one another ...",Factory 56 Video Tour Reveals Assembly Line Of <b>Mercedes</b>-Benz W223,https://www.autoevolution.com/news/factory-56-video-tour-reveals-assembly-line-of-mercedes-benz-w223-130210.html,autoevolution,2018-11-17T07:48:00.0000000Z
2,"A highlight of the system is artificial intelligence that allows the <b>technology</b> to learn, predict, and anticipate what the user wants to do next. Also, the new “Hey <b>Mercedes</b>” natural-voice-recognition system learns from the EQC’s users. Buyers can ...",2020 <b>Mercedes</b>-Benz EQC Preview,https://www.nadaguides.com/cars/new-car-previews/2020-Mercedes-Benz-EQC-Preview,NADAguides,2018-11-17T03:16:00.0000000Z
3,<b>Mercedes</b>-Benz outlined numerous comfort-related options for the new GLE-Class. Seat Kinetics <b>technology</b> is a new upgrade for the front seats and can make small and subtle changes to the cushion and backrest in order to support changes in the driver’s or ...,2020 <b>Mercedes</b>-Benz GLE Preview,https://www.nadaguides.com/cars/new-car-previews/2020-Mercedes-Benz-GLE-Preview,NADAguides,2018-11-17T03:16:00.0000000Z
4,"<b>Mercedes</b>-Benz GLC F-Cell SUV The GLC features a unique plug ... fewer than 6,400 hydrogen fuel cell vehicles had been sold worldwide since 2013. But as fuel cell <b>technology</b> becomes more affordable, that&#39;s expected to change. By 2022, it&#39;s estimated that ...",Hydrogen Fuel Cell <b>Technology</b> Is Just Now Taking Off,https://www.energyandcapital.com/articles/hydrogen-fuel-cell-technology-is-just-now-taking-off/6584,Energy and Capital,2018-11-16T22:01:00.0000000Z
5,"Today, the Cadillac CTS is one of the only models with V2V <b>technology</b> (vehicle-to-vehicle), which allows the sedan to communicate with other models. BMW, Ford, Hyundai, and <b>Mercedes</b> are also working on V2V or V2X <b>technology</b>.",Future Jaguar-Land Rover vehicles will communicate with traffic lights,https://www.motorauthority.com/news/1119978_future-jaguar-land-rover-vehicles-will-communicate-with-traffic-lights,Motor Authority,2018-11-16T18:06:00.0000000Z
6,"In Rastatt and Hambach, compact <b>Mercedes</b>-Benz electric vehicles of the EQ product and <b>technology</b> brand will roll off the line in the future.",Continuation of ramp-up cascade of next-generation compact cars: <b>Mercedes</b>-Benz Rastatt plant starts production of the new B-Class,https://www.automotiveworld.com/news-releases/continuation-of-ramp-up-cascade-of-next-generation-compact-cars-mercedes-benz-rastatt-plant-starts-production-of-the-new-b-class/,Automotive World,2018-11-16T12:14:00.0000000Z
7,Stuttgart/Sindelfingen – For the first time <b>Mercedes</b>-Benz Cars gives a deeper insight in the ... Selected assembly facilities and materials handling <b>technology</b> are Internet of Things-ready. A high-performance and efficient wireless network and mobile ...,<b>Mercedes</b>&#39; New Factory Looks Straight From A Sci-Fi Movie,https://www.motor1.com/news/276510/mercedes-factory-56-video-tour/,Motor1,2018-11-16T07:30:00.0000000Z
8,"The <b>Mercedes</b>‑Benz eCitaro is the first fully-electric urban ... It impresses with innovative <b>technology</b>, particularly with its unique thermo-management which is essential for electric buses. It reduces energy consumption and in turn increases range.","<b>Mercedes</b>-Benz supplies first fully electrical bus, the eCitaro",https://www.electricvehiclesresearch.com/articles/15848/mercedes-benz-supplies-first-fully-electrical-bus-the-ecitaro,Electric Vehicles,2018-11-16T00:35:00.0000000Z
9,"FCW <b>technology</b> provides a visual ... In earlier studies involving Acura, Fiat Chrysler, Honda, <b>Mercedes</b>-Benz, Subaru and Volvo vehicles, it found that the combination of FCW and AEB reduced front-to-rear crash rates by 50 percent for all crashes, and ...",New Study Shows Automatic Braking Significantly Reduces Crashes and Injuries,https://www.consumerreports.org/automotive-technology/automatic-braking-reduces-car-crashes-injuries-iihs-study/,Consumer Reports,2018-11-15T23:46:00.0000000Z
10,"The 2018 <b>Mercedes</b>-Benz S-Class follows in the drive-steps of the E-Class by offering an extensive and impressive list of safety <b>technology</b>, but by offering several advanced driver assist ...",Two <b>Mercedes</b>-Benz Models Make US News’ List of Cars with the Best Safety Features,http://thenewswheel.com/two-mercedes-benz-models-make-us-news-list-of-cars-with-the-best-safety-features/,thenewswheel.com,2018-11-15T23:16:00.0000000Z
11,"In the same statement, <b>Mercedes</b>-Benz noted that the windshield glass manufactured for its vehicles has very particular specifications. Other glass manufacturers may not have the same access to the <b>technology</b> that can ensure one hundred percent ...",<b>Mercedes</b>-Benz Releases Statement on Windshield Glass Replacements,https://www.benzinsider.com/2018/11/mercedes-benz-releases-statement-on-windshield-glass-replacements/,BenzInsider,2018-11-15T23:14:00.0000000Z
12,France and the UK to deliver disruptive <b>technology</b> such as the industry-first cockpit domain controller -- SmartCore™ -- which launched on the <b>Mercedes</b> Benz A-Class and Actros truck earlier this ...,"Visteon Inaugurates New <b>Technology</b> Center in Karlsruhe, Germany",https://finance.yahoo.com/news/visteon-inaugurates-technology-center-karlsruhe-201500031.html,Yahoo Finance,2018-11-15T20:24:00.0000000Z
13,"The stop/start <b>technology</b> didn’t help us save much fuel as the system ... The exterior lighting at night is great for approaching and entering the vehicle. It also projects a <b>Mercedes</b> logo onto the ground, just in case you forget what you are driving.",2019 <b>Mercedes</b>-AMG GLS63 – Road Test Review – By Matt Barnes,http://www.car-revs-daily.com/2018/11/15/2019-mercedes-amg-gls63-road-test-review-by-matt-barnes/,car-revs-daily.com,2018-11-15T19:30:00.0000000Z
14,"THE QUINTESSENTIAL <b>MERCEDES</b> is still a <b>technology</b>-laden luxury sedan. Yes, today the company’s three-pointed star adorns a wider variety of vehicles than even Ford’s Blue Oval. But that is merely the cost of chasing luxury market share. <b>Mercedes</b> ...",True To Form,https://www.magzter.com/articles/2238/313819/5bed158013086,Magzter,2018-11-15T19:04:00.0000000Z
15,"“<b>Mercedes</b>-Benz has always stressed that this <b>technology</b> is designed to assist the driver, not to encourage customers to ignore their responsibilities as drivers,” the automaker said in a statement. Tesla says that it reminds drivers to keep their hands ...",Tests show problems with driver-assist systems in cars,https://www.reviewjournal.com/news/science-and-technology/tests-show-problems-with-driver-assist-systems-in-cars-1527777/,Las Vegas Review-Journal,2018-11-15T16:58:00.0000000Z
16,"<b>Mercedes</b>-AMG Petronas Motorsport already employs ON Semiconductor <b>technology</b> in the ignition, injection driver, and energy recovery pack of its race cars. Now, the team and ON Semiconductor have announced a partnership to develop next-generation powertrain ...",ON Semiconductor Ups Its Automotive Game With <b>Mercedes</b> F1 And FE Wins,https://www.forbes.com/sites/patrickmoorhead/2018/11/15/on-semiconductor-ups-its-automotive-game-with-mercedes-f1-and-fe-wins/,Forbes,2018-11-15T16:43:00.0000000Z
17,"It will be conducted in the tailgate area of the <b>Mercedes</b>-Benz Stadium before the game between ... a volumetric capture and live streaming holographic <b>technology</b>. “For the first time, portable and affordable real-time volumetric capture is now available ...",AT&amp;T 3D 5G Demo to Feature Dancing Fans at NFL Game,https://www.telecompetitor.com/att-3d-5g-demo-to-feature-dancing-fans-at-nfl-game/,OTT,2018-11-15T16:10:00.0000000Z
18,"Both of these incredible achievements are the culmination of terrific teamwork and outstanding performance, values we share with <b>Mercedes</b>-AMG Petronas Motorsport. We&#39;re happy to be part of creating a winning formula of <b>technology</b> and innovation with Spies ...",Axalta congratulates <b>Mercedes</b>-AMG Petronas Motorsport on another historic Formula One™ season,https://www.prnewswire.com/news-releases/axalta-congratulates-mercedes-amg-petronas-motorsport-on-another-historic-formula-one-season-300751335.html,PR Newswire,2018-11-15T15:48:00.0000000Z
19,"&quot;<b>Mercedes</b>-Benz has always stressed that this <b>technology</b> is designed to assist the driver, not to encourage customers to ignore their responsibilities as drivers,&quot; the automaker said in a statement. Tesla says that it reminds drivers to keep their hands on ...",AAA joins the chorus to say: Driver assists don&#39;t always work,https://www.autoblog.com/2018/11/15/aaa-driver-assist-technology/,Autoblog,2018-11-17T14:16:00.0000000Z
20,"Jaunt’s XR Cast <b>technology</b>, capable of capturing and streaming ... fan event at International Plazas outside of Gate Two at <b>Mercedes</b>-Benz Stadium on Nov 18 th from 10 a.m. to 12:30 p.m. ET.",Jaunt Collaborates with AT&amp;T to Put Real-Time 3D Hologram <b>Technology</b> over 5G in the Hands of Fans at Upcoming Atlanta Falcons Game,https://finance.yahoo.com/news/jaunt-collaborates-t-put-real-140000825.html,Yahoo Finance,2018-11-15T14:42:00.0000000Z
21,<b>Mercedes</b>’ MAGIC SKY CONTROL roof blocks up ... inside the vehicle without having to open the roof. SPD-SmartGlass <b>technology</b> in cars has also been shown to increase the driving range of electric ...,A MORE INTELLIGENT WAY TO CONTROL RESEARCH FRONTIERS’ SPD-SMARTGLASS <b>TECHNOLOGY</b> IN CARS SHOWN AT ELECTRONICA 2018,https://globenewswire.com/news-release/2018/11/15/1652399/0/en/A-MORE-INTELLIGENT-WAY-TO-CONTROL-RESEARCH-FRONTIERS-SPD-SMARTGLASS-TECHNOLOGY-IN-CARS-SHOWN-AT-ELECTRONICA-2018.html,GlobeNewswire,2018-11-15T14:20:00.0000000Z
22,&quot;Hey <b>Mercedes</b>&quot; is the verbal prompt to activate ... provide a new dimension of lighting <b>technology</b> in the segment.,The new <b>Mercedes</b>-Benz A-Class makes its Canadian debut,https://markets.businessinsider.com/news/stocks/the-new-mercedes-benz-a-class-makes-its-canadian-debut-1027731201,Markets Insider,2018-11-15T14:03:00.0000000Z
