,description,headline,url,provider,date
0,"That said, if Tesla flames out, it’s not hard to imagine <b>General</b> <b>Motors</b> leading the North American autonomous vehicle race, delivering ample profits for its loyal <b>shareholders</b>. For investors who ...",7 Autonomous Vehicle Stocks to Consider Now,https://finance.yahoo.com/news/7-autonomous-vehicle-stocks-consider-191237622.html,Yahoo Finance,2018-11-17T00:25:00.0000000Z
1,"On average, research analysts forecast that <b>General</b> <b>Motors</b> will post 6.2 EPS for the current year. The firm also recently announced a quarterly dividend, which will be paid on Thursday, December 20th. <b>Shareholders</b> of record on Friday, December 7th will be ...","Rhumbline Advisers Acquires 5,169 Shares of <b>General</b> <b>Motors</b> (GM)",https://www.dispatchtribunal.com/2018/11/16/rhumbline-advisers-acquires-5169-shares-of-general-motors-gm.html,dispatchtribunal.com,2018-11-17T00:13:00.0000000Z
2,"The <b>General</b> <b>Motors</b> And Chrysler Bailout The last time the PBGC faced ... worth more than the $8 per share that the market now values <b>General</b> Electric. However, <b>shareholders</b> don&#39;t determine company strategy. Not even knowledgeable <b>shareholders</b> who used ...",GE Pensioners And Stockholders Contemplate The Unthinkable,https://www.forbes.com/sites/kenkam/2018/11/16/ge-pensioners-and-stockholders-contemplate-the-unthinkable/,Forbes,2018-11-16T23:08:00.0000000Z
3,"Sell-side analysts expect that <b>General</b> <b>Motors</b> will post 6.2 earnings per share for the current fiscal year. The firm also recently announced a quarterly dividend, which will be paid on Thursday, December 20th. <b>Shareholders</b> of record on Friday, December 7th ...",Bowen Hanes &amp; Co. Inc. Decreases Stake in <b>General</b> <b>Motors</b> (GM),https://theenterpriseleader.com/2018/11/15/bowen-hanes-co-inc-decreases-stake-in-general-motors-gm.html,theenterpriseleader.com,2018-11-16T00:41:00.0000000Z
4,"Thank you very much, Julia. We have a few questions on your -- <b>shareholders</b>, you&#39;d prefer to call them, <b>General</b> <b>Motors</b> from the ARS, if you could bring them up. Not your parent, your <b>shareholder</b>.",<b>General</b> <b>Motors</b> Company (GM) Management Presents at Barclays 2018 Global Automotive Conference (Transcript),https://seekingalpha.com/article/4222532-general-motors-company-gm-management-presents-barclays-2018-global-automotive-conference,Seeking Alpha,2018-11-15T17:30:00.0000000Z
5,"The customer base is substantial and diversified, being the main customers: <b>General</b> <b>Motors</b>, Ford Motor Company, FCA, Nissan, Volkswagen, Toyota, MAN, Scania, Mercedes-Benz and Daimler, among others. Edgar Landeros Mendoza Rassini, S.A.B. de C.V. Tel ...",Rassini publishes fairness opinion and communicates the position of the Board of Directors regarding the price of the Tender Offer,https://www.bizjournals.com/prnewswire/press_releases/2018/11/14/NY74761,The Business Journals,2018-11-15T04:45:00.0000000Z
6,"On average, equities analysts forecast that <b>General</b> <b>Motors</b> will post 6.2 EPS for the current year. The business also recently announced a quarterly dividend, which will be paid on Thursday, December 20th. <b>Shareholders</b> of record on Friday, December 7th will ...","IBM Retirement Fund Has $826,000 Position in <b>General</b> <b>Motors</b> (GM)",https://www.themarketsdaily.com/2018/11/14/ibm-retirement-fund-has-826000-position-in-general-motors-gm.html,themarketsdaily.com,2018-11-14T19:52:00.0000000Z
7,"Elliott stated Hyundai Motor Group, regardless of having “excess capital,” lagged behind automakers such as <b>General</b> <b>Motors</b> and Toyota Motor in <b>shareholder</b> returns, mentioning a report by ...","Elliott calls on Hyundai to increase returns, review assets",https://speedlux.com/elliott-calls-hyundai-increase-returns-review-assets/,Supercars,2018-11-14T19:14:00.0000000Z
8,"Over the past few years, there was a case to be made that <b>General</b> Electric Company (NYSE: GE) and <b>General</b> <b>Motors</b> Company ... even more <b>shareholder</b> value has been eroded over the past five years ...",Better Buy: <b>General</b> Electric Company vs. <b>General</b> <b>Motors</b>,https://finance.yahoo.com/news/better-buy-general-electric-company-110300515.html,Yahoo Finance,2018-11-14T11:37:00.0000000Z
9,"Research analysts expect that <b>General</b> <b>Motors</b> will post 6.17 earnings per share for the current year. The business also recently declared a quarterly dividend, which will be paid on Thursday, December 20th. <b>Shareholders</b> of record on Friday, December 7th ...",<b>General</b> <b>Motors</b> (GM) Shares Bought by LeJeune Puetz Investment Counsel LLC,https://theenterpriseleader.com/2018/11/13/lejeune-puetz-investment-counsel-llc-acquires-2850-shares-of-general-motors-gm.html,theenterpriseleader.com,2018-11-14T00:17:00.0000000Z
10,"Seeking Alpha published an article titled <b>General</b> <b>Motors</b>: Sell. I disagree with ... deck saying it would return &quot;all available cash to <b>shareholders</b>&quot;. It is ugly, but here is an example from ...",<b>General</b> <b>Motors</b>: A Bright Future,https://seekingalpha.com/article/4221714-general-motors-bright-future,Seeking Alpha,2018-11-13T21:12:00.0000000Z
11,"Elliott said Hyundai Motor Group, despite having &quot;excess capital,&quot; lagged behind peers such as <b>General</b> <b>Motors</b> and Toyota in <b>shareholder</b> returns, citing a report by consultancy Conway MacKenzie. Elliott asked Hyundai to review its non-core assets ...","In another push, Elliott calls on Hyundai to boost returns, review assets",https://www.marketscreener.com/KIA-MOTORS-CORPORATION-6492386/news/In-another-push-Elliott-calls-on-Hyundai-to-boost-returns-review-assets-27596941/,marketscreener.com,2018-11-13T15:38:00.0000000Z
12,"Elliott, which owns stakes in Hyundai Motor Co., Hyundai Mobis Co., and Kia <b>Motors</b> Corp., called on the automotive ... reserves the right to put its recommendations to <b>shareholders</b> at the next annual <b>general</b> meeting if Hyundai fails respond to them ...",Elliott Urges Hyundai Motor to Return Billions to <b>Shareholders</b>,https://www.bloomberg.com/news/articles/2018-11-13/elliott-urges-hyundai-motor-to-return-billions-to-shareholders,Bloomberg L.P.,2018-11-13T14:16:00.0000000Z
13,"The small gain by automakers in Q3, which followed a drop of 10 percent in <b>shareholder</b> value in the ... which it acquired a year ago from <b>General</b> <b>Motors</b>, PSA has already brought what had been ...","BMW, Daimler profit warnings hit <b>shareholder</b> value",http://europe.autonews.com/article/20181112/ANE/181109836/bmw-daimler-profit-warnings-hit-shareholder-value,Automotive News Europe,2018-11-12T10:43:00.0000000Z
14,"A <b>shareholder</b> at one Eastern Air Lines meeting in the 1970s grew so enraged, he pushed her into a flower pot. She once nominated Ralph Nader, the consumer advocate and bête noire of the automobile industry, to be a director on the <b>General</b> <b>Motors</b> board ...","Evelyn Y. Davis, a <b>shareholder</b> scourge of CEOs, dies at 89",https://www.seattletimes.com/business/evelyn-y-davis-a-shareholder-scourge-of-ceos-dies-at-89/,The Seattle Times,2018-11-12T00:00:00.0000000Z
15,"Equities research analysts anticipate that <b>General</b> <b>Motors</b> will post 6.17 earnings per share for the current fiscal year. The company also recently declared a quarterly dividend, which will be paid on Thursday, December 20th. <b>Shareholders</b> of record on ...",<b>General</b> <b>Motors</b> (GM) Holdings Cut by Unigestion Holding SA,https://www.dispatchtribunal.com/2018/11/10/general-motors-gm-holdings-cut-by-unigestion-holding-sa.html,dispatchtribunal.com,2018-11-11T00:43:00.0000000Z
16,"On average, equities research analysts anticipate that <b>General</b> <b>Motors</b> will post 6.17 earnings per share for the current year. The business also recently announced a quarterly dividend, which will be paid on Thursday, December 20th. <b>Shareholders</b> of record ...",Traders Buy Shares of <b>General</b> <b>Motors</b> (GM) on Weakness,https://www.themarketsdaily.com/2018/11/10/traders-buy-shares-of-general-motors-gm-on-weakness.html,themarketsdaily.com,2018-11-10T21:41:00.0000000Z
17,"Companies like Institutional <b>Shareholder</b> Services and Glass Lewis make recommendations ... Scheduled speakers will include representatives from corporations including UnitedHealth, <b>General</b> <b>Motors</b> and Nasdaq, as well as ISS and rival adviser Glass Lewis ...",Proxy advisers push back at DC criticism: &#39;We give <b>shareholders</b> a voice&#39;,https://www.washingtonexaminer.com/business/proxy-advisers-push-back-at-d-c-criticism-we-give-shareholders-a-voice,The Washington Examiner,2018-11-09T17:49:00.0000000Z
