,description,headline,url,provider,date
0,"While the Amazon spectacle has few parallels, it does recall when happened when <b>General Motors</b> announced plans for a $5 billion <b>auto</b> plant for its new Saturn brand in 1985. Governors from more than two dozen states visited Detroit to personally pitch <b>GM</b>&#39;s ...","Rejected by Amazon, cities ponder next steps",http://www.messenger-inquirer.com/features/business/rejected-by-amazon-cities-ponder-next-steps/article_554ca56d-416d-592f-bba0-38e64b63265f.html,Messenger-Inquirer,2018-11-18T06:18:00.0000000Z
1,"Enter &quot;Tesla <b>Motors</b> Incorporated&quot; into cell B1 and &quot;<b>General Motors</b> Company&quot; into cell C1. Tesla and <b>GM</b> are <b>car</b> manufacturing companies. Tesla has a beta of 1.16, while <b>GM</b> has a beta of 1.11. Assume the risk-free rate is 0.25% and the expected market return ...",What is the formula for calculating CAPM in Excel?,https://www.investopedia.com/ask/answers/071415/what-formula-calculating-capital-asset-pricing-model-capm-excel.asp,Investopedia,2018-11-18T05:38:00.0000000Z
2,That’s because every <b>car</b> assembled in the U.S. contains a large percentage of foreign parts. Toyota has said the costs of its cars could rise by thousands of dollars. <b>General Motors</b> has said it would be forced to downsize and cut jobs. A spokeswoman for ...,Trump&#39;s <b>auto</b> tariffs put on hold,https://www.indianagazette.com/news/national/trump-s-auto-tariffs-put-on-hold/article_cfb6f436-e9cf-11e8-84d7-af354179e017.html,Indiana Gazette,2018-11-18T05:26:00.0000000Z
3,"<b>GM</b> landed four green ratings ... Get 24/7 access to in-depth, authoritative coverage of the <b>auto</b> industry from a global team of reporters and editors covering the news that&#39;s vital to your business. Sign up today to get the best of Automotive News ...","Ford, Toyota recognized for commitment to diversity",http://www.autonews.com/article/20181118/RETAIL07/181119752/ford-toyota-rainbow-push-diversity,Automotive News,2018-11-18T05:06:00.0000000Z
4,"Others are also aiming for self-driving ride-share services. <b>GM</b> is putting $100 million into self-driving <b>car</b> production, The Verge reported, and the company has plans for its own service in 2019 ...",Ford Plans a Self-Driving Service—But Tech Problems Still Loom,https://finance.yahoo.com/news/ford-plans-self-driving-tech-153644298.html,Yahoo Finance,2018-11-18T03:50:00.0000000Z
5,"Using the factory Corvette control arms and spindles, the <b>car</b>’s overall footprint, with stock wheels at least, is nearly identical to that of a factory C5. One departure from factory <b>GM</b> engineering is the way the <b>car</b> absorbs bumps. In the front ...",Loud &amp; Offensive: Kyle’s 1967 Mustang C5,http://www.speedhunters.com/2018/11/loud-offensive-kyles-1967-mustang-c5/,Speedhunters,2018-11-18T02:07:00.0000000Z
6,"<b>GM</b>) (TSE:GMM.U) by 1.2% during the 3rd quarter, according to its most recent filing with the SEC. The firm owned 670,098 shares of the <b>auto</b> manufacturer’s stock after selling 8,342 shares during the quarter. TCW Group Inc.’s holdings in <b>General Motors</b> ...",<b>General Motors</b> (NYSE:<b>GM</b>) Position Reduced by TCW Group Inc.,https://theenterpriseleader.com/2018/11/15/tcw-group-inc-has-22-56-million-position-in-general-motors-gm.html,theenterpriseleader.com,2018-11-18T00:42:00.0000000Z
7,"<b>GM</b>) (TSE:GMM.U) from a hold rating to a buy rating in a research note released on Friday. Zacks Investment Research currently has $40.00 price target on the <b>auto</b> manufacturer’s stock. According to Zacks, “In third-quarter 2018, <b>General Motors</b> reported ...",<b>General Motors</b> (<b>GM</b>) Raised to Buy at Zacks Investment Research,https://theenterpriseleader.com/2018/11/17/general-motors-gm-raised-to-buy-at-zacks-investment-research.html,theenterpriseleader.com,2018-11-18T00:00:00.0000000Z
8,<b>General Motors</b> has revealed that its Maven peer-to-peer <b>car</b>-sharing program will get non-<b>GM</b> vehicles from mid-2019. Maven launched in July and only allows owners and eligible lessees of <b>GM</b> vehicles made in 2015 or newer to make them available on the <b>car</b> ...,<b>GM</b>’s Maven <b>Car</b>-Sharing Fleet To Expand And Include Non-<b>GM</b> Models,https://www.carscoops.com/2018/11/gms-maven-car-sharing-fleet-expand-include-non-gm-models/,Carscoops,2018-11-17T21:57:00.0000000Z
9,It could result in sanctions under section 232 of the Trade Expansion Act if it&#39;s determined that <b>auto</b> imports pose a threat to national security. Ford and <b>GM</b> said the aluminum and steel tariffs alone will cost them each about $1 billion more just for the ...,"Hit hard by trade war, automakers hoping Trump will hold off on new round of tariffs",https://www.msn.com/en-us/finance/markets/hit-hard-by-trade-war-automakers-hoping-trump-will-hold-off-on-new-round-of-tariffs/ar-BBPOjRn,CNBC,2018-11-17T21:36:00.0000000Z
10,"So, when they got ready to present the <b>car</b> back to the museum, they brought her in and had her sign the part.” The museum sits across the street from a <b>GM</b> assembly plant. “The 1953s were assembled in Flint, Michigan,” Walker said. “Then they moved ...",Walker discusses history of Vettes,https://www.cleburnetimesreview.com/living/walker-discusses-history-of-vettes/article_2d61b048-e9e5-11e8-8afb-6bc39d81554d.html,Cleburne Times-Review,2018-11-17T16:33:00.0000000Z
11,"The company inked a deal with the city to cover up to $1,730 per <b>car</b>, per year. Lime plans to launch about 500 cars in Seattle. The company isn&#39;t alone in recognizing different needs in urban environments. <b>General Motors</b> launched its Maven mobility ...",Scooter renter Lime gets into the <b>car</b>-share business,https://www.thecarconnection.com/news/1119972_scooter-renter-lime-gets-into-the-car-share-business,The Car Connection,2018-11-17T11:01:00.0000000Z
12,"<b>GM</b> must trim costs amid the rising prices of raw materials and plateauing <b>car</b> sales. So on Oct. 31, <b>GM</b> CEO Mary Barra sent an email to all 50,000 salaried <b>GM</b> employees in North America saying the automaker is offering voluntary buyouts to the 17,700 ...","If you don&#39;t take the <b>GM</b> buyout, will your boss protect your job?",https://www.msn.com/en-us/finance/news/if-you-dont-take-the-gm-buyout-will-your-boss-protect-your-job/ar-BBPO1sR,Detroit Free Press,2018-11-17T12:36:00.0000000Z
13,"Our <b>car</b> is at times struggling with that, but it’s the same for everyone.” A big draw in terms of racing in China is the market size, and its importance to <b>GM</b>. Corvette has a lot of guests on site for the race, and will look to impress those trackside ...",Corvette begins learning experience at Shanghai,https://racer.com/2018/11/16/corvette-begins-learning-experience-at-shanghai/,Racer,2018-11-17T01:15:00.0000000Z
14,"<b>General Motors</b> (NYSE:<b>GM</b>) (TSE:GMM.U) last posted its earnings results on Wednesday, October 31st. The <b>auto</b> manufacturer reported $1.87 earnings per share (EPS) for the quarter, beating the Thomson Reuters’ consensus estimate of $1.25 by $0.62.",<b>General Motors</b> (<b>GM</b>) Cut to Hold at Zacks Investment Research,https://www.themarketsdaily.com/2018/11/16/general-motors-gm-cut-to-hold-at-zacks-investment-research.html,themarketsdaily.com,2018-11-17T00:30:00.0000000Z
15,"It worsened, as 59 investors sold <b>GM</b> shares while 314 reduced holdings ... The institutional investor held 8,245 shares of the <b>auto</b> manufacturing company at the end of 2018Q2, valued at $325,000, down from 950,270 at the end of the previous reported ...",<b>General</b> Mtrs Co (<b>GM</b>) Share Price Declined While Golub Group LLC Has Trimmed Its Position by $36.74 Million,http://reurope.com/2018/11/16/general-mtrs-co-gm-share-price-declined-while-golub-group-llc-has-trimmed-its-position-by-36-74-million/,reurope.com,2018-11-17T00:22:00.0000000Z
16,BMO Capital Markets currently has a $38.00 target price on the <b>auto</b> manufacturer’s stock. <b>GM</b> has been the topic of a number of other research reports. Morgan Stanley lifted their price target on shares of <b>General Motors</b> from $43.00 to $44.00 and gave the ...,<b>General Motors</b>’ (<b>GM</b>) “Hold” Rating Reiterated at BMO Capital Markets,https://www.dispatchtribunal.com/2018/11/16/general-motors-gm-hold-rating-reiterated-at-bmo-capital-markets.html,dispatchtribunal.com,2018-11-17T00:12:00.0000000Z
17,"However, with the U.S. economy cratered and <b>General Motors</b> and Chrysler struggling through government-managed bankruptcies, it was not a good year for finding a job, let alone in the <b>auto</b> industry. Yet within a few months, Tyler’s obvious talent helped ...","Interview: Tyler Moffett, Creative Designer, Chevrolet Trucks",http://www.trucktrend.com/features/1811-interview-tyler-moffett-creative-designer-chevrolet-trucks/,Truck Trend,2018-11-16T22:49:00.0000000Z
18,"Coming out of production hell, Tesla’s Model 3 is now the #1 selling <b>car</b> in the USA by revenue ... It’s probable that <b>GM</b> was hoping for more press for its announcement of the same day as ...","Tesla, <b>GM</b>, Yamaha, &amp; Ducati All On The Electric Bike Bandwagon",https://cleantechnica.com/2018/11/16/tesla-gm-yamaha-ducati-all-on-the-electric-bike-bandwagon/,CleanTechnica,2018-11-16T22:44:00.0000000Z
19,"Companies do seem to enjoy endowing all their machines with a corporate face. Elsewhere, our Associate Editor was quite excited to once more see the Monza name on a <b>GM</b> <b>car</b>. Described by the company as a sedan with a “youthful aesthetic,” the RS model ...","<b>GM</b> Brings Back Monza, CarryAll Names … in China",https://www.autoguide.com/auto-news/2018/11/gm-brings-back-monza-carryall-names-in-china.html,AutoGuide,2018-11-16T22:40:00.0000000Z
20,"The hope is that another unifying campaign could catch <b>GM</b>&#39;s eyes again. &quot;Is an SUV the answer? Is an electric <b>car</b> the answer? I know that we need something in addition to one small <b>car</b>,&quot; said Dave Green, president of UAW 1112. Two shifts have been ...",Lordstown urges <b>GM</b>: &#39;Nobody in this Valley wants a handout. We want work.&#39;,https://www.wkbn.com/news/local-news/lordstown-urges-gm-nobody-in-this-valley-wants-a-handout-we-want-work-/1602404254,WKBN 27 First News,2018-11-16T21:49:00.0000000Z
21,"The transaction relegated <b>GM</b> to Einhorn&#39;s second-largest holding, behind Brighthouse Financial Inc. (BHF). Shares of the Detroit-based <b>auto</b> manufacturer averaged $36.84 during the quarter.",David Einhorn&#39;s Top 4 Sells in 3rd Quarter,https://finance.yahoo.com/news/david-einhorns-top-4-sells-212036443.html,Yahoo Finance,2018-11-16T21:26:00.0000000Z
22,"And adventure requires some big and bulky equipment that a <b>car</b> just cannot accommodate ... a psychologist and consultant to Daimler Chrysler, Ford and <b>General Motors</b>, explaining instinctual reasons for buying called “reptiles.” Rapaille believes ...","Active lifestyles, fear and safety form consumers’ preference for SUVs",https://www.readingeagle.com/drivetime/article/active-lifestyles-fear-and-safety-form-consumers-preference-for--suvs,Reading Eagle Company,2018-11-16T19:43:00.0000000Z
23,The American automaker which is present in China through the SAIC-<b>GM</b> partnership said that the Monza &quot;has a dynamic design that inherits the brand’s sporty DNA and reflects the youthful aesthetic trend to cater to the preferences of younger <b>car</b> buyers.&quot;,The new Monza will be a mid-size sedan with an RS badge,https://www.topspeed.com/cars/car-news/chevy-is-bringing-back-the-monza-name-with-an-rs-badge-but-don-t-expect-to-get-one-outside-of-china-ar183436.html,Top Speed,2018-11-16T19:05:00.0000000Z
24,"The 12-acre dealership, with a 50,000-square-foot showroom and service center, had offered more than 200 new Buick and GMC cars, trucks and SUVs, which are being returned to <b>General Motors</b> or transferred ... likely to find the <b>car</b> they want online and ...",Harbor Buick GMC closing in Portage after sale of property,https://www.nwitimes.com/business/local/harbor-buick-gmc-closing-in-portage-after-sale-of-property/article_9d465277-d1d1-5ab1-a60f-beb871965946.html,The Times of Northwest Indiana,2018-11-16T19:00:00.0000000Z
