,description,headline,url,provider,date
0,"Dave Green, president of United <b>Auto</b> Workers Local 1112 and one of the organizers ... The cuts resulted in a huge financial windfall for GM and other American corporations. And yet, <b>General</b> <b>Motors</b> won’t commit to the future of the Lordstown assembly ...",Has GM bailed on the Valley?,https://www.vindy.com/news/2018/nov/18/has-gm-bailed-on-the-valley/,The Vindicator,2018-11-18T05:59:00.0000000Z
1,"Enter &quot;Tesla <b>Motors</b> Incorporated&quot; into cell B1 and &quot;<b>General</b> <b>Motors</b> Company&quot; into cell C1. Tesla and GM are <b>car</b> manufacturing companies. Tesla has a beta of 1.16, while GM has a beta of 1.11. Assume the risk-free rate is 0.25% and the expected market return ...",What is the formula for calculating CAPM in Excel?,https://www.investopedia.com/ask/answers/071415/what-formula-calculating-capital-asset-pricing-model-capm-excel.asp,Investopedia,2018-11-18T05:38:00.0000000Z
2,That’s because every <b>car</b> assembled in the U.S. contains a large percentage of foreign parts. Toyota has said the costs of its cars could rise by thousands of dollars. <b>General</b> <b>Motors</b> has said it would be forced to downsize and cut jobs. A spokeswoman for ...,Trump&#39;s <b>auto</b> tariffs put on hold,https://www.indianagazette.com/news/national/trump-s-auto-tariffs-put-on-hold/article_cfb6f436-e9cf-11e8-84d7-af354179e017.html,Indiana Gazette,2018-11-18T05:26:00.0000000Z
3,"DETROIT — Ford, Toyota, <b>General</b> <b>Motors</b> and Nissan received strong ratings in the Rainbow PUSH Coalition&#39;s 2018 <b>Automotive</b> Diversity Scorecard released this month. The coalition also praised Hyundai, which has vaulted to No. 4 in the industry in minority ...","Ford, Toyota recognized for commitment to diversity",http://www.autonews.com/article/20181118/RETAIL07/181119752/ford-toyota-rainbow-push-diversity,Automotive News,2018-11-18T05:06:00.0000000Z
4,"TCW Group Inc. reduced its position in <b>General</b> <b>Motors</b> (NYSE:GM) (TSE:GMM.U) by 1.2% during the 3rd quarter, according to its most recent filing with the SEC. The firm owned 670,098 shares of the <b>auto</b> manufacturer’s stock after selling 8,342 shares during ...",<b>General</b> <b>Motors</b> (NYSE:GM) Position Reduced by TCW Group Inc.,https://theenterpriseleader.com/2018/11/15/tcw-group-inc-has-22-56-million-position-in-general-motors-gm.html,theenterpriseleader.com,2018-11-18T00:42:00.0000000Z
5,<b>General</b> <b>Motors</b> has revealed that its Maven peer-to-peer <b>car</b>-sharing program will get non-GM vehicles from mid-2019. Maven launched in July and only allows owners and eligible lessees of GM vehicles made in 2015 or newer to make them available on the <b>car</b> ...,GM’s Maven <b>Car</b>-Sharing Fleet To Expand And Include Non-GM Models,https://www.carscoops.com/2018/11/gms-maven-car-sharing-fleet-expand-include-non-gm-models/,Carscoops,2018-11-17T21:57:00.0000000Z
6,"(EMAILWIRE.COM, November 17, 2018 ) Global <b>Automotive</b> Dual Clutch Transmission System Market ... Key companies profiled in this report are ZF, Getrag, Eaton, Volkswage, , <b>General</b> <b>Motors</b>, Hyundai, Gord ,Fiat Powertrain Technologies (FPT) and others.","Global <b>Automotive</b> Dual Clutch Transmission System Market by Manufacturers, Types, Regions and Application Research Report",http://www.emailwire.com/release/974435--Global-Automotive-Dual-Clutch-Transmission-System-Market-by-Manufacturers-Types-Regions-and-Application-Research-Report.html,emailwire.com,2018-11-17T16:29:00.0000000Z
7,"(EMAILWIRE.COM, November 17, 2018 ) Global <b>Automotive</b> DCT Market report is replete with ... Key companies profiled in this report are ZF, Getrag, Eaton, Volkswagen, <b>General</b> <b>Motors</b>, Hyundai, Gord, Fiat Powertrain Technologies (FPT) and others.","Global <b>Automotive</b> DCT Industry Sales, Revenue, Gross Margin, Market Share, by Regions (2013-2025)",http://www.emailwire.com/release/974434-Global-Automotive-DCT-Industry-Sales-Revenue-Gross-Margin-Market-Share-by-Regions-20132025.html,emailwire.com,2018-11-17T16:29:00.0000000Z
8,"The rollout of <b>General</b> <b>Motors</b>&#39; self-driving <b>car</b> subsidiary, Cruise Automation, is years behind schedule, and prototypes by Ford, Tesla, and the Google affiliate Waymo would still flunk driver&#39;s ed.",When will self-driving cars take over?,https://theweek.com/articles/807864/when-selfdriving-cars-take-over,THE WEEK,2018-11-17T11:08:00.0000000Z
9,"The company inked a deal with the city to cover up to $1,730 per <b>car</b>, per year. Lime plans to launch about 500 cars in Seattle. The company isn&#39;t alone in recognizing different needs in urban environments. <b>General</b> <b>Motors</b> launched its Maven mobility ...",Scooter renter Lime gets into the <b>car</b>-share business,https://www.thecarconnection.com/news/1119972_scooter-renter-lime-gets-into-the-car-share-business,The Car Connection,2018-11-17T11:01:00.0000000Z
