,description,headline,url,provider,date
0,"Written by Girl Scout Margie from Girl Scouts of Southeastern Michigan (Troop 70682). On October 27, 2018, <b>General Motors</b>’ (<b>GM</b>’s) Women in Design held a Girl Scout event about careers in designing. It may have been a rainy day outside, but inside was a ...",Guest Post: My Epic Experience Visiting <b>General Motors</b> and Learning About Designing Dream <b>Cars</b>,http://blog.girlscouts.org/2018/11/guest-post-my-epic-experience-visiting.html,blog.girlscouts.org,2018-11-17T23:08:00.0000000Z
1,"November 17, 2018 at 7:02 pm <b>GM</b>’s Maven <b>Car</b>-Sharing Fleet To Expand And Include Non-<b>GM</b> Models Around 40 percent of those who wanted to join <b>GM</b>’s program owned vehicles from other brands. November 17, 2018 at 5:57 pm Lamborghini Unveils Urus ST-X ...",VW’s $23k EV Will Be A Compact Crossover For The People,https://www.carscoops.com/2018/11/vws-23k-ev-will-compact-crossover-people/,Carscoops,2018-11-17T23:02:00.0000000Z
2,<b>General Motors</b> has revealed that its Maven peer-to-peer <b>car</b>-sharing program will get non-<b>GM</b> vehicles from mid-2019. Maven launched in July and only allows owners and eligible lessees of <b>GM</b> vehicles made in 2015 or newer to make them available on the <b>car</b> ...,<b>GM</b>’s Maven <b>Car</b>-Sharing Fleet To Expand And Include Non-<b>GM</b> Models,https://www.carscoops.com/2018/11/gms-maven-car-sharing-fleet-expand-include-non-gm-models/,Carscoops,2018-11-17T21:57:00.0000000Z
3,"The rollout of <b>General Motors</b>&#39; self-driving <b>car</b> subsidiary, Cruise Automation, is years behind schedule, and prototypes by Ford, Tesla, and the Google affiliate Waymo would still flunk driver&#39;s ed.",When will self-driving <b>cars</b> take over?,https://theweek.com/articles/807864/when-selfdriving-cars-take-over,THE WEEK,2018-11-17T11:08:00.0000000Z
4,"Coming out of production hell, Tesla’s Model 3 is now the #1 selling <b>car</b> in the USA by revenue ... It’s probable that <b>GM</b> was hoping for more press for its announcement of the same day as ...","Tesla, <b>GM</b>, Yamaha, &amp; Ducati All On The Electric Bike Bandwagon",https://cleantechnica.com/2018/11/16/tesla-gm-yamaha-ducati-all-on-the-electric-bike-bandwagon/,CleanTechnica,2018-11-16T22:44:00.0000000Z
5,"Companies do seem to enjoy endowing all their machines with a corporate face. Elsewhere, our Associate Editor was quite excited to once more see the Monza name on a <b>GM</b> <b>car</b>. Described by the company as a sedan with a “youthful aesthetic,” the RS model ...","<b>GM</b> Brings Back Monza, CarryAll Names … in China",https://www.autoguide.com/auto-news/2018/11/gm-brings-back-monza-carryall-names-in-china.html,AutoGuide,2018-11-16T22:40:00.0000000Z
6,"Then <b>GM</b> pulled the plug on race programs in January 1963 ... to apply what they learned from racing to create a hot street package that it marketed to new-<b>car</b> buyers. The new-for-‘64 GTO was born. When it debuted, it took the marketplace by storm ...",Refined &amp; Powerful: A 1966 Pontiac GTO For The Highway!,https://www.hotrod.com/articles/refined-powerful-1966-pontiac-gto/,Hot Rod,2018-11-16T18:53:00.0000000Z
7,"<b>General Motors</b> Company Profile <b>General Motors</b> Company, together with its subsidiaries, designs, builds, and sells <b>cars</b>, trucks, crossovers, and automobile parts worldwide. The company operates through <b>GM</b> North America, <b>GM</b> International, and <b>GM</b> Financial ...",<b>General Motors</b> (<b>GM</b>) Upgraded to “Buy” at Zacks Investment Research,https://www.dispatchtribunal.com/2018/11/16/general-motors-gm-upgraded-to-buy-at-zacks-investment-research.html,dispatchtribunal.com,2018-11-16T17:27:00.0000000Z
8,"In autonomous robotics, the area of materials handling is often overshadowed by the pizzazz of self-driving <b>cars</b>. But a rapid shift toward ... uses Seegrid robots in its Pittsburgh warehouse. Amazon, <b>General Motors</b>, Whirlpool, Boeing and Zulily are also ...",Automating the warehouse: These self-driving robots aim to modernize materials handling,https://www.zdnet.com/article/automation-in-the-warehouse-these-self-driving-robots-aim-to-modernize-materials-handling/,ZDNet,2018-11-16T17:00:00.0000000Z
9,The segment applications are further categorized into personal use and commercial use. <b>General Motors</b> plans to launch self-driving <b>cars</b> in the US cities by 2019. The company motives to launch fleet of an autonomous taxi &#39;Robo-Taxi&#39; in the urban area by 2019.,The Self-driving <b>Car</b> Market in North America: Analysis &amp; Outlook Through 2018-2024 - ResearchAndMarkets.com,https://www.bizjournals.com/businesswire/press_releases/2018/11/16/20181116005411,The Business Journals,2018-11-16T16:25:00.0000000Z
10,"More education for EV owners relate to cold weather. As winter sets in, there’s lots of talk about EVs and cold weather. For this reason, we’ve ramped up our coverage of the topic as of late.",Cold Weather Electric <b>Car</b> Tips From <b>General Motors</b>,https://insideevs.com/gm-cold-weather-electric-car-tips/,Inside EVs,2018-11-16T14:56:00.0000000Z
11,Waymo has long been considered the leader in the self-driving <b>car</b> segment and has booked more real-world miles than any rival. Competition includes <b>General Motors</b> and its Cruise Automation subsidiary and Uber. German automaker Daimler and supplier Bosch ...,Google&#39;s Waymo to launch driverless taxi service in two months,https://www.thecarconnection.com/news/1119971_googles-waymo-to-launch-driverless-taxi-service-in-two-months,The Car Connection,2018-11-16T13:53:00.0000000Z
12,"Above: Two of the industry’s biggest heavyweights, VW and <b>GM</b>, have dialed up their bold claims surrounding electric <b>car</b> efforts (Image: Kinibiz) In a puzzling interview with VW’s Herbert ...",Big Auto Continues To Discount Tesla And Claim They’ll Take The Lead,https://insideevs.com/big-auto-dismisses-tesla/,Inside EVs,2018-11-16T12:56:00.0000000Z
