,description,headline,url,provider,date
0,"Several plants were in <b>competition</b>, which prompted business ... The cuts resulted in a huge financial windfall for GM and other American corporations. And yet, <b>General</b> <b>Motors</b> won’t commit to the future of the Lordstown assembly complex.",Has GM bailed on the Valley?,http://www.vindy.com/news/2018/nov/18/has-gm-bailed-on-the-valley/,The Vindicator,2018-11-18T05:59:00.0000000Z
1,If I had a quarter for every time I heard a <b>General</b> <b>Motors</b> Corp. executive say his company was too ... “Neither Redbox nor Netflix are even on the radar screen in terms of <b>competition</b>.” You could fill a book with quotes like these from senior ...,Bezos Is Right To Worry About Amazon&#39;s Future,https://www.forbes.com/sites/brycehoffman/2018/11/17/bezos-is-right-to-worry-about-amazons-future/,Forbes,2018-11-17T16:57:00.0000000Z
2,"The will chart the course for a more comprehensive organization and discernment of the <b>competition</b> situation in the Automotive ... Eaton, Volkswagen, <b>General</b> <b>Motors</b>, Hyundai, Gord, Fiat Powertrain Technologies (FPT) and others. Purchase a copy of this ...","Global Automotive DCT Industry Sales, Revenue, Gross Margin, Market Share, by Regions (2013-2025)",http://www.emailwire.com/release/974434-Global-Automotive-DCT-Industry-Sales-Revenue-Gross-Margin-Market-Share-by-Regions-20132025.html,emailwire.com,2018-11-17T16:29:00.0000000Z
3,"The will chart the course for a more comprehensive organization and discernment of the <b>competition</b> situation in the Automotive ... Eaton, Volkswage, , <b>General</b> <b>Motors</b>, Hyundai, Gord ,Fiat Powertrain Technologies (FPT) and others. Purchase a copy of this ...","Global Automotive Dual Clutch Transmission System Market by Manufacturers, Types, Regions and Application Research Report",http://www.emailwire.com/release/974435--Global-Automotive-Dual-Clutch-Transmission-System-Market-by-Manufacturers-Types-Regions-and-Application-Research-Report.html,emailwire.com,2018-11-17T16:29:00.0000000Z
4,"The capital has changed the game for a number of recipients of Softbank&#39;s checks, including WeWork, Uber Technologies, <b>General</b> <b>Motors</b> Company&#39;s Cruise Automation ... investments would tend to increase <b>competition</b> for the best late-stage deals.&quot;",Softbank Has Become a New Sun in the Venture Capital Solar System,https://www.thestreet.com/investing/softbank-impact-on-venture-capital-14785064,TheStreet.com,2018-11-17T15:04:00.0000000Z
5,"Credit given where credit is due…I don’t think anyone else has actually pitted the Bricklin SV-1 against the DeLorean DMC-12 in any kind of <b>competition</b> ... t fit in with the corporate culture of <b>General</b> <b>Motors</b>, and he wanted his sports car to be ...",Winged Weirdos: Who Wins In A Battle Between A DeLorean And A Bricklin?,https://bangshift.com/general-news/videos/winged-weirdos-who-wins-in-a-battle-between-a-delorean-and-a-bricklin/,BangShift,2018-11-17T10:33:00.0000000Z
6,"For Sample Report with TOC, Please Visit @ https://www.qyresearchgroups.com/request-sample/1100622 The major manufacturers covered in this report: • BYD Motor Corp. • Nissan Motor Co. Ltd. • SAIC Motor Corp. Ltd. • Tesla <b>Motors</b> Inc. • <b>General</b> ...","Electric Taxi Market Size, Regional Outlook, Competitive Strategies and Forecasts, 2025",https://www.military-technologies.net/2018/11/17/electric-taxi-market-size-regional-outlook-competitive-strategies-and-forecasts-2025/,Military Technologies,2018-11-17T10:25:00.0000000Z
7,"Amazon, <b>General</b> <b>Motors</b>, Whirlpool, Boeing and Zulily are also customers ... That was a big debate, in robotics circles.&quot; <b>Competition</b>: One of Seegrid&#39;s big selling points is that its systems can be deployed out of the box, with minimal IT requirements ...",Automating the warehouse: These self-driving robots aim to modernize materials handling,https://www.zdnet.com/article/automation-in-the-warehouse-these-self-driving-robots-aim-to-modernize-materials-handling/,ZDNet,2018-11-16T17:00:00.0000000Z
8,"TechWorks has won the Tony Sale Award for bringing back to life a Second World War analogue flight simulator, a 1960s-era <b>General</b> Aviation Trainer (GAT ... Britain&#39;s Computer Conservation Society holds a <b>competition</b> for the Tony Sale Award every other ...",American Link flight simulators win Britain&#39;s top computer conservation award,https://www.zdnet.com/article/american-link-flight-simulators-win-britains-top-computer-conservation-award/,ZDNet,2018-11-16T15:17:00.0000000Z
9,<b>Competition</b> includes <b>General</b> <b>Motors</b> and its Cruise Automation subsidiary and Uber. German automaker Daimler and supplier Bosch also announced they would roll out a self-driving service of sorts sometime next year. GM plans for its own service in 2019 as well.,Google&#39;s Waymo to launch driverless taxi service in two months,https://www.thecarconnection.com/news/1119971_googles-waymo-to-launch-driverless-taxi-service-in-two-months,The Car Connection,2018-11-16T13:53:00.0000000Z
