,description,headline,url,provider,date
0,"<b>GM</b> employees from different departments talked about their schooling ... The 2016 Chevrolet Camaro Krypton <b>Concept</b> was on display, which was pretty awesome! There are certain things you can just easily connect to: that car was one of them for me.",Guest Post: My Epic Experience Visiting <b>General Motors</b> and Learning About Designing Dream Cars,http://blog.girlscouts.org/2018/11/guest-post-my-epic-experience-visiting.html,blog.girlscouts.org,2018-11-17T23:08:00.0000000Z
1,"Well, that’s about all we know. We’d be remiss not to mention that <b>GM</b> already showed off an e-bike <b>concept</b> back in 2015. Four years later, it will become a commercial reality — or some ...","Try To Win $10,000 By Naming <b>GM</b>’s Upcoming Folding E-Bike",https://cleantechnica.com/2018/11/17/take-a-chance-to-win-10000-by-naming-gms-upcoming-folding-e-bike/,CleanTechnica,2018-11-17T20:15:00.0000000Z
2,"According to recent reports from <b>GM</b> Authority, Buick may find the platforms ... is strikingly similar to that of the Buick Enspire <b>Concept</b> vehicle. If such a vehicle officially entered production ...",Rumored Buick Crossover Model Will Reportedly Utilize the Cadillac XT4’s Platform,http://thenewswheel.com/rumored-buick-crossover-model-will-reportedly-utilize-the-cadillac-xt4s-platform/,thenewswheel.com,2018-11-16T23:02:00.0000000Z
3,"<b>GM</b> says the CarryAll is 196 inches long and rides on a 113-inch wheelbase. The <b>General</b> hasn’t yet released dimensions for the Blazer. The China <b>concept</b> is said to have an “independent six-seat layout,” which this author takes to mean three rows of ...","<b>GM</b> Brings Back Monza, CarryAll Names … in China",https://www.autoguide.com/auto-news/2018/11/gm-brings-back-monza-carryall-names-in-china.html,AutoGuide,2018-11-16T22:40:00.0000000Z
4,"Developed by <b>General Motors</b> and built in partnership with the pioneering electric drag-racing team Hancock and Lane Racing, the <b>concept</b> race car—based on the 2019 COPO Camaro—is entirely electric-powered, driven by an electric motor providing the ...","Electric Dragster, Solar Roof Car Highlight Las Vegas Show",https://www.powerelectronics.com/automotive/electric-dragster-solar-roof-car-highlight-las-vegas-show,Power Electronics,2018-11-16T22:34:00.0000000Z
5,"More than 80 <b>concept</b>, demonstrator and/or test-fleet fuel-cell-powered electric vehicles have been fielded by 25 automakers worldwide since <b>General Motors</b> (Detroit, MI, US) unveiled the first, its <b>GM</b> Electrovan, in … yes, 1966. There have also been a ...",The markets: Fuels cells and batteries (2019),https://www.compositesworld.com/articles/the-markets-fuels-cells-and-batteries-2016,CompositesWorld,2018-11-16T21:20:00.0000000Z
6,"The Chevrolet Silverado ZH2 is a military, heavy-duty version of the popular Silverado pickup truck. Developed by <b>General Motors</b>’ new military defense unit, it’s powered by a next-generation Hydrogen fuel cell and advanced battery systems. Remember the ...",2018 <b>GM</b> Defense Chevrolet Silverado ZH2 <b>Concept</b>,https://www.topspeed.com/cars/chevrolet/2018-gm-defense-chevrolet-silverado-zh2-concept-ar183373.html,Top Speed,2018-11-16T11:18:00.0000000Z
7,"<b>general</b> director of Chevrolet for SAIC-<b>GM</b>. FNR-CarryAll <b>Concept</b> SUV As the third <b>concept</b> vehicle from the brand to receive the FNR designation, the FNR-CarryAll <b>concept</b> SUV features the brand’s new-generation SUV design language and fully embodies the ...",Chevrolet shows several new models at Auto Guangzhou 2018,http://autonews.gasgoo.com/70015379.html,Gasgoo,2018-11-16T07:26:00.0000000Z
8,"Powered by an engine that generates almost 300 horsepower, the <b>concept</b> goes by the name Cruze Sport6 SS. The &quot;SS&quot; badge, most famous for adorning the Camaro, is not new to compact <b>GM</b> cars, having been used on the Cobalt SS, a 260-horsepower coupe sold ...",2018 Chevrolet Cruze Sport6 SS <b>Concept</b>,https://www.topspeed.com/cars/chevrolet/2018-chevrolet-cruze-sport6-ss-concept-ar183378.html,Top Speed,2018-11-16T02:05:00.0000000Z
9,"<b>GM</b>’s latest powertrain combination churns out maximum output ... race this weekend in Shanghai. The FNR-CarryAll <b>concept</b> SUV will be displayed along with the Chevrolet Redline series, including the Corvette C7.R, Cruze, Equinox, new Malibu XL, Orlando ...",Chevy FNR Carry All <b>Concept</b> Previews Shape Of Future Bowtie SUVs,https://www.motor1.com/news/276490/chevy-fnr-concept-china/,Motor1,2018-11-15T20:19:00.0000000Z
