,description,headline,url,provider,date
0,"DETROIT — Ford, Toyota, <b>General</b> <b>Motors</b> and Nissan received strong ratings in the Rainbow ... with making the commitment to expanding its minority-dealer base. Zuchowski was ousted in <b>December</b> 2016, but Hyundai has said that it will continue to build ...","Ford, Toyota recognized for commitment to diversity",http://www.autonews.com/article/20181118/RETAIL07/181119752/ford-toyota-rainbow-push-diversity,Automotive News,2018-11-18T05:06:00.0000000Z
1,"On average, equities research analysts expect that <b>General</b> <b>Motors</b> will post 6.23 earnings per share for the current year. The business also recently disclosed a quarterly dividend, which will be paid on Thursday, <b>December</b> 20th. Investors of record on ...",<b>General</b> <b>Motors</b> (GM) Raised to Buy at Zacks Investment Research,https://theenterpriseleader.com/2018/11/17/general-motors-gm-raised-to-buy-at-zacks-investment-research.html,theenterpriseleader.com,2018-11-18T00:00:00.0000000Z
2,"Research analysts forecast that <b>General</b> <b>Motors</b> will post 6.2 EPS for the current fiscal year. The company also recently declared a quarterly dividend, which will be paid on Thursday, <b>December</b> 20th. Investors of record on Friday, <b>December</b> 7th will be paid a ...",<b>General</b> <b>Motors</b> (GM) Cut to Hold at Zacks Investment Research,https://www.themarketsdaily.com/2018/11/16/general-motors-gm-cut-to-hold-at-zacks-investment-research.html,themarketsdaily.com,2018-11-17T00:30:00.0000000Z
3,"Sell-side analysts predict that <b>General</b> <b>Motors</b> will post 6.2 EPS for the current year. The business also recently declared a quarterly dividend, which will be paid on Thursday, <b>December</b> 20th. Stockholders of record on Friday, <b>December</b> 7th will be issued a ...",<b>General</b> <b>Motors</b>’ (GM) “Hold” Rating Reiterated at BMO Capital Markets,https://www.dispatchtribunal.com/2018/11/16/general-motors-gm-hold-rating-reiterated-at-bmo-capital-markets.html,dispatchtribunal.com,2018-11-17T00:12:00.0000000Z
4,"Some of the major players profiled in the report are Renault-Nissan Alliance, Mitsubishi <b>Motors</b> Corporation, <b>General</b> <b>Motors</b> Company ... leader in the light-duty plug-in vehicle segment. As of <b>December</b> 2016, sales of domestically produced new energy ...",Analysis of New Energy Vehicles Industry Policy in China’s Cities from the Perspective of Policy instruments,http://www.tampabayreview.com/news/business/analysis-new-energy-vehicles-industry-policy-chinas-cities-perspective-policy-instruments/58143/,tampabayreview.com,2018-11-16T18:54:00.0000000Z
5,"Sell-side analysts expect that <b>General</b> <b>Motors</b> will post 6.2 earnings per share for the current fiscal year. The firm also recently announced a quarterly dividend, which will be paid on Thursday, <b>December</b> 20th. Shareholders of record on Friday, <b>December</b> 7th ...",Bowen Hanes &amp; Co. Inc. Decreases Stake in <b>General</b> <b>Motors</b> (GM),https://theenterpriseleader.com/2018/11/15/bowen-hanes-co-inc-decreases-stake-in-general-motors-gm.html,theenterpriseleader.com,2018-11-16T00:41:00.0000000Z
6,"As a group, research analysts expect that <b>General</b> <b>Motors</b> will post 6.2 earnings per share for the current year. The company also recently declared a quarterly dividend, which will be paid on Thursday, <b>December</b> 20th. Stockholders of record on Friday ...",<b>General</b> <b>Motors</b> (GM) Shares Bought by Commonwealth Bank of Australia,https://www.dispatchtribunal.com/2018/11/15/general-motors-gm-shares-bought-by-commonwealth-bank-of-australia.html,dispatchtribunal.com,2018-11-16T00:06:00.0000000Z
7,"<b>General</b> <b>Motors</b> is expected to be the second company ... For vehicles acquired after <b>December</b> 31, 2009, the credit is equal to $2,500 plus, for a vehicle which draws propulsion energy from a ...","Tesla, GM, Nissan, &amp; Rest of the EV Drive Coalition Push Congress to Rethink the EV Tax Credit",https://cleantechnica.com/2018/11/15/tesla-gm-nissan-rest-of-the-ev-drive-coalition-push-congress-to-rethink-the-ev-tax-credit/,CleanTechnica,2018-11-15T21:34:00.0000000Z
8,"Together, Ford, <b>General</b> <b>Motors</b>, and Ram sold about 2.2 million of the things ... and a 310-hp turbocharged 2.7-liter inline-four, due in showrooms in <b>December</b>. Both existing V-8s now feature Chevy&#39;s new Dynamic Fuel Management (DFM) technology, which ...",The 2019 Chevrolet Silverado 1500: Number Two Tries Harder,https://www.yahoo.com/news/2019-chevrolet-silverado-1500-number-164000508.html,YAHOO!,2018-11-15T16:59:00.0000000Z
9,"He was born <b>December</b> 28, 1931, in Decatur to Henry and Eula Steele. Mr. Steele served 21 years in the Air Force, was a Korean War veteran and a recipient of the Air Force Commendation Medal. He retired to Moulton with his family working for <b>General</b> <b>Motors</b>.","Kenneth Leon Steele, MOULTON",https://www.moultonadvertiser.com/obituaries/article_289c5658-e837-11e8-9228-d3405517e1ea.html,The Moulton Advertiser,2018-11-15T12:30:00.0000000Z
