,description,headline,url,provider,date
0,"On October 27, 2018, <b>General</b> <b>Motors</b>’ (GM’s) Women in Design held a Girl Scout ... girls inside the GM campus. 🚙 GM <b>employees</b> from different departments talked about their schooling and careers. Many of my peers may not realize that not everyone ...",Guest Post: My Epic Experience Visiting <b>General</b> <b>Motors</b> and Learning About Designing Dream Cars,http://blog.girlscouts.org/2018/11/guest-post-my-epic-experience-visiting.html,blog.girlscouts.org,2018-11-17T23:08:00.0000000Z
1,"<b>General</b> <b>Motors</b>, Nissan and Mitsubishi are already selling mass-market ... The shift to electric cars is a big one for a company the size of Volkswagen, which has over 600,000 <b>employees</b> and makes about 10 million vehicles a year. It is converting three ...",Volkswagen plans $50 billion investment in electric-car technology,http://www.news-gazette.com/news/2018-11-17/volkswagen-plans-50-billion-investment-electric-car-technology.html,The News-Gazette,2018-11-17T13:14:00.0000000Z
2,"The clock is ticking for thousands of <b>General</b> <b>Motors</b> white-collar workers to decide how they ... So on Oct. 31, GM CEO Mary Barra sent an email to all 50,000 salaried GM <b>employees</b> in North America saying the automaker is offering voluntary buyouts ...","If you don&#39;t take the GM buyout, will your boss protect your job?",https://www.msn.com/en-us/finance/news/if-you-dont-take-the-gm-buyout-will-your-boss-protect-your-job/ar-BBPO1sR,Detroit Free Press,2018-11-17T12:36:00.0000000Z
3,it’s up from 40 <b>employees</b> to more than 700 today. Its valuation is now estimated at greater than $10 billion and features Softbank as a high-profile backer. Obviously <b>General</b> <b>Motors</b> has a lot of ...,7 Autonomous Vehicle Stocks to Consider Now,https://finance.yahoo.com/news/7-autonomous-vehicle-stocks-consider-191237622.html,Yahoo Finance,2018-11-17T00:25:00.0000000Z
4,"That&#39;s a departure from many major manufacturers in the region, like the <b>General</b> <b>Motors</b> and Ford plants ... They said the plant is well ahead of the 500 <b>employees</b> the company pledged would ...",Tesla offers glimpse inside Buffalo gigafactory,https://buffalonews.com/2018/11/16/tesla-offers-glimpse-inside-gigafactory/,The Buffalo News,2018-11-16T20:29:00.0000000Z
5,"But one day scrolling through Facebook, she came across a link to Take 2 — the <b>General</b> <b>Motors</b> career re-entry program aimed at recruiting more experienced <b>employees</b> back to the workforce after they’ve taken a long break. Fleck talked with her family ...",Smoothing the way for women to return to work after decades away,https://kxlh.com/cnn/2018/11/16/smoothing-the-way-for-women-to-return-to-work-after-decades-away/,KXLH,2018-11-16T15:36:00.0000000Z
6,"The new hires will add to the company&#39;s growing <b>employee</b> base, which stands around 200 ... The company supplies parts to automakers such as <b>General</b> <b>Motors</b> Co. For its efforts, Inteva was named <b>General</b> <b>Motors</b>&#39; supplier of the year for 2017.","Global automotive supplier announces $33M expansion in Vandalia, 35 new jobs",https://www.bizjournals.com/dayton/news/2018/11/15/global-automotive-supplier-announces-33m-expansion.html,The Business Journals,2018-11-16T13:54:00.0000000Z
7,"Late Thursday afternoon, a pickup truck pulled into the nonprofit’s parking lot with contributions from <b>General Motors employees</b>. “Our team of <b>General Motors employees</b> donated turkeys — 78 to be exact,” GM worker Ulisha Blakesleay deadpanned in a ...",Family Center will distribute 659 holiday meals,https://www.columbiadailyherald.com/news/20181115/family-center-will-distribute-659-holiday-meals,Daily Herald,2018-11-16T05:06:00.0000000Z
8,"<b>General</b> <b>Motors</b> Co. is acting like a company in trouble ... It&#39;s offering voluntary buyouts to 18,000 salaried <b>employees</b> and promising layoffs by year-end if there aren&#39;t enough takers. It&#39;s also planning to spend big on new hires to support efforts ...","Howes: GM aims to drive transformation, promising risk, disruption",https://www.detroitnews.com/story/business/columnists/daniel-howes/2018/11/16/gm-drives-transformation-promising-risk-disruption/2014335002/,The Detroit News,2018-11-16T04:56:00.0000000Z
9,RPA software uses artificial intelligence to help enterprises automate the most repetitive and labor-intensive parts of <b>employees</b> ... Notable users include <b>General</b> <b>Motors</b> Co. and Mastercard ...,"SoftBank joins the RPA craze, leads $300M round into Automation Anywhere",https://siliconangle.com/2018/11/15/softbank-joins-rpa-craze-leads-300m-round-automation-anywhere/,SiliconANGLE,2018-11-15T17:37:00.0000000Z
