,description,headline,url,provider,date
0,"Harold Marshall Morrison, was born on <b>February</b> 21, 1932 ... Thereafter, Harold went to work for <b>General</b> <b>Motors</b> Research Laboratories and then IBM. Harold will be remembered for his commitment ...","Lake Forest Obituary: Harold Morrison, 86",https://patch.com/illinois/lakeforest/lake-forest-obituary-harold-morrison-86,USA Patch,2018-11-16T22:40:00.0000000Z
1,"Ford invested $1bn (£782m) into Argo AI in <b>February</b> this year, however Salesky said the same ... firms ramped up funding goals for their self-driving units, including <b>General</b> <b>Motors</b> which has secured more than $5bn in investment from Softbank and Honda ...",Ford opens itself up to investors on driverless car tech,http://www.cityam.com/269198/ford-opens-itself-up-investors-driverless-car-tech,City A.M.,2018-11-15T18:24:00.0000000Z
2,"SIAM Director <b>General</b> Vishnu Mathur said ... Runner Automobiles, SML Isuzu, Tata <b>Motors</b>, TVS <b>Motors</b>, Yamaha and their Bangladeshi partners like ACI <b>Motors</b>, Bangladesh Honda, Ifad Autos, Karnaphuli ...",Indo-Bangla Automotive Show in Dhaka from Feb 20,https://news.webindia123.com/news/articles/India/20181115/3473876.html,Webindia 123,2018-11-15T11:59:00.0000000Z
3,"Runner <b>Motors</b>, TVS Auto Bangladesh among others will also participate. Indian Component manufacturers like Minda Industries Anand Pistons will also join. Vinnie Mehta, Director <b>General</b>, ...",SIAM to organise Indo-Bangla Automotive Show in Dhaka,https://auto.economictimes.indiatimes.com/news/industry/siam-to-organise-indo-bangla-automotive-show-in-dhaka/66636496,ET Auto.com,2018-11-15T11:34:00.0000000Z
4,"The Commerce Department’s investigation began last spring and requires Presidential action by <b>February</b> 2019 under the statute giving ... The American Automotive Policy Council, on behalf of members <b>General</b> <b>Motors</b>, Ford and Fiat Chrysler, has said ...",Automakers on Edge Over Possibility of New Tariffs,http://www.thedetroitbureau.com/2018/11/automakers-on-edge-over-possibility-of-new-tariffs/,TheDetroitBureau,2018-11-14T15:54:00.0000000Z
5,"Commerce Secretary Wilbur Ross has until <b>February</b> to deliver his findings to the president ... An auto trade war would deal a blow to automakers from <b>General</b> <b>Motors</b> to Toyota Motor Corp., which have built their supply chains to take advantage of countries ...","U.S. holds off on car tariffs after trade meeting, report says",http://www.autonews.com/article/20181113/OEM01/181119898/trump-tariff-trade-negotiations-europe,Automotive News,2018-11-14T03:44:00.0000000Z
6,"FRAMINGHAM, MA—America in 1945 was shifting from wartime to peace time, and <b>General</b> <b>Motors</b> wanted to capitalize ... to roll off the assembly line in <b>February</b> of 1948. GM closed up shop on ...",<b>General</b> <b>Motors</b> Bought 76 Acres In Framingham 73 Years Ago,https://patch.com/massachusetts/framingham/general-motors-bought-76-acres-framingham-73-years-ago,USA Patch,2018-11-13T13:30:00.0000000Z
7,"<b>General</b> <b>Motors</b> (GM) closed at $35.69 in the latest ... which is expected to be <b>February</b> 5, 2019. In that report, analysts expect GM to post earnings of $1.21 per share. This would mark a year ...",<b>General</b> <b>Motors</b> (GM) Stock Moves -0.03%: What You Should Know,https://finance.yahoo.com/news/general-motors-gm-stock-moves-224510646.html,Yahoo Finance,2018-11-12T23:28:00.0000000Z
8,"On a day when U.S. stocks were broadly lower, shares of <b>General</b> <b>Motors</b> Co. declined and Ford Motor Co. trimmed ... as well as auto parts. Commerce has until <b>February</b> to report its findings to the president, who has final say on any tariffs.",U.S. Car-Import Probe Advances as Trump Plans Trade Team Meeting,https://www.bloomberg.com/news/articles/2018-11-12/u-s-car-import-probe-advances-as-trump-plans-trade-team-meeting?srnd=premium,Bloomberg L.P.,2018-11-12T20:48:00.0000000Z
9,"In <b>February</b>, Metra also announced the purchase of 21 F59PHIs from Amtrak. These locomotives, which were built by the Electro-Motive Division of <b>General</b> <b>Motors</b> in 1998 and have been rehabbed within the last five years, began arriving on Metra property in ...",Metra adds more vehicles to replace aging fleet,http://www.metro-magazine.com/rail/news/732032/metra-adds-more-vehicles-to-replace-aging-fleet,Metro Magazine,2018-11-12T15:18:00.0000000Z
10,"He had also founded two automotive companies, the second of which - called &#39;Cartercar&#39; - would be bought out by <b>General</b> <b>Motors</b> in 1909 ... that was small enough to be fitted to an engine and, in <b>February</b> 1911, one had been installed in a Cadillac.",PH Origins: The electric starter,https://www.pistonheads.com/regulars/ph-explains/ph-origins-the-electric-starter/39120,PistonHeads,2018-11-12T11:06:00.0000000Z
11,"Roosevelt’s impending second inaugural and a <b>General</b> <b>Motors</b> strike in Detroit ... The Ohio River didn’t recede inside its banks until <b>February</b> 19. January 1937 opened with a two-week period of rain in Paducah, Kentucky on the lower end of the river ...",The River: The Great Flood of 1937 as told aboard the BB Riverboat Belle of Cincinnati in 2018,https://www.nkytribune.com/2018/11/the-river-the-great-flood-of-1937-as-told-aboard-the-bb-riverboat-belle-of-cincinnati-in-2018/,NKyTribune,2018-11-11T05:33:00.0000000Z
12,"She filed her lawsuit in <b>February</b> 2017 after <b>General</b> <b>Motors</b> had appealed a March 2016 decision by the Ohio Industrial Commission to allow her claim. No settlement details were included in common pleas court records, with the last entry noting that Wakeland ...",Another GM asbestos-related lawsuit resolved,https://www.crescent-news.com/news/local_news/another-gm-asbestos-related-lawsuit-resolved/article_ca030b95-7e64-5725-9a96-e7874c818d62.html,The Crescent-News,2018-11-09T14:30:00.0000000Z
13,"<b>General</b> <b>Motors</b> has yet to deploy self-driving cars ... Kitty Hawk is a startup company backed by Google co-founder Larry Page. In <b>February</b>, Airbus said its self-piloted, full-scale aircraft, the Vahana, climbed 16 feet and in 53 seconds it returned ...","GM&#39;s future lineup will run on electricity, drive itself — and fly",https://www.freep.com/story/money/cars/general-motors/2018/11/09/general-motors-future-lineup-include-flying-cars/1930877002/,Detroit Free Press,2018-11-09T12:35:00.0000000Z
14,"<b>General</b> <b>Motors</b>&#39; latest plans to transform itself into ... Spin, which launched its scooter service in <b>February</b>, has operations in 13 cities and campuses across the U.S. Madra said the company ...",Ford just bought a scooter company,https://autoweek.com/article/car-news/ford-just-bought-scooter-company,Autoweek,2018-11-08T17:38:00.0000000Z
15,"In the latest trading session, <b>General</b> <b>Motors</b> (GM) closed at $36.46 ... This is expected to be <b>February</b> 5, 2019. The company is expected to report EPS of $1.15, down 30.3% from the prior-year ...",<b>General</b> <b>Motors</b> (GM) Gains But Lags Market: What You Should Know,https://finance.yahoo.com/news/general-motors-gm-gains-lags-224510872.html,Yahoo Finance,2018-11-06T23:38:00.0000000Z
16,"RACER Trust, a company organized to clean up and sell abandoned <b>General</b> <b>Motors</b> properties ... we expect to schedule a follow-up Buick City information meeting in late <b>February</b> or early March. We ask for the community’s patience and understanding.","RACER Trust sets two public meetings on Buick City PFAS contamination, other environmental issues",https://www.eastvillagemagazine.org/2018/11/06/racer-trust-sets-two-public-meetings-on-buick-city-pfas-contamination-other-environmental-issues/,East Village,2018-11-06T18:04:00.0000000Z
17,"She was born <b>February</b> 13, 1938 ... She retired in 1994 from <b>General</b> <b>Motors</b>-Delco Electronics. Phyllis also worked for Monte’s Fine Dining, and Big Wheel Restaurant. She enjoyed making pottery ...",Phyllis Eileen (Myers) Weeks,http://kokomoperspective.com/obituaries/phyllis-eileen-myers-weeks/article_6ed2a7d0-e1c0-11e8-9321-afa94ff65a41.html,Kokomo Perspective,2018-11-06T12:47:00.0000000Z
18,"Colin Powell In <b>February</b> 2016, I penned the article &quot;Why ... In that piece, I referred to my only other article on Ford (F) and <b>General</b> <b>Motors</b> (GM), in which I wrote: It has been nearly two ...",The Many Long-Term Problems With An Investment In Ford Or GM,https://seekingalpha.com/article/4218192-many-long-term-problems-investment-ford-gm,Seeking Alpha,2018-11-05T15:14:00.0000000Z
19,<b>General</b> <b>Motors</b> was working with Canada&#39;s BionX last year to design ... BionX filed for receivership in <b>February</b>; this spring GM retrieved some production tooling and inventory from BionX&#39;s facilty in Canada.,<b>General</b> <b>Motors</b> to enter e-bike market,https://www.bicycleretailer.com/industry-news/2018/11/02/general-motors-enter-e-bike-market,Bicycle Retailer and Industry News,2018-11-02T17:30:00.0000000Z
20,"<b>General</b> <b>Motors</b>, after a profitable third quarter that handily beat ... overhead cuts while tearing apart the company overseas during the past five years. In <b>February</b>, GM Korea offered employee buyouts before closing a plant in May. Last year, GM sold ...",<b>General</b> <b>Motors</b> Offers Buyouts Just after Posting Massive Net Profit,https://www.yahoo.com/news/general-motors-offers-buyouts-just-153000808.html,YAHOO!,2018-11-01T08:13:00.0000000Z
21,"<b>General</b> <b>Motors</b>, after a profitable third quarter that handily beat ... overhead cuts while tearing apart the company overseas during the past five years. In <b>February</b>, GM Korea offered employee buyouts before closing a plant in May. Last year, GM sold ...","<b>General</b> <b>Motors</b> Offers Buyouts to 18,000 Employees as Company Posts Giant Profit",https://www.caranddriver.com/news/general-motors-record-profits-voluntary-layoffs,Car and Driver,2018-10-31T17:14:00.0000000Z
22,The 10-day moving average remained at its highest level since <b>February</b> at 0.70. The optimism that ushered ... so the reaction is thus far illustrating the wisdom of the options crowd. <b>General</b> <b>Motors</b> shares are soaring pre-market on blowout quarterly ...,"Wednesday’s Vital Data: <b>General</b> Electric, Facebook and <b>General</b> <b>Motors</b>",https://investorplace.com/2018/10/wednesdays-vital-data-options-trading-general-electric-facebook-and-general-motors/,InvestorPlace,2018-10-31T13:31:00.0000000Z
23,"The stock indexes in China have been bright green since <b>February</b>, which is a bad thing ... looking for growth in the world’s largest auto market — which includes <b>General</b> <b>Motors</b> Company (NYSE:GM). Ford Motor Company (NYSE:F) has already announced ...",Trade of the Day: <b>General</b> <b>Motors</b> Company (GM),https://investorplace.com/2018/10/trade-of-the-day-general-motors-company-gm/,InvestorPlace,2018-10-16T21:13:00.0000000Z
24,"<b>February</b> 2, 2015 – Feinberg’s office releases an updated report, after the program’s January 31, 2015, deadline. More than 4,180 claims have been filed against <b>General</b> <b>Motors</b>, alleging the automaker’s vehicles with faulty ignition switches caused ...",<b>General</b> <b>Motors</b> Fast Facts,https://kbzk.com/cnn-national/2018/10/03/general-motors-fast-facts/,7KBZK,2018-10-03T16:11:00.0000000Z
25,US car giant <b>General</b> <b>Motors</b> (GM) said on <b>February</b> 2 that one of its Chinese ventures plans to establish manufacturing operations in Indonesia to take advantage of growth in Southeast Asia’s biggest vehicle market. Confirming a Reuters report published on ...,<b>General Motors to build new car factory in Indonesia</b>,http://investvine.com/general-motors-to-build-new-car-factory-in-indonesia/,Dubai,2018-09-27T05:24:00.0000000Z
26,"In <b>February</b> 2018, they signed a pact with Maharashtra for setting ... The car plant that opened in 2008 has an annual capacity of 130,000 vehicles. <b>General</b> <b>Motors</b> India also owned a plant in Halol, Gujarat. The company closed the Halol factory in 2017 ...",JSW Energy may buy <b>General</b> <b>Motors</b>&#39; Pune plant to make electric cars,https://www.ibtimes.co.in/jsw-energy-may-buy-general-motors-pune-plant-make-electric-cars-781564,International Business Times,2018-09-26T10:46:00.0000000Z
27,"Four years after launching a massive, incredibly delayed recall aimed at preventing further deaths from its faulty ignition switches, <b>General</b> <b>Motors</b> freed itself from ... Finally, in <b>February</b> 2014, the automaker issued the first of several massive recalls ...","With Criminal Case Dismissed, <b>General</b> <b>Motors</b>’ Ignition Switch Fiasco Nears An End",https://www.thetruthaboutcars.com/2018/09/with-criminal-case-dismissed-general-motors-ignition-switch-fiasco-nears-an-end/,The Truth About Cars,2018-09-21T14:58:00.0000000Z
28,A federal judge in New York dismissed a criminal case brought against <b>General</b> <b>Motors</b> in 2015 concerning the automaker ... and resulted in a recall that started in <b>February</b> 2014 of 2.6 million vehicles. GM spokesman David Caldwell stated in an emailed ...,<b>General</b> <b>Motors</b> ignition switch criminal case dismissed by U.S. judge,https://speedlux.com/general-motors-ignition-switch-criminal-case-dismissed-u-s-judge/,Supercars,2018-09-20T09:44:00.0000000Z
29,"From 2009-2013, Reuss was president of <b>General</b> <b>Motors</b> North America. In 2001 he created and led the GM Performance Division while serving as executive director of architecture engineering. Chuck Stevens leads GM’s global financial and accounting operations.",Big Three Executives: <b>General</b> <b>Motors</b> Co. 2018,http://www.dbusiness.com/January-February-2018/Big-Three-Executives-General-Motors-Co-2018/,DBusiness Magazine,2018-08-30T20:26:00.0000000Z
