,description,headline,url,provider,date
0,"<b>GM</b> landed four green ratings ... Get 24/7 access to in-depth, authoritative coverage of the auto industry from a <b>global</b> team of reporters and editors covering the news that&#39;s vital to your business. Sign up today to get the best of Automotive News ...","Ford, Toyota recognized for commitment to diversity",http://www.autonews.com/article/20181118/RETAIL07/181119752/ford-toyota-rainbow-push-diversity,Automotive News,2018-11-18T05:06:00.0000000Z
1,"Its restructuring activities are also expected to benefit in the long run. Also, the company is raising investment in emerging markets to boost <b>global</b> sales.” Get <b>General Motors</b> alerts: <b>GM</b> has been the topic of a number of other reports. Morgan Stanley ...",<b>General Motors</b> (<b>GM</b>) Raised to Buy at Zacks Investment Research,https://theenterpriseleader.com/2018/11/17/general-motors-gm-raised-to-buy-at-zacks-investment-research.html,theenterpriseleader.com,2018-11-18T00:00:00.0000000Z
2,"“We’re poised for growth,” vice president of <b>GM</b> Urban Mobility and Maven, Julia Steyn said during a presentation at the UBS <b>Global</b> Technology Conference in San Francisco. “We are doubling our revenue every year. We’re going to get to a very ...",<b>GM</b>’s Maven Car-Sharing Fleet To Expand And Include Non-<b>GM</b> Models,https://www.carscoops.com/2018/11/gms-maven-car-sharing-fleet-expand-include-non-gm-models/,Carscoops,2018-11-17T21:57:00.0000000Z
3,"<b>GM</b> has a lot of might in its manufacturing power and its <b>global</b> presence, now streamlined to a few brands. However, most of its sales are still gasoline SUVs, CUVs, and pickup trucks, as with ...","Try To Win $10,000 By Naming <b>GM</b>’s Upcoming Folding E-Bike",https://cleantechnica.com/2018/11/17/take-a-chance-to-win-10000-by-naming-gms-upcoming-folding-e-bike/,CleanTechnica,2018-11-17T20:15:00.0000000Z
4,"(EMAILWIRE.COM, November 17, 2018 ) <b>Global</b> Automotive Dual Clutch Transmission System ... Key companies profiled in this report are ZF, Getrag, Eaton, Volkswage, , <b>General Motors</b>, Hyundai, Gord ,Fiat Powertrain Technologies (FPT) and others.","<b>Global</b> Automotive Dual Clutch Transmission System Market by Manufacturers, Types, Regions and Application Research Report",http://www.emailwire.com/release/974435--Global-Automotive-Dual-Clutch-Transmission-System-Market-by-Manufacturers-Types-Regions-and-Application-Research-Report.html,emailwire.com,2018-11-17T16:29:00.0000000Z
5,"(EMAILWIRE.COM, November 17, 2018 ) <b>Global</b> Automotive DCT Market report is replete with ... Key companies profiled in this report are ZF, Getrag, Eaton, Volkswagen, <b>General Motors</b>, Hyundai, Gord, Fiat Powertrain Technologies (FPT) and others.","<b>Global</b> Automotive DCT Industry Sales, Revenue, Gross Margin, Market Share, by Regions (2013-2025)",http://www.emailwire.com/release/974434-Global-Automotive-DCT-Industry-Sales-Revenue-Gross-Margin-Market-Share-by-Regions-20132025.html,emailwire.com,2018-11-17T16:29:00.0000000Z
6,"<b>General Motors</b> Einhorn sold 6,297,800 shares of <b>GM</b> ... Despite this, operating margins are outperforming just 63% of <b>global</b> competitors and have contracted approximately 7% per year over the ...",David Einhorn&#39;s Top 4 Sells in 3rd Quarter,https://finance.yahoo.com/news/david-einhorns-top-4-sells-212036443.html,Yahoo Finance,2018-11-16T21:26:00.0000000Z
7,"<b>Global</b> Vehicle to Vehicle Communications market report provides ... Some of the top players include BMW Group, Daimler AG, <b>General Motors</b>, Toyota, Volkswagen group, Delphi, Autotalks Limited, eTrans Systems, Honda, Volvo. No Pass Warning.","<b>Global</b> Vehicle to Vehicle Communications Market by 2025: Regional Analysis, Key Players, Competitive Landscape, Industry Size and Shares",https://www.military-technologies.net/2018/11/16/global-vehicle-to-vehicle-communications-market-by-2025-regional-analysis-key-players-competitive-landscape-industry-size-and-shares/,Military Technologies,2018-11-16T21:08:00.0000000Z
8,"Used by nearly one-half of Fortune 50 <b>global</b> leaders, Delphix is bringing on seasoned executives ... where her most recent role was <b>GM</b> of Zuora&#39;s RevPro product line. At Zuora, she held multiple leadership roles across sales, marketing, and product ...",Delphix Bolsters Executive Team to Support Surging <b>Global</b> Demand for DataOps,https://www.marketwatch.com/press-release/delphix-bolsters-executive-team-to-support-surging-global-demand-for-dataops-2018-11-16,MarketWatch,2018-11-16T16:00:00.0000000Z
9,"A <b>global</b> automotive supplier is expanding its Vandalia operation ... The company supplies parts to automakers such as <b>General Motors</b> Co. For its efforts, Inteva was named <b>General Motors</b>&#39; supplier of the year for 2017. “We are pleased that we can continue ...","<b>Global</b> automotive supplier announces $33M expansion in Vandalia, 35 new jobs",https://www.bizjournals.com/dayton/news/2018/11/15/global-automotive-supplier-announces-33m-expansion.html,The Business Journals,2018-11-16T13:54:00.0000000Z
10,"According to a survey recently conducted by <b>GM</b>, more than 90 percent of fleet ... MapAnything’s Fortune 500 and Forbes <b>Global</b> 2,000 partners span financial, manufacturing, and consumer packaged ...",MapAnything raises $42.5 million for location of things platform,https://venturebeat.com/2018/11/16/mapanything-raises-42-5-million-for-location-of-things-platform/,VentureBeat,2018-11-16T12:00:00.0000000Z
11,The London-based business of BCS <b>Global</b> Markets (BCS <b>GM</b>) has obtained a transaction banking license to provide clients with an integrated investment banking and payment services solution. The integrated solution will be developed alongside BCS’s existing ...,BCS obtains transaction banking license,http://www.assetservicingtimes.com/assetservicesnews/article.php?article_id=8980,Asset Servicing Times,2018-11-16T11:42:00.0000000Z
12,"“Chevrolet is able to draw from <b>GM</b>’s <b>global</b> resources and long-standing industry experience to introduce the best products for our Chinese customers,” said Scott Lawson, <b>general</b> director of Chevrolet for SAIC-<b>GM</b>. As the third concept vehicle from the ...",Chevrolet shows several new models at Auto Guangzhou 2018,http://autonews.gasgoo.com/auto_guangzhou_2018/70015379.html,Gasgoo,2018-11-16T07:26:00.0000000Z
13,"The <b>global</b> commercial seed market is broadly classified into conventional crops and biotechnology/<b>GM</b> crops, which are then further segmented into various crop types. Conventional crop seeds like cereal, grains, and oilseeds account for 55% of the market ...","<b>Global</b> Commercial Seed Market 2018 by Manufacturers, Regions, Type and Application, Forecast to 2023",https://www.reportsnreports.com/reports/1773372-global-commercial-seed-market-2018-by-manufacturers-regions-type-and-application-forecast-to-2023.html,ReportsnReports,2018-11-16T01:44:00.0000000Z
14,<b>GM</b> worked with Unifor Local 88 partners to ensure ... standard that is built upon the best practices of various <b>global</b> recognition programs. The program celebrates its 30th anniversary this ...,<b>GM</b>’s CAMI Assembly Plant the Latest to Receive WHC Conservation Certification,http://thenewswheel.com/gms-cami-assembly-plant-the-latest-to-receive-whc-conservation-certification/,thenewswheel.com,2018-11-16T01:18:00.0000000Z
15,Genetically modified foods are foods produced from organisms that have had changes introduced into their DNA using the methods of genetic engineering Foods produced from by using <b>GM</b> organisms are often referred to as <b>GM</b> foods. The major advantages of ...,"<b>Global</b> Genetically Modified Foods Market Report, research methodology and Forecast till 2023",https://www.openpr.com/news/1374972/Global-Genetically-Modified-Foods-Market-Report-research-methodology-and-Forecast-till-2023.html,openpr.com,2018-11-15T23:59:00.0000000Z
16,"JAC , PACCAR , <b>General Motors</b>, GAZ Group, Hyundai Motor Company, Isuzu <b>Motors</b>, AVTO VAZ , Tata <b>Motors</b> , Nissan and more The <b>Global</b> Light Commercial Vehicle market report classifies the market dynamics and trends in the <b>global</b> and regional market ...","Light Commercial Vehicle Market Key Vendors, Topographical Regions, and Industry Segments",https://realzima.com/light-commercial-vehicle-market-key-vendors-topographical-regions-and-industry-segments/,realzima.com,2018-11-15T21:43:00.0000000Z
17,<b>General Motors</b> is expected to be the second company ... the tax credit spurs US innovation and supports US <b>global</b> competition in automotive technology. The Tesla website reminds potential ...,"Tesla, <b>GM</b>, Nissan, &amp; Rest of the EV Drive Coalition Push Congress to Rethink the EV Tax Credit",https://cleantechnica.com/2018/11/15/tesla-gm-nissan-rest-of-the-ev-drive-coalition-push-congress-to-rethink-the-ev-tax-credit/,CleanTechnica,2018-11-15T21:34:00.0000000Z
18,"“Chevrolet is able to draw from <b>GM</b>’s <b>global</b> resources and long-standing industry experience to introduce the best products for our Chinese customers.” As a relatively young brand in China, Chevrolet is reaching more consumers every day. Over six ...",Chevy FNR Carry All Concept Previews Shape Of Future Bowtie SUVs,https://www.motor1.com/news/276490/chevy-fnr-concept-china/,Motor1,2018-11-15T20:19:00.0000000Z
19,"and SVP and <b>GM</b> for Enterprise Networking Scott Harrell. Each leader brought a brand-new announcement to Cisco&#39;s portfolio, expanding the company&#39;s lengths of digital transformation. Cisco top <b>global</b> partners were also awarded by the company for their ...",Partner Summit 2018: What you need to know,https://newsroom.cisco.com/feature-content?type=webcontent&articleId=1954997,newsroom.cisco.com,2018-11-15T19:19:00.0000000Z
20,"When reminded of the comment Thursday, Manfred feigned to have amnesia, before addressing the about-face, saying they talked about it immediately after Van Wagenen was hired to be the New York Mets’ <b>GM</b> ... deal with DAZN, a <b>global</b> streaming platform ...","MLB commissioner Rob Manfred jabs new Mets <b>GM</b> Brodie Van Wagenen, earns five-year extension",https://www.usatoday.com/story/sports/mlb/columnist/bob-nightengale/2018/11/15/rob-manfred-extension-fox-dazn/2014241002/,USA Today,2018-11-15T19:12:00.0000000Z
