,description,headline,url,provider,date
0,"DETROIT — A business line <b>General</b> <b>Motors</b> pioneered nearly a century ago is expected ... It ranked below average on the <b>J.D</b>. Power 2018 U.S. Dealer Financing Satisfaction Study, which followed as many as 2.5 million GM Financial customers affected by ...",Revived credit business helps GM finance its future,http://www.autonews.com/article/20181112/FINANCE_AND_INSURANCE/181119967/gm-financial-captive-dividend,Automotive News,2018-11-12T05:11:00.0000000Z
1,"Can it be just five years ago that <b>General</b> <b>Motors</b> CEO Mary Barra ... Toyota and Hyundai. In fact, if you look at <b>J.D</b>. Power’s Initial Quality rankings, the list is topped by Hyundai and Kia with Ford Motor Company as the highest ranking domestic brand.",GM Q3 Earnings: Down is Up,https://www.strategyanalytics.com/strategy-analytics/blogs/automotive/infotainment-telematics/infotainment-telematics/2018/11/08/gm-q3-earnings-down-is-up,Strategy Analytics,2018-11-08T00:59:00.0000000Z
2,"On Oct. 30, the finance company paid $375 million to <b>General</b> <b>Motors</b> for full-year 2018 ... 11 in overall dealer satisfaction in the captive mass-market category of the <b>J.D</b>. Power 2018 U.S. Dealer Financing Satisfaction Study. GM Financial earned a ...",GM Financial starts payouts to its parent,http://canada.autonews.com/article/20181107/FINANCE_AND_INSURANCE/181109821/gm-financial-dividend-captive,canada.autonews.com,2018-11-07T16:00:00.0000000Z
3,He served as the Chairman of the <b>General</b> <b>Motors</b> Foundation until October 2009. He is also a recipient of the National Bar Association&#39;s prestigious Equal Justice Award. Mr. Gillum holds a <b>J.D</b>. from Northeastern University School of Law in Boston in 1975.,<b>Roderick D. Gillum</b> <b>J.D</b>.,https://www.bloomberg.com/research/stocks/private/person.asp?personId=25873330&privcapId=82393457,Bloomberg L.P.,2018-11-07T10:57:00.0000000Z
4,"<b>General</b> <b>Motors</b> (GM) delivered Wall Street an unexpected surprise ... long the nation&#39;s best-selling pickup line. According to research firm <b>J.D</b>. Power and Associates, $50,000 is the slightly blurry line between mainstream and luxury in today&#39;s auto market.","Luxury car owners trade up for American pickups as Ford, GM and Ram trucks dominate market",https://www.yahoo.com/news/luxury-car-owners-trade-american-210000204.html,YAHOO!,2018-11-05T14:30:00.0000000Z
5,"U.S. auto sales likely fell slightly in October from a year earlier, when replacement demand following hurricanes Harvey and Irma boosted business, industry consultants <b>J.D</b>. Power and LMC ... No. 1 U.S. automaker <b>General</b> <b>Motors</b> Co (GM.N) switched to ...",U.S. October auto sales seen down slightly: consultants,https://www.msn.com/en-us/finance/companies/us-october-auto-sales-seen-down-slightly-consultants/ar-BBP3ByN,Reuters,2018-10-29T13:01:00.0000000Z
6,"Ken Kelzer, <b>General</b> <b>Motors</b>’ vice president of global vehicle components ... Not just us as an OEM but, if you read <b>J.D</b>. Power, sort of universally people have a problem connecting their phones. So, we do this hackathon, we have these teams come forward ...","How <b>General</b> <b>Motors</b> is preparing for an electric, autonomous, connected future",https://www.digitaltrends.com/cars/general-motors-engineering-executive-ken-kelzer-interview/,digitaltrends.com,2018-10-11T05:17:00.0000000Z
7,"<b>general</b> <b>motors</b> engineering executive ken kelzer interview gmkenkelzer23 ... Not just us as an OEM but, if you read <b>J.D</b>. Power, sort of universally people have a problem connecting their phones. So, we do this hackathon, we have these teams come forward ...","How <b>General</b> <b>Motors</b> is preparing for an electric, autonomous, connected future",https://sports.yahoo.com/general-motors-preparing-electric-autonomous-234040677.html,Yahoo Sports,2018-10-11T00:37:00.0000000Z
8,"Per the news, people familiar with the matter revealed that <b>General</b> <b>Motors</b> faced a lot of hardships in selling passengers cars in August and deliveries declined for various models. According to the data provided by <b>J.D</b>. Power, <b>General</b> <b>Motors</b>’ incentive ...",<b>General</b> <b>Motors</b>&#39; (GM) Sales Decrease on Thinner Discount,https://finance.yahoo.com/news/general-motors-apos-gm-sales-120512082.html,Yahoo Finance,2018-09-05T12:51:00.0000000Z
9,"Second most model-level awards went to Hyundai with four, and BMW and <b>General</b> <b>Motors</b> each with three. Image source: <b>J.D</b>. Power&#39;s 2018 IQS Already there is an emerging trend that will become important if automakers want to improve their score and protect ...",Detroit Automakers Receive Good News From <b>J.D</b>. Power&#39;s 2018 IQS,https://finance.yahoo.com/news/detroit-automakers-receive-good-news-103100023.html,Yahoo Finance,2018-06-22T10:45:00.0000000Z
