,description,headline,url,provider,date
0,"With a <b>January</b> 1 deadline to ratchet up US tariffs to 25% on more ... Buick, a subsidiary of car maker <b>General</b> <b>Motors</b> Corp., would likely have to file for bankruptcy without the Chinese market, say experts. Other industries could be vulnerable, too.",Washington scrambles for details ahead of US-China trade talks,https://www.localnews8.com/news/politics/washington-scrambles-for-details-ahead-of-uschina-trade-talks/871163077,Local News 8,2018-11-17T20:38:00.0000000Z
1,"The move comes as Tesla and <b>General</b> <b>Motors</b> are lobbying government officials to extend ... Tesla customers who get their Model 3 between <b>Jan</b>. 1 and June 30, 2019, will receive a $3,750 tax credit, and those who take delivery between July 1 and Dec. 31 ...",Tesla Promises Model 3 Delivery by Dec. 31 to Meet Tax Deadline,http://www.thedetroitbureau.com/2018/11/tesla-promises-model-3-delivery-by-dec-31-to-meet-tax-deadline/,TheDetroitBureau,2018-11-16T16:55:00.0000000Z
2,"Tesla, <b>General</b> <b>Motors</b>, and Nissan spearheaded the formation of a coalition ... won’t be returning to Congress in <b>January</b>. Black gave up her seat to run unsuccessfully for Tennessee governor. Democratic challengers took down Bishop and Heller at the ...",Electric-Car Tax Credit Efforts Running Out of Juice in Congress,https://www.nationaljournal.com/s/674731/electric-car-tax-credit-efforts-running-out-of-juice-in-congress,National Journal,2018-11-16T01:44:00.0000000Z
3,"Lehman Brothers and Enron are gone; <b>General</b> <b>Motors</b> went bust and survived thanks to a U.S. bailout ... GE has established a recent track record of negative surprises. In <b>January</b>, the company announced a $6.2 billion charge at a long-term care insurance ...",Four Ways GE’s Crisis Could Play Out,https://www.bloomberg.com/news/articles/2018-11-16/ge-in-crisis-four-ways-it-could-end-for-a-u-s-industrial-icon?srnd=premium,Bloomberg L.P.,2018-11-16T00:06:00.0000000Z
4,"The EV Drive Coalition, which also has the support of <b>General</b> <b>Motors</b> and Nissan ... the tax credit will drop for Tesla buyers starting <b>January</b> 1, 2019 to $3,750. “If the US is going to continue ...","Tesla, GM, Nissan, &amp; Rest of the EV Drive Coalition Push Congress to Rethink the EV Tax Credit",https://cleantechnica.com/2018/11/15/tesla-gm-nissan-rest-of-the-ev-drive-coalition-push-congress-to-rethink-the-ev-tax-credit/,CleanTechnica,2018-11-15T21:34:00.0000000Z
5,"One way to boost sales: Tesla has joined <b>General</b> <b>Motors</b> and Nissan to lobby Congress for an extension of the $7,500 federal tax credit on electric-car purchases, which begins running out for Tesla on <b>Jan</b>. 1. If they’re successful, a stock bump would ...",How Elon Musk might make $920 million in Tesla debt go away,http://www.latimes.com/business/autos/la-fi-hy-tesla-convertible-bonds-20181115-story.html,Los Angeles Times,2018-11-15T21:00:00.0000000Z
6,Is the 2019 Chevy Colorado ZR2 Bison the most off-road capable midsize truck available in the United States (starting in <b>January</b> 2019 ... The Bison is a collaboration between <b>General</b> <b>Motors</b> (GM – Chevrolet) and American Expedition Vehicles (AEV).,What Is the 2019 Chevy Colorado ZR2 Bison All About? (Video),https://www.tfltruck.com/2018/11/what-is-the-2019-chevy-colorado-zr2-bison-all-about-video/,The Fast Lane Truck,2018-11-15T17:15:00.0000000Z
7,In a lot of ways it was <b>General</b> <b>Motors</b>’ year. The revamp of the midsize A-Body models ... and 1968 was a rollercoaster that started with the Tet Offensive in <b>January</b> but saw President Lyndon Johnson call an end to bombing North Vietnam in October because ...,1968: A Year of Political and Societal Unrest Hand-in-Hand with the Decade’s Best Muscle Cars,https://www.hotrod.com/articles/1968-decades-best-muscle-cars/,Hot Rod,2018-11-15T16:21:00.0000000Z
8,"Starting in <b>January</b>, all major manufacturers operating in China—from global giants Toyota Motor and <b>General</b> <b>Motors</b> to domestic players BYD and BAIC Motor—have to meet minimum requirements there for producing new-energy vehicles, or NEVs (plug-in ...",China Forcing Its Way To Leading the World to an Electric Car Future,https://www.theautochannel.com/news/2018/11/15/638035-china-forcing-its-way-to-leading-world-to-electric-car.html,The Auto Channel,2018-11-15T15:57:00.0000000Z
9,"Stock Advisor returns as of November 14, 2018 Matthew Frankel, CFP owns shares of Apple, Bank of America, Berkshire Hathaway (B shares), and <b>General</b> <b>Motors</b>. The Motley Fool ... and has the following options: long <b>January</b> 2020 $150 calls on Apple, short ...",Here&#39;s What Warren Buffett Is Buying and Selling,https://www.msn.com/en-us/finance/topstocks/heres-what-warren-buffett-is-buying-and-selling/ar-BBPJOYa,The Motley Fool,2017-11-15T11:54:00.0000000Z
10,"Last year was a good one for <b>General</b> <b>Motors</b> (NYSE:GM). GM posted strong profits on good ... it was down about 14% since <b>Jan</b>. 1. The thing is, GM&#39;s long-term story hasn&#39;t really changed since 2017. It&#39;s still posting good profits, it&#39;s making progress ...",Why <b>General</b> <b>Motors</b>’ Stock Is Down 14% So Far in 2018,https://www.fool.com/investing/2018/11/14/why-general-motors-stock-is-down-14-in-2018-so-far.aspx,The Motley Fool,2018-11-15T02:17:00.0000000Z
11,"Back on <b>Jan</b>. 20, 1940, Winston Churchill said in ... This metaphor, about appeasement, appropriately describes what <b>General</b> <b>Motors</b> (GM) , Tesla (TSLA) and Nissan Motor (NSANY) are asking from ...","Tesla, GM and Nissan Should Stop Appeasing the Government &#39;Crocodile&#39;",https://realmoney.thestreet.com/investing/stocks/tesla-gm-and-nissan-need-to-stop-appeasing-the-government-crocodile--14781517,TheStreet.com,2018-11-14T15:50:00.0000000Z
12,"Just days after taking the job in <b>January</b> 2014, <b>General</b> <b>Motors</b> CEO Mary Barra had to confront a crisis that threatened the entire company&#39;s post-government bailout future. An ignition switch malfunction in some of its car models from a decade prior had ...",GM CEO Mary Barra said the recall crisis of 2014 forever changed her leadership style,https://www.businessinsider.com/gm-mary-barra-recall-crisis-leadership-style-2018-11,Business Insider,2018-11-14T13:43:00.0000000Z
13,"Starting in <b>January</b>, Tesla buyers will only be eligible for half the credit ($3,750). From June until the end of the year, that drops to $1,875. Come 2020, it goes to zero. After years of selling the Volt and Leaf, <b>General</b> <b>Motors</b> and Nissan are rapidly ...","Tesla, GM, and Nissan Unite to Save Their EV Tax Credits",https://www.wired.com/story/tesla-gm-nissan-ev-drive-coalition-federal-tax-credit/,Wired,2018-11-14T13:00:00.0000000Z
14,"Maven, <b>General</b> <b>Motors</b>’ private ride-sharing service ... Maven has been a bit of a chameleon since its creation in <b>January</b> 2016. Initially envisioned as a car-sharing service, it’s morphed to offer different types of services, most recently following ...",GM Expanding Maven Peer-to-Peer Rentals to Include Other Brands,http://www.thedetroitbureau.com/2018/11/gm-expanding-maven-peer-to-peer-rentals-to-include-other-brands/,TheDetroitBureau,2018-11-13T21:20:00.0000000Z
