,description,headline,url,provider,date
0,"Citigroup dropped their target price on shares of <b>General</b> <b>Motors</b> to $60.00 and set a “buy” rating for the company in a research report on Thursday, <b>July</b> 26th. JPMorgan Chase &amp; Co. decreased their price target on <b>General</b> <b>Motors</b> from $58.00 to $54.00 and ...",<b>General</b> <b>Motors</b> (NYSE:GM) Position Reduced by TCW Group Inc.,https://theenterpriseleader.com/2018/11/15/tcw-group-inc-has-22-56-million-position-in-general-motors-gm.html,theenterpriseleader.com,2018-11-18T00:42:00.0000000Z
1,<b>General</b> <b>Motors</b> has revealed that its Maven peer-to-peer car-sharing program will get non-GM vehicles from mid-2019. Maven launched in <b>July</b> and only allows owners and eligible lessees of GM vehicles made in 2015 or newer to make them available on the car ...,GM’s Maven Car-Sharing Fleet To Expand And Include Non-GM Models,https://www.carscoops.com/2018/11/gms-maven-car-sharing-fleet-expand-include-non-gm-models/,Carscoops,2018-11-17T21:57:00.0000000Z
2,"Finally, Buckingham Research reduced their price target on <b>General</b> <b>Motors</b> from $39.00 to $37.00 and set a neutral rating on the stock in a research note on Thursday, <b>July</b> 26th. One investment analyst has rated the stock with a sell rating, six have ...",<b>General</b> <b>Motors</b> (GM) Cut to Hold at Zacks Investment Research,https://www.themarketsdaily.com/2018/11/16/general-motors-gm-cut-to-hold-at-zacks-investment-research.html,themarketsdaily.com,2018-11-17T00:30:00.0000000Z
3,"On Friday, <b>July</b> 27 the stock rating was maintained by JP Morgan with “Overweight”. The stock has “Buy” rating by Citigroup on Tuesday, November 6. Buckingham Research maintained <b>General</b> <b>Motors</b> Company (NYSE:GM) rating on Wednesday, October 3.",<b>General</b> Mtrs Co (GM) Share Price Declined While Golub Group LLC Has Trimmed Its Position by $36.74 Million,http://reurope.com/2018/11/16/general-mtrs-co-gm-share-price-declined-while-golub-group-llc-has-trimmed-its-position-by-36-74-million/,reurope.com,2018-11-17T00:22:00.0000000Z
4,"Guggenheim reiterated a “buy” rating and issued a $52.00 price objective on shares of <b>General</b> <b>Motors</b> in a research note on Friday, <b>July</b> 20th. Piper Jaffray Companies set a $51.00 price objective on shares of <b>General</b> <b>Motors</b> and gave the company a “buy ...","Rhumbline Advisers Acquires 5,169 Shares of <b>General</b> <b>Motors</b> (GM)",https://www.dispatchtribunal.com/2018/11/16/rhumbline-advisers-acquires-5169-shares-of-general-motors-gm.html,dispatchtribunal.com,2018-11-17T00:13:00.0000000Z
5,"More than 80 concept, demonstrator and/or test-fleet fuel-cell-powered electric vehicles have been fielded by 25 automakers worldwide since <b>General</b> <b>Motors</b> (Detroit ... boat in the US was announced in <b>July</b> 2018. Bay Ship and Yacht Co. (Alameda, CA, US ...",The markets: Fuels cells and batteries (2019),https://www.compositesworld.com/articles/the-markets-fuels-cells-and-batteries-2016,CompositesWorld,2018-11-16T21:20:00.0000000Z
6,"Guggenheim restated a “buy” rating and set a $52.00 target price on shares of <b>General</b> <b>Motors</b> in a research report on Friday, <b>July</b> 20th. Piper Jaffray Companies set a $51.00 target price on shares of <b>General</b> <b>Motors</b> and gave the company a “buy ...",<b>General</b> <b>Motors</b> (GM) Upgraded to “Buy” at Zacks Investment Research,https://www.dispatchtribunal.com/2018/11/16/general-motors-gm-upgraded-to-buy-at-zacks-investment-research.html,dispatchtribunal.com,2018-11-16T17:27:00.0000000Z
7,"The move comes as Tesla and <b>General</b> <b>Motors</b> are lobbying government officials to extend ... and those who take delivery between <b>July</b> 1 and Dec. 31, 2019, will receive $1,875. Starting in 2020, there is no more credit for Tesla buyers.",Tesla Promises Model 3 Delivery by Dec. 31 to Meet Tax Deadline,http://www.thedetroitbureau.com/2018/11/tesla-promises-model-3-delivery-by-dec-31-to-meet-tax-deadline/,TheDetroitBureau,2018-11-16T16:55:00.0000000Z
8,"And as production of electric vehicles ramps up, manufacturers such as <b>General</b> <b>Motors</b> and Tesla are hitting that cap. In <b>July</b>, Tesla said it was close to reaching the cap and would then need to begin the one-year phaseout of the tax break for future sales.",Electric-Car Tax Credit Efforts Running Out of Juice in Congress,https://www.nationaljournal.com/s/674731/electric-car-tax-credit-efforts-running-out-of-juice-in-congress,National Journal,2018-11-16T01:44:00.0000000Z
9,"The credits are available for six months after an automaker hits 200,000 delivery mark, which Tesla hit in <b>July</b>. The incentives then reduce by 50 percent every six months until it phases out. The California-based automaker is joining rivals <b>General</b> <b>Motors</b> ...",Get your Tesla Model 3 order in by the end of November to claim full tax rebate,https://www.autoblog.com/2018/11/15/tesla-model-3-orders-ev-tax-credit-timeline/,Autoblog,2018-11-15T19:03:00.0000000Z
10,"It comes as an extension to the $250 million Series C round that Automation Anywhere raised in <b>July</b>, which gave it ... Notable users include <b>General</b> <b>Motors</b> Co. and Mastercard Inc. and Google ...","SoftBank joins the RPA craze, leads $300M round into Automation Anywhere",https://siliconangle.com/2018/11/15/softbank-joins-rpa-craze-leads-300m-round-automation-anywhere/,SiliconANGLE,2018-11-15T17:37:00.0000000Z
11,<b>General</b> <b>Motors</b> Company (NYSE ... So we lunched the Peer what we call Peer in Detroit at the end of <b>July</b> and we assumed this was going to be our worst market because people in Detroit are very ...,<b>General</b> <b>Motors</b> Company (GM) Management Presents at Barclays 2018 Global Automotive Conference (Transcript),https://seekingalpha.com/article/4222532-general-motors-company-gm-management-presents-barclays-2018-global-automotive-conference,Seeking Alpha,2018-11-15T17:30:00.0000000Z
12,"<b>July</b> 26, the company rating was maintained by Buckingham Research. The firm earned “Buy” rating on Thursday, May 31 by CFRA. The firm has “Overweight” rating given on Friday, June 1 by JP Morgan. J.P. Morgan maintained <b>General</b> <b>Motors</b> Company (NYSE ...",Do Institutional Investors Hate <b>General</b> <b>Motors</b> Co (NYSE:GM)?,https://flecha123.com/2018/11/15/do-institutional-investors-hate-general-motors-co-nysegm/,flecha123.com,2018-11-15T16:52:00.0000000Z
