,description,headline,url,provider,date
0,"Therefore 75% are positive. <b>General</b> <b>Motors</b> had 13 analyst reports since May 31, 2018 according to SRatingsIntel. On Tuesday, November 6 the stock rating was maintained by Morgan Stanley with “Overweight”. On Tuesday, <b>June</b> 5 the stock rating was ...",<b>General</b> Mtrs Co (GM) Share Price Declined While Golub Group LLC Has Trimmed Its Position by $36.74 Million,http://reurope.com/2018/11/16/general-mtrs-co-gm-share-price-declined-while-golub-group-llc-has-trimmed-its-position-by-36-74-million/,reurope.com,2018-11-17T00:22:00.0000000Z
1,"The move comes as Tesla and <b>General</b> <b>Motors</b> are lobbying government officials to extend ... Tesla customers who get their Model 3 between Jan. 1 and <b>June</b> 30, 2019, will receive a $3,750 tax credit, and those who take delivery between July 1 and Dec. 31 ...",Tesla Promises Model 3 Delivery by Dec. 31 to Meet Tax Deadline,http://www.thedetroitbureau.com/2018/11/tesla-promises-model-3-delivery-by-dec-31-to-meet-tax-deadline/,TheDetroitBureau,2018-11-16T16:55:00.0000000Z
2,"A Grain Valley woman whose son died along with a friend in a fiery crash two years ago in Independence has filed a wrongful death lawsuit against <b>General</b> <b>Motors</b>, accusing the ... died in the <b>June</b> 27, 2016 crash at intersection of Missouri 291 and Salisbury ...",Mother of crash victim files wrongful death lawsuit,http://www.examiner.net/news/20181116/mother-of-crash-victim-files-wrongful-death-lawsuit,The Examiner,2018-11-16T06:10:00.0000000Z
3,"The firm earned “Buy” rating on Thursday, May 31 by CFRA. The firm has “Overweight” rating given on Friday, <b>June</b> 1 by JP Morgan. J.P. Morgan maintained <b>General</b> <b>Motors</b> Company (NYSE:GM) rating on Friday, <b>June</b> 1. J.P. Morgan has “Buy” rating and ...",Do Institutional Investors Hate <b>General</b> <b>Motors</b> Co (NYSE:GM)?,https://flecha123.com/2018/11/15/do-institutional-investors-hate-general-motors-co-nysegm/,flecha123.com,2018-11-15T16:52:00.0000000Z
4,In a lot of ways it was <b>General</b> <b>Motors</b>’ year. The revamp of the midsize A-Body models ... tragic assassinations of Martin Luther King Jr. in April and Robert Kennedy in <b>June</b>. But those events are just part of a frenzied year. Photo: Eric Dahlquist ...,1968: A Year of Political and Societal Unrest Hand-in-Hand with the Decade’s Best Muscle Cars,https://www.hotrod.com/articles/1968-decades-best-muscle-cars/,Hot Rod,2018-11-15T16:21:00.0000000Z
5,"Morgan Stanley maintained <b>General</b> <b>Motors</b> Company (NYSE:GM) on Friday, August 17 with “Overweight” rating. On Tuesday, <b>June</b> 5 the stock rating was maintained by Morgan Stanley with “Overweight”. The firm has “Buy” rating given on Thursday ...",<b>General</b> Mtrs Co (GM) Stock Value Declined While Kbc Group Nv Has Cut by $22.09 Million Its Holding,http://reurope.com/2018/11/14/general-mtrs-co-gm-stock-value-declined-while-kbc-group-nv-has-cut-by-22-09-million-its-holding/,reurope.com,2018-11-15T00:45:00.0000000Z
6,"It was the dark of the moon on the sixth of <b>June</b> in a Toyota with no fumes ... To put that into perspective, that’s three times larger than <b>General</b> <b>Motors</b>, which is the largest auto company here in the United States. Forget about that — Toyota is ...",The $25 Billion Secret Behind &quot;Project Portal&quot;,https://www.energyandcapital.com/articles/the-25-billion-secret-behind-project-portal/6580,Energy and Capital,2018-11-14T20:15:00.0000000Z
7,"From <b>June</b> until the end of the year, that drops to $1,875. Come 2020, it goes to zero. After years of selling the Volt and Leaf, <b>General</b> <b>Motors</b> and Nissan are rapidly approaching the threshold as well. To reclaim their slice of federal largesse ...","Tesla, GM, and Nissan Unite to Save Their EV Tax Credits",https://www.wired.com/story/tesla-gm-nissan-ev-drive-coalition-federal-tax-credit/,Wired,2018-11-14T13:00:00.0000000Z
8,"This past <b>June</b>, as Mexican fans were preparing to watch their team ... so big corporations like Coca-Cola, Pepsi and <b>General</b> <b>Motors</b> are already seeing the benefits of placing marketing attention in the sport, in both the U.S and Mexico,” says Dario ...",Unlocking the Power of the Hispanic Soccer Fan in America,https://www.si.com/tech-media/2018/11/13/hispanic-latino-soccer-fan-purchasing-power-influence,Sports Illustrated,2018-11-13T18:18:00.0000000Z
9,"The bailout of <b>General</b> <b>Motors</b> by the Obama administration in 2008 was certainly pro-big business, but there was nothing ‘free enterprise’ about it. The economist Milton Friedman wrote about the contrast between these two positions in Newsweek in <b>June</b> ...",Being pro-free enterprise is not the same as being pro-big business,https://www.americanexperiment.org/2018/11/pro-free-enterprise-not-pro-big-business/,American Experiment,2018-11-12T12:14:00.0000000Z
