,description,headline,url,provider,date
0,"Enter &quot;Tesla <b>Motors</b> Incorporated&quot; into cell B1 and &quot;<b>General</b> <b>Motors</b> Company&quot; into cell C1. Tesla and GM are car <b>manufacturing</b> companies. Tesla has a beta of 1.16, while GM has a beta of 1.11. Assume the risk-free rate is 0.25% and the expected market return ...",What is the formula for calculating CAPM in Excel?,https://www.investopedia.com/ask/answers/071415/what-formula-calculating-capital-asset-pricing-model-capm-excel.asp,Investopedia,2018-11-18T05:38:00.0000000Z
1,"Key companies profiled in this report are ZF, Getrag, Eaton, Volkswage, , <b>General</b> <b>Motors</b>, Hyundai, Gord ,Fiat Powertrain ... Profiles/Analysis 8 Automotive Dual Clutch Transmission System <b>Manufacturing</b> Cost Analysis 9 Industrial Chain, Sourcing Strategy ...","Global Automotive Dual Clutch Transmission System Market by Manufacturers, Types, Regions and Application Research Report",http://www.emailwire.com/release/974435--Global-Automotive-Dual-Clutch-Transmission-System-Market-by-Manufacturers-Types-Regions-and-Application-Research-Report.html,emailwire.com,2018-11-17T16:29:00.0000000Z
2,"Fjarde Ap invested 0.21% in <b>General</b> <b>Motors</b> Company (NYSE:GM ... The institutional investor held 8,245 shares of the auto <b>manufacturing</b> company at the end of 2018Q2, valued at $325,000, down from 950,270 at the end of the previous reported quarter.",<b>General</b> Mtrs Co (GM) Share Price Declined While Golub Group LLC Has Trimmed Its Position by $36.74 Million,http://reurope.com/2018/11/16/general-mtrs-co-gm-share-price-declined-while-golub-group-llc-has-trimmed-its-position-by-36-74-million/,reurope.com,2018-11-17T00:22:00.0000000Z
3,"The electric motor in the PHEVs is run by a battery which gets charged while <b>general</b> running and braking ... China Anhui Jianghuai Automobile Co., Ltd. (JAC <b>Motors</b>), Motrec International, Inc., Taylor-Dunn <b>Manufacturing</b> Company, Karrior EV and Bradshaw ...",Analysis of New Energy Vehicles Industry Policy in China’s Cities from the Perspective of Policy instruments,http://www.tampabayreview.com/news/business/analysis-new-energy-vehicles-industry-policy-chinas-cities-perspective-policy-instruments/58143/,tampabayreview.com,2018-11-16T18:54:00.0000000Z
4,"A Grain Valley woman whose son died along with a friend in a fiery crash two years ago in Independence has filed a wrongful death lawsuit against <b>General</b> <b>Motors</b>, accusing the ... alleged design and <b>manufacturing</b> defects “created a high probability ...",Mother of crash victim files wrongful death lawsuit,http://www.examiner.net/news/20181116/mother-of-crash-victim-files-wrongful-death-lawsuit,The Examiner,2018-11-16T06:10:00.0000000Z
5,"Twenty years ago, the <b>General</b> <b>Motors</b> Lordstown plant was in a similar situation ... as well as communities throughout the state, about the importance of <b>manufacturing</b> jobs. “A lot of this is going to be about educating and building solidarity, not ...",Valley leaders to launch “Drive It Home” campaign in support of GM Lordstown plant,http://www.vindy.com/news/2018/nov/16/mahoning-valley-leaders-to-launch-drive-/,The Vindicator,2018-11-16T06:04:00.0000000Z
6,<b>General</b> <b>Motors</b> is currently working to achieve conservation certification from the Wildlife Habitat Council at all of its <b>manufacturing</b> sites by 2020. The automaker recently announced the latest ...,GM’s CAMI Assembly Plant the Latest to Receive WHC Conservation Certification,http://thenewswheel.com/gms-cami-assembly-plant-the-latest-to-receive-whc-conservation-certification/,thenewswheel.com,2018-11-16T01:18:00.0000000Z
7,<b>General</b> <b>Motors</b> is expected to be the second company ... at the time that manufacturers of EVs would have streamlined their <b>manufacturing</b> process and neared the cost of gas-powered cars by the ...,"Tesla, GM, Nissan, &amp; Rest of the EV Drive Coalition Push Congress to Rethink the EV Tax Credit",https://cleantechnica.com/2018/11/15/tesla-gm-nissan-rest-of-the-ev-drive-coalition-push-congress-to-rethink-the-ev-tax-credit/,CleanTechnica,2018-11-15T21:34:00.0000000Z
8,"The electric motor in the PHEVs is run by a battery which gets charged while <b>general</b> running and braking ... China Anhui Jianghuai Automobile Co., Ltd. (JAC <b>Motors</b>), Motrec International, Inc., Taylor-Dunn <b>Manufacturing</b> Company, Karrior EV and Bradshaw ...",New Energy Vehicles Market Report Just Published By Credence Research,http://www.tampabayreview.com/news/business/new-energy-vehicles-market-report-just-published-credence-research/58074/,tampabayreview.com,2018-11-15T19:27:00.0000000Z
9,"<b>General</b> <b>Motors</b> continues to lead the industry with the most WHC Conservation Certification sites - 75 - and is at nearly 85 percent of its goal to achieve certification at all its <b>manufacturing</b> sites by 2020. &#39;Our environmental team, along with our Unifor ...",<b>General</b> <b>Motors</b> : Wildlife Habitat Council Recognizes <b>General</b> <b>Motors</b>’ Ongoing Commitment to Biodiversity and Conservation,https://www.marketscreener.com/GENERAL-MOTORS-CORPORATIO-6873535/news/General-Motors-Wildlife-Habitat-Council-Recognizes-General-Motors-rsquo-Ongoing-Commitment-to-Bio-27613440/,marketscreener.com,2018-11-15T14:54:00.0000000Z
