,description,headline,url,provider,date
0,"On October 27, 2018, <b>General</b> <b>Motors</b>’ (GM’s) Women in Design held a Girl Scout event about careers in designing. It <b>may</b> have been a rainy day outside, but inside was a whole new world. There were many exciting things to do and hands-on activities for ...",Guest Post: My Epic Experience Visiting <b>General</b> <b>Motors</b> and Learning About Designing Dream Cars,http://blog.girlscouts.org/2018/11/guest-post-my-epic-experience-visiting.html,blog.girlscouts.org,2018-11-17T23:08:00.0000000Z
1,"The firm has since advised on some of the largest Chapter 11 reorganizations including <b>General</b> <b>Motors</b> Co. and Enron Corp. When forming ... with about a 35 percent stake, according to a <b>May</b> lawsuit he filed against McKinsey &amp; Co. Alix has a net worth ...","Businessman modeled his firm on Mayo Clinic, then gave $200 million for medical school",http://www.thedickinsonpress.com/business/healthcare/4530836-businessman-modeled-his-firm-mayo-clinic-then-gave-200-million-medical,The Dickinson Press,2018-11-17T18:29:00.0000000Z
2,"The capital has changed the game for a number of recipients of Softbank&#39;s checks, including WeWork, Uber Technologies, <b>General</b> <b>Motors</b> Company&#39;s Cruise Automation ... plus others focused on specific international markets, <b>may</b> be one.",Softbank Has Become a New Sun in the Venture Capital Solar System,https://www.thestreet.com/investing/softbank-impact-on-venture-capital-14785064,TheStreet.com,2018-11-17T15:04:00.0000000Z
3,"The clock is ticking for thousands of <b>General</b> <b>Motors</b> white-collar workers to decide how they ... If GM does not get enough takers for buyouts to achieve cost savings, it said it <b>may</b> consider layoffs after the first of the year. Therefore, &quot;If your ...","If you don&#39;t take the GM buyout, will your boss protect your job?",https://www.msn.com/en-us/finance/news/if-you-dont-take-the-gm-buyout-will-your-boss-protect-your-job/ar-BBPO1sR,Detroit Free Press,2018-11-17T12:36:00.0000000Z
4,Obviously <b>General</b> <b>Motors</b> has a lot of historic baggage ... NIO’s (NYSE:NIO) recent IPO <b>may</b> offer a similar opportunity — key word being “<b>may</b>.” NIO just reported its first significant ...,7 Autonomous Vehicle Stocks to Consider Now,https://finance.yahoo.com/news/7-autonomous-vehicle-stocks-consider-191237622.html,Yahoo Finance,2018-11-17T00:25:00.0000000Z
5,"Therefore 75% are positive. <b>General</b> <b>Motors</b> had 13 analyst reports since <b>May</b> 31, 2018 according to SRatingsIntel. On Tuesday, November 6 the stock rating was maintained by Morgan Stanley with “Overweight”. On Tuesday, June 5 the stock rating was ...",<b>General</b> Mtrs Co (GM) Share Price Declined While Golub Group LLC Has Trimmed Its Position by $36.74 Million,http://reurope.com/2018/11/16/general-mtrs-co-gm-share-price-declined-while-golub-group-llc-has-trimmed-its-position-by-36-74-million/,reurope.com,2018-11-17T00:22:00.0000000Z
6,"You <b>may</b> wonder, as I do, how the PBGC can pay the same benefits ... It has happened before but I would not count on it happening again. The <b>General</b> <b>Motors</b> And Chrysler Bailout The last time the PBGC faced a similar situation was in 2009 when President ...",GE Pensioners And Stockholders Contemplate The Unthinkable,https://www.forbes.com/sites/kenkam/2018/11/16/ge-pensioners-and-stockholders-contemplate-the-unthinkable/,Forbes,2018-11-16T23:08:00.0000000Z
7,"The move comes as Tesla and <b>General</b> <b>Motors</b> are lobbying government officials to extend ... (Click Here for more about Tesla taking heat as Musk lashes out.) It <b>may</b> be a good move, but can they deliver the vehicles is the question? Tesla history with ...",Tesla Promises Model 3 Delivery by Dec. 31 to Meet Tax Deadline,http://www.thedetroitbureau.com/2018/11/tesla-promises-model-3-delivery-by-dec-31-to-meet-tax-deadline/,TheDetroitBureau,2018-11-16T16:55:00.0000000Z
8,"But women and men reentering the workforce <b>may</b> still battle stereotypes about their age ... talent acquisition lead at <b>General</b> <b>Motors</b>. He points out that some of GM’s IT systems still run on a mainframe, a specialty that’s harder and harder to find.",Smoothing the way for women to return to work after decades away,https://kbzk.com/cnn/2018/11/16/smoothing-the-way-for-women-to-return-to-work-after-decades-away/,7KBZK,2018-11-16T15:53:00.0000000Z
9,"German peers Daimler AG and BMW AG have cut their outlook, while Toyota Motor Corp. and <b>General</b> <b>Motors</b> Co. reported strong results ... VW expects significant synergy effects from this alliance, which <b>may</b> allow potential for developing a next generation ...","VW to spend $50.2 billion on electric, autonomous vehicles by 2023",http://www.autonews.com/article/20181116/OEM05/181119791/volkswagen-spending-plans-for-electric-autonomous-vehicles,Automotive News,2018-11-16T14:58:00.0000000Z
