,description,headline,url,provider,date
0,"Citigroup dropped their price target on shares of <b>General</b> <b>Motors</b> from $60.00 to $57.00 and set a buy rating on the stock in a research report on Thursday, <b>October</b> 4th. Finally, BMO Capital Markets reissued a hold rating and set a $38.00 price target on ...",<b>General</b> <b>Motors</b> (GM) Raised to Buy at Zacks Investment Research,https://theenterpriseleader.com/2018/11/17/general-motors-gm-raised-to-buy-at-zacks-investment-research.html,theenterpriseleader.com,2018-11-18T00:00:00.0000000Z
1,"Written by Girl Scout Margie from Girl Scouts of Southeastern Michigan (Troop 70682). On <b>October</b> 27, 2018, <b>General</b> <b>Motors</b>’ (GM’s) Women in Design held a Girl Scout event about careers in designing. It may have been a rainy day outside, but inside was a ...",Guest Post: My Epic Experience Visiting <b>General</b> <b>Motors</b> and Learning About Designing Dream Cars,http://blog.girlscouts.org/2018/11/guest-post-my-epic-experience-visiting.html,blog.girlscouts.org,2018-11-17T23:08:00.0000000Z
2,"It also reduced its holding in <b>General</b> <b>Motors</b> (Call) by 682,554 shares in the quarter ... Deutsche Bank upgraded the stock to “Buy” rating in Tuesday, <b>October</b> 9 report. The stock has “Hold” rating by Deutsche Bank on Friday, August 17.",Frontier Investment Mgmt Company Lifted Its Wal (WMT) Position,https://flecha123.com/2018/11/17/frontier-investment-mgmt-company-lifted-its-wal-wmt-position/,flecha123.com,2018-11-17T12:52:00.0000000Z
3,"Citigroup reduced their target price on <b>General</b> <b>Motors</b> from $60.00 to $57.00 and set a buy rating on the stock in a research note on Thursday, <b>October</b> 4th. ValuEngine cut <b>General</b> <b>Motors</b> from a hold rating to a sell rating in a research note on Tuesday ...",<b>General</b> <b>Motors</b> (GM) Cut to Hold at Zacks Investment Research,https://www.themarketsdaily.com/2018/11/16/general-motors-gm-cut-to-hold-at-zacks-investment-research.html,themarketsdaily.com,2018-11-17T00:30:00.0000000Z
4,"As a result, we’re seeing a bunch of exciting, high-growth companies whose shares are down 20%, 30% or even more since the start of <b>October</b> ... Obviously <b>General</b> <b>Motors</b> has a lot of historic ...",7 Autonomous Vehicle Stocks to Consider Now,https://finance.yahoo.com/news/7-autonomous-vehicle-stocks-consider-191237622.html,Yahoo Finance,2018-11-17T00:25:00.0000000Z
5,"The stock has “Buy” rating by Citigroup on Tuesday, November 6. Buckingham Research maintained <b>General</b> <b>Motors</b> Company (NYSE:GM) rating on Wednesday, <b>October</b> 3. Buckingham Research has “Neutral” rating and $34 target. The firm earned “Neutral ...",<b>General</b> Mtrs Co (GM) Share Price Declined While Golub Group LLC Has Trimmed Its Position by $36.74 Million,http://reurope.com/2018/11/16/general-mtrs-co-gm-share-price-declined-while-golub-group-llc-has-trimmed-its-position-by-36-74-million/,reurope.com,2018-11-17T00:22:00.0000000Z
6,"Citigroup decreased their price objective on <b>General</b> <b>Motors</b> from $60.00 to $57.00 and set a buy rating on the stock in a report on Thursday, <b>October</b> 4th. Finally, Goldman Sachs Group set a $36.00 price objective on <b>General</b> <b>Motors</b> and gave the company a ...",<b>General</b> <b>Motors</b>’ (GM) “Hold” Rating Reiterated at BMO Capital Markets,https://www.dispatchtribunal.com/2018/11/16/general-motors-gm-hold-rating-reiterated-at-bmo-capital-markets.html,dispatchtribunal.com,2018-11-17T00:12:00.0000000Z
7,"And Isuzu, according to Brian Tabel, executive director of marketing, planned as of <b>October</b> to continue piloting five different ... The big truck news out of <b>General</b> <b>Motors</b> is the return of Chevrolet to the medium-duty market with an all-new lineup of ...",What&#39;s New in Medium Duty,https://www.truckinginfo.com/319517/whats-new-in-medium-duty,Truckinginfo,2018-11-16T20:58:00.0000000Z
8,"Some of the major players profiled in the report are Renault-Nissan Alliance, Mitsubishi <b>Motors</b> Corporation, <b>General</b> <b>Motors</b> Company ... of highway legal plug-in electric passenger cars. In <b>October</b> 2016, with about 31,000 plug-in passenger cars sold ...",Analysis of New Energy Vehicles Industry Policy in China’s Cities from the Perspective of Policy instruments,http://www.tampabayreview.com/news/business/analysis-new-energy-vehicles-industry-policy-chinas-cities-perspective-policy-instruments/58143/,tampabayreview.com,2018-11-16T18:54:00.0000000Z
9,"She was born <b>October</b> 17, 1946 to the late Ruth (Waggoner) and Lloyd Tomlinson. Debbie retired from <b>General</b> <b>Motors</b> after 30 years of employment. She was a very creative co owner of Family Ceramics ...",Deborah Joan McKeever,http://kokomoperspective.com/obituaries/deborah-joan-mckeever/article_494e95f4-e9a0-11e8-8a70-a33000a392a2.html,Kokomo Perspective,2018-11-16T13:33:00.0000000Z
