,description,headline,url,provider,date
0,Bloomberg reports those who elect to try the new service would be freed from their non-disclosure agreements to draw more <b>publicity</b>. With support from ... applications for autonomous cars. <b>General</b> <b>Motors</b> has said it would launch a ride-hailing service ...,Waymo CEO: Ride-hailing service to debut in coming months,https://www.smartcitiesdive.com/news/waymo-ceo-ride-hailing-service-debut/542304/,smartcitiesdive.com,2018-11-15T16:25:00.0000000Z
1,"An example of this type of event was one held by <b>General</b> <b>Motors</b> in November 2017 ... If the company is performing poorly or is the subject of bad <b>publicity</b> or a gossip campaign, then getting through an investor day without a challenge will seem like ...",A 10 Step Guide to Planning a Successful Investor Day,https://www.meetingsnet.com/meeting-planning-toolbox/10-step-guide-planning-successful-investor-day,Webinars,2018-11-12T23:06:00.0000000Z
2,"Firms like <b>General</b> <b>Motors</b> under Alfred Sloan and IBM under Thomas J ... For example, a consumer focused company that had a sustainability-oriented <b>publicity</b> event backfire lost an estimated $400 million in future revenues. Another company that was named ...",New Accenture Strategy Report Shows How Trust Can be a Competitive Advantage,https://www.inc.com/greg-satell/new-accenture-strategy-report-shows-how-trust-can-be-a-competitive-advantage.html,Inc.,2018-11-10T14:31:00.0000000Z
3,<b>General</b> <b>Motors</b> has two media magnets in CEO Mary Barra and Cruise ... But boring is a virtue in this case. The company is <b>publicity</b> averse – certainly relative to Cruise – and its strategy appears to be relatively transparent. As a former journalist ...,"You Cruise, You Lose",https://www.strategyanalytics.com/strategy-analytics/blogs/automotive/infotainment-telematics/infotainment-telematics/2018/11/08/you-cruise-you-lose,Strategy Analytics,2018-11-08T00:59:00.0000000Z
4,<b>General</b> <b>Motors</b>&#39; latest plans to transform itself into a cutting-edge 21st-century Mobility Company -- or at least generate some <b>publicity</b> buzz -- involves a pair of unnamed electric-assist bicycles.,Extremely <b>General</b> <b>Motors</b>: What is GM trying to accomplish with its unnamed electric bicycle program?,https://autoweek.com/article/technology/extremely-general-motors-what-gm-trying-accomplish-its-unnamed-electric-bicycle,Autoweek,2018-11-07T16:16:00.0000000Z
5,"<b>General</b> <b>Motors</b> Company (NYSE: GM) has entered the electronic bike ... The eBike product is a very small part of this effort, but it is likely to be one which gets GM a lot of <b>publicity</b>.","GM Offers $10,000 To Name Its Electronic Bike",https://247wallst.com/transportation/2018/11/03/gm-offers-10000-to-name-its-electronic-bike/,24/7 Wall St.,2018-11-05T16:46:00.0000000Z
6,"<b>General</b> <b>Motors</b> Company (NYSE: GM) has entered the electric bike ... The eBike product is a very small part of this effort, but it is likely to be one which gets GM a lot of <b>publicity</b>. Read more motorbike news and reviews on MSN Autos Follow MSN Autos ...","GM Offers $10,000 To Name Its Electric Bike",http://www.msn.com/en-us/autos/autosmotorbikes/gm-offers-dollar10000-to-name-its-electric-bike/ar-BBPi1FJ?srcref=rss,24/7 Wall St.,2018-11-03T11:45:00.0000000Z
7,"Mark Reuss is <b>General</b> <b>Motors</b> Executive Vice President of Global Product Development ... Let’s hope Chevy turns that <b>publicity</b> into increased sales for the overall brand, since we’re inclined to believe that they’re going to sell as many ZR1s as ...",Corvette ZR1 Pace Car Crash Generated Over $3.4 Million in Free <b>Publicity</b> for the Corvette Brand,https://www.corvetteblogger.com/2018/06/07/corvette-zr1-pace-car-crash-generated-3-4-million-free-publicity-corvette-brand/,CorvetteBlogger,2018-06-07T15:11:00.0000000Z
8,"the &quot;Damsels of Design&quot; by the <b>General</b> <b>Motors</b> PR department. “I never liked the name, and none of us did. But we just laughed and carried on and did what we needed to do,” Kavanaugh says. “We all knew that it was a <b>publicity</b> stunt.” In fact ...",The Unlikely Story of One of <b>General</b> <b>Motors</b>&#39;s First Female Designers,https://www.architecturaldigest.com/story/unlikely-story-one-of-general-motors-first-female-designers,Architectural Digest,2018-03-12T18:48:00.0000000Z
9,"<b>General</b> <b>Motors</b> blamed cost and other issues ... Even though Toyota ultimately made about 400 more electric vehicles than GM did, the EV-1 got the bulk of the <b>publicity</b>, both good and bad. This was mostly because it was primarily aimed at consumers ...",Rearview Mirror: The rise and fall of the <b>General</b> <b>Motors</b> EV-1,https://driving.ca/auto-news/news/rearview-mirror-the-rise-and-fall-of-the-general-motors-ev-1,blogs.driving.ca,2017-10-04T10:07:00.0000000Z
