,description,headline,url,provider,date
0,"Other automakers, including Audi and Volkswagen, Fiat Chrysler Automobiles, <b>General Motors</b>, and Mercedes-Benz have issued <b>recalls</b> for the same issue. Honda says it is not aware of any crashes or injuries related to this issue. Vehicles involved ...","Honda <b>Recalls</b> 64,000 SUVs and Minivans for Brake Issue",https://www.yahoo.com/news/honda-recalls-64-000-suvs-minivans-brake-issue-001537595.html,YAHOO!,2018-11-17T00:55:00.0000000Z
1,He concluded a 20-year career in domestic and international communications at <b>General Motors</b> in 2017. He can be found on Twitter: @AlanAdler.,Ford <b>recalls</b> Expedition and Navigator SUVs for rear seat issue,https://www.trucks.com/2018/11/16/ford-recalls-2018-expedition-navigator-missing-seat-parts/,trucks.com,2018-11-16T21:42:00.0000000Z
2,"Just days after taking the job in January 2014, <b>General Motors</b> CEO Mary Barra had to confront a crisis that threatened the entire company&#39;s post-government bailout future. An ignition switch malfunction in some of its car models from a decade prior had ...",<b>GM</b> CEO Mary Barra said the <b>recall</b> crisis of 2014 forever changed her leadership style,https://www.businessinsider.com/gm-mary-barra-recall-crisis-leadership-style-2018-11,Business Insider,2018-11-14T13:43:00.0000000Z
3,National Highway Traffic Safety Administration (NHTSA) stated it was investigating if <b>General Motors</b> should <b>recall</b> another 1.7 million sport utility vehicles because of an issue with windshield ...,NHTSA investigates 1.7 million <b>General Motors</b> SUVs over wiper failures,https://speedlux.com/nhtsa-investigates-1-7-million-general-motors-suvs-over-wiper-failures/,Supercars,2018-11-09T18:56:00.0000000Z
4,"The government agency will probe both vehicles after a previous <b>recall</b> in 2016 addressed wiper failure, Reuters reported Tuesday. If the NHTSA finds new evidence of wiper failure, <b>GM</b> will be forced to <b>recall</b> an additional 1.7 million crossovers.","NHTSA to probe Chevrolet Equinox, GMC Terrain crossover SUV windshield wipers",https://www.thecarconnection.com/news/1119799_nhtsa-to-probe-chevrolet-equinox-gmc-terrain-crossover-suv-windshield-wipers,The Car Connection,2018-11-08T13:54:00.0000000Z
5,Nov. 7 (UPI) — The U.S. National Highway Traffic Safety said Tuesday it is investigating whether <b>General Motors</b> should add 1.7 million sport-utility vehicles to a 2016 <b>recall</b> for windshield wipers.,NHTSA investigating if 1.7M <b>GM</b> SUVs should be added to <b>recall</b>,https://gephardtdaily.com/national-international/nhtsa-investigating-if-1-7m-gm-suvs-should-be-added-to-recall/,Gephardt Daily,2018-11-08T03:30:00.0000000Z
6,"Stack all of <b>GM</b>’s 2014 recalled cars and you’d be halfway to the moon, which is 384,403 km away. NASA, call your office. 4. The longest <b>time</b> between <b>recalls</b> hasn’t even been longer than the World Cup. The longest stretch between separate <b>GM</b> <b>recalls</b> ...",All the Cars <b>GM</b> Has Recalled This Year Would Wrap the Earth 4 Times,http://time.com/2945867/gm-recalls-facts/,Time,2018-11-07T23:40:00.0000000Z
7,<b>General Motors</b> may soon have to <b>recall</b> an additional 1.7 million Chevrolet Equinox and GMC Terrain crossovers from the 2010-2016 model years. The National Highway Traffic Safety Administration (NHTSA) explained it is investigating whether or not the ...,<b>GM</b> Under Investigation by NHTSA for Chevy Equinox and GMC Terrain Wiper Defects,http://www.thedrive.com/news/24752/gm-under-investigation-by-nhtsa-for-chevy-equinox-and-gmc-terrain-wiper-defects,The Drive,2018-11-07T19:49:00.0000000Z
8,The NHTSA is investigating whether or not <b>General Motors</b> should <b>recall</b> up to 1.7 million SUVs. The <b>recall</b> in question revolves around a windshield wiper failure that affected GMC Terrain and Chevy Equinox SUVs from 2010-2016. <b>GM</b> already had to <b>recall</b> ...,NHTSA Investigating 1.7 Million Chevy Equinox and GMC Terrain SUVs for Windshield Wiper Failure [News],https://www.tflcar.com/2018/11/equinox-terrain-wiper-failure-nhtsa/,The Fast Lane Car,2018-11-07T18:30:00.0000000Z
9,"KEYWORDS <b>GM</b> vehicles recalled <b>recall</b> U.S. government questions 2016 <b>recall</b> wiper blades recalled Nov. 7, 2018—The U.S. government is investigating whether <b>General Motors</b> should expand a 2016 windshield wiper <b>recall</b> to include 1.7 million more SUVs ...",Government Questions <b>GM</b> <b>Recall</b>,https://www.fenderbender.com/articles/11859-us-questions-gm-recall,FenderBender,2018-11-07T16:37:00.0000000Z
10,"DETROIT (AP) — The U.S. government is investigating whether <b>General Motors</b> should expand a 2016 windshield wiper <b>recall</b> to include 1.7 million more SUVs. The government wants to know if a <b>recall</b> of 368,000 Chevrolet Equinox and GMC Terrain compact SUVs ...",US probing whether <b>GM</b> SUV <b>recall</b> included enough vehicles,https://www.wxyz.com/news/us-probing-whether-gm-suv-recall-included-enough-vehicles?autoplay=true,WXYZ,2018-11-07T15:46:00.0000000Z
11,"(WASHINGTON) -- A <b>recall</b> issued by <b>General Motors</b> two years ago regarding faulty windshield wipers may soon be expanded to cover approximately 1.7 million vehicles. In 2016, <b>GM</b> announced it was recalling 2013 Chevrolet Equinox and GMC Terrain SUVs over an ...",NHTSA investigating <b>GM</b> <b>recall</b> over faulty windshield wipers,http://www.wbal.com/article/345149/113/nhtsa-investigating-gm-recall-over-faulty-windshield-wipers,WBAL,2018-11-07T13:53:00.0000000Z
12,"<b>General Motors</b> is no stranger to vehicle <b>recalls</b>, and it may soon be facing another. This time it’s a problem with windshield wipers that could see 1.7 million SUVs recalled. <b>GM</b> already recalled ...","<b>GM</b> Faces Yet Another Potential <b>Recall</b>, This Time Over Faulty Wipers",http://fortune.com/2018/11/07/gm-wiper-suv-recall-nhtsa/,Fortune,2018-11-07T12:48:00.0000000Z
13,"A little over two years ago, <b>General Motors</b> had to <b>recall</b> an estimated 367,808 GMC Terrain and Chevy Equinox crossovers in the United States due to a problem with their windshield wipers. According to the <b>recall</b> notice, the issue was with the ball joints ...",NHTSA Investigating Old <b>GM</b> Crossovers For Windshield Wiper Issue,https://www.carscoops.com/2018/11/nhtsa-investigating-old-gm-crossovers-windshield-wiper-issue/,Carscoops,2018-11-07T12:34:00.0000000Z
14,Consumer Reports has no financial relationship with advertisers on this site. The National Highway Traffic Safety Administration is investigating whether a <b>recall</b> <b>General Motors</b> issued two years ago to address faulty windshield wipers covered enough models ...,NHTSA Launches Probe Into Faulty <b>GM</b> Windshield Wipers,https://www.yahoo.com/news/nhtsa-launches-probe-faulty-gm-windshield-wipers-202519650.html,YAHOO!,2018-11-07T10:22:00.0000000Z
