,description,headline,url,provider,date
0,"Bank of America reissued a buy rating and set a $60.00 price target on shares of <b>General</b> <b>Motors</b> in a research report on Wednesday, <b>September</b> 12th. ValuEngine lowered shares of <b>General</b> <b>Motors</b> from a hold rating to a sell rating in a research report on ...",<b>General</b> <b>Motors</b> (GM) Raised to Buy at Zacks Investment Research,https://theenterpriseleader.com/2018/11/17/general-motors-gm-raised-to-buy-at-zacks-investment-research.html,theenterpriseleader.com,2018-11-18T00:00:00.0000000Z
1,"Chuck Stevens retired as CFO for <b>General</b> <b>Motors</b> in <b>September</b> 2018, after a 40-year career at the company. From 1994 to 2005, he held several leadership positions in <b>General</b> <b>Motors</b>’ Asia Pacific Region, including China, Singapore, Indonesia and Thailand.",FLEX APPOINTS CHARLES STEVENS AND JILL GREENTHAL TO BOARD OF DIRECTORS,http://www.pressreleasepoint.com/flex-appoints-charles-stevens-and-jill-greenthal-board-directors,KLAS Press Release,2018-11-17T12:45:00.0000000Z
2,"Goldman Sachs Group set a $36.00 target price on <b>General</b> <b>Motors</b> and gave the company a neutral rating in a research note on Tuesday, <b>September</b> 11th. Citigroup reduced their target price on <b>General</b> <b>Motors</b> from $60.00 to $57.00 and set a buy rating on the ...",<b>General</b> <b>Motors</b> (GM) Cut to Hold at Zacks Investment Research,https://www.themarketsdaily.com/2018/11/16/general-motors-gm-cut-to-hold-at-zacks-investment-research.html,themarketsdaily.com,2018-11-17T00:30:00.0000000Z
3,"Buckingham Research maintained <b>General</b> <b>Motors</b> Company (NYSE:GM) rating on Wednesday, October 3. Buckingham Research has “Neutral” rating and $34 target. The firm earned “Neutral” rating on Tuesday, <b>September</b> 11 by Goldman Sachs. The firm earned ...",<b>General</b> Mtrs Co (GM) Share Price Declined While Golub Group LLC Has Trimmed Its Position by $36.74 Million,http://reurope.com/2018/11/16/general-mtrs-co-gm-share-price-declined-while-golub-group-llc-has-trimmed-its-position-by-36-74-million/,reurope.com,2018-11-17T00:22:00.0000000Z
4,"Bank of America restated a buy rating and issued a $60.00 price objective on shares of <b>General</b> <b>Motors</b> in a report on Wednesday, <b>September</b> 12th. ValuEngine lowered <b>General</b> <b>Motors</b> from a hold rating to a sell rating in a report on Tuesday, <b>September</b> 4th.",<b>General</b> <b>Motors</b>’ (GM) “Hold” Rating Reiterated at BMO Capital Markets,https://www.dispatchtribunal.com/2018/11/16/general-motors-gm-hold-rating-reiterated-at-bmo-capital-markets.html,dispatchtribunal.com,2018-11-17T00:12:00.0000000Z
5,<b>General</b> <b>Motors</b> Maven operates in two-parts ... we’re operating significantly lower than we were obviously before <b>September</b>. I think it’s something that a lot of times people don’t understand ...,"DropCar, Inc. (DCAR) CEO Spencer Richardson on Q3 2018 Results - Earnings Call Transcript",https://seekingalpha.com/article/4222973-dropcar-inc-dcar-ceo-spencer-richardson-q3-2018-results-earnings-call-transcript,Seeking Alpha,2018-11-17T00:03:00.0000000Z
6,"More than 80 concept, demonstrator and/or test-fleet fuel-cell-powered electric vehicles have been fielded by 25 automakers worldwide since <b>General</b> <b>Motors</b> (Detroit ... it to be delivered and in service by <b>September</b> 2019. Power is generated by 360 kW ...",The markets: Fuels cells and batteries (2019),https://www.compositesworld.com/articles/the-markets-fuels-cells-and-batteries-2016,CompositesWorld,2018-11-16T21:20:00.0000000Z
7,"Some of the major players profiled in the report are Renault-Nissan Alliance, Mitsubishi <b>Motors</b> Corporation, <b>General</b> <b>Motors</b> Company ... country stock of plug-in electric passenger cars until <b>September</b> 2016, with the Chinese plug-in stock representing ...",Analysis of New Energy Vehicles Industry Policy in China’s Cities from the Perspective of Policy instruments,http://www.tampabayreview.com/news/business/analysis-new-energy-vehicles-industry-policy-chinas-cities-perspective-policy-instruments/58143/,tampabayreview.com,2018-11-16T18:54:00.0000000Z
8,"Goldman Sachs Group set a $36.00 target price on <b>General</b> <b>Motors</b> and gave the company a “neutral” rating in a research note on Tuesday, <b>September</b> 11th. Citigroup cut their target price on <b>General</b> <b>Motors</b> from $60.00 to $57.00 and set a “buy” rating ...",<b>General</b> <b>Motors</b> (GM) Shares Bought by Commonwealth Bank of Australia,https://www.dispatchtribunal.com/2018/11/15/general-motors-gm-shares-bought-by-commonwealth-bank-of-australia.html,dispatchtribunal.com,2018-11-16T00:06:00.0000000Z
9,"<b>General</b> <b>Motors</b> vehicles with forward collision warning (FCW ... Twenty automakers, including GM, have agreed to make AEB standard on almost all new passenger vehicles by <b>September</b> 2022. Those automakers represent more than 99 percent of the U.S. new ...",New Study Shows Automatic Braking Significantly Reduces Crashes and Injuries,https://www.consumerreports.org/automotive-technology/automatic-braking-reduces-car-crashes-injuries-iihs-study/,Consumer Reports,2018-11-15T23:46:00.0000000Z
