,description,headline,url,provider,date
0,Zacks Investment Research upgraded shares of <b>General</b> <b>Motors</b> (NYSE:GM) (TSE ... safer and fuel efficient and focus on <b>technology</b> development are likely to benefit. Its restructuring activities are also expected to benefit in the long run.,<b>General</b> <b>Motors</b> (GM) Raised to Buy at Zacks Investment Research,https://theenterpriseleader.com/2018/11/17/general-motors-gm-raised-to-buy-at-zacks-investment-research.html,theenterpriseleader.com,2018-11-18T00:00:00.0000000Z
1,"On October 27, 2018, <b>General</b> <b>Motors</b>’ (GM’s) Women in Design held a Girl Scout ... and now I have a better idea of where a career in art, innovation, and <b>technology</b> can take me. In the past, I was interested in many potential career paths, including ...",Guest Post: My Epic Experience Visiting <b>General</b> <b>Motors</b> and Learning About Designing Dream Cars,http://blog.girlscouts.org/2018/11/guest-post-my-epic-experience-visiting.html,blog.girlscouts.org,2018-11-17T23:08:00.0000000Z
2,<b>General</b> <b>Motors</b> has revealed that its Maven peer-to-peer car-sharing ... Julia Steyn said during a presentation at the UBS Global <b>Technology</b> Conference in San Francisco. “We are doubling our revenue every year. We’re going to get to a very significant ...,GM’s Maven Car-Sharing Fleet To Expand And Include Non-GM Models,https://www.carscoops.com/2018/11/gms-maven-car-sharing-fleet-expand-include-non-gm-models/,Carscoops,2018-11-17T21:57:00.0000000Z
3,"The firm has since advised on some of the largest Chapter 11 reorganizations including <b>General</b> <b>Motors</b> Co. and Enron Corp. When forming ... strengthening the school&#39;s emphasis on innovation and <b>technology</b>. For example, funds will support and develop dual ...","Businessman modeled his firm on Mayo Clinic, then gave $200 million for medical school",http://www.thedickinsonpress.com/business/healthcare/4530836-businessman-modeled-his-firm-mayo-clinic-then-gave-200-million-medical,The Dickinson Press,2018-11-17T18:29:00.0000000Z
4,"infusing staggering amounts of capital into a wide range of <b>technology</b> startups. The capital has changed the game for a number of recipients of Softbank&#39;s checks, including WeWork, Uber Technologies, <b>General</b> <b>Motors</b> Company&#39;s Cruise Automation, Flipkart Pvt.",Softbank Has Become a New Sun in the Venture Capital Solar System,https://www.thestreet.com/investing/softbank-impact-on-venture-capital-14785064,TheStreet.com,2018-11-17T15:04:00.0000000Z
5,"The next model up the scale starts at $34,500. <b>General</b> <b>Motors</b>, Nissan and Mitsubishi are already selling mass-market electric vehicles, but they&#39;re more costly than cars with gas engines and haven&#39;t sold in great numbers. Higher cost is one reason ...",Volkswagen plans $50 billion investment in electric-car <b>technology</b>,http://www.news-gazette.com/news/2018-11-17/volkswagen-plans-50-billion-investment-electric-car-technology.html,The News-Gazette,2018-11-17T13:14:00.0000000Z
6,"Chuck Stevens retired as CFO for <b>General</b> <b>Motors</b> in September 2018 ... than 30 years of experience advising and financing some of the world&#39;s leading media, <b>technology</b> and telecommunications companies. As an investment banker, she held senior positions ...",FLEX APPOINTS CHARLES STEVENS AND JILL GREENTHAL TO BOARD OF DIRECTORS,http://www.pressreleasepoint.com/flex-appoints-charles-stevens-and-jill-greenthal-board-directors,KLAS Press Release,2018-11-17T12:45:00.0000000Z
7,"Instead, AVs are pumping the brakes, as their futuristic <b>technology</b> has faltered in the unpredictable chaos of real-world roads. The rollout of <b>General</b> <b>Motors</b>&#39; self-driving car subsidiary ...",When will self-driving cars take over?,https://theweek.com/articles/807864/when-selfdriving-cars-take-over,THE WEEK,2018-11-17T11:08:00.0000000Z
8,"The Director of <b>General</b> <b>Motors</b> Urban Mobility Solutions ... Michael Barnard is a C-level <b>technology</b> and strategy consultant who works with startups, existing businesses and investors to identify ...","Tesla, GM, Yamaha, &amp; Ducati All On The Electric Bike Bandwagon",https://cleantechnica.com/2018/11/16/tesla-gm-yamaha-ducati-all-on-the-electric-bike-bandwagon/,CleanTechnica,2018-11-16T22:44:00.0000000Z
9,"<b>General</b> <b>Motors</b> has made a telematics investment in MapAnything ... MapAnything also plans to increase its research and development so it can capitalize on new opportunities and <b>technology</b> advancements, according to the company. The Series C investment ...",GM Invests in MapAnything Telematics Provider,https://www.automotive-fleet.com/319531/general-motors-invests-in-telematics-service-provider,Automotive Fleet,2018-11-16T21:41:00.0000000Z
10,"The Detroit News has previously reported on those talks on global partnerships between Volkswagen and Ford, as well as negotiations with Volkswagen to invest potentially more than $1 billion in Argo AI, the robotics and <b>technology</b> company majority-owned by ...",VW to invest $50B in electric and autonomous tech,https://www.detroitnews.com/story/business/autos/mobility/2018/11/16/vw-invest-electric-autonomous-tech/38545307/,The Detroit News,2018-11-16T20:15:00.0000000Z
11,Complete the form below to receive the latest headlines and analysts&#39; recommendations for <b>General</b> <b>Motors</b> with our free daily email newsletter ... safer and fuel efficient and focus on <b>technology</b> development are likely to benefit. Its restructuring ...,<b>General</b> <b>Motors</b> (GM) Upgraded to “Buy” at Zacks Investment Research,https://www.dispatchtribunal.com/2018/11/16/general-motors-gm-upgraded-to-buy-at-zacks-investment-research.html,dispatchtribunal.com,2018-11-16T17:27:00.0000000Z
