,description,headline,url,provider,date
0,"Elliott stated Hyundai Motor Group, regardless of having “excess capital,” lagged behind automakers such as General Motors and <b>Toyota</b> Motor in <b>shareholder</b> returns, mentioning a report by ...","Elliott calls on Hyundai to increase returns, review assets",https://speedlux.com/elliott-calls-hyundai-increase-returns-review-assets/,Supercars,2018-11-14T19:14:00.0000000Z
1,"Elliott said Hyundai Motor Group, despite having “excess capital,” lagged behind peers such as General Motors and <b>Toyota</b> in <b>shareholder</b> returns, citing a report by consultancy Conway MacKenzie. Elliott asked Hyundai to review its non-core assets ...","In another push, Elliott calls on Hyundai to boost returns, review assets",https://www.reuters.com/article/us-elliott-hyundai-motor/in-another-push-elliott-calls-on-hyundai-to-boost-returns-review-assets-idUSKCN1NI1JP,Reuters,2018-11-14T03:45:00.0000000Z
2,"Apart from UMW, other Perodua <b>shareholders</b> are listed automotive group MBM Resources ... UMW is targeting 70,000 units of <b>Toyota</b> and Lexus sales but is hopeful of exceeding the mark. The new plant will allow UMW to assemble more <b>Toyota</b> models, which ...",UMW’s auto business stays in low gear,https://www.msn.com/en-my/news/other/umw%e2%80%99s-auto-business-stays-in-low-gear/ar-BBPEwVu,The Edge,2018-11-13T11:41:00.0000000Z
3,"Yeeeeah. … Most <b>shareholders</b> of GM, Fiat Chrysler Automobiles, Ford, BMW, Nissan, Daimler, <b>Toyota</b>, Hyundai, and Honda wouldn’t be thrilled to hear such plans, and many would try to stop the move.",Why Automakers Try To Slow &amp; Stifle The EV Revolution,https://cleantechnica.com/2018/11/11/why-automakers-try-to-slow-stifle-the-ev-revolution/,CleanTechnica,2018-11-11T20:14:00.0000000Z
4,"Andersen’s problems came well after Denholm’s time there; by the time the Enron scandal was underway in 2001, she’d already left and put in time at <b>Toyota</b> and Sun Microsystems. She’s also ...",Tesla’s new chairwoman is walking into SEC and DOJ probes,https://newsline.com/2018/11/09/teslas-new-chairwoman-is-walking-into-sec-and-doj-probes/,Iran Ship,2018-11-09T15:00:00.0000000Z
5,"Denholm, who was one of three Tesla board members to review the privatization idea, is from Australia, and has worked for <b>Toyota</b>, Sun Microsystems ... and strategic issues of late, with angry <b>shareholders</b> attacking executive pay at its recent annual ...",New Tesla chairwoman Robyn Denholm&#39;s tallest order: <b>Shareholders</b> want a more &#39;boring&#39; Musk,https://www.cnbc.com/2018/11/09/how-the-new-tesla-chairman-robyn-denholm-thinks-about-leadership.html,CNBC,2018-11-09T12:45:00.0000000Z
6,"Its net profit attributable to the <b>shareholders</b> of the listed company was nearly halved ... FAW Xiali plans to transfer its 15% stake in Tianjin FAW <b>Toyota</b> to FAW Group Corporation, another stakeholder of Tianjin FAW <b>Toyota</b>, the automaker said on October ...",Summary of Chinese automakers profit performance from Q1 to Q3,http://autonews.gasgoo.com/china_news/70015352.html,Gasgoo,2018-11-09T03:28:00.0000000Z
7,"After being educated in Australia and spending the first seven years of her career at <b>Toyota</b> in the country ... Musk is Tesla&#39;s largest <b>shareholder</b>, owning just under 20% of the company&#39;s outstanding stock. In 2017, he took home $49,920 in salary ...",Tesla has named Elon Musk&#39;s replacement as chair of its board — here&#39;s the full list of the company&#39;s directors,https://www.businessinsider.com/tesla-board-of-directors-full-list-elon-musk-chairman-replacement-2018-8,Business Insider,2018-11-08T16:08:00.0000000Z
8,Denholm&#39;s resume includes seven years in financial management at <b>Toyota</b> in Australia ... But the influential proxy adviser Institutional <b>Shareholder</b> Services said in a report this year that it considered only five of Tesla&#39;s nine directors to be ...,Tesla names a new chairman to replace Elon Musk,http://www.duluthnewstribune.com/business/transportation/4526323-tesla-names-new-chairman-replace-elon-musk,Duluth News Tribune,2018-11-08T14:41:00.0000000Z
9,"It appears that being the majority <b>shareholder</b> of the number one car company in the Philippines (by a country mile) is not enough for GT Capital, so much so that they intend on investing into the mother company: <b>Toyota</b> Motor Corporation. In a disclosure ...",<b>Toyota</b> PH majority <b>shareholder</b> to invest over $200M in <b>Toyota</b> global,https://www.autoindustriya.com/auto-industry-news/toyota-ph-majority-shareholder-to-invest-over-200m-in-toyota-global.html,AutoIndustriya.com,2018-07-09T06:45:00.0000000Z
10,"“<b>Shareholders</b> aren’t equal,” the 82-year-old Miyauchi ... That way, control over a firm could be concentrated among people focused on its longer-term growth. He says <b>Toyota</b> Motor Corp.’s “Model AA” shares, aimed at long-term investors, are ...","All <b>Shareholders</b> Aren&#39;t Equal, a Japan Inc. Elder Statesman Says",https://www.bloomberg.com/news/articles/2018-05-10/all-shareholders-aren-t-equal-a-japan-inc-elder-statesman-says,Bloomberg L.P.,2018-05-10T16:20:00.0000000Z
