,description,headline,url,provider,date
0,"<b>Toyota</b> Kirloskar Motor – the Indian arm of Japanese carmaker <b>Toyota</b> – also saw its PV market share improve, albeit slightly. It sold 92,169 units between <b>April</b> and October, to get a hold on to 4.54 percent of the market (<b>April</b>-October 2017: 4.20% ...",Few carmakers grow PV market share despite subdued festive demand,https://www.msn.com/en-in/news/other/few-carmakers-grow-pv-market-share-despite-subdued-festive-demand/ar-BBPNjim,MSN,2018-11-17T02:34:00.0000000Z
1,"<b>Toyota</b> unveiled the new 2020 Corolla sedan, which promises to be more efficient and more enjoyable to drive than the current model. A hatchback version of the car was unveiled last <b>April</b> at the New York Auto Show and is on sale now, but the sedan is the ...",<b>Toyota</b> redesigns world’s most popular car,https://www.msn.com/en-ae/news/other/toyota-redesigns-world-e2-80-99s-most-popular-car/ar-BBPOjr6,Qatar Tribune,2018-11-17T20:30:00.0000000Z
2,"<b>Toyota</b> announced it plans to sell hybrid Corollas (or Levins ... The automaker announced in Beijing in <b>April</b> that it will sell plug-in hybrid versions of the Corolla and Levin in China at some point in 2019. As is fitting for a global vehicle, the standard ...",<b>Toyota</b> Will Sell Corolla Hybrid In More Than 90 Countries,https://www.forbes.com/sites/sebastianblanco/2018/11/16/toyota-will-sell-corolla-hybrid-in-more-than-90-countries/,Forbes,2018-11-16T04:58:00.0000000Z
3,"The market share leaders by far, among midsize trucks, are the <b>Toyota</b> Tacoma and Chevrolet Colorado ... January 2019 and the Jeep pickup truck in <b>April</b> 2019. I discuss their expected market ...",GM And <b>Toyota</b> Grow Midsize Pickup Truck Sales 25% In 2018,https://seekingalpha.com/article/4222180-gm-toyota-grow-midsize-pickup-truck-sales-25-percent-2018,Seeking Alpha,2018-11-14T19:03:00.0000000Z
4,"Houston Rockets assistant coach Jeff Bzdelik, left, and head coach Mike D&#39;Antoni have a conversation during practice at <b>Toyota</b> Center Friday, <b>April</b> 28, 2017, in Houston. ( Yi-Chin Lee / Houston Chronicle ) Houston Rockets assistant coach Jeff Bzdelik ...",Top defensive assistant Jeff Bzdelik joins Rockets&#39; shootaround,https://www.chron.com/sports/rockets/article/Defensive-assistant-Jeff-Bzdelik-joins-shootaround-13388689.php,Houston Chronicle,2018-11-13T20:22:00.0000000Z
5,"Sales have shifted to the RAV4 SUV for those who are willing to pay more, and the all-new subcompact C-HR crossover starting in <b>April</b> 2017. With these generational changes, <b>Toyota</b> faced multiple U ...",<b>Toyota</b>&#39;s 2019 Sales To Get A Boost From All-New Corolla And RAV4,https://seekingalpha.com/article/4221686-toyotas-2019-sales-get-boost-new-corolla-rav4,Seeking Alpha,2018-11-13T16:03:00.0000000Z
6,"An even cleaner option, a plug-in hybrid, was announced ever since <b>April</b> for the Chinese market. There’s no telling whether the model will be making it stateside. As per <b>Toyota</b>, the manufacturing of the Corolla will take place at the Blue Springs ...",2020 <b>Toyota</b> Corolla Sedan for North America to Show on November 15,https://www.autoevolution.com/news/2020-toyota-corolla-sedan-for-north-america-to-show-on-november-15-130082.html,autoevolution,2018-11-12T12:58:00.0000000Z
7,"Consolidated vehicle sales for the six-month period ended September 30 totaled 4,418,928 units, an increase of 29,493 units compared to the same period last fiscal year. On a consolidated basis, net revenues for the period totaled 14.674 trillion yen (*$ ...",<b>Toyota April</b>-September 2018 Financial Results,https://www.theautochannel.com/news/2018/11/07/636805-toyota-april-september-2018-financial-results.html,The Auto Channel,2018-11-07T23:00:00.0000000Z
8,"Pauley <b>Toyota</b>, car shoppers can alleviate a portion of that cost. The <b>Toyota April</b> Tire Savings Event allows drivers to purchase three <b>Toyota</b>-certified tires at regular price and receive the fourth tire for just one dollar. Savings are available at the ...",Drivers save on tires at Fort <b>Smith Toyota dealership during annual Tire Savings</b> Event,http://www.ireachcontent.com/news-releases/drivers-save-on-tires-at-fort-smith-toyota-dealership-during-annual-tire-savings-event-619364234.html,ireachcontent.com,2018-11-04T12:20:00.0000000Z
9,"<b>Toyota</b> Motor Corporation (TMC) announces its production, domestic sales, and export results, including those for subsidiaries Daihatsu Motor Co., Ltd. and Hino Motors, Ltd., for September 2018 and for <b>April</b> to September 2018. <b>Toyota</b> City, Japan, Oct 29 ...",<b>Toyota</b> Announces Results for September 2018 and <b>April</b>-September 2018,https://www.intellasia.net/toyota-announces-results-for-september-2018-and-april-september-2018-691344,troops,2018-10-30T00:00:00.0000000Z
10,"News and research before you hear about it on CNBC and others. Claim your 2-week free trial to StreetInsider Premium here. <b>Toyota</b> City, Japan, Oct 29, 2018 - (JCN Newswire) - - <b>Toyota</b> Motor Corporation (TMC) announces its production, domestic sales, and ...",<b>Toyota</b> Announces Results for September 2018 and <b>April</b>-September 2018,https://www.streetinsider.com/Press+Releases/Toyota+Announces+Results+for+September+2018+and+April-September+2018/14750874.html,StreetInsider,2018-10-29T05:10:00.0000000Z
11,"<b>Toyota</b> City, Japan, Oct 29, 2018 - (JCN Newswire) - - <b>Toyota</b> Motor Corporation (TMC) announces its production, domestic sales, and export results, including those for subsidiaries Daihatsu Motor Co., Ltd. and Hino Motors, Ltd., for September 2018 and for ...",<b>Toyota</b> Announces Results for September 2018 and <b>April</b>-September 2018,https://www.nasdaq.com/article/toyota-announces-results-for-september-2018-and-aprilseptember-2018-20181028-00105,Nasdaq,2018-10-28T11:34:00.0000000Z
12,"<b>Toyota</b> Kirloskar Motor, the Indian arm of the Japanese carmaker, had introduced the <b>Toyota</b> Yaris, starting at a price-tag of Rs 875,000 (ex-showroom India) on <b>April</b> 25. The sedan enters a very competitive section of the market, which is already swarming ...","<b>Toyota</b> dispatches 1,585 units of Yaris in <b>April</b>, deliveries touch 1,000 units",http://www.autocarpro.in/news-national/toyota-dispatches-585-units-yaris-april-deliveries-touch-units-29565,Autocar Pro,2018-05-18T13:14:00.0000000Z
13,"<b>Toyota</b> launched the Yaris sedan in India on <b>April</b> 25 following its debut at the 2018 Auto Expo in February. Sales data for the month of <b>April</b> 2018 has revealed that 1,585 units of the <b>Toyota</b> Yaris were shipped to dealers last month. <b>Toyota</b> commenced dealer ...","1,585 units of the <b>Toyota</b> Yaris dispatched to dealers in <b>April</b>",https://indianautosblog.com/2018/05/1585-units-of-toyota-yaris-dispatched-to-dealers-305562,Indian Autos blog,2018-05-11T02:36:00.0000000Z
14,"<b>Toyota</b> has got the better of Honda by retailing 13,037 units in <b>April</b> 2018 with a YoY sales surge of 5.64 percent Big guns in the market have started the new financial year off in style with steady growth curve and the trend could continue in the coming ...",<b>Toyota</b> Beats Honda In Sales In <b>April</b> 2018,https://gaadiwaadi.com/toyota-beats-honda-sales-india-april-2018-849095/,gaadiwaadi.com,2018-05-05T15:25:00.0000000Z
15,Hero Splendor Plus is gaining popularity. Find all the details here. Yamaha R15 V3.0 is gaining popularity. Find all the details here. Royal Enfield Classic 350 is gaining popularity. Find all the details here.,<b>Toyota</b> Surpasses Honda In Sales In <b>April</b> 2018,https://auto.ndtv.com/news/toyota-surpasses-honda-in-sales-in-april-2018-1847649,NDTV,2018-05-05T10:37:00.0000000Z
16,"For the second straight month, the Jeep Wrangler broke sales records, selling nearly 30,000 units in <b>April</b> 2018. [Photo: FCA] Last month, the Jeep Wrangler was the fifth best-selling vehicle in the U.S. The car-buying public is crazy about the Jeep ...","Sedans are Dead: Jeep Wrangler Outsold the Honda Accord, Civic and <b>Toyota</b> Corolla in <b>April</b> [News]",https://www.tflcar.com/2018/05/jeep-wrangler-outsold-accord/,The Fast Lane Car,2018-05-03T20:21:00.0000000Z
