,description,headline,url,provider,date
0,the vehicle has had a total of five owners of which the last on V5 has owned the car from 2000 - 2017 it has a vast documented history including all previous MOT&#39;s ..... The third generation <b>Toyota</b> Celica A60 was introduced in <b>August</b> 1981 and underwent a ...,1977 <b>Toyota</b> Celica GT RA29 Liftback *Baby Mustang* For Sale,https://www.carandclassic.co.uk/car/C1056486,Car And Classic,2018-11-18T00:28:00.0000000Z
1,"This is the 12th generation Corolla, and follows the reveal of the Corolla Hatchback in <b>August</b>. Both are based on the <b>Toyota</b> New Global Architecture (TNGA), which is more of a system than a platform, as it merges new approaches to engineering, design ...",<b>Toyota</b> premieres 2020 Corolla Sedan,https://www.therecord.com/community-story/9037913-toyota-premieres-2020-corolla-sedan/,Waterloo Region Record,2018-11-17T22:15:00.0000000Z
2,"<b>Toyota</b> says it will be offered with &quot;many of the features&quot; of the hatch launched in <b>August</b>. The model&#39;s design concept is called &#39;Shooting Robust, &#39; which <b>Toyota</b> says emphasizes a lower stance and center of gravity. On the TNGA platform, the new Corolla ...",The New <b>Toyota</b> Corolla Sedan Is Surprisingly Cool,http://234vibesnews.com/2018/11/16/the-new-toyota-corolla-sedan-is-surprisingly-cool.html,234vibesnews.com,2018-11-17T20:18:00.0000000Z
3,with <b>Toyota</b> planning to manufacture Corolla cars and Mazda aiming to launch a new crossover model for the North American market. The plant marks Mazda&#39;s return to American manufacturing operations after pulling out in <b>August</b> 2012. It currently has a ...,"<b>Toyota</b>, Mazda begin building new joint plant in Alabama",https://english.kyodonews.net/news/2018/11/5711f9e149dc-toyota-mazda-begin-building-new-16-bil-plant-in-alabama.html,kyodonews.net,2018-11-17T01:16:00.0000000Z
4,"MazdaUSA @<b>Toyota</b> #MadeinAL pic.twitter.com/sczzMlISdk ... Glenn was appointed in <b>August</b> 2017 to serve as chief of the Environmental Protection Agency’s regional office in Atlanta, which ...",Ivey welcomes <b>Toyota</b> and Mazda executives for auto assembly plant groundbreaking ceremony in Huntsville,https://yellowhammernews.com/ivey-welcomes-toyota-and-mazda-executives-for-auto-assembly-plant-groundbreaking-ceremony-in-huntsville/,Yellowhammer News,2018-11-16T22:43:00.0000000Z
5,<b>Toyota</b> and Mazda unveiled plans for the plant in <b>August</b> 2017 as part of a broader partnership between the two Japanese automakers. They considered several states for the project and selected Alabama as the winner in January. Environmental issues The plant ...,"<b>Toyota</b>, Mazda will launch $1.6 billion Alabama plant construction next month",http://www.autonews.com/article/20181116/OEM01/181119759/toyota-mazda-alabama-plant-construction,Automotive News,2018-11-16T21:32:00.0000000Z
6,"Like the hatchback version released locally in <b>August</b>, the Corolla sedan is built on <b>Toyota</b>&#39;s new TNGA platform, which has resulted in a 60 per cent increase in torsional rigidity and lower centre of gravity, thanks to the use of ultra high-strength steel ...",<b>Toyota</b> Corolla sedan revealed,http://currenthollywood.com/2018/11/toyota-corolla-sedan-revealed/,currenthollywood.com,2018-11-16T16:00:00.0000000Z
7,<b>Toyota</b> is throttling back one of its three production ... The cost to buy protection on Jaguar bonds was as low as 113 basis points in <b>August</b> of last year.﻿ Jaguar of course does have the ...,<b>Toyota</b> Is Slowing Camry Production Due to Slumping Sedan Sales,https://jalopnik.com/toyota-is-slowing-camry-production-due-to-slumping-seda-1830488828,Jalopnik,2018-11-16T15:14:00.0000000Z
8,"In <b>August</b>, CuriosityStream said Showcase would have six category-exclusive sponsors before year’s end. So far, two are on board: <b>Toyota</b> (automotive) and Sprint (telecommunications). <b>Toyota</b> Theater has seven videos. Four are <b>Toyota</b> commercials ...",CuriosityStream&#39;s <b>Toyota</b> Theater Features Free Anti-Car Documentaries,https://www.mediapost.com/publications/article/328012/curiositystreams-toyota-theater-features-free-ant.html?edition=111793,MediaPost,2018-11-16T14:32:00.0000000Z
9,"<b>Toyota</b> Ireland has recalled thousands of vehicles due to a number of potential issues affecting drivers across the country. The company first voluntarily recalled Avensis, Verso, Corolla that were manufactured between <b>August</b> 2002 and May 2007 ...","<b>Toyota</b> Ireland recall nearly 40,000 cars due to safety risks",https://www.msn.com/en-ie/news/other/toyota-ireland-recall-nearly-40000-cars-due-to-safety-risks/ar-BBPKBSh,Extra.ie,2018-11-15T19:04:00.0000000Z
10,"ValuEngine lowered <b>Toyota</b> Motor from a “hold” rating to a “sell” rating in a research report on Wednesday, <b>August</b> 15th. Finally, Bank of America raised <b>Toyota</b> Motor from a “neutral” rating to a “buy” rating in a research report on Monday ...",Analysts Set <b>Toyota</b> Motor Corp (TM) Target Price at $130.00,https://theenterpriseleader.com/2018/11/12/analysts-set-toyota-motor-corp-tm-target-price-at-130-00.html,theenterpriseleader.com,2018-11-14T00:49:00.0000000Z
11,"ValuEngine downgraded <b>Toyota</b> Motor from a “hold” rating to a “sell” rating in a research note on Wednesday, <b>August</b> 15th. Finally, Bank of America upgraded <b>Toyota</b> Motor from a “neutral” rating to a “buy” rating in a research note on Monday ...",<b>Toyota</b> Motor Corp (TM) Given Average Rating of “Hold” by Brokerages,https://www.dispatchtribunal.com/2018/11/12/toyota-motor-corp-tm-given-average-rating-of-hold-by-brokerages.html,dispatchtribunal.com,2018-11-13T03:31:00.0000000Z
12,"WENATCHEE — &quot;Weird Al&quot; Yankovic, purveyor of polka-flavored pop parodies for more than 35 years, crashes into the Town <b>Toyota</b> Center next <b>August</b> with a full string orchestra as accompaniment. The &quot;Strings Attached&quot; tour brings Yankovic to town Aug. 13 ...",&#39;Weird Al&#39; wanders into Wenatchee arena,http://www.ifiberone.com/columbia_basin/weird-al-wanders-into-wenatchee-arena/article_03c91ca8-e6ac-11e8-9989-5b44edfa888a.html,iFIBER ONE News,2018-11-12T19:07:00.0000000Z
13,"In <b>August</b>, 1 out of 10 (9.90% ... with many consumers opting for the Honda Clarity PHEV and <b>Toyota</b> Prius Prime over the Volt, and Hyundai Kona and Kia Niro BEVs over the Bolt.",10% Of New Vehicles Purchased in California Are EVs,https://cleantechnica.com/2018/11/12/10-of-new-vehicles-purchased-in-california-are-evs/,CleanTechnica,2018-11-12T15:59:00.0000000Z
14,"The timing of the regulations drew the ire of both Hattori and <b>Toyota</b>, the manufacturer purchasing ... revealed after the playoffs started in <b>August</b> forced them to ... But the team reverted ...",GMS teammates lobby against Hattori Racing&#39;s using <b>Toyota</b> engine in NASCAR Trucks championship race,https://autoweek.com/article/nascar/gms-teammates-lobby-against-hattori-racing-using-toyota-engine-nascar-trucks-title,Autoweek,2018-11-11T17:04:00.0000000Z
15,"<b>Toyota</b> teased an all-wheel-drive Prius—available for years ... chairwoman to replace Elon Musk following a settlement with the SEC over his ill-advised <b>August</b> tweet that he planned to take the company public. Robyn Denholm, one of two existing ...","Tesla news, VW pricing, electric Harley, and Best Car To Buy: The Week in Reverse",https://www.greencarreports.com/news/1119853_tesla-news-vw-pricing-electric-harley-and-best-car-to-buy-the-week-in-reverse,Green Car Reports,2018-11-10T13:03:00.0000000Z
16,"ValuEngine lowered shares of <b>Toyota</b> Motor from a “hold” rating to a “sell” rating in a research note on Wednesday, <b>August</b> 15th. Finally, Zacks Investment Research lowered shares of <b>Toyota</b> Motor from a “strong-buy” rating to a “hold” rating ...",IFP Advisors Inc Trims Position in <b>Toyota</b> Motor Corp (TM),https://theenterpriseleader.com/2018/11/09/ifp-advisors-inc-trims-position-in-toyota-motor-corp-tm.html,theenterpriseleader.com,2018-11-10T00:28:00.0000000Z
17,"LOS ANGELES – The Backstreet Boys announced their biggest arena tour in 18 years along with the release of their new album “DNA,” coming out Jan. 25. The tour will be hitting the <b>Toyota</b> Center in Houston on Aug. 31. Tickets go on sale to the general ...","Backstreet Boys announce new tour, coming to <b>Toyota</b> Center in <b>August</b>",https://www.khou.com/article/news/entertainment-news/backstreet-boys-announce-new-tour-coming-to-toyota-center-in-august/285-612954161,KHOU,2018-11-09T13:45:00.0000000Z
18,"In the last few months, <b>Toyota</b> (NYSE:TM) cars have been selling like hotcakes. Despite the recent decline in the US, the Japanese carmaker managed to increase its sales in China in <b>August</b> by 23% Y/Y to 133,000 cars. At the same time, Q1 numbers that were ...",<b>Toyota</b>: Best Car Company?,https://seekingalpha.com/article/4210168-toyota-best-car-company,Seeking Alpha,2018-10-05T23:59:00.0000000Z
19,"<b>Toyota</b> City, Japan, Sept 27, 2018 - (JCN Newswire) - <b>Toyota</b> Motor Corporation (TMC) announces its production, domestic sales, and export results for <b>August</b> 2018, including those for subsidiaries Daihatsu Motor Co., Ltd. and Hino Motors, Ltd. - 46.3% share ...",<b>Toyota</b> Announces Results for <b>August</b> 2018,http://www.acnnewswire.com/press-release/english/46612/toyota-announces-results-for-august-2018,ACN Newswire,2018-09-27T11:36:00.0000000Z
