,description,headline,url,provider,date
0,"The Renault Kwid is the only affordable hatchback currently which has made an impact on Alto and Celerio sales. The SUV inspired hatchback comes with good engines, good mileage and better than segment features. No wonder why it became a success ever since ...","Honda Civic to <b>Toyota</b> Corolla: 6 hassle-free, used luxury <b>cars</b> at the price of a Renault Kwid",https://www.cartoq.com/honda-civic-to-toyota-corolla-6-hassle-free-used-luxury-cars-at-the-price-of-a-renault-kwid/,cartoq.com,2018-11-18T05:16:00.0000000Z
1,"Brantford&#39;s Readers choice Used <b>Car</b> winner! We finance! Is it worth the drive to Brantford Kia? Absolutely! Example of Cost of borrowing example: $10,000 financed at 6.99% amortized over 5/6/7 years would cost 1920/2304/2688 in interest. Prices are all in ...",2015 <b>Toyota</b> Sienna SE Leather Winter Tires,https://www.thespec.com/cars/2833853-brantfordkia-2015-toyota-sienna/,The Hamilton Spectator,2018-11-18T04:53:00.0000000Z
2,the Citroen driver benefiting from Tanak&#39;s retirement to end up on the bottom step of the podium despite damaging the rear of his <b>car</b> on the Sapphire stage. Esapekka Lappi made sure there was more to celebrate for <b>Toyota</b> despite Tanak&#39;s retirement ...,"Rally Australia: Latvala wins as Ogier, <b>Toyota</b> claim WRC titles",https://sg.news.yahoo.com/rally-australia-latvala-wins-ogier-033213234.html,Yahoo News Singapore,2018-11-18T04:14:00.0000000Z
3,"<b>TOYOTA</b> is making a statement, and it wants Australia’s performance-hungry <b>car</b> buyers to pay attention. The statement is that the company has its mojo back, and it’s called Gazoo. Forget the daggy whitegoods <b>Toyota</b> of the last decade, Gazoo stands for ...",What the Gazoo Racing Australia team means for <b>Toyota</b>’s performance <b>cars</b>,https://www.msn.com/en-au/motoring/news/what-the-gazoo-racing-australia-team-means-for-toyota%e2%80%99s-performance-cars/ar-BBPE2cH,Wheels Magazine,2018-11-13T09:34:00.0000000Z
4,"<b>Toyota</b> driver Latvala went into the final loop ... up on the bottom step of the podium despite damaging the rear of his <b>car</b> on the Sapphire stage. Ogier, meanwhile, claimed his sixth title with ...","Australia WRC: Latvala wins, crashes help Ogier claim title",https://sports.yahoo.com/australia-wrc-latvala-wins-crashes-031631337.html,Yahoo Sports,2018-11-18T03:55:00.0000000Z
5,"The top selling light vehicle in California in the first half of 2018 was the Honda Civic (a <b>car</b>). With nearly 44,000 registrations, it was more than 12,000 registrations above the #2 <b>Toyota</b> Camry ...",CleanTechnica Forecast: Tesla Model 3 Will Be #2 Top Selling Light Vehicle In California In 2018,https://cleantechnica.com/2018/11/17/cleantechnica-forecast-tesla-model-3-will-be-2-top-selling-light-vehicle-in-california-in-2018/,CleanTechnica,2018-11-18T02:12:00.0000000Z
6,"The 12.9-inch rotor front brakes are nearly an inch larger than the standard brakes on the regular XSE grade <b>cars</b>, and double up to dual-piston calipers. <b>Toyota</b> Safety Sense-P - which includes pre-collision braking and other driver assistance tech - will ...","BMW X6, 2020 Buick LaCrosse, 2020 <b>Toyota</b> Camry TRD",http://alhubeco.com/2018/11/18/bmw-x6-2020-buick-lacrosse-2020-toyota-camry-trd/,alhubeco.com,2018-11-17T23:14:00.0000000Z
7,"The 12.9-inch rotor front brakes are nearly an inch larger than the standard brakes on the regular XSE grade <b>cars</b>, and double up to dual-piston calipers. Supersonic Red, Windchill Pearl, Celestial Silver Metallic, and Midnight Black Metallic are your ...",<b>Toyota</b> Avalon And Camry TRD Pack 301HP And A Track-Tuned Suspension,http://iphonefresh.com/2018/11/18/toyota-avalon-and-camry-trd-pack-301hp-and-a-track-tuned.html,iphonefresh.com,2018-11-17T22:39:00.0000000Z
8,"We’ve analyzed 57 <b>Toyota</b> Land Cruiser reviews, as well as fuel economy estimates, performance specs, and more, to give you all the information you need to make a smart <b>car</b>-buying decision. This review uses applicable research and data from all model ...",2019 <b>Toyota</b> Land Cruiser,https://cars.usnews.com/cars-trucks/toyota/land-cruiser,cars.usnews.com,2018-11-17T21:44:00.0000000Z
9,Their latest attempt involves <b>Toyota</b> Racing Development (TRD) to work their magic on these two sedans. The end result is the Camry and Avalon TRD which will be showing up at the LA <b>Auto</b> Show in a couple of weeks. The changes begin under the skin as TRD ...,2020 <b>Toyota</b> Avalon and Camry TRD Hope To Kiss Boring Good-Bye,https://www.cheersandgears.com/articles/auto-show-news/la-auto-show/2020-toyota-avalon-and-camry-trd-hope-to-kiss-boring-good-bye-r5395/,cheersandgears.com,2018-11-17T21:43:00.0000000Z
