,description,headline,url,provider,date
0,"The Renault Kwid is the only affordable hatchback currently which has made an impact on Alto and Celerio sales. The SUV inspired hatchback comes with good engines, good mileage and better than segment features. No wonder why it became a success ever since ...","Honda Civic to <b>Toyota</b> Corolla: 6 hassle-free, used luxury <b>cars</b> at the price of a Renault Kwid",https://www.cartoq.com/honda-civic-to-toyota-corolla-6-hassle-free-used-luxury-cars-at-the-price-of-a-renault-kwid/,cartoq.com,2018-11-18T05:16:00.0000000Z
1,"Brantford&#39;s Readers choice Used <b>Car</b> winner! We finance! Is it worth the drive to Brantford Kia? Absolutely! Example of Cost of borrowing example: $10,000 financed at 6.99% amortized over 5/6/7 years would cost 1920/2304/2688 in interest. Prices are all in ...",2015 <b>Toyota</b> Sienna SE Leather Winter Tires,https://www.thespec.com/cars/2833853-brantfordkia-2015-toyota-sienna/,The Hamilton Spectator,2018-11-18T04:53:00.0000000Z
2,"<b>TOYOTA</b> is making a statement, and it wants Australia’s performance-hungry <b>car</b> buyers to pay attention. The statement is that the company has its mojo back, and it’s called Gazoo. Forget the daggy whitegoods <b>Toyota</b> of the last decade, Gazoo stands for ...",What the Gazoo Racing Australia team means for <b>Toyota</b>’s performance <b>cars</b>,https://www.msn.com/en-nz/motoring/news/what-the-gazoo-racing-australia-team-means-for-toyota%e2%80%99s-performance-cars/ar-BBPE2cH?li=BBqd5YO,Wheels Magazine,2018-11-13T09:34:00.0000000Z
3,... had a total of five owners of which the last on V5 has owned the <b>car</b> from 2000 - 2017 it has a vast documented history including all previous MOT&#39;s ..... The third generation <b>Toyota</b> Celica A60 was introduced in August 1981 and underwent a facelift in ...,1977 <b>Toyota</b> Celica GT RA29 Liftback *Baby Mustang* For Sale,https://www.carandclassic.co.uk/car/C1056486,Car And Classic,2018-11-18T00:28:00.0000000Z
4,"(We are modern <b>car</b> dealers with a soft spot for Toyotas, ..... An example of a clean <b>Toyota</b> corolla T-Spirit 1.6 in grey, done 116000,just been serviced, MOT until May next year,new rear break discs and pads,4 good tyres,electric mirrors,electric windows ...",1985 <b>Toyota</b> Corolla AE86 Twincam Coupe UK Rally For Sale,https://www.carandclassic.co.uk/car/C1056480,Car And Classic,2018-11-18T00:29:00.0000000Z
5,"<b>Toyota</b> says both TRD <b>cars</b> will be limited in number, too, though hasn&#39;t detailed exactly how many there&#39;ll be. Elon Musk&#39;s company has six years to put half in orbit, and nine years to complete the satellite network, according to FCC rules . The FCC also ...",<b>Toyota</b> Introduces Avalon and Camry TRD,http://cobess.com/2018/11/18/toyota-introduces-avalon-and-camry-trd.html,cobess.com,2018-11-17T23:43:00.0000000Z
6,"The 12.9-inch rotor front brakes are nearly an inch larger than the standard brakes on the regular XSE grade <b>cars</b>, and double up to dual-piston calipers. <b>Toyota</b> Safety Sense-P - which includes pre-collision braking and other driver assistance tech - will ...","BMW X6, 2020 Buick LaCrosse, 2020 <b>Toyota</b> Camry TRD",http://alhubeco.com/2018/11/18/bmw-x6-2020-buick-lacrosse-2020-toyota-camry-trd/,alhubeco.com,2018-11-17T23:14:00.0000000Z
7,"<b>Toyota</b>&#39;s Corolla might be billed, by <b>Toyota</b> itself, as &#39;Ireland&#39;s favourite <b>car</b>&#39; but the new four-door saloon version was unveiled in China. <b>Toyota</b> rolled out the new four-door Corolla at the massive Ghangzhou motor show, and it will arrive (for viewing ...",<b>Toyota</b> Corolla hybrid saloon revealed in China,https://www.completecar.ie/car-news/article/8682/Toyota-Corolla-hybrid-saloon-revealed-in-China,Complete Car,2018-11-17T23:11:00.0000000Z
8,"The <b>Toyota</b> Sienna is designed with the whole family in mind ... On this page, you will find the 2018 Buick, Chevrolet, GMC, and Cadillac <b>vehicles</b> that are currently available to buy or lease at our Toronto dealership, be able to see the exterior color ...",2011 <b>Toyota</b> Sienna LE - Power Windows,https://www.toronto.com/cars/2833983-oldmillcadillacbuickgmcltd-2011-toyota-sienna/,toronto.com,2018-11-17T22:46:00.0000000Z
9,"All of our pre-owned <b>vehicles</b> come with a free Carproof vehicle history report and are sold without any extra charges(all fees already included, even admin)! The price you seen online, is the price you pay (+HST, Lic) that is our promise! In addition ...","2009 <b>Toyota</b> Corolla S, PRICED TO SELL !!!! SUNROOF",https://www.toronto.com/cars/2834394-rougevalleymitsubishi-2009-toyota-corolla/,toronto.com,2018-11-17T22:45:00.0000000Z
