,description,headline,url,provider,date
0,"Meet the new sharper looking <b>Toyota</b> Corolla sedan and this time the design is aggressive and takes the fight to its chief rival the Honda Civic with its razor sharp lines and a big grille with a clear focus on being sporty. Like the 2019 Corolla hatch, the ...",2020 <b>Toyota</b> Corolla Sedan: Civic&#39;s Prime <b>Competition</b> Is Back,https://www.msn.com/en-in/news/other/2020-toyota-corolla-sedan-civics-prime-competition-is-back/ar-BBPOqo0,Motor Trend India,2018-11-17T19:02:00.0000000Z
1,"As a result the new instruction from <b>Toyota</b> is to not take the fight to Tanak tomorrow ... we had a meeting in the team and basically before going out to the stage they said no <b>competition</b> between each other, you can only follow the other guys and what ...",Latvala ordered not to fight Tanak for Australia win,https://www.motorsport.com/wrc/news/toyota-team-orders-latvala-tanak-australia/3215360/,Motorsport,2018-11-17T11:02:00.0000000Z
2,"&quot;The new local made Corolla will be our brand&#39;s pioneer in the automotive market with cut-throat <b>competition</b>&quot;, <b>Toyota</b> Turkey&#39;s CEO Ali Haydar Bozkurt said. The 2020 <b>Toyota</b> Corolla sedan will go on sale internationally in spring 2019.",<b>Toyota</b> to start mass production of its new hybrid auto in Turkey,http://booktour.tips/2018/11/toyota-to-start-mass-production-of-its-new-hybrid-auto-in/,booktour.tips,2018-11-17T05:12:00.0000000Z
3,"MazdaUSA @<b>Toyota</b> #MadeinAL pic.twitter.com/sczzMlISdk ... Alabama House Republicans virtually swept the <b>competition</b>. Raby, who is a fixture on Yellowhammer Multimedia’s annual Power and ...",Ivey welcomes <b>Toyota</b> and Mazda executives for auto assembly plant groundbreaking ceremony in Huntsville,https://yellowhammernews.com/ivey-welcomes-toyota-and-mazda-executives-for-auto-assembly-plant-groundbreaking-ceremony-in-huntsville/,Yellowhammer News,2018-11-16T22:43:00.0000000Z
4,"<b>Toyota</b> unveiled the all-new Corolla compact sedan this week ... We will buy one in the spring to see how it measures up to the <b>competition</b>. Consumer Reports is an independent, non-profit organization dedicated to helping consumers. We make it easy to ...",Redesigned 2020 <b>Toyota</b> Corolla Finally Gets a Hybrid,https://www.consumerreports.org/small-cars/2020-toyota-corolla-preview/,Consumer Reports,2018-11-16T18:41:00.0000000Z
5,You can also find excellent manufacturer incentives on our <b>Toyota</b> deals page. <b>Toyota</b> Land Cruiser Versus the <b>Competition</b> Which Is Better: <b>Toyota</b> Land Cruiser or Lexus LX? The Lexus LX is a more upscale version of the Land Cruiser. Both models have a ...,2019 <b>Toyota</b> Land Cruiser: What You Need to Know,https://www.msn.com/en-us/autos/reviews/2019-toyota-land-cruiser-what-you-need-to-know/ar-BBPOork,US News &amp; World Report - Cars,2018-11-17T21:43:00.0000000Z
6,"<b>Toyota</b> unveiled its new three-box Corolla at the Guangzhou ... The SE and XSE grades’ front seats offer thin, yet broad shoulder supports, evocative of a <b>competition</b> bucket seat, which overlap solid and thick side bolsters to achieve enhanced holding ...",<b>Toyota</b> Brightens Its 2020 Lineup with a Redesigned Corolla That’s More Powerful and Safer Than Ever,https://www.topspeed.com/cars/car-news/toyota-brightens-its-2020-lineup-with-a-redesigned-corolla-that-s-more-powerful-and-safer-than-ever-ar183447.html,Top Speed,2018-11-16T14:20:00.0000000Z
7,"Mazda always takes the road less traveled, offering a more performance-oriented lineup than the <b>competition</b>. In the past ... Ellen and Portia are sexy. But <b>Toyota</b> Camrys? These middling sedans are definitely not sexy — until now, that is.","MazdaA6, <b>Toyota</b> Camry back with spiffy new models",https://www.washingtonblade.com/2018/11/16/four-door-models-2018/,Washington Blade,2018-11-16T11:24:00.0000000Z
8,"<b>Toyota</b> Gazoo Racing ran 1-2 for the second ... Matthieu Vaxiviere in the TDS Racing Oreca 07 Gibson, while the Larbre <b>Competition</b> Ligier JS P217 Gibson ran third in the hands of FIA World ...",<b>Toyota</b> Four Tenths Ahead of Rebellion in Second Practice,https://sportscar365.com/lemans/wec/toyota-four-tenths-ahead-of-rebellion-in-second-practice/,Sportscar365,2018-11-16T09:05:00.0000000Z
9,"<b>Toyota</b> shook up the midsize sedan ranks with the new-generation ... The SE and XSE grades’ front seats offer thin, yet broad shoulder supports, evocative of a <b>competition</b> bucket seat, which overlap solid and thick side bolsters to achieve enhanced ...",2020 <b>Toyota</b> Corolla first look preview,https://www.drivingthenation.com/2020-toyota-corolla-first-look-preview/,drivingthenation.com,2018-11-16T04:56:00.0000000Z
10,"<b>Toyota</b> shook up the midsize sedan ranks with the new-generation ... The SE and XSE grades’ front seats offer thin, yet broad shoulder supports, evocative of a <b>competition</b> bucket seat, which overlap solid and thick side bolsters to achieve enhanced ...",All-New 2020 <b>Toyota</b> Corolla Ready to Rock the Sedan World,https://www.musetv.net/all-new-2020-toyota-corolla-ready-to-rock-the-sedan-world/,MUSE TV,2018-11-16T04:39:00.0000000Z
11,"There have been more <b>Toyota</b> Corollas made than any other car in history ... old-school hardware like rear drum brakes, and stiff <b>competition</b> from the likes of the Honda Civic, Mazda3, Volkswagen Jetta, and so many others in the segment.",First Look: 2020 <b>Toyota</b> Corolla injects some visual funk back into the best-selling sedan,https://www.nydailynews.com/autos/news/2020-toyota-corolla-sedan-first-look-article-1.4044492,New York Daily News,2018-11-16T02:00:00.0000000Z
12,"With the 2020 Corolla, <b>Toyota</b> moved the driver’s hip point down and back, making the seating position more comfortable. The seats have been redesigned, too, with new headrests and seatback shapes, and the SE and XSE’s seat designs emulate <b>competition</b> ...",2020 <b>Toyota</b> Corolla First Look,https://www.kbb.com/car-news/all-the-latest/toyota-corolla/2100006052/,Kelley Blue Book,2018-11-16T02:00:00.0000000Z
13,"A second Castrol <b>Toyota</b> Racing Series championship should see the youngster ... Das – who will be part of the M2 <b>Competition</b> team – is confident about a return to New Zealand, but is in no doubt about how tough it will be to win a championship that ...",Das a likely challenger in Castrol <b>Toyota</b> Racing Series,https://motorsportsnewswire.com/2018/11/15/das-castrol-toyota-racing-series/,motorsportsnewswire.com,2018-11-15T19:59:00.0000000Z
