,description,headline,url,provider,date
0,"The chassis, for example, is made out of modular carbon fiber. The lightweight material helps keep the <b>concept</b>’s kerb weight down to just 950 kilos, making it lighter than a <b>Toyota</b> Yaris. The <b>concept</b>’s svelte weight should help it navigate around urban ...",2017 Biomega SIN <b>Concept</b>,https://www.topspeed.com/cars/others/2017-biomega-sin-concept-ar183390.html,Top Speed,2018-11-18T05:13:00.0000000Z
1,"While the LS+ <b>Concept</b> gives a preview of future Lexus models and technology, other models that will be on display show how far the premium brand of <b>Toyota</b> has come since it was created in 1989. These include the UX, a new compact Urban Crossover model ...",Lexus Malaysia to display LS+ <b>Concept</b> and preview new ES and UX at KL International Motor Show,http://www.motortrader.com.my/news/lexus-malaysia-to-display-ls-concept-and-preview-new-es-and-ux-at-kl-international-motor-show/,motortrader.com.my,2018-11-18T01:25:00.0000000Z
2,"<b>Toyota</b> says it will be offered with &quot;many of the features&quot; of the hatch launched in August. The model&#39;s design <b>concept</b> is called &#39;Shooting Robust, &#39; which <b>Toyota</b> says emphasizes a lower stance and center of gravity. On the TNGA platform, the new Corolla ...",The New <b>Toyota</b> Corolla Sedan Is Surprisingly Cool,http://234vibesnews.com/2018/11/16/the-new-toyota-corolla-sedan-is-surprisingly-cool.html,234vibesnews.com,2018-11-17T20:18:00.0000000Z
3,"Depending on driving conditions, <b>Toyota</b> claims the Corolla Sedan Hybrid offers up to ... As expected, the SUV has grown another pair of doors, but it maintains the elegant silhouette of the <b>concept</b> vehicle . Available transmissions are a new Direct-Shift ...",<b>Toyota</b> reveals entirely new Corolla for 2019,http://precisionresearchandconsulting.com/2018/11/toyota-reveals-entirely-new-corolla-for-2019/,precisionresearchandconsulting.com,2018-11-17T05:43:00.0000000Z
4,"The model&#39;s design <b>concept</b> is called &#39;Shooting Robust, &#39; which <b>Toyota</b> says emphasizes a lower stance and center of gravity. Whether the auto we get in Australia will have the same snout, or whether we&#39;ll get a version with a nose adapted from the hatchback ...",TNGA-based 2020 <b>Toyota</b> Corolla sedan breaks cover,http://dietpillo.com/2018/11/tnga-based-2020-toyota-corolla-sedan-breaks-cover/,dietpillo.com,2018-11-17T05:36:00.0000000Z
5,"An adaptive front-lighting system (AFS) is also on the list. The interior was designed, &quot;based on a Sensuous Minimalism <b>concept</b>&quot; which <b>Toyota</b> simplifies as a simple yet sensual vision. Inside, the automaker says that the cabin materials and elements in the ...","More Style, More Power, More Safety — <b>Toyota</b> Corolla Revealed",http://eslforkids.net/2018/11/16/more-style-more-power-more-safety-toyota-corolla-revealed/,eslforkids.net,2018-11-16T18:53:00.0000000Z
6,"The interior was designed, &quot;based on a Sensuous Minimalism <b>concept</b>&quot; which <b>Toyota</b> simplifies as a simple yet sensual vision. The space chicly contains all the essentials in a spacious cabin without the unnecessary addition of distracting bells and whistles.",World&#39;s most popular car gets a new face: meet the new <b>Toyota</b> Corolla,https://www.msn.com/en-us/autos/news/worlds-most-popular-car-gets-a-new-face-meet-the-new-toyota-corolla/ar-BBPM44N,Relaxnews (AFP),2018-11-16T12:30:00.0000000Z
7,"The layout of the interior looks fresher-than-most, but that’s if you compare it to other production pickups like the <b>Toyota</b> Tacoma and the Chevrolet Colorado. It’s just that the Frontier Sentinel is a <b>concept</b>. As such, I at least expect the cabin to ...",2018 Nissan Frontier Sentinel <b>Concept</b>,https://www.topspeed.com/cars/nissan/2018-nissan-frontier-sentinel-concept-ar183377.html,Top Speed,2018-11-16T18:12:00.0000000Z
8,"<b>Toyota</b> is serious about shedding its ho-hum image, and the latest proof of this comes in the form of the 2020 Corolla sedan. The interior was designed, &quot;based on a Sensuous Minimalism <b>concept</b>&quot; which <b>Toyota</b> simplifies as a simple yet sensual vision.",<b>Toyota</b> Corolla sedan revealed,http://currenthollywood.com/2018/11/toyota-corolla-sedan-revealed/,currenthollywood.com,2018-11-16T16:00:00.0000000Z
9,2020 <b>Toyota</b> Corolla sedan. (Am I the only one that thinks that the fact that we’re up to the 2020 model year of cars is weird? Remember the Aston Martin 2020 <b>concept</b>? That thing was supposed to ...,2020 <b>Toyota</b> Corolla: Don&#39;t Sleep On This One Because It Looks Pretty Good,https://jalopnik.com/2020-toyota-corolla-dont-sleep-on-this-one-because-it-1830486926,Jalopnik,2018-11-16T13:39:00.0000000Z
10,"<b>Toyota</b> today unveils new sedan models in the Corolla series ... Enabled by TNGA’s new platform, the exterior design <b>concept</b>, Shooting Robust, instills an active essence, achieving a firm, lower center of gravity and sporty silhouette, complemented ...",<b>Toyota</b> unveils new Corolla Sedans at China’s Guangzhou International Automobile Exhibition,https://www.automotiveworld.com/news-releases/toyota-unveils-new-corolla-sedans-at-chinas-guangzhou-international-automobile-exhibition/,Automotive World,2018-11-16T08:47:00.0000000Z
11,"<b>Toyota</b> shook up the midsize sedan ranks with the new-generation ... The design team called its working <b>concept</b> “shooting robust,” because they were shooting for a robust, confidence-inspiring stance. Yet, they had to maintain ample space for practical ...",2020 <b>Toyota</b> Corolla first look preview,https://www.drivingthenation.com/2020-toyota-corolla-first-look-preview/,drivingthenation.com,2018-11-16T04:56:00.0000000Z
12,"<b>Toyota</b> shook up the midsize sedan ranks with the new-generation ... The design team called its working <b>concept</b> “shooting robust,” because they were shooting for a robust, confidence-inspiring stance. Yet, they had to maintain ample space for practical ...",All-New 2020 <b>Toyota</b> Corolla Ready to Rock the Sedan World,https://www.musetv.net/all-new-2020-toyota-corolla-ready-to-rock-the-sedan-world/,MUSE TV,2018-11-16T04:39:00.0000000Z
