,description,headline,url,provider,date
0,"DETROIT — Ford, <b>Toyota</b>, General Motors and Nissan received strong ratings ... with making the commitment to expanding its minority-dealer base. Zuchowski was ousted in <b>December</b> 2016, but Hyundai has said that it will continue to build its roster of ...","Ford, <b>Toyota</b> recognized for commitment to diversity",http://www.autonews.com/article/20181118/RETAIL07/181119752/ford-toyota-rainbow-push-diversity,Automotive News,2018-11-18T05:06:00.0000000Z
1,"Lexus Malaysia will be one of the companies which will display a concept car at the KL International Motor Show next week (November 23 – <b>December</b> 2), The company ... display show how far the premium brand of <b>Toyota</b> has come since it was created in ...",Lexus Malaysia to display LS+ Concept and preview new ES and UX at KL International Motor Show,http://www.motortrader.com.my/news/lexus-malaysia-to-display-ls-concept-and-preview-new-es-and-ux-at-kl-international-motor-show/,motortrader.com.my,2018-11-18T01:25:00.0000000Z
2,Even more telling is the fact that November 2017 and <b>December</b> 2017 were the two best-selling months the Mirai has had since it entered the market in late 2015. <b>Toyota</b> needs huge sales movements in the last two months of 2018 to approach the Mirai’s sales ...,Here Are the Cars <b>Toyota</b> Might Kill Off,https://www.topspeed.com/cars/car-news/here-are-the-cars-toyota-might-kill-off-ar183366.html,Top Speed,2018-11-17T17:15:00.0000000Z
3,"The city of Huntsville is currently finishing grading and site work, said Mark Brazeal, vice president of administration with Mazda <b>Toyota</b> Manufacturing USA. “We hope to start actual construction, pouring the concrete foundation, the first of <b>December</b> ...","&#39;Amazing&#39; plant will produce <b>Toyota</b>&#39;s Corolla, new Mazda crossover",https://www.decaturdaily.com/news/limestone_county/amazing-plant-will-produce-toyota-s-corolla-new-mazda-crossover/article_e137925e-708d-57d4-82aa-3c5386d5e749.html,Decatur Daily,2018-11-17T06:37:00.0000000Z
4,"More importantly, the sales slowdown has led <b>Toyota</b> to throttle back production at its Kentucky ... and one of those three lines will see reduced production starting in <b>December</b>. It&#39;s not the Camry&#39;s fault, though, as its main segment competitor, the ...",<b>Toyota</b> to Throttle Back Camry Production at Kentucky Plant Amid Poor Sales,http://www.thedrive.com/news/24956/toyota-to-throttle-back-camry-production-at-kentucky-plant-amid-poor-sales,The Drive,2018-11-16T21:18:00.0000000Z
5,"(CLARKSVILLENOW) – The 2018 <b>Toyota</b> East West All-Star Classic will be held in Clarksville, Tennessee at Austin Peay State University’s Fortera Stadium on Friday, <b>December</b> 7, 2018 for the ...",Clarksville to host 2018 <b>Toyota</b> East vs. West All-Star Classic,https://clarksvillenow.com/local/clarksville-to-host-2018-toyota-east-vs-west-all-star-classic/,Clarksville Now,2018-11-16T18:08:00.0000000Z
6,"China makes artificial sun BREAKTHROUGH in step towards limitless energy ITER&#39;s tokamak is now halfway through construction and is scheduled to generate power by <b>December</b> 2025 ... a experiment for nuclear fusion. <b>Toyota</b>&#39;s new Corolla is coming, and ...","Redmi Note 6 Pro launches on November 22: Expected specifications, price",http://cutenailsdesigns.net/2018/11/15/redmi-note-6-pro-launches-on-november-22-expected.html,cutenailsdesigns.net,2018-11-15T18:52:00.0000000Z
7,"On Wednesday, the Japanese motoring giant issued two further voluntary recalls, the first of which was for <b>Toyota</b> Aygo vehicles. The affected models were manufactured between July 2005 and <b>December</b> 2013, with 2,314 made available on the Irish market.","<b>Toyota</b> Ireland recall nearly 40,000 cars due to safety risks",https://www.msn.com/en-ie/news/other/toyota-ireland-recall-nearly-40000-cars-due-to-safety-risks/ar-BBPKBSh,Extra.ie,2018-11-15T19:04:00.0000000Z
8,"Voting is now open for our Reader’s Choice Awards presented by <b>Toyota</b>, and we’re asking ... s Poll Awards in Breckenridge, Colorado on <b>December</b> 14, 2018 during the Winter Dew Tour.",Vote Now: TransWorld SNOWboarding’s 2018 Readers’ Choice Awards presented by <b>Toyota</b>,https://snowboarding.transworld.net/news/vote-now-transworld-snowboardings-2018-readers-choice-awards-presented-toyota/,snowboarding.transworld.net,2018-11-14T02:24:00.0000000Z
9,"Half a year ago, this article suggested that we will indeed see the new 2019 model year Prius by <b>December</b> 2018: 2019 <b>Toyota</b> Prius will be restyled to look more like Prime: report. It appears from ...",<b>Toyota</b> Announces A New Prius: This Could Be Big News,https://seekingalpha.com/article/4221474-toyota-announces-new-prius-big-news,Seeking Alpha,2018-11-12T22:44:00.0000000Z
