,description,headline,url,provider,date
0,"That means a lot for us as <b>employees</b> of the company ... It’s a huge pride point for us as an automotive company, as with Chevy and <b>Toyota</b>, but especially with our roots and Mr. Ford’s family’s roots in terms of what racing did to create the company ...",Ford Performance NASCAR: Mark Rushbrook OEM Transcript,http://www.speedwaymedia.com/2018/11/17/ford-performance-nascar-mark-rushbrook-oem-transcript/,SpeedwayMedia,2018-11-17T18:09:00.0000000Z
1,"Lentz said <b>Toyota</b>’s partnership with Alabama began 17 years ago, when ground was broken on the company’s engine plant in north Huntsville. That plant has expanded four times and now has nearly 1,400 <b>employees</b>, he said. The total investment there has re ...","&#39;Amazing&#39; plant will produce <b>Toyota</b>&#39;s Corolla, new Mazda crossover",https://www.decaturdaily.com/news/limestone_county/amazing-plant-will-produce-toyota-s-corolla-new-mazda-crossover/article_e137925e-708d-57d4-82aa-3c5386d5e749.html,Decatur Daily,2018-11-17T06:37:00.0000000Z
2,"To recruit and train 4,000 <b>employees</b>, Mazda <b>Toyota</b> Manufacturing will work with Alabama Industrial Development Training. Mark Brazeal, vice president of administration for Mazda <b>Toyota</b> Manufacturing U.S.A., said AIDT would use its “broad workforce ...",MAZDA <b>TOYOTA</b> MANUFACTURING: Ground broken on new &#39;home&#39; w/PHOTOS,https://www.enewscourier.com/news/local_news/mazda-toyota-manufacturing-ground-broken-on-new-home-w-photos/article_384c29ae-e9f7-11e8-9d90-6f44411d0a36.html,The News Courier,2018-11-16T23:52:00.0000000Z
3,Shoppers can also reach out to Bob Tyler <b>Toyota employees</b> by calling 850-308-1887 or by visiting its location at 7201 Pensacola Blvd. SOURCE Bob Tyler <b>Toyota</b>,Bob Tyler <b>Toyota</b> Offers Deals on New Vehicles During the Toyotathon Sales Event,https://www.bizjournals.com/tampabay/prnewswire/press_releases/Florida/2018/11/16/UN77172,The Business Journals,2018-11-16T23:30:00.0000000Z
4,"MazdaUSA @<b>Toyota</b> #MadeinAL pic.twitter.com/sczzMlISdk ... explaining that she ultimately needed to buy a house. A career federal <b>employee</b>, Porter had a steady income but had never been educated ...",Ivey welcomes <b>Toyota</b> and Mazda executives for auto assembly plant groundbreaking ceremony in Huntsville,https://yellowhammernews.com/ivey-welcomes-toyota-and-mazda-executives-for-auto-assembly-plant-groundbreaking-ceremony-in-huntsville/,Yellowhammer News,2018-11-16T22:43:00.0000000Z
5,"The reputation is stellar. And reputations last forever. Plus, <b>Toyota employees</b> are nice. I get that <b>Toyota</b> Camry sells to people who want a car that starts every time and holds value. These drivers don’t give much thought to the driving experience.","Auto review: <b>Toyota</b> Camry feels like Xanax, numbs passion for life",https://www.ohio.com/news/20181116/auto-review-toyota-camry-feels-like-xanax-numbs-passion-for-life,Akron Beacon Journal,2018-11-16T22:12:00.0000000Z
6,"The kinds of <b>employees</b> this plant will require are the kinds of students ... And that sets them up with opportunities with <b>Toyota</b>-Mazda or other companies. It also gives them an opportunity to see if they like it. If they don’t like, they know they ...",Mazda <b>Toyota</b> in Alabama: ‘The new frontier’,https://www.al.com/business/2018/11/mazda-toyota-in-alabama-the-new-frontier.html,al.com,2018-11-16T22:06:00.0000000Z
7,"Abbruzzese predicts it will grow to 29 million by 2023. The most recent example of car makers adopting the technology is <b>Toyota</b>. At its headquarters in Japan&#39;s Aichi prefecture, <b>employees</b> like Koichi Kayano are experimenting with HoloLens for a variety of ...",<b>Toyota</b> is using Microsoft&#39;s HoloLens to build cars faster,https://www.local10.com/tech/toyota-is-using-microsofts-hololens-to-build-cars-faster,WPLG,2018-11-16T20:36:00.0000000Z
8,"Just had to give it up.&quot; FRR <b>employees</b>, including crew chief Cole Pearn, choked back tears at the shop this week when the <b>Toyota</b> was loaded into the hauler and hit the road for the last time. They hugged, snapped group photos and filmed the hauler as it ...","Truex set to defend championship, send FRR out a winner",https://www.sacbee.com/sports/article221781085.html,The Sacramento Bee,2018-11-16T19:14:00.0000000Z
9,"Heading into its final race, roughly a third of Furniture Row Racing’s 63 <b>employees</b> will remain looking ... driving a No. 78 <b>Toyota</b> sporting a flat black paint scheme that honors its origins ...",A third of Furniture Row Racing’s <b>employees</b> still seeking employment,https://sports.yahoo.com/third-furniture-row-racing-employees-181602695.html,Yahoo Sports,2018-11-16T18:44:00.0000000Z
10,"<b>Toyota</b> Motor Corp. is slowing down production of what’s ... None of the plant’s 8,000 permanent workers or 1,500 temporary <b>employees</b> will lose their jobs, he said.",<b>Toyota</b> slows Camry production as U.S. demand for sedans craters further,http://www.autonews.com/article/20181116/OEM01/181119793/toyota-camry-production-cut-kentucky,Automotive News,2018-11-16T13:43:00.0000000Z
11,"<b>Toyota</b> Motor Corp. is slowing down production of what’s ... None of the plant’s 8,000 permanent workers or 1,500 temporary <b>employees</b> will lose their jobs, he said.",<b>Toyota</b> Slows Camry Production as US Demand for Sedans Slides,https://www.industryweek.com/leadership/toyota-slows-camry-production-us-demand-sedans-slides,IndustryWeek,2018-11-16T11:28:00.0000000Z
