,description,headline,url,provider,date
0,"<b>Toyota</b> rolled out the new four-door Corolla at the massive Ghangzhou motor show, and it will arrive (for viewing) in Ireland next month, before going on sale in <b>February</b>. As with the recently-revealed Corolla hatch and estate, the saloon gets quite sharp ...",<b>Toyota</b> Corolla hybrid saloon revealed in China,https://www.completecar.ie/car-news/article/8682/Toyota-Corolla-hybrid-saloon-revealed-in-China,Complete Car,2018-11-17T23:11:00.0000000Z
1,"Below are the exclusive details: - WWE Elimination Chamber will take place in Houston, TX on <b>February</b> 17th at The <b>Toyota</b> Center - WWE Fast Lane will take place in Cleveland, OH on March 10th at The Quickens Loans Arena This year&#39;s WWE Tribute To The Troops ...",Exclusive Details on Next Year&#39;s Fast Lane &amp; Elimination Chamber,https://allwrestling.com/news/120809/exclusive-details-next-year-fast/,All Wrestling,2018-11-17T13:43:00.0000000Z
2,"A second Castrol <b>Toyota</b> Racing Series championship should see the youngster ... concluding with the New Zealand Grand Prix meeting at Manfeild Circuit Chris Amon in <b>February</b>, one of only two races outside of F1 officially recognised by the FIA as an ...",Das a likely challenger in Castrol <b>Toyota</b> Racing Series,https://motorsportsnewswire.com/2018/11/15/das-castrol-toyota-racing-series/,motorsportsnewswire.com,2018-11-15T19:59:00.0000000Z
3,"<b>Toyota</b> Ireland has recalled thousands of vehicles due to a ... The final recall is for Avensis, Corolla, Avensis Verso, Yaris and SC430 models manufactured between <b>February</b> 2001 and April 2006 — there are 6,577 affected vehicles on the Irish market ...","<b>Toyota</b> Ireland recall nearly 40,000 cars due to safety risks",https://www.msn.com/en-ie/news/other/toyota-ireland-recall-nearly-40000-cars-due-to-safety-risks/ar-BBPKBSh,Extra.ie,2018-11-15T19:04:00.0000000Z
4,"The Castrol <b>Toyota</b> Racing Series is run in identical <b>Toyota</b> powered ... concluding with the New Zealand Grand Prix meeting at Manfeild Circuit Chris Amon in <b>February</b>, one of only two races outside of F1 officially recognised by the FIA as a Grand Prix.",Young US racer Locke’s in New Zealand campaign,https://motorsportsnewswire.com/2018/11/13/lockes-castrol-toyota-racing-series/,motorsportsnewswire.com,2018-11-13T22:15:00.0000000Z
5,The band also added <b>February</b> and March 2019 tour dates. Galactic will release a new studio album entitled ‘Already Ready Already’ in <b>February</b> and will support the LP with an early-2019 tour. JamBase and CID Presents are teaming up to give away a trip ...,“Weird Al” Yankovic at Town <b>Toyota</b> Center,https://www.jambase.com/show/weird-al-yankovic-town-toyota-center-20190813,JamBase,2018-11-13T18:21:00.0000000Z
6,"Since launching in 1967, the <b>Toyota</b> Corolla has witnessed plenty – the civil rights ... Let’s count ’em. It wasn’t until the <b>February</b> 1973 issue that the second-gen KE20 finally outgunned its rivals (the Ford Escort, Mazda 1300 and Datsun 1200).",<b>Toyota</b> Corolla vs Hyundai i30 vs Mazda 3 vs Honda Civic comparison review,https://www.msn.com/en-nz/motoring/research/toyota-corolla-vs-hyundai-i30-vs-mazda-3-vs-honda-civic-comparison-review/ar-BBPnMfb?li=BBqd5YO,Wheels Magazine,2018-11-06T14:18:00.0000000Z
7,"Seated next to the GR Supra Racing Concept was one new car guaranteed to see racing duty here at home: the NASCAR Xfinity Series <b>Toyota</b> Supra. Set to make its competition debut at the Daytona 500 on <b>February</b> 16th, 2019, where it will replace the venerable ...",<b>Toyota</b> and Lexus at SEMA 2018 #MTSEMA18,http://www.superstreetonline.com/event-coverage/1811-toyota-and-lexus-at-sema-2018-mtsema18/,SuperStreetOnline,2018-11-09T01:30:00.0000000Z
8,"<b>Toyota</b> City, Japan, Mar 29, 2018 - (JCN Newswire) - <b>Toyota</b> Motor Corporation (TMC) announces its production, domestic sales, and export results for <b>February</b> 2018, including those for subsidiaries Daihatsu Motor Co., Ltd. and Hino Motors, Ltd. - Lexus ...",<b>Toyota</b> Announces Results for <b>February</b> 2018,http://www.acnnewswire.com/Article.Asp?Art_ID=42489,ACN Newswire,2018-11-08T00:00:00.0000000Z
9,"<b>Toyota</b> Motor Co. (TM) posted slightly weaker-than-expected ... The letter was sent after the Journal reported earlier Monday that Under Armour had told employees in an email in <b>February</b> that it would no longer reimburse certain expenses, including adult ...","Midterms, Amazon, <b>Toyota</b> and Under Armour - 5 Things You Must Know",https://www.thestreet.com/markets/5-things-you-must-know-before-the-market-opens-tuesday-14768384,TheStreet.com,2018-11-06T10:38:00.0000000Z
10,"This is the third time <b>Toyota</b> has tried to fix this defect since <b>February</b> 2014, when it recalled 698,457 Prius models from 2010–2014 for ECUs with faulty transistors that could disable the electric motor or inverter. <b>Toyota</b> then updated the software.","<b>Toyota</b> Recalls 975,000 Cars for Stalling and Airbag Defects",https://www.yahoo.com/news/toyota-recalls-975-000-cars-140100558.html,YAHOO!,2018-10-11T18:09:00.0000000Z
11,"- Lexus vehicle sales totaled 6,172 units (68.1 percent increase) - Minivehicle sales totaled 3,081 units (24.0 percent increase) - 45.6 percent share of market excluding minivehicles (2.1 percentage point decrease) - 29.2 percent share of market including ...",<b>Toyota</b> Announces Results for <b>February</b> 2018,http://www.jcnnewswire.com/pressrelease/42489/3/Toyota-Announces-Results-for-February-2018,jcnnewswire.com,2018-03-29T08:01:00.0000000Z
12,"As announced by <b>Toyota</b> Motor Europe on 28 <b>February</b>, <b>Toyota</b> Manufacturing UK’s Burnaston plant will be the exclusive centre for European new Auris production, with TMUK’s Deeside factory supplying the majority of engines for the model. This announcement ...",2019 <b>Toyota</b> Auris,https://www.topspeed.com/cars/toyota/2019-toyota-auris-ar180335.html,Top Speed,2018-03-21T14:05:00.0000000Z
13,"The fluctuation in the car market is constant. But, ever since the launch of Honda BR-V, the car has been a successful sold throughout. Recently, according to the sales and production data published by Pakistan Automotive Manufacturers Association (PAMA ...",Honda BR-V outran <b>Toyota</b> Fortuner in the sales with 601 units in <b>February</b>,https://www.pakwheels.com/blog/car-bike-sales-february-2018/,PakWheels,2018-03-16T13:32:00.0000000Z
14,"<b>Toyota</b> Motor North America reported <b>February</b> 2018 U.S. sales of 182,195 vehicles, an increase of 4.5 percent from <b>February</b> 2017 on a volume basis. With the same amount of selling days in <b>February</b> 2018 compared to <b>February</b> 2017, sales were up 4.5 percent on ...",<b>Toyota</b>’s <b>February</b> U.S. Sales up Nearly 5 Percent,http://www.bodyshopbusiness.com/toyotas-february-u-s-sales-up-nearly-5-percent/,Bodyshopbusiness.com,2018-03-12T19:09:00.0000000Z
15,"<b>Toyota</b> Motor North America (TMNA) reported <b>February</b> 2018 sales of 182,195 vehicles, an increase of 4.5 percent from <b>February</b> 2017 on a volume basis. With the same amount of selling days in <b>February</b> 2018 compared to <b>February</b> 2017, sales were up 4.5 percent ...",<b>Toyota</b> Motor North America reports <b>February</b> 2018 sales,https://steelguru.com/auto/toyota-motor-north-america-reports-february-2018-sales/503865,Steel News,2018-03-06T10:08:00.0000000Z
16,"With just one automaker reporting an annual increase in <b>February</b> sales, 2018 is looking bleaker for the auto industry. But that’s not unexpected. “This year is going to be a bitter but necessary pill for the auto industry to swallow,” Jessica ...","<b>Toyota Posts February Sales Increases</b>, GM, Ford, FCA Fall Short",https://finance.yahoo.com/news/toyota-posts-february-sales-increases-201438596.html,Yahoo Finance,2018-03-01T23:21:00.0000000Z
17,"With just one automaker reporting an annual increase in <b>February</b> sales, 2018 is looking bleaker for the ... With best-ever sales in light trucks and Lexus luxury utility vehicles, <b>Toyota</b> North America grew sales 4.5 percent year-over-year against Cox ...","<b>Toyota</b> <b>Posts February Sales Increases, GM</b>, Ford, FCA Fall Short",https://www.benzinga.com/trading-ideas/long-ideas/18/03/11289409/toyota-posts-february-sales-increases-gm-ford-fca-fall-short,benzinga.com,2018-03-01T20:47:00.0000000Z
