,description,headline,url,provider,date
0,"which has vaulted to No. 4 in the industry in minority-owned dealerships in recent years — jumping past <b>Toyota</b>, Honda and Nissan. The scorecard, released during the Rainbow PUSH Coalition and Citizenship Education Fund&#39;s <b>Global</b> Automotive Summit here ...","Ford, <b>Toyota</b> recognized for commitment to diversity",http://www.autonews.com/article/20181118/RETAIL07/181119752/ford-toyota-rainbow-push-diversity,Automotive News,2018-11-18T05:06:00.0000000Z
1,The 12th generation Corolla sedan rides on TNGA (<b>Toyota</b> New <b>Global</b> Architecture) platform. A six-speed manual with rev matching and CVT with paddle shifters will be offered as transmission choices. The new <b>Toyota</b> Corolla Sedan tech like autonomous ...,The <b>Toyota</b> Corolla hybrid is coming to North America,http://essaouiranews.com/2018/11/18/the-toyota-corolla-hybrid-is-coming-to-north-america.html,essaouiranews.com,2018-11-18T03:28:00.0000000Z
2,Both cars get <b>Toyota</b>&#39;s 3.5-liter V6 engine ... Verizon&#39;s My Numbers app supports 4 additional phone numbers on one handset You can&#39;t place <b>global</b> calls with a My Number number and voicemails to them arrive in the My Numbers app as an audio file.,<b>Toyota</b> Camry and Avalon get the TRD treatment,http://cybersecuritycaucus.com/2018/11/toyota-camry-and-avalon-get-the-trd-treatment/,cybersecuritycaucus.com,2018-11-18T01:23:00.0000000Z
3,"<b>Global</b> Midsize Pickups Market by Manufacturers ... Key companies profiled in this report are Ford, Gm, <b>Toyota</b>, Fca, Isuzu, Nissan, Mitsubishi, Mahindra &amp; Mahindra, Volkswagen, Great Wall Motors, Jiangling Motors, Zxauto, Tata Motors, Ashok Leyland ...",<b>Global</b> Midsize Pickups Market Revenue Status and Outlook (2013-2025),http://www.emailwire.com/release/974402-Global-Midsize-Pickups-Market-Revenue-Status-and-Outlook-20132025.html,emailwire.com,2018-11-17T16:28:00.0000000Z
4,"Nov 17 is a negative day so far for iShares <b>Global</b> Consumer Discr ETF (NYSEARCA ... The Home Depot Inc for 4.43%, <b>Toyota</b> Motor Corp for 4.29%, McDonald&#39;s Corp for 3.79%, Nike Inc B for 2.63%, Booking Holdings Inc for 2.43%, LVMH Moet Hennessy Louis Vuitton ...",iShares <b>Global</b> Consumer Discr ETF (RXI) Declines 0.23% for Nov 17,https://flecha123.com/2018/11/17/ishares-global-consumer-discr-etf-rxi-declines-0-23-for-nov-17/,flecha123.com,2018-11-17T15:18:00.0000000Z
5,Its <b>global</b> premiere has been hosted at the 2018 Guangzhou International Auto Show in China and what has materialised out of the curtain is of no disappointment. The new <b>Toyota</b> Corolla Sedan offers a combined 90kW of power from a four-cylinder petrol engine ...,All-new <b>Toyota</b> Corolla revealed,http://infositehub.com/2018/11/16/all-new-toyota-corolla-revealed.html,infositehub.com,2018-11-17T11:59:00.0000000Z
6,"The research study provides estimates for <b>Global</b> Crew Cab Trucks Forecast till 2025*. Some are the key players taken under coverage for this study are RAM, Suzuki, <b>Toyota</b>, Nissan, Dodge, Chevrolet, Hummer, Isuzu, Honda, Ford, GMC, Mitsubishi, Lincoln ...","Crew Cab Trucks Market Is Booming Worldwide | Suzuki, <b>Toyota</b>, Nissan, Dodge, Chevrolet",https://www.openpr.com/news/1378805/Crew-Cab-Trucks-Market-Is-Booming-Worldwide-Suzuki-Toyota-Nissan-Dodge-Chevrolet.html,openpr.com,2018-11-17T07:17:00.0000000Z
7,"For the Chinese market, <b>Toyota</b> and its partners, Tianjian FAW <b>Toyota</b> Motor and ... The twelfth-generation C-segment model has made its <b>global</b> debut at the Guangzhou Motor Show alongside a China-only Levin version, with the USA version also being announced ...",<b>Toyota</b> Corolla sedan gets a bold new look in its 12th generation,http://nhltradereport.com/2018/11/17/toyota-corolla-sedan-gets-a-bold-new-look-in-its-12th.html,NHL Trade Report,2018-11-17T06:09:00.0000000Z
8,"It provides overview and forecast of the <b>global</b> forklifts market based on type, class, engine power and application. It also provides market size and forecast till 2025 for overall forklifts ...","Forklifts Market to Boom in Near Future by 2025: Key Findings, Regional Analysis, Key Players Profiles and Future Prospects",http://emailwire.com/release/973408-Forklifts-Market-to-Boom-in-Near-Future-by-2025-Key-Findings-Regional-Analysis-Key-Players-Profiles-and-Future-Prospects.html,emailwire.com,2018-11-17T06:06:00.0000000Z
9,"Information released by the committee indicates the report assesses the role wood, plants and organic waste can play in the <b>global</b> strategy to tackle climate change . The shift to the TNGA platform has allowed <b>Toyota</b> to lower the centre of gravity of the ...",Meet the new (twelfth-generation) <b>Toyota</b> Corolla sedan!,http://2016carsreview.net/2018/11/meet-the-new-twelfth-generation-toyota-corolla-sedan/,2016carsreview.net,2018-11-17T05:32:00.0000000Z
