,description,headline,url,provider,date
0,"Moreover, <b>Toyota</b> is a reputed for its wide service network and customer ... The City comes equipped with a smooth petrol engine which doles out decent <b>performance</b> along with being fuel efficient too. An average of 12-13 kmpl in traffic conditions can ...","Honda Civic to <b>Toyota</b> Corolla: 6 hassle-free, used luxury cars at the price of a Renault Kwid",https://www.cartoq.com/honda-civic-to-toyota-corolla-6-hassle-free-used-luxury-cars-at-the-price-of-a-renault-kwid/,cartoq.com,2018-11-18T05:16:00.0000000Z
1,"<b>TOYOTA</b> is making a statement, and it wants Australia’s <b>performance</b>-hungry car buyers to pay attention. The statement is that the company has its mojo back, and it’s called Gazoo. Forget the daggy whitegoods <b>Toyota</b> of the last decade, Gazoo stands for ...",What the Gazoo Racing Australia team means for <b>Toyota</b>’s <b>performance</b> cars,https://www.msn.com/en-nz/motoring/news/what-the-gazoo-racing-australia-team-means-for-toyota%e2%80%99s-performance-cars/ar-BBPE2cH?li=BBqd5YO,Wheels Magazine,2018-11-13T09:34:00.0000000Z
2,"What hasn&#39;t changed, though, is the power. Both cars get <b>Toyota</b>&#39;s 3.5-liter V6 engine, which is good for 301 <b>horsepower</b> and 267 lb-ft of torque. An eight-speed automatic remains the only transmission choice. Stiffer tuning for the shocks is in play ...",<b>Toyota</b> Camry and Avalon get the TRD treatment,http://cybersecuritycaucus.com/2018/11/toyota-camry-and-avalon-get-the-trd-treatment/,cybersecuritycaucus.com,2018-11-18T01:23:00.0000000Z
3,"4. (10) Daniel Hemric (P), Chevrolet, 200. 5. (5) Austin Cindric #, Ford, 200. 6. (12) Ryan Preece, <b>Toyota</b>, 200. 7. (6) Justin Allgaier, Chevrolet, 200. 8. (8) Brandon Jones, <b>Toyota</b>, 199.",NASCAR Homestead Xfinity results: Underdog Tyler Reddick delivers stunning <b>performance</b>,https://autoweek.com/article/nascar-xfinity/nascar-homestead-xfinity-results-underdog-tyler-reddick-delivers-stunning,Autoweek,2018-11-18T01:18:00.0000000Z
4,<b>Toyota</b> says the TRD engineers have developed the dynamic characteristics ... as it has allowed him to extract extra <b>performance</b> from himself. The underbody is thicker for increased torsional rigidity and the coil springs are lowered by 0.6 inches for ...,<b>Toyota</b> Camry and Avalon TRDs are enthusiast-focused Toyotas,http://precisionresearchandconsulting.com/2018/11/toyota-camry-and-avalon-trds-are-enthusiast-focused-toyotas/,precisionresearchandconsulting.com,2018-11-17T23:09:00.0000000Z
5,"It also offers multiple powertrains, including a 577-<b>horsepower</b> V8 that&#39;s far more powerful than the LX&#39;s engine. The GLS is the better choice here. Which Is Better: Lexus LX or <b>Toyota</b> Land Cruiser? The <b>Toyota</b> Land Cruiser is one of the large SUVs that can ...",2019 Lexus LX,https://cars.usnews.com/cars-trucks/lexus/lx,cars.usnews.com,2018-11-17T21:44:00.0000000Z
6,"With aero-enhanced styling by Calty, <b>Toyota</b>’s U.S. design studio, and chassis <b>performance</b> fortified by <b>Toyota</b> Racing Development (TRD), these revved-up Camry and Avalon models are the track-tuned sedans that enthusiasts have been asking for. Many <b>Toyota</b> ...",2020 <b>Toyota</b> Avalon and Camry TRD Hope To Kiss Boring Good-Bye,https://www.cheersandgears.com/articles/auto-show-news/la-auto-show/2020-toyota-avalon-and-camry-trd-hope-to-kiss-boring-good-bye-r5395/,cheersandgears.com,2018-11-17T21:43:00.0000000Z
7,"and with such strong competition against <b>Toyota</b> and Chevy, that’s been a long process for us,” said Rushbrook. “It’s really been three years or more in the making to improve our game in every area that’s important for the <b>performance</b> on the track ...","Ford’s Fusion getting better with age for Penske, SHR",https://racer.com/2018/11/17/fords-fusion-getting-better-with-age-for-penske-shr/,Racer,2018-11-17T19:27:00.0000000Z
8,"Really happy to see the <b>performance</b> on track. I think there was a lot of talk this time last year or before the 2018 season started that we were entering the season with the oldest body, with <b>Toyota</b> having a new body last year and Chevy having a new body ...",Ford <b>Performance</b> NASCAR: Mark Rushbrook OEM Transcript,http://www.speedwaymedia.com/2018/11/17/ford-performance-nascar-mark-rushbrook-oem-transcript/,SpeedwayMedia,2018-11-17T18:09:00.0000000Z
9,"“Also, we lost a lot of power from the altitude [with a naturally-aspirated Gibson engine] but <b>Toyota</b> and SMP didn’t. So we lost more than 30 <b>horsepower</b> from that, which is six-tenths of a secon",Rebellion “So Much More Motivated” by Tighter LMP1 Gap,https://sportscar365.com/lemans/wec/senna-rebellion-so-much-more-motivated-by-tighter-lmp1-gap/,Sportscar365,2018-11-17T12:28:00.0000000Z
