,description,headline,url,provider,date
0,"Powering the 2020 <b>Toyota</b> Corolla sedan is an all-new 180 PS 2.0-litre petrol-electric full-<b>hybrid</b> powertrain based on TNGA, the same unit that is available in the hatchback and estate versions. While we&#39;ve yet to drive <b>Toyota</b>&#39;s latest compact saloon, our ...",The <b>Toyota</b> Corolla <b>hybrid</b> is coming to North America,http://essaouiranews.com/2018/11/18/the-toyota-corolla-hybrid-is-coming-to-north-america.html,essaouiranews.com,2018-11-18T03:28:00.0000000Z
1,"Ed Laukes, group vice president, marketing for <b>Toyota</b> Motor North America, believes most people would agree that the Prius set the tone for <b>hybrid</b> technology and “the evolution has been growing in very, very different forms relative to the different ...",Makers Predict Hybrids In NASCAR Future,http://www.racintoday.com/archives/63382,Racin&#39; Today,2018-11-17T23:01:00.0000000Z
2,"<b>Toyota</b> says it will be offered with &quot;many of the features ... also based on TNGA. In addition to the <b>hybrid</b> version, the Corolla Sedan will carry on with the 1.6-liter gasoline engine of its predecessor. The vehicle has features like Apple CarPlay and ...",The New <b>Toyota</b> Corolla Sedan Is Surprisingly Cool,http://234vibesnews.com/2018/11/16/the-new-toyota-corolla-sedan-is-surprisingly-cool.html,234vibesnews.com,2018-11-17T20:18:00.0000000Z
3,"the means by which the rules makers are trying to make the non-<b>hybrid</b> privateers competitive, ahead of the Shanghai race. Alonso&#39;s improvement kept the #8 <b>Toyota</b> he qualified with Kazuki Nakajima ...",WEC Shanghai: <b>Toyota</b> planned more qualifying runs due to privateers,https://uk.sports.yahoo.com/news/shanghai-6-hours-toyota-always-112622331.html,Yahoo Sports,2018-11-17T18:45:00.0000000Z
4,"Granted, the declining sales isn’t that big to cause a panic on <b>Toyota</b>’s part, but it’s clear that the Mirai’s novelty is wearing off now that the <b>hybrid</b> and all-electric car markets are expanding. Even more telling is the fact that November 2017 ...",Here Are the Cars <b>Toyota</b> Might Kill Off,https://www.topspeed.com/cars/car-news/here-are-the-cars-toyota-might-kill-off-ar183366.html,Top Speed,2018-11-17T17:15:00.0000000Z
5,"Subaru will bring the new Crosstrek <b>Hybrid</b>, which California documents show certainly won&#39;t have a range higher than 25 miles. <b>Toyota</b> hinted at a new <b>hybrid</b> version of its steadfast Corolla to join the Prius in the company&#39;s <b>hybrid</b> lineup for 2020.","Tesla Model 3s, electric pickup, LA debuts, and wind power: The Week in Reverse",https://www.greencarreports.com/news/1119991_tesla-model-3s-electric-pickup-la-debuts-and-wind-power-the-week-in-reverse,Green Car Reports,2018-11-17T16:45:00.0000000Z
6,"The no7 <b>Toyota</b> Gazoo Racing TS050 <b>Hybrid</b> will start the 6 Hours of Shanghai in pole position, the fourth time the Japanese manufacturer has claimed the top spot in China. Kamui Kobayashi and Mike Conway set an average lap time of 1m42.931s to claim second ...",WEC Shanghai: <b>Toyota</b> claim front row lockout,https://www.grandprix247.com/2018/11/17/wec-shanghai-toyota-claim-front-row-lockout/,grandprix247,2018-11-17T15:46:00.0000000Z
7,"But Alonso says he feels the small edge <b>Toyota</b> displayed in Shanghai qualifying was “artificial” because of the way the <b>hybrid</b> system is used, and that without this the privateer cars are now ...",Alonso: Privateer LMP1s now &quot;much faster&quot; than <b>Toyota</b>,https://sports.yahoo.com/alonso-privateer-lmp1s-now-much-145547644.html,Yahoo Sports,2018-11-17T15:12:00.0000000Z
8,"The Japanese manufacturer faced its sternest qualifying challenge of the 2018/19 superseason in Shanghai on Saturday, with the best of the Rebellion R-13s managing to get within three tenths of the polesitting #7 <b>Toyota</b> TS050 <b>Hybrid</b> on average times.",Shanghai 6 Hours: Fernando Alonso says rivals &#39;much faster&#39; than <b>Toyota</b>,https://www.msn.com/en-gb/autos/news/shanghai-6-hours-fernando-alonso-says-rivals-much-faster-than-toyota/ar-BBPO3S5,Autosport,2018-11-17T15:06:00.0000000Z
9,"TNGA gives the Corolla more agility in addition to what <b>Toyota</b> says is the sedan&#39;s quietest and smoothest ... There&#39;s no mention of a <b>hybrid</b> powertrain in the official launch materials for the Corolla sedan but, given they&#39;re very similar under the skin ...","More power, style for compact sedan — <b>Toyota</b> Corolla unveiled",http://techkenyot.com/2018/11/16/more-power-style-for-compact-sedan-toyota-corolla-unveiled/,techkenyot.com,2018-11-17T13:41:00.0000000Z
10,"The pole-winning car this time for the Japanese marque was the No. 7 TS050 <b>HYBRID</b>, after Mike Conway and Kamui Kobayashi combined to set a pole-winning 1m42.931s average with a 1m42.708s from Conway and 1m43.155s from Kobayashi. Between the fastest <b>Toyota</b> ...",No. 7 <b>Toyota</b> takes Shanghai pole,https://racer.com/2018/11/17/no-7-toyota-takes-shanghai-pole/,Racer,2018-11-17T12:42:00.0000000Z
11,"While <b>Toyota</b> locked out the front row of the grid in China, the 0.287-second difference between the factory <b>hybrid</b> LMP1s and the non-hybrids was the closest seen this season. Senna and Andre ...",Rebellion “So Much More Motivated” by Tighter LMP1 Gap,https://sportscar365.com/lemans/wec/senna-rebellion-so-much-more-motivated-by-tighter-lmp1-gap/,Sportscar365,2018-11-17T12:28:00.0000000Z
