,description,headline,url,provider,date
0,"Forget the daggy whitegoods <b>Toyota</b> of the last decade, Gazoo stands for the iconic performance heroes of the ‘90s like the JZA80 Supra and Celica GT-Four. Gazoo is the performance arm of the <b>international</b> juggernaut that is <b>Toyota</b> – think Mercedes-AMG ...",What the Gazoo Racing Australia team means for <b>Toyota</b>’s performance cars,https://www.msn.com/en-au/motoring/news/what-the-gazoo-racing-australia-team-means-for-toyota%e2%80%99s-performance-cars/ar-BBPE2cH,Wheels Magazine,2018-11-13T09:34:00.0000000Z
1,The no7 <b>Toyota</b> Gazoo Racing TS050 Hybrid will start the 6 Hours ... Mucke and Pla set an average lap of 1m58.627 around the 5.4km Shanghai <b>International</b> Circuit. The Ford was 0.247s ahead of the no81 BMW M8 of Martin Tomczyk and Nicky Catsburg and three ...,WEC Shanghai: <b>Toyota</b> claim front row lockout,https://www.grandprix247.com/2018/11/17/wec-shanghai-toyota-claim-front-row-lockout/,grandprix247,2018-11-17T15:46:00.0000000Z
2,Its global premiere has been hosted at the 2018 Guangzhou <b>International</b> Auto Show in China and what has materialised out of the curtain is of no disappointment. The new <b>Toyota</b> Corolla Sedan offers a combined 90kW of power from a four-cylinder petrol engine ...,All-new <b>Toyota</b> Corolla revealed,http://infositehub.com/2018/11/16/all-new-toyota-corolla-revealed.html,infositehub.com,2018-11-17T11:59:00.0000000Z
3,"Final practice Saturday morning at the Shanghai <b>International</b> Circuit produced a different set ... held almost entirely in wet conditions after light rain throughout the day, <b>Toyota</b>’s pair of TS050 HYBRIDs finished 1-2, but in FP3, the Toyotas could ...",Rebellion sets the pace in dry Shanghai FP3,https://racer.com/2018/11/16/rebellion-sets-the-pace-in-dry-shanghai-fp3/,Racer,2018-11-17T05:23:00.0000000Z
4,"not only because of the name recognition but (Mazda-<b>Toyota</b>) are forming a new joint venture. They’re looking at new ways of doing things, and we get to be on the forefront of that. That puts us on a national and <b>international</b> stage and, because of the ...",Mazda <b>Toyota</b> in Alabama: ‘The new frontier’,https://www.al.com/business/2018/11/mazda-toyota-in-alabama-the-new-frontier.html,al.com,2018-11-16T22:06:00.0000000Z
5,"Its global premiere has been hosted at the 2018 Guangzhou <b>International</b> Auto Show in China and what has ... As had been suggested by an earlier teaser photo, the 2020 <b>Toyota</b> Corolla looks a lot meaner, angrier and more angular than before.","More Style, More Power, More Safety — <b>Toyota</b> Corolla Revealed",http://eslforkids.net/2018/11/16/more-style-more-power-more-safety-toyota-corolla-revealed/,eslforkids.net,2018-11-16T18:53:00.0000000Z
6,"At China&#39;s Guangzhou <b>International</b> Automobile Exhibition, <b>Toyota</b> unveiled a redesigned Corolla sedan, making the world&#39;s best-selling vehicle more connected and efficient than ever before. The 12th generation of the <b>Toyota</b> Corolla was unveiled Friday ...",World&#39;s most popular car gets a new face: meet the new <b>Toyota</b> Corolla,https://www.msn.com/en-us/autos/news/worlds-most-popular-car-gets-a-new-face-meet-the-new-toyota-corolla/ar-BBPM44N,Relaxnews (AFP),2018-11-16T12:30:00.0000000Z
7,"<b>Toyota</b> unveiled the all-new Corolla compact sedan this week at the Guangzhou <b>International</b> Automobile Exhibition in China and Carmel-by-the-Sea, Calif., with the automaker emphasizing a commitment to fuel efficiency, reliability, and safety. The outgoing ...",Redesigned 2020 <b>Toyota</b> Corolla Finally Gets a Hybrid,https://www.consumerreports.org/small-cars/2020-toyota-corolla-preview/,Consumer Reports,2018-11-16T18:41:00.0000000Z
8,<b>Toyota</b> Motor Corp. LTD (NYSE ... A 2020 Corolla Hybrid will be showcased for the first time at the Los Angeles <b>International</b> Auto Show in two weeks. This will mark the first time a Corolla has a hybrid variant. The Corolla is more rigid than its ...,Automotive Minute: World’s best-selling car gets a complete redesign for 2020 (Photos),https://www.bizjournals.com/atlanta/news/2018/11/16/automotive-minute-world-s-best-selling-car-gets-a.html,The Business Journals,2018-11-16T15:30:00.0000000Z
9,"In FP1, <b>Toyota</b> ran fastest overall, with another 1-2 finish in the timings with light rain coming down over the Shanghai <b>International</b> Circuit. The fastest of the two TS050 HYBRIDs, which are the only cars in the field that have experience racing on the ...",Buemi leads for <b>Toyota</b> in opening Shanghai practice,https://racer.com/2018/11/16/buemi-leads-for-toyota-in-opening-shanghai-practice/,Racer,2018-11-16T13:55:00.0000000Z
