,description,headline,url,provider,date
0,"GET NO PAYMENTS UP TO 90 DAYS! OAC Come See why <b>JD</b> Powers has ranked Kia #1 in initial quality for Volume manufacturers! What makes Brantford Kia different? Did you know our team is on salary, not on commission? In fact, their bonus&#39; are based on how ...",2015 <b>Toyota</b> Sienna SE Leather Winter Tires,https://www.thespec.com/cars/2833853-brantfordkia-2015-toyota-sienna/,The Hamilton Spectator,2018-11-18T04:53:00.0000000Z
1,"As of this writing, the 2019 Land Cruiser does not have a predicted reliability rating from <b>J.D</b>. Power. Its generation typically earns above-average predicted reliability ratings though. <b>Toyota</b> covers the 2019 Land Cruise with a three-year/36,000-mile ...",2019 <b>Toyota</b> Land Cruiser,https://cars.usnews.com/cars-trucks/toyota/land-cruiser,cars.usnews.com,2018-11-17T21:44:00.0000000Z
2,"Land Cruiser Reliability Is the <b>Toyota</b> Land Cruiser Reliable? As of this writing, the 2019 Land Cruiser does not have a predicted reliability rating from <b>J.D</b>. Power. Its generation typically earns above-average predicted reliability ratings though.",2019 <b>Toyota</b> Land Cruiser: What You Need to Know,https://www.msn.com/en-us/autos/reviews/2019-toyota-land-cruiser-what-you-need-to-know/ar-BBPOork,US News &amp; World Report - Cars,2018-11-17T21:43:00.0000000Z
3,"The <b>Toyota</b> Land Cruiser is one of the large SUVs that can give ... The 2019 LX does not yet have a predicted reliability rating from <b>J.D</b>. Power. Lexus LX Warranty Lexus covers the LX with a four-year/50,000-mile basic warranty and a six-year/70,000-mile ...",2019 Lexus LX: What You Need to Know,https://www.msn.com/en-us/autos/reviews/2019-lexus-lx-what-you-need-to-know/ar-BBPOgSp,US News &amp; World Report - Cars,2018-11-17T21:43:00.0000000Z
4,"<b>JD</b> Power’s list of top-ranked mass market vehicles. Kia was ranked highest among mass market brands with a score of 108. Honda ranked second with 125, followed by <b>Toyota</b> with 131. Hyundai’s ...","Vehicle owners’ survey reveals Kia, Mini most trusted vehicles",https://mexiconewsdaily.com/news/survey-reveals-kia-mini-most-trusted-vehicles/,Mexico News Daily,2018-11-15T23:12:00.0000000Z
5,"It has also been recognized as “Most Dependable Car” in the Entry Mid-Size Segment award by <b>JD</b> Power 2017 India Vehicle Dependability study, for three consecutive years. Aligning with <b>Toyota</b>’s global philosophy – <b>Toyota</b> Kirloskar Motor being a ...",<b>Toyota</b> Scores well in ASEAN NCAP in 2017-2018,https://blog.gaadikey.com/toyota-scores-well-in-asean-ncap-in-2017-2018/,blog.gaadikey.com,2018-11-15T14:02:00.0000000Z
6,"<b>J.D</b>. Power, and our own hands-on assessments. Here are our top picks for the most reliable cars on sale today. Despite its mildly complicated powertrain (when compared to an internal combustion engine), the <b>Toyota</b> Prius is as basic a form of ...",The most reliable cars of 2018,https://www.digitaltrends.com/cars/most-reliable-cars/,digitaltrends.com,2018-11-14T12:28:00.0000000Z
7,But I know most of you aren’t going to be content with driving around in a <b>Toyota</b> Prius during your time in one of the world’s hot spots for car culture. That’s where Omoshiro Rentacar ...,This Rental Company in Japan Will Let You Drive Your JDM Dream Cars,https://jalopnik.com/this-rental-company-in-japan-will-let-you-drive-your-jd-1829987840,Jalopnik,2018-11-13T21:04:00.0000000Z
8,"Japanese brands Lexus and <b>Toyota</b> remain the most reliable on the market according to the latest survey by Consumer Reports. Also, check out the 10 most and l... Initial Vehicle Quality, According to <b>J.D</b>. Power: Koreans... The Koreans are on the ascendant!","12 Cars Offering the Best Resale Value, According to <b>J.D</b>. Power",https://www.auto123.com/en/news/top10/cars-offering-best-resale-value-2018-jdpower/65294/,Auto123,2018-11-13T10:07:00.0000000Z
9,"The <b>Toyota</b> RAV4 is part of the compact SUVs class ... The 2019 C-HR does not yet have a predicted reliability rating from <b>J.D</b>. Power. The 2018 C-HR has a 4.5 out of five rating, which is well above average. A three-year/36,000-mile new car limited warranty ...",2019 <b>Toyota</b> C-HR,https://cars.usnews.com/cars-trucks/toyota/c-hr,cars.usnews.com,2018-11-08T22:19:00.0000000Z
10,"<b>JD</b> Power&#39;s vice president of global automotive said in a release accompanying the lists. &quot;The very best cars often score better for quality and appeal than crossovers at the same price point.&quot; <b>Toyota</b> had five vehicles on the lists, more than any other ...","The 20 best cars that cost less than $65,000",https://www.businessinsider.com/best-cars-2018-costing-less-than-65000-2018-11,Business Insider,2018-11-08T15:23:00.0000000Z
11,"It’s worth noting that the leaders in the Consumer Reports reliability report were all Asian auto makers including Nissan, <b>Toyota</b> and Hyundai. In fact, if you look at <b>J.D</b>. Power’s Initial Quality rankings, the list is topped by Hyundai and Kia with ...",GM Q3 Earnings: Down is Up,https://www.strategyanalytics.com/strategy-analytics/blogs/automotive/infotainment-telematics/infotainment-telematics/2018/11/08/gm-q3-earnings-down-is-up,Strategy Analytics,2018-11-08T00:59:00.0000000Z
12,"Milton Martin <b>Toyota</b> has been awarded a <b>J.D</b>. Power 2018 Dealer of Excellence Program,SM which recognizes a select number of vehicle dealerships throughout the United States that provide exceptional customer service. “This certification sets us apart ...",Milton Martin <b>Toyota</b> awarded <b>J.D</b>. Power 2018 Dealer of Excellence,http://accesswdun.com/article/2018/1/629465/milton-martin-toyota-awarded-jd-power-2018-dealer-of-excellence,WDUN,2018-11-07T00:00:00.0000000Z
13,"In addition to <b>J.D</b>. Power, people turn to Consumer Reports for car buying advice, especially with regard to reliability. Last month, the publication released its latest list of the 10 most reliable cars, and Lexus and <b>Toyota</b> models dominated. If you’re ...",What cars that are NOT a Lexus or <b>Toyota</b> does Consumer Reports think are among the most reliable?,http://www.nydailynews.com/autos/street-smarts/list-reliable-cars-not-lexus-not-toyota-article-1.4044308,New York Daily News,2018-11-06T17:00:00.0000000Z
14,"SINGAPORE: The <b>Toyota</b> Vios, Honda CR-V and Isuzu D-Max have the lowest complaints about quality issues in their respective segments, according to the latest <b>J.D</b>. Power 2018 Malaysia Initial Quality StudySM. The <b>Toyota</b> Vios (77 PP100) ranks highest in the ...","<b>Toyota</b> Vios, Honda CR-V and Isuzu D-Max get top ratings in <b>J.D</b>. Power survey",https://www.carsifu.my/news/toyota-vios-honda-cr-v-and-isuzu-d-max-get-top-ratings-in-j-d-power-survey,CarSifu,2018-11-02T12:08:00.0000000Z
15,"FAW <b>Toyota</b>, a joint venture between <b>Toyota</b> Motor Company and First Automobile Works, has launched a flagship store on <b>JD</b>.com, China’s largest retailer, allowing customers in China to purchase and schedule maintenance services online and then bring their ...",<b>JD</b> and <b>Toyota</b> partner to expand auto services business,https://retailinasia.com/in-sectors/jd-and-toyota-partner-to-expand-auto-services-business/,retailinasia.com,2018-10-31T22:00:00.0000000Z
16,"According to the latest <b>J.D</b>. Power 2018 Malaysia Initial Quality Study (IQS), nearly half of all problems experienced by new-vehicle owners in Malaysia are design-related. The study examines problems experienced by new-vehicle owners within the first two ...","<b>J.D</b>. Power 2018 Malaysia Initial Quality Study – <b>Toyota</b> Vios, Honda CR-V, Isuzu D-Max least problematic",https://paultan.org/2018/10/31/j-d-power-2018-malaysia-initial-quality-study-results/,Paul Tan,2018-10-31T10:33:00.0000000Z
17,"<b>J.D</b>. Power has announced its 2018 Malaysia Sales Satisfaction Index (SSI) Study, which is a comprehensive analysis of the new-vehicle purchase and delivery experience based on responses from 2,477 car buyers who bought their cars between September 2017 and ...","<b>J.D</b>. Power 2018 Malaysia Sales Satisfaction Index – Nissan takes top spot ahead of Isuzu, Honda, <b>Toyota</b>",https://paultan.org/2018/10/17/j-d-power-2018-malaysia-sales-satisfaction-index/,Paul Tan,2018-10-17T10:07:00.0000000Z
18,"- Research firm <b>JD</b> Power has appointed Bruce Chellingworth as its new country manager for Australia, replacing Loi Truong who was in the position for almost four years. - Based in Sydney, Mr Chellingworth is a former <b>Toyota</b> Australia executive who brings ...",Former <b>Toyota</b> exec leads <b>JD</b> Power in Australia,https://www.goauto.com.au/news/general-news/people/former-toyota-exec-leads-jd-power-in-australia/2018-08-31/75176.html,GoAuto,2018-08-31T05:05:00.0000000Z
19,"Based on “best resale value,” you might consider buying a Lexus, Honda or <b>Toyota</b>. The three brands were the top recipients of the 2018 <b>J.D</b>. Power Resale Value Awards presented to automotive manufacturers earlier this week. The awards recognize vehicles ...","Which cars, trucks have best resale value?",https://www.sun-sentinel.com/business/fl-bz-jdpower-cars-best-resale-20180822-story.html,Sun-Sentinel,2018-08-23T16:16:00.0000000Z
20,"which produces the <b>Toyota</b> Corolla, and Georgetown 3 plant in Kentucky, which produces the Lexus ES, are the joint recipients of the 2018 <b>J.D</b>. Power Gold Plant Quality Award. The highly coveted award is based solely on defects and malfunctions; they exclude ...",<b>Toyota</b> Plants Named Tops in Quality,https://www.assemblymag.com/articles/94449-toyota-plants-named-tops-in-quality,Assembly Mag,2018-08-11T03:53:00.0000000Z
