,description,headline,url,provider,date
0,"The only model that would surpass that if you doubled its <b>January</b>–June 2018 registrations would be the Honda Civic (43,857 × 2 = 87,714). The #2 <b>Toyota</b> Camry would total ~63,000. The #3 Honda ...",CleanTechnica Forecast: Tesla Model 3 Will Be #2 Top Selling Light Vehicle In California In 2018,https://cleantechnica.com/2018/11/17/cleantechnica-forecast-tesla-model-3-will-be-2-top-selling-light-vehicle-in-california-in-2018/,CleanTechnica,2018-11-18T02:12:00.0000000Z
1,"Mail Online - 22:<b>01</b> PM GMT November 10, 2018 The stereotypes are behind you! A modern twist on festive shows The Guardian - 16:00 PM GMT November 17, 2018 2020 <b>Toyota</b> Camry and Avalon TRD seek to shed stodgy stereotypes - Roadshow CNET News - 17:08 ...","&#39;Women love shopping, men like cars&#39;: DR MICHAEL MOSLEY on the truth behind those gender stereotypes",https://www.newsoneplace.com/7954811809/dr-michael-mosley-women-shopping-gender-stereotypes,newsoneplace.com,2018-11-17T22:20:00.0000000Z
2,MazdaUSA @<b>Toyota</b> #MadeinAL pic.twitter.com/sczzMlISdk ... oversight” of EPA once Democrats take control of the House in <b>January</b>. Details of the indictment have not yet been made public.,"Alabama First Dog, Kay Ivey’s ‘Bear’ dies at 14",https://yellowhammernews.com/alabama-first-dog-kay-iveys-bear-dies-at-14/,Yellowhammer News,2018-11-17T13:12:00.0000000Z
3,"Lentz said <b>Toyota</b>’s partnership with Alabama began 17 years ago ... Brazeal said. Production will start in <b>January</b> 2021 for the Corolla line, according to Brazeal. “In the summer of 2021, we’ll start production on the Mazda crossover SUV line.”","&#39;Amazing&#39; plant will produce <b>Toyota</b>&#39;s Corolla, new Mazda crossover",https://www.decaturdaily.com/news/limestone_county/amazing-plant-will-produce-toyota-s-corolla-new-mazda-crossover/article_e137925e-708d-57d4-82aa-3c5386d5e749.html,Decatur Daily,2018-11-17T06:37:00.0000000Z
4,"He said that would be followed by production trials leading up to the start of official production in <b>January</b> 2021. James Lentz, chief executive officer for <b>Toyota</b> Motor North America Inc., said supervisors are generally hired first and then trained so ...",MAZDA <b>TOYOTA</b> MANUFACTURING: Ground broken on new &#39;home&#39; w/PHOTOS,https://www.enewscourier.com/news/local_news/mazda-toyota-manufacturing-ground-broken-on-new-home-w-photos/article_384c29ae-e9f7-11e8-9d90-6f44411d0a36.html,The News Courier,2018-11-16T23:52:00.0000000Z
5,"The Toyotathon is going on now at Bob Tyler <b>Toyota</b>, and will run through <b>January</b> 2, 2019, so shoppers are encouraged to hurry in now to take advantage of low prices and available 0.0% APR financing. In addition to the Toyotathon sales event, Bob Tyler ...",Bob Tyler <b>Toyota</b> Offers Deals on New Vehicles During the Toyotathon Sales Event,https://www.bizjournals.com/prnewswire/press_releases/2018/11/16/UN77172,The Business Journals,2018-11-16T23:30:00.0000000Z
6,MazdaUSA @<b>Toyota</b> #MadeinAL pic.twitter.com/sczzMlISdk ... oversight” of EPA once Democrats take control of the House in <b>January</b>. Details of the indictment have not yet been made public.,Ivey welcomes <b>Toyota</b> and Mazda executives for auto assembly plant groundbreaking ceremony in Huntsville,https://yellowhammernews.com/ivey-welcomes-toyota-and-mazda-executives-for-auto-assembly-plant-groundbreaking-ceremony-in-huntsville/,Yellowhammer News,2018-11-16T22:43:00.0000000Z
7,<b>Toyota</b> and Mazda unveiled plans for the plant in August 2017 as part of a broader partnership between the two Japanese automakers. They considered several states for the project and selected Alabama as the winner in <b>January</b>. Environmental issues The plant ...,"<b>Toyota</b>, Mazda will launch $1.6 billion Alabama plant construction next month",http://www.autonews.com/article/20181116/OEM01/181119759/toyota-mazda-alabama-plant-construction,Automotive News,2018-11-16T21:32:00.0000000Z
8,"The Mazda-<b>Toyota</b> team selected the site in Huntsville after an intensive nationwide search that included visits to 20 states in a six-week period in 2017. Climaxing what was codenamed “Project New World,” the automakers announced their decision on <b>Jan</b> ...",Mazda <b>Toyota</b> Manufacturing kicks off construction on $1.6B Alabama plant,http://www.madeinalabama.com/2018/11/mazda-toyota-manufacturing/,Alabama Department of Commerce,2018-11-16T17:36:00.0000000Z
9,"president of Mazda <b>Toyota</b> Manufacturing, said the plant will have the capacity to build 300,000 vehicles a year. The deal bringing the huge car-making plant to Huntsville was announced in <b>January</b>.",Mazda <b>Toyota</b> Manufacturing breaks ground on $1.6 billion auto plant in Huntsville,https://whnt.com/2018/11/16/mazda-toyota-manufacturing-breaks-ground-on-1-6-billion-auto-plant-in-huntsville/,WHNT,2018-11-16T17:24:00.0000000Z
10,His 2m02.259s eclipsed Kazuki Nakajima&#39;s 2m02.504s in the #8 <b>Toyota</b> by a couple of tenths ... The #10 DragonSpeed BR1 and the #4 ByKolles ENSO CLM P1/<b>01</b> rounded out the LMP1 order.,Shanghai WEC: <b>Toyota</b> stays on top in second practice,https://sports.yahoo.com/shanghai-wec-toyota-stays-top-093714238.html,Yahoo Sports,2018-11-16T10:09:00.0000000Z
11,<b>Toyota</b> came out on top in two rain-affected sessions ... in arrears in fourth position in the ByKolles ENSO CLM-Nissan P1/<b>01</b> on a 1m58.919s. Fastest Rebellion lap of the day was set by Thomas ...,Shanghai WEC: Sebastien Buemi fastest for <b>Toyota</b> on damp Friday,https://uk.sports.yahoo.com/news/shanghai-wec-sebastien-buemi-fastest-092534716.html,Yahoo Sports,2018-11-16T09:48:00.0000000Z
12,"The <b>Toyota</b> driver survived a scare when he picked ... In WRC2, class champion <b>Jan</b> Kopecky and Rally GB winner Kalle Rovanpera are absent, leaving Alberto Heller to head the order in his Ford ...","Rally Australia: Ostberg leads early stages, title rivals struggle",https://sports.yahoo.com/rally-australia-ostberg-leads-early-000156356.html,Yahoo Sports,2018-11-16T08:24:00.0000000Z
13,"Sebastian Buemi put <b>Toyota</b> Gazoo Racing on top in the first ... the fourth-best time in the No. 4 ByKolles Racing ENSO CLM P1/<b>01</b> NISMO. In LMP2, a flurry of late flying laps ended with Jazeman ...",Buemi Leads FP1 at Shanghai,https://sportscar365.com/lemans/wec/buemi-leads-fp1-at-shanghai/,Sportscar365,2018-11-16T05:02:00.0000000Z
14,<b>Toyota</b> locked out the top two spots in a rain-affected opening ... Tom Dillmann briefly put the #4 ByKolles ENSO CLM P1/<b>01</b>-Nissan third-fastest as the track improved but in the end it was the #17 SMP Racing BR1 piloted by Egor Orudzhev that ended up ...,Shanghai WEC: <b>Toyota</b> heads rain-affected first practice,https://www.motorsport.com/wec/news/shanghai-first-practice-toyota-buemi/3214558/,Motorsport,2018-11-16T04:51:00.0000000Z
15,"CNET News - 03:<b>01</b> AM GMT November 16, 2018 2020 <b>Toyota</b> Corolla sedan&#39;s new face teased, debuts this Thursday - Roadshow CNET News - 12:00 PM GMT November 12, 2018 2020 <b>Toyota</b> Corolla sedan teased ahead of Nov. 16 debut in China - Roadshow CNET News ...",2020 <b>Toyota</b> Corolla sedan gets a bold new look in its 12th generation - Roadshow,https://www.newsoneplace.com/7720991809/toyota-corolla-roadshow-generation,newsoneplace.com,2018-11-16T03:00:00.0000000Z
16,"Picture Bruce Jenkins The Castrol <b>Toyota</b> Racing Series is run in identical <b>Toyota</b> powered Tatuus FT-50 chassis’ and runs over five weekends from <b>January</b>, with two races on New Zealand’s South Island and three more on the North Island concluding with ...",Das a likely challenger in Castrol <b>Toyota</b> Racing Series,https://motorsportsnewswire.com/2018/11/15/das-castrol-toyota-racing-series/,motorsportsnewswire.com,2018-11-15T19:59:00.0000000Z
17,"Under China’s so-called cap-and-trade policy, automakers must obtain a new-energy vehicle score -- which is linked to the production of various types of zero- and low-emission vehicles -- starting <b>January</b>. <b>Toyota</b>, which has been a laggard in pure ...",World’s Best-Selling Car Gets a Makeover as <b>Toyota</b> Bets on China,https://www.bloomberg.com/news/articles/2018-11-15/world-s-best-selling-car-gets-facelift-in-toyota-s-china-gamble,Bloomberg L.P.,2018-11-15T16:00:00.0000000Z
18,"Under China’s so-called cap-and-trade policy, automakers must obtain a new-energy vehicle score -- which is linked to the production of various types of zero- and low-emission vehicles -- starting <b>January</b>. <b>Toyota</b>, which has been a laggard in pure ...",World&#39;s Best-Selling Car Gets Facelift in <b>Toyota</b>&#39;s China Gamble,https://www.msn.com/en-us/finance/companies/worlds-best-selling-car-gets-facelift-in-toyotas-china-gamble/ar-BBPKi92,Bloomberg,2018-11-15T16:28:00.0000000Z
19,The 2020 <b>Toyota</b> Supra Prototype MotorTrend’s 2019 Truck of the Year: The Overview MotorTrend’s 2019 SUV of the Year: The Overview MotorTrend’s 2019 Car of the Year: The Overview,2020 BMW Z4 M40i Review: Against All Odds,https://www.motortrend.com/cars/bmw/z4/2019/2020-bmw-z4-m40i-review/,Motor Trend,2018-11-15T10:37:00.0000000Z
20,"Perhaps this is <b>Toyota</b>&#39;s way of making the four-door stand out from the ... Manchester United to sell two stars in <b>January</b> transfer window Maradona, now in charge of Mexican second-tier side Dorados , said he still had room to improve as a coach.",<b>Toyota</b> Corolla Sedan Teased Again Ahead Of Debut This Month,http://fishinghd.com/2018/11/15/toyota-corolla-sedan-teased-again-ahead-of-debut-this-month.html,fishinghd.com,2018-11-15T07:20:00.0000000Z
21,"The GRMN is a small project from <b>Toyota</b>&#39;s racing divisions ... Obviously, there&#39;s going to be 3rd season of the Amazon-sponsored show, which is coming out in <b>January</b>, but after that... Has Tesla Outgrown Its Maker? How the BMW Reversing Assistant Works ...","James May Unboxes <b>Toyota</b> Yaris GRMN, Says It&#39;s the Best Video on the Internet",https://www.autoevolution.com/news/james-may-unboxes-toyota-yaris-grmn-says-it-s-the-best-video-on-the-internet-130166.html,autoevolution,2018-11-14T21:57:00.0000000Z
22,"Most importantly, the Ford Ranger launches in <b>January</b> 2019 and the Jeep pickup ... Chevrolet (GM) Colorado and <b>Toyota</b> (TM) Tacoma. The next ones behind those are the GMC Canyon (a variant of ...",GM And <b>Toyota</b> Grow Midsize Pickup Truck Sales 25% In 2018,https://seekingalpha.com/article/4222180-gm-toyota-grow-midsize-pickup-truck-sales-25-percent-2018,Seeking Alpha,2018-11-14T19:03:00.0000000Z
23,"<b>Toyota</b> has long dominated the market for midsize sedans ... a triumphant return to the truck market with the all-new Gladiator. November 14, 2018 at 1:<b>01</b> pm Impatient Mercedes Driver Gets Hit By Instant Karma – And A Bus After getting hit by the bus ...",2019 Nissan Altima Has Its Work Cut Out Against The Honda Accord And <b>Toyota</b> Camry,https://www.carscoops.com/2018/11/2019-nissan-altima-challenges-honda-accord-toyota-camry/,Carscoops,2018-11-14T19:00:00.0000000Z
24,"Tamiya USA have announced the RC replica of the <b>Toyota</b> GAZO Racing TS050 Hybrid ... The kit is set for a release in <b>January</b> 2019. – Includes multi-piece polycarbonate body with separate body, shark fin, canard, light case and wing components.",Tamiya F103GT <b>Toyota</b> Gazoo Racing TS050 Hybrid,http://www.redrc.net/2018/11/tamiya-f103gt-toyota-gazoo-racing-ts050-hybrid/,Red RC,2018-11-14T07:46:00.0000000Z
25,"<b>Toyota</b> City, Japan, Feb 27, 2018 - (JCN Newswire) - <b>Toyota</b> Motor Corporation (TMC) announces its production, domestic sales, and export results for <b>January</b> 2018, including those for subsidiaries Daihatsu Motor Co., Ltd., and Hino Motors, Ltd. - 45.5 ...",<b>Toyota</b> Announces Results for <b>January</b> 2018,http://www.acnnewswire.com/press-release/english/41701/,ACN Newswire,2018-11-13T00:00:00.0000000Z
26,"After revealing the GR Supra Racing Concept earlier this year at the Geneva International Motor Show and a number of teaser photos later, <b>Toyota</b> Motor Corporation has finally set a reveal date for the production-model Supra. The highly-anticipated 5th ...",It&#39;s Official: The next-gen <b>Toyota</b> Supra will debut in <b>January</b> 2019,https://www.autoindustriya.com/auto-industry-news/2019-toyota-supra-debut-confirmed.html,AutoIndustriya.com,2018-11-04T23:49:00.0000000Z
27,The all-new 2019 <b>Toyota</b> Supra will be revealed in production form at the Detroit Motor Show in <b>January</b> and arrive in Australia in the second-half of 2019. The all-new 2019 <b>Toyota</b> Supra has been teased in pre-production form with <b>Toyota</b> even allowing the ...,All New 2019 <b>Toyota</b> Supra to be revealed in <b>January</b>,https://practicalmotoring.com.au/car-news/all-new-2019-toyota-supra-to-be-revealed-in-january/,practicalmotoring.com.au,2018-11-01T10:04:00.0000000Z
28,"Did you know <b>Toyota</b> used to make something called a ‘Supra’? Quite popular, as it happens. It was a sports car of some sort. It cycled through four generations until <b>Toyota</b> called it quits in 2002. Now, without literally any warning or pre-empting or ...",<b>Toyota</b> will show the production Supra in <b>January</b> 2019,http://www.topgear.com/india/news/car/toyota-will-show-the-production-supra-in-january-2019_-12463.html,Top Gear,2018-10-31T12:48:00.0000000Z
29,"Back in March, we learned <b>Toyota</b> would reveal the production Supra in the first half of 2019. Now, the automaker has confirmed the sports car will debut at the Detroit auto show in <b>January</b>. Production on the 2020 <b>Toyota</b> Supra will begin in the first half ...",2020 <b>Toyota</b> Supra Confirmed for Detroit Auto Show Debut,https://www.motortrend.com/news/2020-toyota-supra-coming-detroit-auto-show/,Motor Trend,2018-10-31T11:50:00.0000000Z
30,The new <b>Toyota</b> Supra sports car is almost here-and we mean it this time. <b>Toyota</b> has finally given an official release date for the highly anticipated return of the Supra nameplate: It will make its debut in <b>January</b> 2019 at the Detroit auto show. After that ...,The 2020 <b>Toyota</b> Supra Is Finally Officially Debuting in <b>January</b> at the Detroit Auto Show,https://www.yahoo.com/news/2020-toyota-supra-finally-officially-194500049.html,YAHOO!,2018-10-31T04:00:00.0000000Z
31,"... company officially announced it plans to debut the long-awaited return of <b>Toyota</b>’s beloved sports car at the North American International Auto Show in Detroit in <b>January</b>. <b>Toyota</b> has been trolling Supra fans for some time, really whipping them into a ...",<b>Toyota</b> Makes It Official: New Supra Bows at Detroit Auto Show,http://www.thedetroitbureau.com/2018/10/toyota-makes-it-official-new-supra-bows-at-detroit-auto-show/,TheDetroitBureau,2018-10-30T21:34:00.0000000Z
32,"The new 2019 <b>Toyota</b> Supra will finally be revealed at the 2019 Detroit Auto Show in <b>January</b>, the firm has announced. This at last confirms what even it admits is “one of the auto industry’s worst-kept secrets”. The new A90 Supra will be a headliner ...",Finally! <b>Toyota</b> Supra production car to debut at Detroit 2019 show in <b>January</b>,https://www.msn.com/en-us/autos/detroit/finally-toyota-supra-production-car-to-debut-at-detroit-2019-show-in-january/ar-BBP7CZj,MSN,2018-10-30T20:38:00.0000000Z
33,The new <b>Toyota</b> Supra sports car is almost here—and we mean it this time. <b>Toyota</b> has finally given an official release date for the highly anticipated return of the Supra nameplate: It will make its debut in <b>January</b> 2019 at the Detroit auto show.,The 2020 <b>Toyota</b> Supra Is Finally Officially Debuting in <b>January</b> at the Detroit Auto Show,https://www.caranddriver.com/news/2020-toyota-supra-photos-info,Car and Driver,2018-10-30T20:05:00.0000000Z
34,"but Tuesday <b>Toyota</b> finally confirmed when we&#39;ll see the car. The 2020 Supra will debut in <b>January</b> at the 2019 Detroit Auto Show, <b>Toyota</b> said in a press release. As <b>Toyota</b> describes it, that debut date is, &quot;one of the worst-kept secrets in the auto industry.&quot;",It&#39;s (finally) official: 2020 <b>Toyota</b> Supra to debut at Detroit Auto Show,https://www.cnet.com/roadshow/news/2020-toyota-supra-detroit-auto-show-debut/,CNET,2018-10-30T18:58:00.0000000Z
35,<b>Toyota</b> plans to revive the Supra sports car and reveal the 2020 production model at the Detroit auto show in <b>January</b>. The Japanese automaker on Tuesday confirmed what it called &quot;one of the worst-kept secrets in the auto industry&quot;: The Supra is back from ...,<b>Toyota</b> Supra is back: 2020 Supra will be revealed at Detroit auto show in <b>January</b>,https://www.wusa9.com/article/news/nation-now/toyota-supra-is-back-2020-supra-will-be-revealed-at-detroit-auto-show-in-january/465-34f6e10f-2ab1-4ecb-87e0-1f252a935557,WUSA,2018-10-30T18:49:00.0000000Z
36,"<b>Toyota</b> will lift the veil on its Supra in <b>January</b>. It&#39;s been a long time in the making, but <b>Toyota</b> confirmed this week that the production version of its Supra sports car will make its global debut at the 2019 Detroit auto show. We&#39;ve heard plenty of ...",<b>Toyota</b> Supra to make production debut in Detroit,https://www.leftlanenews.com/toyota-supra-to-make-production-debut-in-detroit-101508.html,Leftlane,2018-10-02T21:10:00.0000000Z
37,"Just stay patient until <b>January</b> when, according to the Facebook channel operated by <b>Toyota</b>’s German subsidiary, the Supra will make its appearance at the North American International Auto Show in Detroit. We’re waiting for full confirmation from <b>Toyota</b> ...",<b>Toyota</b> Supra Set to Debut at 2019 Detroit Auto Show,http://www.thedetroitbureau.com/2018/10/toyota-supra-set-to-debut-at-2019-detroit-auto-show/,TheDetroitBureau,2018-10-02T18:07:00.0000000Z
