,description,headline,url,provider,date
0,"A ridiculous commercial first was posted to YouTube in <b>July</b> 2017 and it recently became viral once again ... a first for the Corolla Sedan in Europe. <b>Toyota</b> says that compared with the previous version, the instrument panel, cowl, hood and beltline ...",Guangzhou 2018: <b>Toyota</b> Debuts All-New Corolla Sedan,http://opticxllyaroused.com/2018/11/17/guangzhou-2018-toyota-debuts-all-new-corolla-sedan.html,opticxllyaroused.com,2018-11-17T10:38:00.0000000Z
1,MazdaUSA @<b>Toyota</b> #MadeinAL pic.twitter.com/sczzMlISdk ... Wheeler has been running EPA since former Administrator Scott Pruitt resigned in <b>July</b> under a cloud of ethics scandals.,Ivey welcomes <b>Toyota</b> and Mazda executives for auto assembly plant groundbreaking ceremony in Huntsville,https://yellowhammernews.com/ivey-welcomes-toyota-and-mazda-executives-for-auto-assembly-plant-groundbreaking-ceremony-in-huntsville/,Yellowhammer News,2018-11-16T22:43:00.0000000Z
2,"Wayne, IN at Foellinger Theatre <b>July</b> 3 — Kettering, OH at Fraze Pavilion <b>July</b> 5 ... CA at Memorial Auditorium Aug. 13 — Wenatchee, WA at Town <b>Toyota</b> Center Aug. 14 — Troutdale, OR at Edgefield Aug. 16 — Seattle, WA at Paramount Theatre Aug ...","Weird Al Yankovic Promo Code for General Admission (GA) Tickets, Floor Seats, Front Row Seats at Capital City Tickets",https://capitalcitytickets.net/2018/11/16/weird-al-yankovic-promo-code-for-general-admission-ga-tickets-floor-seats-front-row-seats-at-capital-city-tickets/,capitalcitytickets.net,2018-11-16T07:44:00.0000000Z
3,"As of now <b>Toyota</b> has been largely unscathed, or even has actually benefited from the U.S.-China trade war. While China in <b>July</b> increased the levy on vehicles imported from the U.S. to 40 percent, it almost simultaneously lowered the duty on other imported ...",World’s Best-Selling Car Gets a Makeover as <b>Toyota</b> Bets on China,https://www.bloomberg.com/news/articles/2018-11-15/world-s-best-selling-car-gets-facelift-in-toyota-s-china-gamble,Bloomberg L.P.,2018-11-15T16:00:00.0000000Z
4,"Trade War As of now <b>Toyota</b> has been largely unscathed, or even has actually benefited from the U.S.-China trade war. While China in <b>July</b> increased the levy on vehicles imported from the U.S. to 40 percent, it almost simultaneously lowered the duty on other ...",World&#39;s Best-Selling Car Gets Facelift in <b>Toyota</b>&#39;s China Gamble,https://www.msn.com/en-us/finance/companies/worlds-best-selling-car-gets-facelift-in-toyotas-china-gamble/ar-BBPKi92,Bloomberg,2018-11-15T16:28:00.0000000Z
5,"Zacks Investment Research raised <b>Toyota</b> Motor from a “hold” rating to a “strong-buy” rating and set a $149.00 price objective for the company in a research report on Tuesday, <b>July</b> 17th. ValuEngine lowered <b>Toyota</b> Motor from a “hold” rating to a ...",Analysts Set <b>Toyota</b> Motor Corp (TM) Target Price at $130.00,https://theenterpriseleader.com/2018/11/12/analysts-set-toyota-motor-corp-tm-target-price-at-130-00.html,theenterpriseleader.com,2018-11-14T00:49:00.0000000Z
6,"A Fort Myers man is faces charges of Vehicular Homicide and DUI Manslaughter related to a <b>July</b> crash in south Fort Myers. According to Florida Highway Patrol, Timothy Spinelli, 23, lost control of his <b>Toyota</b> Corolla on a curve which then rolled over and ...",Driver faces charge of DUI Manslaughter in <b>July</b> crash killing a bicyclist,http://www.winknews.com/2018/11/13/driver-faces-charge-of-dui-manslaughter-in-july-crash-killing-a-bicyclist/,WINK News,2018-11-13T14:27:00.0000000Z
7,"Zacks Investment Research upgraded <b>Toyota</b> Motor from a “hold” rating to a “strong-buy” rating and set a $149.00 price target for the company in a research note on Tuesday, <b>July</b> 17th. ValuEngine downgraded <b>Toyota</b> Motor from a “hold” rating to a ...",<b>Toyota</b> Motor Corp (TM) Given Average Rating of “Hold” by Brokerages,https://www.dispatchtribunal.com/2018/11/12/toyota-motor-corp-tm-given-average-rating-of-hold-by-brokerages.html,dispatchtribunal.com,2018-11-13T03:31:00.0000000Z
8,"<b>Toyota</b> sold 2.183 million vehicles in <b>July</b>-September, up from 2.175 million vehicles the same period a year earlier. Vehicle sales slipped in the U.S. and Japan but improved in Europe, the rest of Asia and Central and South America. The company stuck to ...","<b>Toyota</b> quarterly profit rises on growing sales, cost cuts",http://www.wbtv.com/2018/11/06/toyota-quarterly-profit-rises-growing-sales-cost-cuts/,WBTV,2018-11-06T20:39:00.0000000Z
9,"<b>Toyota</b> then updated the software. In <b>July</b> 2015, <b>Toyota</b> recalled 108,624 Prius V models from 2012–2014 for the same issue and again updated the software. The new recall involves all cars from both previous recalls, and <b>Toyota</b> will try a third time with ...","<b>Toyota</b> Recalls 975,000 Cars for Stalling and Airbag Defects",https://www.yahoo.com/news/toyota-recalls-975-000-cars-140100558.html,YAHOO!,2018-10-11T18:09:00.0000000Z
