,description,headline,url,provider,date
0,"A development like the Mazda <b>Toyota</b> auto plant was long the vision of Huntsville officials as it secured the remote land and prepared it for business by earning designation as a TVA Mega Site in <b>June</b> 2016. Less than three years later, the groundbreaking ...",Mazda <b>Toyota</b> breaks ground in Huntsville: ‘I wish we could begin production tomorrow’,https://www.al.com/news/2018/11/mazda-toyota-break-ground-in-huntsville-i-wish-we-could-begin-production-tomorrow.html,al.com,2018-11-17T04:57:00.0000000Z
1,"MazdaUSA @<b>Toyota</b> #MadeinAL pic.twitter.com/sczzMlISdk ... Dismukes and Green joined the team closer to the <b>June</b> primary elections, with McCutcheon and Ledbetter praising their contributions ...",Ivey welcomes <b>Toyota</b> and Mazda executives for auto assembly plant groundbreaking ceremony in Huntsville,https://yellowhammernews.com/ivey-welcomes-toyota-and-mazda-executives-for-auto-assembly-plant-groundbreaking-ceremony-in-huntsville/,Yellowhammer News,2018-11-16T22:43:00.0000000Z
2,"Starting off with a salvaged 20mm cannon from an F-16, a lot of work went into getting it working and mounted to one of <b>Toyota</b>’s hybrid electric go ... The project, which started in <b>June</b>, took hundreds of hours of work and had some complications to ...",The curious case of an M61 Vulcan 20mm cannon-equipped <b>Toyota</b> Prius (VIDEOS),https://www.guns.com/news/2018/11/16/the-curious-case-of-an-m61-vulcan-20mm-cannon-equipped-toyota-prius-videos,Guns.com,2018-11-16T15:59:00.0000000Z
3,"LA at Saenger Theatre <b>June</b> 14 — Irving, TX at The Pavilion at <b>Toyota</b> Music Factory <b>June</b> 15 — The Woodlands, TX at Cynthia Woods Mitchell Pavilion <b>June</b> 16 — San Antonio, TX at Majestic Theatre <b>June</b> 18 — Austin, TX at Bass Concert Hall <b>June</b> 20 ...","Weird Al Yankovic Promo Code for General Admission (GA) Tickets, Floor Seats, Front Row Seats at Capital City Tickets",https://capitalcitytickets.net/2018/11/16/weird-al-yankovic-promo-code-for-general-admission-ga-tickets-floor-seats-front-row-seats-at-capital-city-tickets/,capitalcitytickets.net,2018-11-16T07:44:00.0000000Z
4,"<b>Toyota</b> issued a teaser of the new sedan Corolla twelfth generation ... he served about seven months in Afghanistan, from November 2010 to <b>June</b> 2011. Authorities searched Long&#39;s home in Newbury Park, about 5 miles from the Borderline bar, for clues to ...",<b>Toyota</b> Corolla sedan to be unveiled this week,http://hbucollegian.com/2018/11/toyota-corolla-sedan-to-be-unveiled-this-week/,The Collegian,2018-11-15T06:31:00.0000000Z
5,"It was the dark of the moon on the sixth of <b>June</b> in a <b>Toyota</b> with no fumes. Add a Nikola Tre with a reefer on and a Hyundai haulin’ hogs. Wait a minute... no fumes? In 2016, medium and heavy-duty trucks accounted for 23% of transportation-related ...",The $25 Billion Secret Behind &quot;Project Portal&quot;,https://www.energyandcapital.com/articles/the-25-billion-secret-behind-project-portal/6580,Energy and Capital,2018-11-14T20:15:00.0000000Z
6,"LA @ Saenger Theatre <b>June</b> 14 -- Irving, TX @ The Pavilion at <b>Toyota</b> Music Factory <b>June</b> 15 -- The Woodlands, TX @ Cynthia Woods Mitchell Pavilion <b>June</b> 16 -- San Antonio, TX @ Majestic Theatre <b>June</b> 18 -- Austin, TX @ Bass Concert Hall <b>June</b> 20 -- Memphis ...",Weird Al Announces 2019 Strings Attached Tour With Full Orchestra: See the Dates,https://www.msn.com/en-us/music/news/weird-al-announces-2019-strings-attached-tour-with-full-orchestra-see-the-dates/ar-BBPD4lD,Billboard,2018-11-12T18:51:00.0000000Z
7,"runs from this May to next <b>June</b> so the Chinese event, held at the 5.451km Shanghai International Circuit, marks not only the start of the second half of the season, but also the final round of this calendar year. <b>TOYOTA</b> GAZOO Racing travels to Shanghai in ...",Chinese challenge for <b>TOYOTA</b> GAZOO Racing,https://www.automotiveworld.com/news-releases/chinese-challenge-for-toyota-gazoo-racing/,Automotive World,2018-11-12T12:55:00.0000000Z
8,"Costa Rica, the top seed in Group B, will return to DFW as Group B comes to <b>Toyota</b> Stadium on <b>June</b> 20 for the second round of games. The Ticos notched a 3-0 win over French Guiana in the group stage last year, while Canada and Honduras played to a ...",<b>Toyota</b> Stadium welcomes Costa Rica for the 2019 Concacaf Gold Cup,https://sportsday.dallasnews.com/soccer/soccer/2018/10/09/toyota-stadium-welcomes-costa-rica-2019-concacaf-gold-cup,The Dallas Morning News,2018-10-09T15:34:00.0000000Z
9,"there is an increased risk of a vehicle fire,&quot; a <b>Toyota</b> spokesman in Tokyo told CNN on Wednesday. He declined to comment on whether the defects have resulted in any injuries or deaths. The recall applies to cars produced between <b>June</b> 2015 and May 2018.",<b>Toyota</b> is recalling 1 million hybrids at risk of catching fire,https://money.cnn.com/2018/09/05/news/companies/toyota-prius-recall/index.html,CNN Money,2018-09-05T12:22:00.0000000Z
