,description,headline,url,provider,date
0,"Below are the exclusive details: - WWE Elimination Chamber will take place in Houston, TX on February 17th at The <b>Toyota</b> Center - WWE Fast Lane will take place in Cleveland, OH on <b>March</b> 10th at The Quickens Loans Arena This year&#39;s WWE Tribute To The Troops ...",Exclusive Details on Next Year&#39;s Fast Lane &amp; Elimination Chamber,https://allwrestling.com/news/120809/exclusive-details-next-year-fast/,All Wrestling,2018-11-17T13:43:00.0000000Z
1,"Like the five-door 2019 Corolla Hatchback that debuted in <b>March</b>, the four-door is built using <b>Toyota</b>’s New Global Architecture and is styled to banish any memories of its benignly inoffensive predecessors that delivered the emotional fulfillment of a ...",<b>Toyota</b> adds style to 2020 Corolla,https://www.bendbulletin.com/business/6692075-151/toyota-adds-style-to-2020-corolla,The Bulletin,2018-11-17T00:40:00.0000000Z
2,"We’re excited by what the Corolla will offer when the first one ships, probably in <b>March</b>: Honda has a roughly similar set of tools on the Civic through Honda Sensing, which is also standard. Neither offers a blind spot detection system. <b>Toyota</b> has the ...",2020 <b>Toyota</b> Corolla Shames Luxury Sedans With Standard Safety Suite,https://www.extremetech.com/extreme/280737-2020-toyota-corolla-shames-luxury-sedans-with-standard-safety-suite,ExtremeTech,2018-11-16T15:17:00.0000000Z
3,"<b>Toyota</b> is throttling back one of its three production ... to new supply streams after the motion kicks in at the end of <b>March</b>. At least the British government still has, what, four months out ...",<b>Toyota</b> Is Slowing Camry Production Due to Slumping Sedan Sales,https://jalopnik.com/toyota-is-slowing-camry-production-due-to-slumping-seda-1830488828,Jalopnik,2018-11-16T15:14:00.0000000Z
4,<b>Toyota</b> says these changes have reduced front and rear suspension ... The models outlined here will begin arriving in Canadian dealerships next <b>March</b>.,Preview: 2020 <b>Toyota</b> Corolla Sedan,https://www.msn.com/en-ca/autos/other/preview-2020-toyota-corolla-sedan/ar-BBPL6bs,autoTRADER.ca,2018-11-16T14:55:00.0000000Z
5,"But, if <b>Toyota</b>’s strategy works, it could be well-positioned for a rebound in passenger car sales. The plan will start being tested when the 2020 <b>Toyota</b> Corolla rolls into U.S. showrooms next <b>March</b>.","In an SUV Market, <b>Toyota</b> Intent on Boosting Demand for All-New 2020 Corolla",http://www.thedetroitbureau.com/2018/11/in-an-suv-market-toyota-intent-on-boosting-demand-for-all-new-2020-corolla/,TheDetroitBureau,2018-11-16T07:10:00.0000000Z
6,"In the U.S., the Model 3 has become a best-seller, beating all but a handful of <b>Toyota</b> and Honda sedans during the third quarter. Zwickau is set to start making six different electric models from ...",VW builds Europe&#39;s biggest electric-car plant to halt Tesla&#39;s <b>march</b>,http://europe.autonews.com/article/20181115/ANE/181119837/vw-builds-europes-biggest-electric-car-plant-to-halt-teslas-march,Automotive News Europe,2018-11-15T17:19:00.0000000Z
7,New hatchback <b>Toyota</b> Corolla for the American market introduced in <b>March</b>. The model will come with either a 6-speed manual gearbox or a CVT transmission. It also remains to be seen how many of these goodies will be offered on the India-spec Corolla.,<b>Toyota</b> Corolla Sedan Teaser Too Extra,http://iphonefresh.com/2018/11/15/toyota-corolla-sedan-teaser-too-extra.html,iphonefresh.com,2018-11-15T06:45:00.0000000Z
8,The automaker revealed the hybrid flex-fuel prototype in Brazil last <b>March</b>. The prototype was a Prius with a combustion engine and system modified for the biofuel. <b>Toyota</b> says that the system significantly lowers CO2 emissions from the vehicle. The ...,<b>Toyota</b> Bringing an Ethanol Hybrid Car to Market,https://www.hybridcars.com/toyota-bringing-ethanol-hybrid-car-market/,Hybrid Cars,2018-11-14T13:26:00.0000000Z
9,"Four other drawings will take place. The six semifinalists will gather at Rice <b>Toyota</b> in <b>March</b> and one lucky winner will drive away with a brand new car. &quot;She stopped the meeting she was in,&quot; campaign director Julia Thomas said of notifying one of those ...","Give $100 to the United Way, get a chance to win a new <b>Toyota</b>",https://www.greensboro.com/news/local_news/give-to-the-united-way-get-a-chance-to-win/article_9f819510-facc-5eef-bd85-556e12770c8d.html,News &amp; Record,2018-11-14T01:46:00.0000000Z
10,The band also added February and <b>March</b> 2019 tour dates. Galactic will release a new studio album entitled ‘Already Ready Already’ in February and will support the LP with an early-2019 tour. JamBase and CID Presents are teaming up to give away a trip ...,“Weird Al” Yankovic at Town <b>Toyota</b> Center,https://www.jambase.com/show/weird-al-yankovic-town-toyota-center-20190813,JamBase,2018-11-13T18:21:00.0000000Z
