,description,headline,url,provider,date
0,"The Corolla is the best selling <b>Toyota</b> product till date, thanks to its refined petrol engine along with a comfortable and feature-laden cabin. While the last generation Corolla <b>may</b> not be as much a looker as the Altis, it for sure is super reliable.","Honda Civic to <b>Toyota</b> Corolla: 6 hassle-free, used luxury cars at the price of a Renault Kwid",https://www.cartoq.com/honda-civic-to-toyota-corolla-6-hassle-free-used-luxury-cars-at-the-price-of-a-renault-kwid/,cartoq.com,2018-11-18T05:16:00.0000000Z
1,"The Sapphire stage was then set to determine how <b>Toyota</b> would play its team orders, with hopes that the wet, slippery conditions <b>may</b> catch Ogier out and give Tanak a sniff at the title. However it was Tanak that was ultimately caught out, his Yaris left ...","Rally Australia: Latvala wins as Ogier, <b>Toyota</b> claim WRC titles",https://sg.news.yahoo.com/rally-australia-latvala-wins-ogier-033213234.html,Yahoo News Singapore,2018-11-18T04:14:00.0000000Z
2,"Yes really, a <b>Toyota</b> Prius. The fine folks over at Black Rifle Coffee ... Black Rifle Coffee teamed up with weapons restoration experts Hamilton &amp; Sons and Battlefield Vegas, which you <b>may</b> remember from a few years back when they offered an insane $1,000 ...","Some Maniacs Mounted A Vulcan Cannon From A F-16 On To A <b>Toyota</b> Prius, See It In All It’s Brrrt Glory",https://brobible.com/gear/article/vulcan-cannon-toyota-prius-black-rifle/,BroBible,2018-11-18T01:06:00.0000000Z
3,"Section 232 Still, there <b>may</b> be reasons for auto industry executives to relax a ... and crippling uncertainty stagnating an otherwise humming economy.&quot; For his part, <b>Toyota</b> brand boss Hollis told CNBC the automaker estimated that enacting 232 sanctions ...","Hit hard by trade war, automakers hoping Trump will hold off on new round of tariffs",https://www.msn.com/en-us/finance/markets/hit-hard-by-trade-war-automakers-hoping-trump-will-hold-off-on-new-round-of-tariffs/ar-BBPOjRn,CNBC,2018-11-17T21:36:00.0000000Z
4,<b>Toyota</b> always intended to go for extra qualifying ... It had to start a lap down at Spa in <b>May</b> after a procedural irregularity and then from the back of the P1 field at Fuji for a pitlane-speeding ...,WEC Shanghai: <b>Toyota</b> planned more qualifying runs due to privateers,https://uk.sports.yahoo.com/news/shanghai-6-hours-toyota-always-112622331.html,Yahoo Sports,2018-11-17T18:45:00.0000000Z
5,"I think longer term it <b>may</b> make sense to either go back to OEM engines or across ... It’s a huge pride point for us as an automotive company, as with Chevy and <b>Toyota</b>, but especially with our roots and Mr. Ford’s family’s roots in terms of what ...",Ford Performance NASCAR: Mark Rushbrook OEM Transcript,http://www.speedwaymedia.com/2018/11/17/ford-performance-nascar-mark-rushbrook-oem-transcript/,SpeedwayMedia,2018-11-17T18:09:00.0000000Z
6,"<b>May</b> was the worst month, with 28.3 percent fewer deals on average ... that could be expensive to fix,” said Brandon Grade, Service Advisor at Findlay <b>Toyota</b> in Las Vegas, Nevada. “Personally, I try and steer people towards a certified pre-owned ...",Best Time To Buy A Car? The Holiday Season Might Be One,https://www.automoblog.net/2018/11/17/automoblog-depth-holidays-good-time-buy-car/,Automoblog.net,2018-11-17T16:30:00.0000000Z
7,"For the first time since Game 7 of <b>May</b>’s Western Conference Finals, the Warriors return to the scene of the crime, when the team stole Game 7 on Houston’s home floor at the <b>Toyota</b> Center. A win tonight will bring the Rockets to .500 and cement their ...",Game thread: Rockets vs. Warriors,https://www.thedreamshake.com/2018/11/15/18097611/game-thread-golden-state-warriors-vs-houston-rockets-nba,The Dream Shake,2018-11-17T16:18:00.0000000Z
8,"The 2020 Corolla&#39;s roofline <b>may</b> be lower, but <b>Toyota</b> promises there&#39;s still plenty of headroom. Expect a front seat with an improved driving position and a spacious rear seat with more than enough legroom for passengers. The current Corolla&#39;s 1.8-liter I-4 ...",2020 <b>Toyota</b> Corolla Sedan: 10 Things to Know,https://www.msn.com/en-ca/autos/news/2020-toyota-corolla-sedan-10-things-to-know/ar-BBPO31a,Motor Trend Canada,2018-11-17T13:40:00.0000000Z
9,<b>Toyota</b> Motorsport GmbH technical director Pascal ... It had to start a lap down at Spa in <b>May</b> after a procedural irregularity and then from the back of the P1 field at Fuji for a pitlane speeding ...,<b>Toyota</b> needed extra runs to counter privateer threat,https://sports.yahoo.com/toyota-needed-extra-runs-counter-122640942.html,Yahoo Sports,2018-11-17T12:45:00.0000000Z
