,description,headline,url,provider,date
0,"This year, they&#39;re <b>November</b> 23 and 26. &quot;The union feels that the only action ... are the only items that allow players to reactivate their gliders now. <b>Toyota</b> Camry and Avalon TRDs are enthusiast-focused Toyotas From there, the changes are model specific ...",Postal union says positives in latest Crown offer,http://precisionresearchandconsulting.com/2018/11/postal-union-says-positives-in-latest-crown-offer/,precisionresearchandconsulting.com,2018-11-18T03:26:00.0000000Z
1,"WWE decided to bring the match back for NXT TakeOver event that took place on <b>November</b> 18, 2017 at the <b>Toyota</b> Center in Houston, Texas and aired on the WWE Network. Sanity vs. Undisputed Era vs. Authors Of Pain &amp; Roderick Strong served as the main event in ...","War Raiders, Ricochet &amp; Pete Dunne Win WarGames Match",https://www.sescoops.com/war-raiders-ricochet-pete-dunne-win-wargames-match/,SEScoops,2018-11-18T02:47:00.0000000Z
2,"Both cars get <b>Toyota</b>&#39;s 3.5-liter V6 engine ... He said he was called to the beach by concerned onlookers on <b>November</b> 8. DeVos Proposes Overhaul to Campus Sexual Misconduct Rules The proposal raises the bar for proving that failure, saying schools must ...",<b>Toyota</b> Camry and Avalon get the TRD treatment,http://cybersecuritycaucus.com/2018/11/toyota-camry-and-avalon-get-the-trd-treatment/,cybersecuritycaucus.com,2018-11-18T01:23:00.0000000Z
3,"<b>November</b> 17, 2018 8:05pm EST <b>November</b> 17 ... (5) Austin Cindric #, Ford, 200. 6. (12) Ryan Preece, <b>Toyota</b>, 200. 7. (6) Justin Allgaier, Chevrolet, 200. 8. (8) Brandon Jones, <b>Toyota</b>, 199. 9. (14) Michael Annett, Chevrolet, 199. 10. (9) Matt Tifft, Chevrolet ...",Tyler Reddick wins at Homestead in stunning Xfinity championship run,http://www.sportingnews.com/us/nascar/news/tyler-reddick-wins-xfinity-championship-for-jr-motorsports-at-homestead-dale-earnhardt-jr/17si777kt9x3s1i7k3k4x78pha,Sporting News,2018-11-18T01:18:00.0000000Z
4,"A Nevada High Patrol vehicle was hit by a <b>Toyota</b> SUV in Mound House on US-50 on Saturday, <b>November</b> 17. NHP says that both vehicles were traveling westbound at the time of the crash. The driver of ...",NHP patrol vehicle hit by driver suspected of impairment on US-50,https://mynews4.com/news/local/nhp-patrol-vehicle-hit-by-driver-suspected-of-impairment-on-us-50,KRNV News 4,2018-11-18T00:26:00.0000000Z
5,"<b>Toyota</b> Camry and Avalon TRDs are enthusiast-focused Toyotas ... Trump denies questioning VP&#39;s allegiance, says Pence is &#39;100% loyal&#39; In a post-midterm press conference <b>November</b> 7, Trump asked Pence publicly if he would be his running mate.",Fortnite’s 6.30 update brings Food Fight Limited Time Mode,http://precisionresearchandconsulting.com/2018/11/fortnite-s-6-30-update-brings-food-fight-limited-time-mode/,precisionresearchandconsulting.com,2018-11-18T00:07:00.0000000Z
6,<b>Toyota</b> Camry and Avalon get the TRD treatment Stiffer tuning ... He said he was called to the beach by concerned onlookers on <b>November</b> 8. DeVos Proposes Overhaul to Campus Sexual Misconduct Rules The proposal raises the bar for proving that failure ...,Fortnite NFL Skins Reportedly Removed from the Game&#39;s Store,http://cybersecuritycaucus.com/2018/11/fortnite-nfl-skins-reportedly-removed-from-the-games-store/,cybersecuritycaucus.com,2018-11-18T00:04:00.0000000Z
7,"A modern twist on festive shows The Guardian - 16:00 PM GMT <b>November</b> 17, 2018 2020 <b>Toyota</b> Camry and Avalon TRD seek to shed stodgy stereotypes - Roadshow CNET News - 17:08 PM GMT <b>November</b> 16, 2018 How Misty Copeland Is Shattering Stereotypes And ...","&#39;Women love shopping, men like cars&#39;: DR MICHAEL MOSLEY on the truth behind those gender stereotypes",https://www.newsoneplace.com/7954811809/dr-michael-mosley-women-shopping-gender-stereotypes,newsoneplace.com,2018-11-17T22:20:00.0000000Z
8,"If anything, President Trump turned up the heat, also targeting GM, <b>Toyota</b> and other automakers in his steady ... the two sides on economics and trade have resumed following the <b>November</b> 1 conversation between the Chinese and American heads of state.&quot;","Hit hard by trade war, automakers hoping Trump will hold off on new round of tariffs",https://www.msn.com/en-us/finance/markets/hit-hard-by-trade-war-automakers-hoping-trump-will-hold-off-on-new-round-of-tariffs/ar-BBPOjRn,CNBC,2018-11-17T21:36:00.0000000Z
9,"DRIVER: Martin Truex Jr. TEAM: No. 78 <b>Toyota</b>, Furniture Row Racing NOTES: Truex was strong this season with four wins but far from as dominant as he was a year ago when he won his first championship. Truex is trying to send Furniture Row Racing out a ...",A look at the 4 drivers in NASCAR’s championship race,https://www.thenewstribune.com/sports/article221837000.html,The News Tribune,2018-11-17T19:09:00.0000000Z
10,"The pole-winning No. 11 Joe Gibbs Racing team, with driver Denny Hamlin, selected the No. 4 pit stall giving the No. 1 slot... Championship 4 driver Joey Logano was fastest in the second practice session for the Monster Energy NASCAR Cup Series Ford ...",Ford EcoBoost 300 Lineup,https://www.mrn.com/2018/11/17/ford-ecoboost-300-lineup/,mrn.com,2018-11-17T18:55:00.0000000Z
11,"Granted, the declining sales isn’t that big to cause a panic on <b>Toyota</b>’s part, but it’s clear that the Mirai’s novelty is wearing off now that the hybrid and all-electric car markets are expanding. Even more telling is the fact that <b>November</b> 2017 ...",Here Are the Cars <b>Toyota</b> Might Kill Off,https://www.topspeed.com/cars/car-news/here-are-the-cars-toyota-might-kill-off-ar183366.html,Top Speed,2018-11-17T17:15:00.0000000Z
12,And data shows that a half million electric cars will have been sold in California by the end of <b>November</b>. Several automakers discussed ... show certainly won&#39;t have a range higher than 25 miles. <b>Toyota</b> hinted at a new hybrid version of its steadfast ...,"Tesla Model 3s, electric pickup, LA debuts, and wind power: The Week in Reverse",https://www.greencarreports.com/news/1119991_tesla-model-3s-electric-pickup-la-debuts-and-wind-power-the-week-in-reverse,Green Car Reports,2018-11-17T16:45:00.0000000Z
13,"Last year, the <b>November</b> Dealer DataView index found dealerships see an ... Service Advisor at Findlay <b>Toyota</b> in Las Vegas, Nevada. “Personally, I try and steer people towards a certified pre-owned vehicle that comes with a warranty.”",Best Time To Buy A Car? The Holiday Season Might Be One,https://www.automoblog.net/2018/11/17/automoblog-depth-holidays-good-time-buy-car/,Automoblog.net,2018-11-17T16:30:00.0000000Z
14,"But, those guys, they kill it,” Moffitt concluded. HOMESTEAD, FL – <b>NOVEMBER</b> 16: Brett Moffitt, driver of the #16 AISIN Group <b>Toyota</b>, celebrates with a burnout after winning the NASCAR Camping World Truck Series Ford EcoBoost 200 and the NASCAR Camping ...",Shigeaki Hattori Racing is the small NASCAR team that won it all: Brett Moffitt – 2018 NASCAR Truck champion,https://racingnews.co/2018/11/17/shigeaki-hattori-racing-did-the-impossible-2018-nascar-truck-series-champion-brett-moffitt/,https//racingnews.co,2018-11-17T15:30:00.0000000Z
15,"Busch is racing for a championship, Hamlin is not. HOMESTEAD, FL – <b>NOVEMBER</b> 16: Kyle Busch, driver of the #18 M&amp;M’s <b>Toyota</b>, walks through the garage area during practice for the Monster Energy NASCAR Cup Series Ford EcoBoost 400 at Homestead-Miami ...",Denny Hamlin grabbed the pole at Homestead; Will he leave the first pit stall for his teammate?,https://racingnews.co/2018/11/17/denny-hamlin-grabbed-the-pole-at-homestead-will-he-leave-the-first-pit-stall-for-his-teammate/,https//racingnews.co,2018-11-17T14:23:00.0000000Z
16,"On Thursday at <b>Toyota</b> Center, the Rockets (7-7) throttled the defending champion Golden State Warriors to record their sixth victory in eight games. There are no landmark triumphs in mid-<b>November</b>, but for a team that opened the season with just one win ...",Rockets hope to continue upswing vs. Kings,https://www.cbssports.com/nba/gametracker/preview/NBA_20181117_SAC@HOU/,CBSSports.com,2018-11-17T13:40:00.0000000Z
17,<b>Toyota</b> says the hybrid sedan will be offered in &quot;more than ... Two receptions are reportedly scheduled for later this month - in Bengaluru on <b>November</b> 21 and in Mumbai on <b>November</b> 28. Warriors offering $100 monthly pass with no view of court The &quot;In ...,<b>Toyota</b> Corolla hybrid will join Prius next year,http://thefootballexaminer.com/2018/11/17/toyota-corolla-hybrid-will-join-prius-next-year/,thefootballexaminer.com,2018-11-17T05:26:00.0000000Z
18,"<b>November</b> 17, 2018 12:11am EST <b>November</b> 17 ... but that didn’t deter the driver of the No. 16 <b>Toyota</b> from battling Gragson from a restart on Lap 68 until he finally prevailed on Lap 99 — after two concerted runs at his rival for the title.",Brett Moffitt cruises to first NASCAR Truck Series title at Homestead,http://www.sportingnews.com/us/nascar/news/brett-moffitt-wins-first-nascar-truck-series-title-at-homestead/z62nwy339ju810yocwahzl1k3,Sporting News,2018-11-17T05:14:00.0000000Z
19,"For the first time in the United States, the Corolla will be offered in hybrid for more fuel efficiency to its list of accolades that will be revealed at the LA Auto Show on <b>November</b> 28. The 12th-generation <b>Toyota</b> Corolla made its arrival in two chapters ...",New <b>Toyota</b> Corolla with More Tech than Before,https://www.autoconnectedcar.com/2018/11/new-toyota-corolla-closer-to/,autoconnectedcar.com,2018-11-17T00:08:00.0000000Z
20,"If you’re hoping to get the full federal tax credit for the Model 3, Tesla CEO Elon Musk has announced that you have until the end of <b>November</b> to order your Model ... to get the full $7,500 tax credit 2020 <b>Toyota</b> Corolla sedan to debut on Nov 16 2020 ...",Order your Tesla Model 3 by Nov 30 to get the full tax credit,https://www.thetorquereport.com/tesla/order-your-tesla-model-3-by-nov-30-to-get-the-full-tax-credit/,The Torque Report,2018-11-17T02:06:00.0000000Z
21,"MazdaUSA @<b>Toyota</b> #MadeinAL pic.twitter.com/sczzMlISdk — Governor Kay Ivey (@GovernorKayIvey) <b>November</b> 16, 2018 Ivey welcomed the <b>Toyota</b> and Mazda executives saying, “Not only is Mazda <b>Toyota</b> ...",Alabama unemployment remains stable at 4.1 percent — Record number of people working for sixth-consecutive month,https://yellowhammernews.com/alabama-unemployment-remains-stable-at-4-1-percent-record-number-of-people-working-for-sixth-consecutive-month/,Yellowhammer News,2018-11-17T00:04:00.0000000Z
22,"In addition to the Toyotathon sales event, Bob Tyler <b>Toyota</b> will also be hosting a Cyber Monday sale on Monday, <b>November</b> 26 giving shoppers the chance for extra savings and an available $1,000 coupon. To learn more about the models available during the ...",Bob Tyler <b>Toyota</b> Offers Deals on New Vehicles During the Toyotathon Sales Event,https://www.bizjournals.com/orlando/prnewswire/press_releases/Florida/2018/11/16/UN77172,The Business Journals,2018-11-16T23:30:00.0000000Z
23,"MazdaUSA @<b>Toyota</b> #MadeinAL pic.twitter.com/sczzMlISdk — Governor Kay Ivey (@GovernorKayIvey) <b>November</b> 16, 2018 Ivey welcomed the <b>Toyota</b> and Mazda executives saying, “Not only is Mazda <b>Toyota</b> ...",Ivey welcomes <b>Toyota</b> and Mazda executives for auto assembly plant groundbreaking ceremony in Huntsville,https://yellowhammernews.com/ivey-welcomes-toyota-and-mazda-executives-for-auto-assembly-plant-groundbreaking-ceremony-in-huntsville/,Yellowhammer News,2018-11-16T22:43:00.0000000Z
24,"With a video teasing its on- and off-road capabilities and adventuresome spirit, today Honda announced it will unveil the all-new 2019 Honda Passport on <b>November</b> 27, the day before making its auto show global debut the 2018 Los Angeles Auto Show.",Honda Teases New Passport SUV Ahead Of LA Debut,http://infoplasticsurgeryworld.com/2018/11/honda-teases-new-passport-suv-ahead-of-la-debut/,Dogs,2018-11-16T20:32:00.0000000Z
25,"But <b>Toyota</b> is keeping all the U.S.-spec details close to its chest until the car&#39;s debut at the Los Angeles auto show at the end of <b>November</b>, so we don&#39;t have specs or photos for the hybrid yet. The Corolla hybrid bound for sale in China has been revealed ...",The 2020 <b>Toyota</b> Corolla Sedan Will Be the First Corolla Hybrid In the U.S.,https://www.yahoo.com/news/2020-toyota-corolla-sedan-first-190000967.html,YAHOO!,2018-11-16T20:24:00.0000000Z
26,"MazdaUSA @<b>Toyota</b> #MadeinAL pic.twitter.com/sczzMlISdk — Governor Kay Ivey (@GovernorKayIvey) <b>November</b> 16, 2018 “Not only is Mazda <b>Toyota</b> Manufacturing providing high-paying jobs, they are investing heavily in our future workforce. This will not only ...",Mazda <b>Toyota</b> Manufacturing kicks off construction on $1.6B Alabama plant,http://www.madeinalabama.com/2018/11/mazda-toyota-manufacturing/,Alabama Department of Commerce,2018-11-16T17:36:00.0000000Z
